"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0002252","immune effector process",362,0.378948292421755,1.76457355843684,2.39898944201296e-07,0.000221714604230837,0.000197727235062752,2244,"tags=36%, list=24%, signal=29%","28834/3502/9021/3500/3501/3503/721/28467/3122/3718/8140/3123/3726/80149/720/23705/729230/9261/1512/55619/3936/5052/4064/7157/8741/3134/10125/4843/613/54440/2534/3098/5788/3105/8729/7410/4292/51176/28439/3430/23180/2885/5585/64332/653361/79915/170506/201294/1398/6774/6778/7494/5971/51237/2048/22904/1113/2241/2067/732/3662/100423062/6850/10538/7133/7305/602/3984/3106/64005/399687/7409/5169/3107/55846/114836/4063/930/717/409/203068/3566/23476/163486/3965/6830/26057/6891/4242/440275/23228/2475/867/3635/2896/958/5880/695/84861/5291/972/3071/54542/5336/51135/5130/914/4192/2821/1794/5058/7186/5450/3716/3683/6777/200558/5170/684/5532/5873/26228/6868/3799/9678/3956/51111/28452/100/10859/9188/11151","BP","Up",1
"GO:0002263","cell activation involved in immune response",183,0.396641006249298,1.76211532865302,4.35496361955632e-05,0.00609826875332417,0.00543849523781914,2244,"tags=40%, list=24%, signal=31%","9021/3122/3718/3123/3726/80149/729230/55619/3936/4064/7157/8741/3134/10125/613/5788/8729/4292/51176/3430/64332/79915/201294/6774/6778/7494/5971/22904/1113/2241/2067/3662/6850/10538/7305/602/5169/55846/114836/4063/930/3566/23476/3965/6830/4242/440275/23228/2475/867/2896/958/5880/695/972/3071/54542/5336/5130/4192/1794/5450/3716/3683/200558/5170/5873/9678/3956/51111/100/10859/11151","BP","Up",1
"GO:0002285","lymphocyte activation involved in immune response",135,0.42118073645186,1.78609641696129,0.000109878566084107,0.0112833078638813,0.010062563420334,2244,"tags=42%, list=24%, signal=33%","9021/3122/3718/3123/3726/80149/55619/3936/4064/7157/8741/3134/5788/4292/51176/64332/79915/201294/6774/6778/7494/5971/2067/3662/10538/7305/602/55846/114836/4063/930/3566/23476/3965/6830/4242/440275/23228/2475/958/972/3071/54542/5336/5130/4192/5450/3716/3683/200558/5873/9678/3956/51111/100/10859/11151","BP","Up",1
"GO:0002366","leukocyte activation involved in immune response",180,0.39934710346267,1.77227930369021,4.23703297516117e-05,0.00609826875332417,0.00543849523781914,2244,"tags=40%, list=24%, signal=31%","9021/3122/3718/3123/3726/80149/729230/55619/3936/4064/7157/8741/3134/10125/613/5788/4292/51176/3430/64332/79915/201294/6774/6778/7494/5971/22904/1113/2241/2067/3662/6850/10538/7305/602/5169/55846/114836/4063/930/3566/23476/3965/6830/4242/440275/23228/2475/867/2896/958/5880/695/972/3071/54542/5336/5130/4192/1794/5450/3716/3683/200558/5170/5873/9678/3956/51111/100/10859/11151","BP","Up",1
"GO:0002521","leukocyte differentiation",369,0.337637079909042,1.57406791764533,6.07128510183749e-05,0.00801583098731173,0.00714859584171242,2965,"tags=44%, list=32%, signal=31%","9021/3122/3601/5795/3718/861/9092/3123/3726/80149/729230/4860/55619/3507/677/57580/3297/864/7351/3659/537/7157/10125/57521/5771/581/5026/8943/25793/54440/5788/5925/4775/2621/29760/55294/51176/64332/7922/1432/3516/6774/6778/7494/5971/5591/1540/387/2146/22904/1209/3662/7155/6850/10538/7305/602/865/3106/10766/133522/1316/22806/10461/3658/7409/57492/55846/56262/114836/4063/930/142/79705/23230/3566/23476/3965/84433/2739/6595/4242/23228/399/2475/6654/3635/695/5048/972/3071/302/54542/5336/6729/914/653519/5530/2175/8289/55193/578/4192/8503/1794/22985/915/9855/5450/84447/4739/3716/23210/6777/29102/1385/64421/5532/6647/6868/2908/3932/9678/3956/100/10859/3600/7037/10456/9215/2547/4297/7248/6599/7001/2194/3140/51463/472/55795/9770/6504/359948/863/4853/79576/4914/8563/11334/10320/3428/6688/4763/4669/2353/6603/4615/4627/7048/9644/29110/4179","BP","Up",1
"GO:0004672","protein kinase activity",353,0.315766458836474,1.46893823297329,0.00101712600335417,0.0247161618815063,0.0218414425983421,2494,"tags=38%, list=27%, signal=29%","150094/56155/3718/415116/11200/5579/9261/146057/11040/5609/23031/8491/6788/9201/613/2534/5571/10420/22848/29904/3551/4140/5218/6093/5585/200576/3654/5315/5604/1432/1452/2580/83931/6793/5591/8428/9020/2048/2241/29959/1022/6850/7444/5230/10783/9874/3984/90/369/207/55681/22853/1196/2870/10461/8558/140901/27/9031/9448/10645/5871/79705/23476/28996/3656/659/9175/5583/5613/23097/4296/4831/440275/1760/2475/25778/26750/5603/57787/695/7297/50488/51347/5291/2049/57410/8573/51135/11011/80216/51701/5292/6733/6196/2869/5606/8408/5058/65125/3716/5290/6446/5170/1026/23683/5062/1454/54861/3932/65268/6195/8844/984/5165/5894/8621/657/149420/10922/1457/2932/91754/5128/1326/1453/3985/10114/51755/10494/4750/5163/2931","MF","Up",3
"GO:0007249","canonical NF-kappaB signal transduction",206,0.380107386099611,1.71057659298432,9.59488180512169e-05,0.0105964602026946,0.00945002601249429,2963,"tags=46%, list=32%, signal=32%","23636/4050/3123/6772/80149/57162/2319/857/5579/56957/11040/28511/5052/80833/56829/10075/8517/6275/4790/7128/3551/3987/3654/54862/170506/10725/6774/330/5971/1540/92140/387/9020/602/10783/4791/399687/10211/28512/142/409/23476/3656/3965/84433/26057/51246/9218/399/114769/958/10616/972/5336/51135/80216/653519/843/2597/9978/7186/7187/834/5170/684/2950/55223/10542/3956/10342/4792/9188/81858/10868/7037/124583/81603/10206/11214/23291/2099/9770/10133/7706/2316/10549/389/57153/10318/8717/4615/51523/1653/29110/331","BP","Up",2
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",66,0.554033580647659,2.10355869921013,2.6157055216188e-06,0.00120871752154005,0.00107794601233027,1524,"tags=38%, list=16%, signal=32%","9021/3601/3718/6772/3587/729230/857/83666/5771/5788/6774/6778/5310/10464/2048/2241/602/51094/5311/54625/2074/6773/3455/958/7297","BP","Up",1
"GO:0016301","kinase activity",462,0.317118232205951,1.50144738581061,0.000142295195920642,0.00446164291725368,0.00394271238951592,2494,"tags=37%, list=27%, signal=29%","150094/56155/3718/415116/11200/5579/9261/146057/4830/11040/5209/5609/23031/8491/6788/9201/613/2534/3098/5571/10420/22848/29904/3551/4140/5218/6093/5585/200576/64781/3654/5315/5604/1432/1452/2580/83931/6793/5591/8428/5286/9020/2048/2241/29959/1022/6850/7444/5230/8566/10783/9874/3984/90/369/207/55681/22853/8394/1196/11284/2870/10461/8558/7083/3705/140901/27/9031/54963/9448/10645/2585/5871/8395/79705/2987/23476/83440/27010/5305/28996/3656/84433/659/9175/5583/5613/23097/4296/4831/440275/1760/2475/25778/260425/26750/5603/57787/695/7297/10020/50488/51347/54981/5291/138429/2049/57410/5287/8573/51135/11011/80216/51701/22929/5832/5292/6733/6196/2869/5606/8503/8408/5058/23396/65125/65220/3716/5290/1609/6446/5170/1026/23683/5062/1454/9162/54861/3932/136332/65268/7084/6195/26007/8844/984/5165/5894/8621/657/132/149420/10922/1457/2932/91754/5128/1120/1326/5288/1453/3985/10114/51755/8526/10494/5631/4750/5163/79837/2931","MF","Up",3
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",428,0.316884949997481,1.49473628097213,0.000295297651863419,0.00797303660031231,0.00704569836024999,2617,"tags=39%, list=28%, signal=29%","150094/56155/3718/415116/11200/5579/9261/146057/11040/5209/5609/23031/8491/6788/9201/613/2534/3098/5571/10420/22848/29904/3551/4140/5218/6093/5585/200576/3654/5315/5604/1432/1452/2580/83931/6793/5591/8428/5286/9020/2048/2241/29959/1022/6850/7444/5230/8566/10783/9874/3984/90/369/207/55681/22853/8394/1196/11284/2870/10461/8558/3705/140901/27/9031/51251/54963/9448/10645/2585/5871/8395/79705/23476/83440/5305/28996/3656/659/9175/5583/5613/23097/4296/4831/440275/1760/2475/25778/26750/5603/57787/695/7297/10020/50488/51347/54981/5291/138429/2049/57410/5287/8573/51135/11011/80216/51701/5292/6733/6196/2869/5606/8503/8408/5058/23396/65125/65220/3716/5290/1609/6446/5170/1026/23683/5062/1454/9162/54861/3932/65268/6195/26007/8844/984/5165/5894/8621/657/132/149420/10922/1457/2932/91754/5128/1120/1326/5288/1453/3985/10114/51755/8526/10494/4750/5163/79837/2931/83707/472/7371/2872/11184/9770","MF","Up",3
