"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000785","chromatin",434,0.464067582655798,1.58830179983465,1e-10,5.01e-08,4.01052631578947e-08,1558,"tags=47%, list=30%, signal=36%","8932/196/4783/55183/5591/122953/7003/3091/8204/9839/1459/4791/1106/9612/2115/10409/2186/571/1059/257218/84181/53615/55274/23394/58487/10725/4094/5966/1387/6599/29994/8507/2113/100381270/1107/10274/7052/23099/339287/2101/8648/4090/1499/463/8609/9416/4790/6732/7155/80335/6773/26057/25836/23047/1960/9975/10608/6670/5087/10765/3727/1912/1108/57801/26993/4929/6777/23451/7112/6256/10155/57492/2063/1523/6597/55209/10365/23512/2355/405/27125/2034/284058/9188/10927/23244/1112/23522/221037/64764/23468/51450/687/5927/65980/7030/4678/894/23476/861/55193/4088/6602/6667/6909/23304/467/11335/1105/2004/10735/8553/6925/6772/7259/3054/51105/2300/3184/6926/4773/4017/7508/4776/5926/55578/7913/5885/23435/11244/4779/1457/55553/63901/5514/6418/8289/84656/142/23028/8467/51621/1051/90993/7528/6932/4676/7392/23450/4205/64324/6095/5934/8019/6935/50809/3164/11198/23326/4774/546/1660/1386/10902/10943/6421/3182/3090/1060/51274/57215/6659/151987/7798/4775/6299/5316/9646/6594/9810/23466/2908/9189/1676/65018/3516/54108/2295/7067/6774/11177/79647/2114/4641/29117/5562/9878/10263/4782/3280/51742/9500","CC","Up",3
"GO:0000976","transcription cis-regulatory region binding",301,0.474376047740666,1.61418273445116,3.69516411777701e-09,2.06621260252364e-07,1.46185878694511e-07,1643,"tags=51%, list=32%, signal=37%","196/4783/122953/7003/3091/904/8204/9839/4791/1106/10413/2115/10409/7764/10664/2186/571/7025/23064/23394/10725/4094/5966/2113/100381270/1107/56731/23099/79718/2101/8648/4090/7707/463/5814/153222/8609/4790/7150/6773/1960/9975/10608/6670/5087/7343/3727/7019/57801/4929/6777/7799/639/51341/6497/6256/2063/1523/6597/7716/23300/10365/23135/23512/2355/405/2034/1112/64764/51450/687/5927/7030/3192/23476/861/4088/7586/6667/6909/84146/64332/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/5926/7587/1602/23435/4779/7572/5187/55553/51621/1051/90993/7528/6932/7392/4205/64324/6095/5934/6935/3164/4774/23528/1660/1386/6421/2957/165/51274/57215/6659/4775/6299/3068/6498/2908/84159/9189/3516/170506/2295/7067/7690/6774/2114/29117/4150/7494/4782/3280/51742/4097/57659/5307/55422/9921/351/140467/9967/6938","MF","Up",3
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",262,0.470889064586549,1.59821978884087,2.34936153458597e-08,1.12601542121942e-06,7.96663197066369e-07,1643,"tags=52%, list=32%, signal=37%","196/4783/122953/7003/3091/8204/9839/4791/1106/10413/2115/7764/10664/2186/571/7025/23394/10725/4094/5966/2113/56731/23099/2101/8648/4090/7707/463/5814/153222/8609/4790/7150/6773/1960/9975/10608/6670/5087/3727/57801/4929/6777/7799/639/51341/6497/6256/2063/1523/7716/10365/23135/23512/2355/405/2034/64764/51450/687/7030/3192/861/4088/7586/6667/6909/84146/64332/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/7587/1602/23435/4779/7572/5187/55553/51621/1051/90993/7528/6932/7392/4205/64324/6095/5934/6935/3164/4774/23528/1660/1386/2957/165/51274/57215/6659/4775/6299/3068/6498/2908/9189/3516/170506/2295/7067/7690/6774/2114/4150/7494/4782/3280/4097/57659/5307/55422/351/140467/9967/6938","MF","Up",3
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",236,0.469300644744825,1.59058671117637,1.88639369406513e-07,3.08724431394561e-06,2.18424532997015e-06,1643,"tags=53%, list=32%, signal=38%","196/4783/122953/7003/3091/8204/9839/4791/1106/10413/2115/7764/10664/2186/571/7025/10725/4094/5966/2113/56731/23099/2101/4090/7707/463/8609/4790/7150/6773/1960/9975/10608/6670/3727/57801/4929/6777/639/51341/6497/6256/2063/10365/23135/23512/2355/405/2034/64764/51450/687/7030/3192/861/4088/7586/6667/6909/84146/64332/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/7587/1602/23435/4779/7572/5187/55553/51621/1051/90993/7528/6932/7392/4205/64324/6095/6935/3164/4774/23528/1660/1386/51274/57215/6659/4775/6299/3068/6498/2908/9189/3516/170506/2295/7067/7690/6774/2114/4150/7494/4782/3280/4097/57659/5307/55422/351/140467/9967/6938","MF","Up",3
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",237,0.486346297131439,1.64900618073844,2.79144126703997e-08,1.17066068136489e-06,8.28250007523043e-07,1618,"tags=54%, list=31%, signal=39%","196/4783/122953/7003/3091/9839/4791/49854/26036/2115/7764/10664/23036/571/7025/23394/58487/10725/4094/5966/2113/100381270/23099/2101/4090/7707/463/5814/153222/8609/4790/6773/1960/9975/10608/6670/5087/3727/57801/4929/6777/7799/639/51341/6497/6256/2063/1523/10424/7716/23300/10365/2355/405/2034/1112/64764/51450/687/7030/861/4088/7586/2969/6667/6909/84146/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/7587/1602/11244/4779/7572/55553/148398/51621/1051/90993/7528/6932/7392/4205/6095/6935/3164/4774/23528/1386/165/3090/51274/57215/6659/4775/6299/5316/3068/6498/2908/9189/3516/2295/7067/7690/6774/2114/4150/7494/4782/3280/4097/57659/128553/5307/55422/56917","MF","Up",3
"GO:0000987","cis-regulatory region sequence-specific DNA binding",241,0.464510458990991,1.57532608895743,4.55518265710983e-07,6.94665355209248e-06,4.91480234056586e-06,1643,"tags=52%, list=32%, signal=37%","196/4783/122953/7003/3091/8204/9839/4791/1106/10413/2115/7764/10664/2186/571/7025/10725/4094/5966/2113/56731/23099/2101/4090/7707/463/8609/4790/7150/6773/1960/9975/10608/6670/3727/57801/4929/6777/639/51341/6497/6256/2063/10365/23135/23512/2355/405/2034/1112/64764/51450/687/7030/3192/861/4088/7586/6667/6909/84146/64332/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/7587/1602/23435/4779/7572/5187/55553/51621/1051/90993/7528/6932/7392/4205/64324/6095/6935/3164/4774/23528/1660/1386/51274/57215/6659/4775/6299/3068/6498/2908/9189/3516/170506/2295/7067/7690/6774/2114/4150/7494/4782/3280/4097/57659/5307/55422/351/140467/9967/6938","MF","Up",3
"GO:0001067","transcription regulatory region nucleic acid binding",301,0.474376047740666,1.61418273445116,3.69516411777701e-09,2.06621260252364e-07,1.46185878694511e-07,1643,"tags=51%, list=32%, signal=37%","196/4783/122953/7003/3091/904/8204/9839/4791/1106/10413/2115/10409/7764/10664/2186/571/7025/23064/23394/10725/4094/5966/2113/100381270/1107/56731/23099/79718/2101/8648/4090/7707/463/5814/153222/8609/4790/7150/6773/1960/9975/10608/6670/5087/7343/3727/7019/57801/4929/6777/7799/639/51341/6497/6256/2063/1523/6597/7716/23300/10365/23135/23512/2355/405/2034/1112/64764/51450/687/5927/7030/3192/23476/861/4088/7586/6667/6909/84146/64332/467/5978/2004/79027/8553/9208/6925/6772/2300/253461/6926/4773/4776/5926/7587/1602/23435/4779/7572/5187/55553/51621/1051/90993/7528/6932/7392/4205/64324/6095/5934/6935/3164/4774/23528/1660/1386/6421/2957/165/51274/57215/6659/4775/6299/3068/6498/2908/84159/9189/3516/170506/2295/7067/7690/6774/2114/29117/4150/7494/4782/3280/51742/4097/57659/5307/55422/9921/351/140467/9967/6938","MF","Up",3
"GO:0001568","blood vessel development",263,0.479075274833461,1.62769662015313,8.84757326698297e-09,8.99257516219186e-07,6.52185152224096e-07,1465,"tags=48%, list=28%, signal=36%","1116/54361/5743/57007/196/9510/3949/7474/4643/2247/3685/3037/3091/7128/65125/9394/90627/659/7422/6464/10413/7070/7423/6444/6558/2683/1282/28996/9475/56999/1284/22905/7127/2113/29072/3678/493/6237/7052/90/5159/1499/655/26057/1960/9037/4763/639/1512/2260/7716/10365/5156/5594/1277/2034/3688/80149/204851/2316/375056/9146/4638/861/25/219699/2969/6667/9525/6909/57674/3716/1289/2697/2004/1278/57493/6772/51564/657/6926/998/4017/4776/5754/10253/4627/51330/54453/161742/90993/207/6095/9444/5311/6789/84168/80155/3164/5747/7082/1386/7837/1012/3728/54583/5170/6659/7798/7852/163/4775/1605/5316/4691/5797/25831/55109/7534/3516/1281/1634/6774/80781/4035/29924","BP","Up",2
"GO:0001944","vasculature development",281,0.480494749357331,1.63447005895798,8.71841392415019e-09,8.99257516219186e-07,6.52185152224096e-07,1465,"tags=48%, list=28%, signal=37%","1116/54361/5743/57007/196/9510/3949/7474/4643/6648/2247/3685/3037/3091/7128/65125/9394/90627/659/7422/6464/10413/7070/7423/6444/6558/2683/1282/28996/9475/56999/1284/22905/7127/10630/2113/29072/3678/493/6237/7052/90/5159/1499/27250/655/26057/1960/9037/4763/639/1512/2260/7716/10365/5156/5594/1277/2034/3688/80149/204851/102/2316/375056/9146/4638/861/25/219699/2969/6667/9525/6909/57674/3716/1289/2697/2004/1278/650/57493/6772/51564/657/6926/998/4773/4017/4776/5754/10253/4627/51330/54453/161742/90993/6794/7763/207/6095/9444/5311/6789/84168/80155/3164/5747/7082/1386/7837/1012/3728/54583/5170/6659/7798/7852/163/4775/1605/5316/4691/5797/5532/25831/55109/7534/3516/1281/1634/6774/54206/80781/4035/29924","BP","Up",2
"GO:0003682","chromatin binding",235,0.479975314510552,1.62575974395667,8.03038414404279e-08,1.96671361144919e-06,1.39146260689244e-06,1344,"tags=45%, list=26%, signal=35%","8932/122953/904/1106/10413/9612/10664/1059/84181/53615/80012/55274/23394/10725/1387/6599/4297/6830/1107/10274/8648/1499/4790/7091/7150/7155/80335/26057/25836/473/6670/7343/1912/1108/7019/6777/639/10155/57492/6597/55252/23135/23512/2355/5585/55870/23522/221037/23468/5927/80149/3192/23476/55193/8725/4088/5430/6602/5978/11335/1105/10735/6772/7259/3054/5431/51564/3184/8243/4773/8028/5885/5187/6418/1487/8289/148398/84656/142/23028/8467/1956/1051/90993/7528/4676/4205/64324/5934/8019/6935/22907/50809/11198/4774/546/1660/1386/6421/2072/1820/5316/6594/23466/6498","MF","Up",3
