"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05165","Human papillomavirus infection",164,0.5151516643879,1.86479129054584,7.07993641736148e-09,2.15230067087789e-06,1.16260008537725e-06,1799,"tags=51%, list=28%, signal=37%","5743/7482/1293/54361/3685/7422/7474/7057/6772/6773/2335/5290/1739/1277/472/1282/23352/207/5986/3678/1387/84441/5159/5567/4600/5566/4193/523/5605/2778/5295/5925/1278/5610/3913/1956/4790/3454/1499/894/2932/1284/83439/3693/1108/1452/182/22801/6934/5527/5529/1741/3688/64764/3915/5594/3716/3912/2885/3455/3672/3661/3265/528/6932/3910/56288/8324/3371/5894/5516/3133/4599/535/7157/5829/5728/1857/4799/10312/3516/1385/7249","Up","Fibroblasts_SMOC2_PTGIS","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",135,0.530817018998243,1.80240911821169,1.67776727302822e-08,5.53663200099314e-06,3.72640941693637e-06,3131,"tags=62%, list=32%, signal=43%","3371/7058/3082/3696/3673/1293/1287/3685/7423/25759/330/6654/857/5578/7422/5156/7414/5159/3911/5062/10000/3479/1729/6655/1277/1956/2316/2909/3672/331/5290/6464/3480/3678/8394/1793/394/3912/22801/9475/3690/7094/2932/1282/7410/7057/5594/673/207/4660/83660/3688/5747/5295/2317/1291/2002/81/1499/54776/2889/6093/329/5599/23396/2534/596/9564/87/2885/10319/3693/1278/5728/5500/256076/3915/8516/1284/3908/6714/4638/5170/1399","Up","Fibroblasts_ADAMDEC1","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04668","TNF signaling pathway",65,0.604965853931597,2.04395124195152,8.84277717474867e-08,1.3441021305618e-05,7.26038546979364e-06,1194,"tags=45%, list=19%, signal=37%","4314/2919/7128/7412/5743/83737/331/2921/5290/207/330/5295/6868/329/4790/602/2920/1540/1432/10059/182/8837/3627/23118/3383/64764/5594/6885/153090","Up","Fibroblasts_SMOC2_PTGIS","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",245,0.472110717784801,1.54684527452861,9.59535333451162e-08,2.89779670702251e-05,1.82816731952274e-05,2172,"tags=53%, list=33%, signal=37%","1282/3912/1284/2033/23236/25780/9475/4040/5295/3910/83439/182/3714/3575/6654/7423/3718/3673/3655/3685/6778/3915/650/3091/3911/9002/330/10000/331/324/25/2260/4313/317/51176/2956/6773/6776/4089/6772/3320/5743/2768/6667/7184/10672/2113/6093/1499/6256/4851/867/1387/3716/2771/3728/2776/8322/5605/613/3566/26060/23365/5290/2767/5747/5338/3688/624/5566/8202/3845/59345/8030/1439/329/5900/6198/4855/5467/2782/4790/2034/7157/208/2932/3265/3454/3913/196883/2778/3480/5336/862/2149/4088/8454/54567/841/7175/5894/5925/5331/7296/3561/4087/894/5567/1857/6777/5155/3675/3563/5292/8453/4193/1487/8648/3455/9138/801/8503/54583/817/7709/3597/4233/3572/2271/5728/6934","Up","Endothelial_cells_DARC","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",207,0.493041151688949,1.65313260664141,1.05496887569367e-07,1.81313662135262e-05,1.31876530573527e-05,1538,"tags=51%, list=30%, signal=37%","54361/3575/4254/5743/3082/3673/7474/2247/3685/3091/4312/4791/7422/7423/2776/3913/3481/4257/1282/9475/1021/1284/1387/2113/5605/331/5900/867/8648/5159/5728/1499/2771/4790/7170/6773/3572/2778/3910/6777/27436/6256/7296/2260/5567/5156/405/5594/3597/2034/3454/637/3688/894/861/4088/25/3915/3265/6667/3716/9002/3320/650/6772/2885/23365/3912/998/5727/10928/2782/55970/1487/1956/5366/6932/207/7184/81029/26060/3566/6789/5747/329/3728/54583/5295/7852/3460/8321/3845/208/2264/1287/2252/3326/59345/6774/5898/624/2149/1488/3455/3280","Up","Fibroblasts_NPY_SLITRK6","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04151","PI3K-Akt signaling pathway",140,0.52121816586122,1.71944002415558,1.25912265371709e-07,1.81313662135262e-05,1.31876530573527e-05,1681,"tags=61%, list=32%, signal=42%","3575/4254/3082/3673/2247/3685/9180/7422/7423/3913/3481/1282/1021/1284/3678/5605/5159/5728/4790/627/1293/3667/3910/7532/6256/2260/5156/5594/1277/5585/3454/64764/3688/894/3915/3265/4170/3716/5586/3320/1278/3371/7531/2885/5527/3912/56034/3693/2668/2782/55970/5529/1956/90993/6794/207/7184/5934/3566/3164/5747/1386/5170/5295/3845/3672/208/2264/1287/2252/1975/3326/7534/59345/6446/5562/2149/3455/8516/3911/1291/22801/1292/2254/7057","Up","Fibroblasts_NPY_SLITRK6","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",249,0.449446378694766,1.6756607580513,1.94212862844315e-07,1.96802367682239e-05,1.06305988083204e-05,2039,"tags=51%, list=32%, signal=36%","3082/2252/3575/5743/7482/3091/54361/3685/8202/7422/331/7474/6772/6773/2335/3572/5290/624/1282/207/1387/7423/5900/5159/4312/330/5567/9475/3320/2113/5566/4193/2768/25/5605/2778/5295/862/5925/2771/1164/11040/3913/1956/3597/329/4790/3454/1902/1499/8030/894/2932/6777/1284/4088/8453/83439/8648/5156/182/10161/2776/6934/1487/3601/2149/3688/2782/7170/3915/5594/3716/3912/7040/2885/27436/3566/6093/3455/7175/5371/801/5727/3265/2767/4089/6932/2034/9252/405/3910/55970/8324/5366/5894/54583/26060/5292/1398/6778/6789/7157/9138/51426/5728/1857/3326/3728/6256/54331/4040/2260/28514/112399/10928/998/10672/3551/8503/23365/7048/861/4791/8454/9618","Up","Fibroblasts_SMOC2_PTGIS","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04550","Signaling pathways regulating pluripotency of stem cells",46,0.665382435663555,2.01272021897659,2.36584718617218e-07,2.27121329872529e-05,1.65194242122198e-05,1344,"tags=70%, list=26%, signal=52%","54361/3624/7474/55183/2247/659/5605/90/4090/1499/463/3572/2260/5594/4088/3265/84333/3716/5978/2885/657/6926/3400/6932/207/81029/5295/8321/3845/208/2264/6498","Up","Fibroblasts_NPY_SLITRK6","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",79,0.604345942435536,2.33131755764996,2.97123605745155e-07,8.20061151856627e-05,6.81820484762566e-05,969,"tags=62%, list=25%, signal=47%","3696/3371/87/3685/330/1277/2335/2316/1282/394/5154/3912/894/1284/6093/1293/3480/2885/3672/5578/5728/5594/4660/3655/329/5062/3913/1291/81/5500/824/7094/1398/1292/4638/399694/1278/5894/2932/3691/5155/857/3688/1499/2534/7057/3910/595/2064","Up","Glial_cells","STR","Colon","ActiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",110,0.526168284327945,1.8593570496058,3.35119434419871e-07,2.54690770159102e-05,1.37575346761842e-05,1706,"tags=48%, list=27%, signal=36%","3082/1293/3685/7422/331/7057/2335/5290/1277/1282/207/3678/7423/2909/5159/330/5062/9475/7414/394/5295/1278/7094/3913/1956/329/1499/894/2932/1284/6464/3693/2316/5156/22801/3688/2012/3915/5594/3912/2885/6093/3672/55742/3265/3910/3371/5894/4638/1398/5170/5829/5728","Up","Fibroblasts_SMOC2_PTGIS","STR","Colon","ActiveCD_vs_Control","dataset_02"
