"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05204","Chemical carcinogenesis - DNA adducts",25,-0.871760908568735,-2.75728432024886,1e-10,3.33e-08,2.58947368421053e-08,522,"tags=84%, list=6%, signal=80%","9446/9/2052/1577/7367/2941/2948/2947/6818/873/4258/7364/1646/1562/4259/6817/79799/6799/1576/2938/2939","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00982","Drug metabolism - cytochrome P450",25,-0.851667112608383,-2.69372984333761,2.49314874091772e-10,4.151092653628e-08,3.22797152771452e-08,522,"tags=68%, list=6%, signal=64%","1577/7367/2941/126/2948/2947/130/4258/7364/4128/4259/79799/1555/4129/1576/2938/2939","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",29,-0.774747348776098,-2.52252554960054,1.60819087137777e-08,1.78509186722932e-06,1.38812264687344e-06,522,"tags=59%, list=6%, signal=56%","1577/7367/2941/126/2948/2947/130/873/4258/7364/4259/79799/1555/1645/1576/2938/2939","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa04978","Mineral absorption",34,-0.734565188561089,-2.48540514872744,3.96944120720049e-08,3.30455980499441e-06,2.56969088676663e-06,852,"tags=44%, list=9%, signal=40%","55630/483/7779/538/4489/6523/79901/4493/4502/4499/4494/4495/4501/340024/4496","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa03010","Ribosome",128,-0.4497654291032,-2.02484360606578,1.42709115524873e-06,8.64432918051169e-05,6.7220008800565e-05,3786,"tags=73%, list=40%, signal=44%","6233/64965/6143/6187/25873/219927/51318/6181/7311/55168/51065/6124/6193/6222/6132/6203/6224/6234/51073/6223/6134/63931/65003/51264/2197/6122/6176/6164/23521/6207/6167/6230/6135/6152/11224/6147/9553/6137/6130/6217/6208/29093/6170/6138/4736/6175/6201/6227/6169/6133/6146/64968/6159/6161/6209/28998/54460/29074/51373/6156/6202/9045/6136/6188/6171/51121/6144/6210/6228/6128/55052/6218/6165/6129/6191/6189/51116/6125/6204/6194/6229/6192/6160/64981/54948/6154/64983/6173/10573/29088/79590/6231/51023","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00140","Steroid hormone biosynthesis",21,-0.785758137924514,-2.37382245249043,1.55753678928138e-06,8.64432918051169e-05,6.7220008800565e-05,600,"tags=67%, list=6%, signal=63%","7923/51170/1577/7367/79154/6783/6820/7364/1646/79799/8644/1645/3294/1576","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00830","Retinol metabolism",24,-0.751100088502542,-2.36057942925585,4.89795762545813e-06,0.000233002841325365,0.000181187605392887,1159,"tags=67%, list=12%, signal=59%","29785/5959/317749/54884/8694/1577/8228/7367/126/130/7364/1562/216/79799/1555/1576","Down","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa04940","Type I diabetes mellitus",20,0.809551120880749,2.09969317684951,9.36387438446567e-06,0.000389771271253383,0.000303093828760336,1123,"tags=75%, list=12%, signal=66%","3135/3127/3115/3113/3109/3117/3134/355/3133/3106/3107/3108/5799/3122/3112","Up","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa05320","Autoimmune thyroid disease",18,0.81956908577373,2.06958464503597,1.34766517755781e-05,0.000448772504126752,0.000348974351241287,1123,"tags=78%, list=12%, signal=69%","3135/3127/3115/3113/3109/3117/3134/355/3133/3106/3107/3108/3122/3112","Up","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa05330","Allograft rejection",18,0.81956908577373,2.06958464503597,1.34766517755781e-05,0.000448772504126752,0.000348974351241287,1123,"tags=78%, list=12%, signal=69%","3135/3127/3115/3113/3109/3117/3134/355/3133/3106/3107/3108/3122/3112","Up","TA","EPI","Ileum","ActiveCD_vs_Control","dataset_01"
