"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001525","angiogenesis",306,0.577033828747296,1.62808060489013,4.94694506640714e-10,1.18514669662354e-07,9.33348432579273e-08,2082,"tags=37%, list=19%, signal=31%","2626/6356/3373/64094/7045/6347/27035/6376/406938/7127/7122/3553/94/301/3099/9022/6678/1960/7474/2752/90993/10457/11005/113026/7124/133/126259/2049/8503/80781/2263/116844/1536/7852/958/3490/857/2050/3627/2113/2004/2013/51564/2048/2683/7046/1634/10365/5176/6772/4853/3091/81575/10800/80149/3685/7052/5140/10411/3204/5371/861/101/6091/10267/90/634/28514/2152/10855/55742/2316/4240/652/1282/57343/22905/7128/2185/5547/8877/1890/4323/7040/51548/3315/3339/204851/1948/84034/25865/6667/6558/3164/57674/3213/8751/5534/90627/1605/3689/4851/6722/9394/10253/2034/5315/153090/1969/4627/1870/2833/25","BP","Up",1
"GO:0001568","blood vessel development",415,0.558974359928563,1.58464414858172,1.98875638027034e-10,5.5585740828556e-08,4.37759006744886e-08,2099,"tags=35%, list=19%, signal=29%","3209/2626/6356/3373/64094/7045/6347/27035/6376/406938/7127/7122/3553/348/94/301/3099/9022/6678/1960/7474/2752/90993/10457/1277/11005/113026/7124/133/8854/126259/2049/8503/6659/80781/54361/2263/10512/116844/1536/2719/7852/958/3490/857/2050/3627/639/2113/2004/2013/51564/2048/2683/7046/1634/10365/1281/5176/6772/79659/4853/3091/81575/10800/5629/80149/3685/7052/4066/5140/10411/3204/5371/861/101/6091/81031/10267/1959/90/634/28514/2152/10855/55742/2316/4240/652/1282/57343/22905/3280/1278/7128/2185/9021/1958/5547/8877/1890/4323/7040/196/51548/3315/3339/204851/55897/6934/1948/8061/84034/25865/6667/6558/163/59/3164/57674/3213/677/8751/7498/5534/90627/1605/3689/578/4851/6722/9394/10253/5594/4915/2034/5315/153090/1969/9693/4627/1870/2833/25/4035","BP","Up",1
"GO:0001664","G protein-coupled receptor binding",134,0.558169695779439,1.54490447636521,0.000400170721130976,0.0235211457198096,0.0210850186981877,1209,"tags=29%, list=11%, signal=26%","6356/6348/6288/6347/6376/6374/4283/6373/7474/6375/56477/150/2921/133/7032/112609/2770/6352/54361/4828/9495/3627/6351/727/6772/6364/25805/283869/3040/440193/7482/3717/2316/6386/2776/351/57561/81029/2781","MF","Up",4
"GO:0001816","cytokine production",469,0.554254277514981,1.5768592890695,1e-10,4.1925e-08,3.30175438596491e-08,2644,"tags=43%, list=24%, signal=34%","3620/2626/338557/6348/6288/28951/3635/27035/6376/4023/136/406938/7850/3553/8399/301/3098/7474/6375/284194/11213/2207/3115/3113/684/10457/4602/388646/10385/7124/150/5802/4843/9516/3594/126259/55959/199/7805/5788/654346/63940/5450/5724/7305/1536/4828/958/916/5552/4939/10865/727/51561/51564/2048/8809/10384/406934/10365/57045/11118/1281/6772/29126/3091/3965/55612/914/114769/11119/8767/29923/3694/113277/2192/1535/80149/3133/4345/3685/929/975/4067/161882/84632/9641/5371/3134/861/101/4940/81031/3717/3428/4050/9308/634/28514/2152/1445/10855/1191/7128/5325/54739/3077/351/26191/3659/3106/1958/8826/924/4282/8651/8877/834/7040/4060/2633/3315/3566/23598/80381/403341/25865/55655/55366/2137/283234/10626/7297/7072/27242/55666/22900/604/27342/5144/9655/5734/5495/5621/3838/836/57162/4860/84878/79792/10461/27086/8013/1604/3148/1969/6737/706/4790/57447/25/10892/79671/11120/5606/3066/2146/3600/23326/54795/824/8986/56829/63906/672/23765/22890/9451/5885/5452/9181/6711/5970/11148/841/8314/1540/56957/331/8915/6647/28984/1432/5607/6284/59307/11187/27020/54502/25987/9111/4088","BP","Up",1
"GO:0001817","regulation of cytokine production",465,0.552677734747499,1.57216269936363,1.40095236461409e-10,5.03442239026679e-08,3.96480052662215e-08,2644,"tags=43%, list=24%, signal=34%","3620/2626/338557/6348/6288/28951/3635/27035/6376/4023/136/406938/7850/3553/8399/301/3098/7474/6375/284194/11213/2207/3115/3113/684/10457/4602/388646/10385/7124/150/5802/4843/9516/3594/126259/55959/199/7805/5788/654346/63940/5450/5724/7305/1536/4828/958/916/5552/4939/10865/727/51561/51564/2048/8809/10384/406934/10365/57045/11118/6772/29126/3091/3965/55612/914/114769/11119/8767/29923/113277/2192/1535/80149/3133/4345/929/975/4067/161882/84632/9641/5371/3134/861/101/4940/81031/3717/3428/4050/9308/634/28514/2152/1445/10855/1191/7128/5325/54739/3077/351/26191/3659/3106/1958/8826/924/4282/8651/8877/834/7040/4060/2633/3315/3566/23598/80381/403341/25865/55655/55366/2137/283234/10626/7297/7072/27242/55666/22900/604/27342/5144/9655/5734/5495/5621/3838/836/57162/4860/84878/79792/10461/27086/8013/1604/3148/1969/6737/706/4790/57447/25/10892/79671/11120/5606/3066/2146/3600/23326/54795/824/8986/56829/63906/672/23765/22890/9451/5885/5452/9181/6711/5970/11148/841/8314/1540/56957/331/8915/6647/28984/1432/5607/6284/59307/11187/27020/54502/25987/9111/4088","BP","Up",1
"GO:0001819","positive regulation of cytokine production",284,0.575477714474393,1.62256589797139,7.04638569962501e-09,9.58118012292255e-07,7.54554645046616e-07,1411,"tags=29%, list=13%, signal=26%","3620/2626/6348/6288/27035/6376/4023/136/3553/301/3098/7474/6375/11213/2207/3115/3113/4602/7124/150/4843/3594/126259/55959/199/7805/5788/63940/5450/5724/7305/1536/4828/958/916/4939/10865/727/51561/2048/8809/11118/6772/29126/3091/3965/55612/914/11119/8767/29923/113277/1535/3133/4345/929/975/161882/84632/9641/3134/861/101/4940/3717/3428/4050/9308/2152/10855/1191/351/26191/3659/1958/924/4282/8877/834/7040/4060/3315/3566","BP","Up",1
"GO:0001944","vasculature development",435,0.552634026028436,1.56950002040663,2.85512128576754e-10,7.56006062562973e-08,5.95383740699668e-08,2278,"tags=37%, list=21%, signal=31%","3209/2626/6356/3373/64094/7045/6347/27035/6376/406938/7127/7122/3553/348/94/301/3099/9022/6678/1960/7474/2752/90993/10457/1277/11005/113026/7124/133/8854/126259/2049/8503/6659/80781/54361/2263/10512/116844/1536/2719/7852/958/3490/857/27077/2050/3627/639/2113/2004/2013/51564/2048/2683/7046/1634/10365/1281/5176/6772/79659/4853/3091/81575/10800/5629/80149/3685/7052/4066/5140/10411/3204/5371/861/101/6091/81031/10267/1959/90/634/28514/2152/10855/55742/2316/4240/652/1282/57343/22905/3280/1278/7128/2185/1786/9021/1958/5547/4773/8877/1890/4323/54206/7040/196/51548/3315/3339/204851/55897/6934/1948/8061/3976/84034/25865/6667/6558/163/59/3164/57674/3213/3964/677/8751/7498/5534/90627/1605/3689/578/4851/6722/9394/10253/5594/4915/2034/5315/153090/1969/9693/4627/1870/2833/25/4035/7342/3949/6648/538/7534/56913/182/23328/8829/672","BP","Up",1
"GO:0002250","adaptive immune response",250,0.610338534660197,1.71832465887292,1.81604340409865e-10,5.37442021530605e-08,4.23256184088378e-08,2122,"tags=44%, list=19%, signal=37%","3118/3635/722/939/3553/3117/301/3112/430/3383/100423062/6375/3956/2207/3115/3113/3560/3426/10673/7124/717/725/3594/5788/64092/969/713/57823/716/958/916/3575/639/10865/727/8631/714/51561/201294/6776/2013/2048/8809/10384/3004/973/715/11118/6890/29126/64332/915/919/23108/11119/8767/5909/80149/1520/10312/3133/975/4067/10411/3134/5873/1880/3717/8284/634/1445/1191/7128/7037/1075/4277/3077/2185/9021/3659/3106/924/5321/3127/7040/196/3566/917/64167/25865/712/7297/3119/27242/604/214/1235/27040/9655/7158/10068/4851/3140/10758/1604/8792/5585/440275/10892/64421/7374","BP","Up",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",181,0.607851475560069,1.70018445249235,3.12007624308339e-08,3.33980927211756e-06,2.63022776684566e-06,1317,"tags=33%, list=12%, signal=30%","3635/722/939/3553/301/430/3383/100423062/6375/3956/2207/3560/3426/10673/7124/717/725/3594/5788/969/713/716/958/3575/10865/727/714/51561/201294/6776/2013/2048/8809/10384/3004/715/11118/29126/64332/8767/80149/10312/3133/975/3134/5873/3717/8284/634/1191/7128/7037/1075/3077/9021/3106/924/5321/7040/196","BP","Up",1
"GO:0002521","leukocyte differentiation",402,0.538392491533689,1.52463772116892,8.5892546163155e-09,1.13717210459693e-06,8.95566603208076e-07,2584,"tags=39%, list=23%, signal=31%","6348/3635/939/3553/2124/301/430/1960/931/3956/2207/10537/4602/11005/7351/10673/10385/3059/7124/4609/864/9644/3594/9452/5788/6688/969/8503/63976/5450/6659/7305/116071/54361/2719/916/3575/3932/639/343/714/51561/6776/8809/973/9760/81624/4853/1513/596/64332/2194/915/3965/914/4982/8767/3694/2177/80149/10312/4066/975/10272/4067/161882/3204/861/101/1880/3428/112616/9308/634/28514/652/7037/10401/29887/2185/351/26191/9021/3659/3106/1958/8651/55626/3955/4323/7157/22904/7040/9855/8876/3566/917/1435/9759/64410/4242/23598/3601/56998/3976/10875/54997/677/604/1943/29102/1235/9655/5734/578/56262/6722/4860/7301/3140/10758/10461/27086/1969/8792/4627/10193/25/10892/57560/64421/3149/863/2355/648/2146/538/7107/3600/8289/4254/22890/84447/64919/57178/1499/841/8314/3930/6603/1540/6647/359948/6469/146433/1432/133522","BP","Up",1
"GO:0002683","negative regulation of immune system process",321,0.575704698221723,1.62413938101659,6.37163825158761e-10,1.45707782016988e-07,1.14750461143425e-07,2275,"tags=39%, list=21%, signal=32%","3620/6348/6347/3635/722/284021/6376/5320/406938/301/3112/430/8530/7940/6375/284194/3956/11213/684/10457/56477/11005/10385/7124/4609/5802/864/725/2/7805/5788/6688/64092/654346/969/84166/63976/1265/7305/6662/5272/3575/727/25939/714/6776/79651/57045/1281/10906/966/29126/3965/4982/80149/3133/4345/9258/10272/4067/161882/3204/3134/861/4940/3428/634/28514/11074/652/7128/10401/3077/26191/3659/3106/4282/8651/6397/54625/7040/196/2633/7105/6385/3566/25807/5573/11274/1831/10875/55366/27242/55666/22900/604/27342/84640/9655/55255/5734/5621/836/23170/57162/7301/10461/23151/1604/9404/153090/6737/8654/5585/79671/3149/2241/3949/7107/7534/5538/23143/63906/9684","BP","Up",1
"GO:0002694","regulation of leukocyte activation",345,0.611664187567275,1.72958601527858,1e-10,4.1925e-08,3.30175438596491e-08,2186,"tags=41%, list=20%, signal=34%","3620/3118/6348/6347/3635/284021/6376/5320/939/3553/3117/8399/301/3112/430/8530/7940/1960/7474/6375/284194/3956/3115/3113/10457/11005/10673/10385/7124/864/51293/3594/126259/199/7805/5880/5788/6688/64092/654346/969/6352/6659/7305/3485/958/916/857/3575/3932/639/51561/6776/2048/406934/9760/57045/30011/51237/81704/6541/29126/596/64332/3965/914/8767/2177/80149/3133/4345/11151/9258/975/4067/1326/861/101/1880/3717/9308/1445/652/3280/7128/7037/1075/3077/26191/3659/4282/8651/4773/55626/8877/4323/5321/3127/7040/196/8876/6385/637/3566/25807/5573/64410/1948/3601/80381/10875/2319/283234/7297/3119/27242/677/604/27342/29102/27040/9655/84630/7158/5621/836/57162/4860/7301/10461/8013/1604/8654/5585/10193/25/10892/5359/3149/2241/3949/56941/648","BP","Up",1
"GO:0002696","positive regulation of leukocyte activation",228,0.609750199910917,1.71298150670886,9.00625976295221e-10,1.84819720421112e-07,1.45552611213647e-07,1838,"tags=36%, list=17%, signal=31%","3118/6348/6347/3635/939/3553/3117/301/3112/1960/7474/6375/3956/3115/3113/10673/10385/7124/864/51293/3594/126259/199/5788/6688/6352/6659/7305/3485/958/916/857/3575/3932/51561/2048/406934/9760/30011/81704/6541/29126/596/64332/3965/914/8767/3133/11151/975/4067/1326/861/101/1880/3717/9308/1445/3280/7037/1075/4282/8651/4773/55626/4323/5321/3127/7040/8876/3566/64410/1948/3601/80381/2319/283234/7297/3119/604/9655/84630/7158","BP","Up",1
"GO:0005126","cytokine receptor binding",118,0.663951682898148,1.83290983537017,4.57260881820454e-08,9.67564025932081e-06,8.67351693726798e-06,1439,"tags=34%, list=13%, signal=30%","6356/6348/6347/10637/6376/6374/3553/4283/6373/6375/56477/10673/7124/2921/7032/3594/6352/116844/3557/3627/6351/7205/727/51561/7046/6772/6364/10019/25805/101/3717/4050/6386/7188/9021/4282/8651/7040/637/1435","MF","Up",4
"GO:0005925","focal adhesion",334,0.477100191096595,1.35874978088696,0.000636542635145292,0.0270742800815131,0.0241662853062178,2802,"tags=38%, list=25%, signal=29%","7739/301/5328/3383/55616/4478/10673/171024/3936/5880/5788/1265/87/857/7205/7089/54518/54914/9260/10677/7431/30011/91624/966/55740/55612/7106/3694/11135/6218/2934/6251/309/3685/7052/975/10580/23022/3717/55742/2316/6386/51056/3672/23767/308/2185/4082/8826/3655/55626/4323/3673/7791/7414/8754/9448/10487/6385/928/3315/3339/2768/960/726/85458/1948/7171/9656/2580/57514/2319/1956/23603/5329/214/5782/23092/6160/867/1605/11078/3689/6548/3691/5594/10097/9404/1969/6645/1495/4627/11252/4035/23332/6168/5829/7534/824/8829/4921/1785/5339/2017/6235/9181/1213/1499/26986/10982/10525/6207/2317/3482/51164/3611/8496/10211/388/29843/57175/8994/682/79834/2274/6868","CC","Up",3
"GO:0006954","inflammatory response",476,0.584430407726262,1.66374032351336,1e-10,4.1925e-08,3.30175438596491e-08,2108,"tags=39%, list=19%, signal=33%","3620/6291/6338/79931/338557/6356/3373/6348/6289/6288/26471/6347/405753/27035/6376/4023/6374/5320/136/406938/7850/3553/4283/8399/348/301/653361/8530/3098/4363/7474/6375/3956/56477/7076/4069/7124/133/4843/81030/2/199/5788/4818/63940/6352/5724/7305/4314/1536/3827/1776/7852/958/64116/3557/3627/6351/57118/2113/145741/6280/3001/727/51561/80833/201294/2048/79651/8809/2683/406934/4853/5919/64332/2194/3091/3965/9240/838/65266/8767/3694/2177/10800/29800/1535/80149/10312/3133/118788/1291/4345/8870/9258/929/975/23780/4067/241/84632/1326/101/3717/3428/26524/90/10628/9424/330/2152/11074/9415/1191/7128/7037/1075/351/3429/26191/9021/4282/5547/10551/8877/834/22904/7040/196/2633/8876/3339/3566/25807/960/1435/9759/3656/11274/56998/9870/8061/712/55655/10658/27347/3164/57724/2137/1956/22900/604/445/27342/29102/1235/27040/388125/9655/84630/5734/80709/132014/3689/836/4851/7301/10758/2678/3818/79792/27086/3148/153090/1969/6737/8792/4790/2833/55331/10848/79671/4035/5359/5606","BP","Up",1
