"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04940","Type I diabetes mellitus",19,0.947143677025956,2.34152813822837,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=74%, list=3%, signal=72%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",16,0.953884002079553,2.30290467160637,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=88%, list=3%, signal=85%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",16,0.953884002079553,2.30290467160637,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=88%, list=3%, signal=85%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",15,0.966732657876203,2.29220114453588,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=93%, list=3%, signal=91%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05310","Asthma",10,0.969652241432299,2.10660136683348,2.8867096868931e-09,1.95141574833974e-07,1.5557845891466e-07,149,"tags=90%, list=1%, signal=89%","3115/3113/3127/3109/3108/3117/3122/3123/3119","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05168","Herpes simplex virus 1 infection",128,0.616081332604922,2.1791363363991,4.50122506868656e-09,2.53569012202676e-07,2.02160283786624e-07,811,"tags=25%, list=8%, signal=23%","3115/3113/684/3127/3109/3108/3117/3122/3123/972/3119/567/6347/8503/6772/3133/3106/3134/6890/3107/4938/3105/10379/4940/6773/3665/9021/330/6892/3717/7098/842","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05323","Rheumatoid arthritis",42,0.787860717329744,2.35268197564112,5.44549692884648e-09,2.62939708850016e-07,2.09631159967624e-07,692,"tags=43%, list=7%, signal=40%","3115/3113/3127/10673/3109/4312/3108/3117/3122/3123/3119/6347/54/6374/6364/3606/3600/2919","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",41,0.784652564832916,2.33305018347641,1.43771350015146e-08,6.07433953813991e-07,4.84282442156281e-07,556,"tags=39%, list=6%, signal=37%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105/2534/1604","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",19,0.90259237271013,2.23138842534147,1.86476623004491e-08,7.00323317505754e-07,5.58339362446195e-07,609,"tags=68%, list=6%, signal=64%","3115/3113/3127/10673/3109/3108/3117/3122/3123/3119/56477/3600/5284","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",20,0.882096550211551,2.24733307831297,3.19791261173613e-08,1.08089446276681e-06,8.61753293267841e-07,226,"tags=50%, list=2%, signal=49%","3115/3113/3127/3109/3108/3117/3122/3123/3119/717","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04612","Antigen processing and presentation",47,0.754556160897707,2.32802050053157,5.22283957127606e-08,1.60483615917392e-06,1.27947074664753e-06,942,"tags=49%, list=9%, signal=45%","3115/3113/3127/3109/3108/3117/3122/3123/972/3119/567/3133/3106/3134/6890/3107/3105/1520/4261/5721/6892/5993/5720","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05321","Inflammatory bowel disease",24,0.84012789712949,2.22531933627805,1.07824342148477e-07,3.03705230384877e-06,2.4213185605272e-06,443,"tags=50%, list=4%, signal=48%","3115/3113/3127/3109/3108/3117/3122/3123/3119/6772/4094/3606","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04514","Cell adhesion molecules",49,0.727047697786713,2.24409126137218,4.027812084459e-07,1.04723114195934e-05,8.3491489362065e-06,501,"tags=39%, list=5%, signal=37%","51208/3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/23705/3134/3107/3105/214/9069/9076","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05164","Influenza A",120,0.582939496755054,2.04470216489499,5.87184075047409e-07,1.41763012404303e-05,1.13021897151983e-05,1850,"tags=41%, list=18%, signal=34%","3115/3113/3127/3627/3109/3108/3117/3122/3123/3119/6347/8503/6772/5644/4938/10379/3606/7177/4940/4261/6773/3665/9021/4599/3717/7098/842/5371/4600/896/5595/5579/3455/103/3838/6041/8743/5604/3716/292/3337/578/60/7113/834/8797/54205/5646/5970","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
