"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001816","cytokine production",404,0.536552024830587,1.87736864267661,1e-10,2.0495652173913e-08,1.70205949656751e-08,1538,"tags=32%, list=17%, signal=28%","3620/28951/301/6376/5724/3115/4843/5552/2626/136/7305/3113/4057/684/3553/924/199/91543/6288/7099/29126/23236/27035/3135/57045/63940/2633/8877/4067/958/55959/3134/338557/10865/9636/4282/6772/3428/4050/972/7128/3091/51564/55612/3106/3717/834/54/283234/2867/5371/1445/3133/114769/567/3105/10384/4940/3685/604/3694/7098/8767/11118/29923/1535/1604/11148/6398/55666/8399/4602/3659/57162/3077/4939/861/25987/28984/5621/80149/161882/929/6284/2048/10972/10855/6737/9308/3459/4192/8692/55353/11119/79792/5187/113277/10385/8986/3123/3394/55122/2137/23765/9978/4088/3838/23646/682/7494/2146/1139/3606/9641/23326/1958/79594/27020/2152/63906/2950/83786/6647/3162/5325/8314/11035/351/9516/1992","BP","Up",2
"GO:0001817","regulation of cytokine production",401,0.535769133506273,1.87414842042364,1e-10,2.0495652173913e-08,1.70205949656751e-08,1538,"tags=32%, list=17%, signal=28%","3620/28951/301/6376/5724/3115/4843/5552/2626/136/7305/3113/4057/684/3553/924/199/91543/6288/7099/29126/23236/27035/3135/57045/63940/2633/8877/4067/958/55959/3134/338557/10865/9636/4282/6772/3428/4050/972/7128/3091/51564/55612/3106/3717/834/54/283234/2867/5371/1445/3133/114769/567/3105/10384/4940/604/7098/8767/11118/29923/1535/1604/11148/6398/55666/8399/4602/3659/57162/3077/4939/861/25987/28984/5621/80149/161882/929/6284/2048/10972/10855/6737/9308/3459/4192/8692/55353/11119/79792/5187/113277/10385/8986/3123/3394/55122/2137/23765/9978/4088/3838/23646/682/7494/2146/1139/3606/9641/23326/1958/79594/27020/2152/63906/2950/83786/6647/3162/5325/8314/11035/351/9516/1992","BP","Up",2
"GO:0001819","positive regulation of cytokine production",242,0.58742755993541,2.01898653139586,1.50950717539995e-10,2.73685262493668e-08,2.27281667421555e-08,1458,"tags=34%, list=16%, signal=30%","3620/301/6376/5724/3115/4843/2626/136/7305/3113/3553/924/199/91543/6288/7099/29126/23236/27035/3135/63940/8877/958/55959/3134/10865/9636/4282/6772/3428/4050/972/3091/55612/3717/834/283234/2867/3133/567/3105/4940/7098/8767/11118/29923/1535/1604/11148/6398/4602/3659/57162/4939/861/28984/161882/929/6284/2048/10972/10855/9308/3459/4192/8692/11119/79792/113277/3394/55122/23765/4088/3838/682/7494/3606/9641/23326/1958/2152/83786/6647","BP","Up",2
"GO:0001891","phagocytic cup",14,0.84225395629171,1.93515013880073,0.000244214606463237,0.0053998562984649,0.00481764486824163,527,"tags=36%, list=6%, signal=34%","301/11031/199/7099/11151","CC","Up",7
"GO:0001906","cell killing",96,0.693658715693827,2.22036067422124,4.13429282641596e-09,4.4293309963011e-07,3.67833373718683e-07,631,"tags=39%, list=7%, signal=36%","4069/3383/10870/4283/4843/3627/7305/4057/8542/3820/2919/6373/5272/6364/201294/3135/2920/5320/2633/3134/6338/2921/9547/2634/3122/3106/966/3133/56477/567/3105/11151/1604/3107/6370/2635/1075","BP","Up",1
"GO:0002250","adaptive immune response",200,0.666936864424752,2.26705076045693,1e-10,2.0495652173913e-08,1.70205949656751e-08,1205,"tags=40%, list=13%, signal=35%","3383/301/3426/3115/10673/3113/716/717/3553/924/3956/3117/725/915/91543/7099/201294/29126/9021/3119/3135/1235/969/4067/958/1520/6890/3134/3108/10865/10312/3109/972/7128/3122/3106/3717/1445/3133/567/3105/10384/196/604/8792/8767/639/11118/1604/3127/3107/64332/6398/3659/1075/10459/430/3077/80149/214/7374/11221/2048/733/2185/64167/127544/56940/5585/11119/6776/121260/51279/3123/23075/8284/55122/23765/10411","BP","Up",2
"GO:0002252","immune effector process",306,0.589687513623116,2.0477730268091,1e-10,2.0495652173913e-08,1.70205949656751e-08,1151,"tags=31%, list=12%, signal=28%","3383/301/653361/10870/3426/5724/4843/136/7305/716/717/3820/684/3553/924/5272/2/3956/725/5225/629/91543/7099/201294/29126/9021/3135/1235/969/11005/4067/10875/958/3134/6338/5880/10865/6280/4282/10312/3109/972/3122/3106/966/54/51237/2867/3133/567/3105/10384/196/604/354/7098/8767/11151/11118/1604/3107/64332/6398/4602/1075/4035/10459/430/3077/55601/28984/6812/80149/161882/2896/7374/11221/6284/2048/733/2185/6461/127544/4192/613/56940/5585/6776/121260/51279/3123/23075/538/3394/8284","BP","Up",2
"GO:0002443","leukocyte mediated immunity",177,0.627752977717281,2.11609452113814,1e-10,2.0495652173913e-08,1.70205949656751e-08,1151,"tags=33%, list=12%, signal=30%","3383/10870/3426/5724/4843/136/7305/716/717/3820/684/3553/924/5272/725/91543/7099/201294/29126/3135/1235/4067/958/3134/6338/5880/10865/10312/972/3122/3106/3133/567/3105/10384/196/604/7098/11151/11118/1604/3107/64332/6398/1075/10459/3077/6812/7374/6284/733/127544/613/56940/121260/51279/3123/23075/8284","BP","Up",2
"GO:0002449","lymphocyte mediated immunity",135,0.64138000913902,2.12469931224187,4.45730758051747e-09,4.56777129012159e-07,3.79330134827104e-07,1151,"tags=34%, list=12%, signal=30%","3383/10870/3426/716/717/3820/3553/924/5272/725/91543/201294/29126/3135/1235/958/3134/10865/10312/972/3122/3106/3133/567/3105/10384/196/604/11151/11118/1604/3107/64332/6398/1075/10459/3077/7374/733/127544/56940/121260/51279/3123/23075/8284","BP","Up",2
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",148,0.669462457922314,2.23233751145535,1e-10,2.0495652173913e-08,1.70205949656751e-08,1171,"tags=38%, list=13%, signal=34%","3383/301/3426/10673/716/717/3553/924/3956/725/91543/7099/201294/29126/9021/3135/1235/969/958/3134/10865/10312/972/7128/3122/3106/3717/3133/567/3105/10384/196/604/8767/11118/1604/3107/64332/6398/1075/10459/430/3077/80149/7374/2048/733/56940/5585/6776/121260/51279/3123/23075/8284/23765","BP","Up",2
"GO:0002694","regulation of leukocyte activation",291,0.573419487235449,1.98405818603166,1e-10,2.0495652173913e-08,1.70205949656751e-08,1127,"tags=32%, list=12%, signal=29%","3620/301/6376/3115/10673/7305/3113/8876/3553/3956/3117/199/7099/29126/6352/3119/3135/57045/969/51293/1326/11005/5320/8877/4067/10875/958/6469/3108/5880/4282/6659/3109/7301/972/7128/3122/3485/3717/51237/283234/1445/3133/567/3105/196/604/8767/639/11151/1604/3127/64332/11148/8399/3659/1075/10459/57162/3601/30011/430/3077/861/1960/92196/8660/5621/80149/4323/677/2896/11221/2048/9231/5530/6461/64410/9308/4192/6541/8289/56940/5585/2319/10385/596/6776/121260/7048/3280/3123/5573","BP","Up",2
"GO:0002696","positive regulation of leukocyte activation",188,0.610492580554422,2.0637057845045,6.2887773276812e-10,8.71920480079093e-08,7.24085538131467e-08,1122,"tags=34%, list=12%, signal=31%","301/3115/10673/7305/3113/8876/3553/3956/3117/199/7099/29126/6352/3119/3135/51293/1326/4067/958/6469/3108/4282/6659/3109/972/3122/3485/3717/283234/1445/3133/567/3105/604/8767/11151/1604/3127/64332/11148/1075/10459/57162/3601/30011/861/1960/8660/4323/11221/2048/5530/6461/64410/9308/4192/6541/8289/2319/10385/596/7048/3280/3123","BP","Up",2
"GO:0002697","regulation of immune effector process",183,0.648485424299359,2.18974963843033,1e-10,2.0495652173913e-08,1.70205949656751e-08,1122,"tags=37%, list=12%, signal=33%","3383/301/653361/5724/4843/136/7305/3820/684/3553/924/5272/2/3956/725/5225/91543/7099/201294/29126/3135/969/11005/4067/10875/958/3134/5880/10865/6280/4282/3109/972/3122/3106/966/54/51237/2867/3133/567/3105/196/604/354/7098/8767/1604/3107/64332/6398/10459/430/3077/55601/6812/80149/2896/11221/2048/6461/613/56940/5585/6776/121260/3123","BP","Up",2
"GO:0002703","regulation of leukocyte mediated immunity",107,0.680422772827727,2.1951869098707,1.46865087010464e-09,1.77518466709572e-07,1.47420042804836e-07,736,"tags=32%, list=8%, signal=30%","3383/5724/4843/136/7305/3820/684/3553/924/5272/725/91543/7099/201294/29126/3135/4067/958/3134/5880/10865/3122/3106/3133/567/3105/196/604/7098/1604/3107/6398/10459/3077","BP","Up",2
"GO:0002819","regulation of adaptive immune response",100,0.680789253783764,2.18060089659654,3.09551378585704e-09,3.39354697361164e-07,2.81816787505565e-07,1166,"tags=40%, list=13%, signal=35%","301/10673/3553/924/3956/725/91543/29126/3135/969/958/3134/10865/7128/3122/3106/3717/3133/567/3105/196/604/8767/1604/3107/64332/6398/3659/10459/430/3077/80149/11221/2048/56940/5585/6776/121260/3123/55122","BP","Up",2
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",90,0.690715320165512,2.19506301077486,1.05308214509512e-08,1.05621898552732e-06,8.77136057695128e-07,1122,"tags=41%, list=12%, signal=36%","301/10673/3553/924/3956/725/91543/29126/3135/969/958/3134/10865/7128/3122/3106/3717/3133/567/3105/196/604/8767/1604/3107/64332/6398/10459/430/3077/80149/2048/56940/5585/6776/121260/3123","BP","Up",2
"GO:0003823","antigen binding",29,0.779792568989422,2.01956442000331,3.37782713843363e-05,0.00184466893171125,0.0017343463318975,563,"tags=66%, list=6%, signal=62%","3115/3113/3117/3119/3135/958/6890/3134/3108/3109/3122/3106/6892/3133/567/3105/1718/3127/3107","MF","Up",5
"GO:0004175","endopeptidase activity",188,0.534456703475908,1.78886417040788,8.57134045255419e-06,0.000526601729053798,0.000495107691930433,850,"tags=21%, list=9%, signal=20%","5655/3426/11012/43849/5644/716/4057/717/55554/64063/5225/4312/629/54933/22802/255738/838/27299/64699/5651/25825/1520/6469/1510/834/147968/79056/8754/114769/5698/354/23621/1075/8751/843/1508/5638/7113/5696/4323","MF","Up",11
"GO:0004252","serine-type endopeptidase activity",65,0.727314421847549,2.15958367015445,5.57745371899517e-08,2.95410007711747e-05,2.77742663994125e-05,850,"tags=35%, list=9%, signal=32%","5655/3426/11012/43849/5644/716/4057/717/55554/64063/4312/629/54933/255738/64699/5651/1520/79056/354/1075/5638/7113/4323","MF","Up",11
"GO:0004857","enzyme inhibitor activity",211,0.474598098859222,1.60143242720214,0.000377687459858296,0.0137506212237298,0.0129282491132781,1138,"tags=20%, list=12%, signal=18%","28951/10406/301/54997/4057/6691/684/6447/6590/5272/2/7076/5266/9232/9021/11005/6690/5268/332/5265/2634/3485/27290/114769/83666/25913/1475/151636/1032/5918/84687/132864/5621/334/56882/274/51657/26271/8692/56940/11142/5573/10253","MF","Up",12
"GO:0004866","endopeptidase inhibitor activity",53,0.727361346800505,2.08879043387382,1.99516521858653e-06,0.000196124740987056,0.000184395269675681,841,"tags=42%, list=9%, signal=38%","10406/4057/6691/684/6590/5272/2/7076/5266/9232/11005/6690/5268/332/5265/2634/27290/114769/1475/5918/5621/334","MF","Up",12
"GO:0004867","serine-type endopeptidase inhibitor activity",26,0.777844141350061,1.9736757061788,3.74777416360025e-05,0.00193898000148371,0.00182301701697564,449,"tags=42%, list=5%, signal=40%","10406/6691/6590/5272/2/5266/11005/6690/5268/5265/27290","MF","Up",12
"GO:0004888","transmembrane signaling receptor activity",193,0.500737785034347,1.67775672297687,0.000119468514238936,0.00533807043167608,0.005018820837406,1436,"tags=38%, list=15%, signal=33%","3383/5724/2906/136/3113/3820/924/3117/915/7852/7099/2022/10507/53832/3119/1235/969/94/8877/5284/7976/19/338557/5787/9052/7301/1902/972/5157/222643/3122/2043/2867/90/2049/8792/7098/1138/27077/10161/2562/3601/5801/57085/2050/4052/55334/2859/3673/5732/9725/929/2048/960/624/3459/5793/8797/2564/7048/3123/23765/4486/2041/1945/55558/3482/1139/4233/118429/355/2152/3140","MF","Up",13
"GO:0005125","cytokine activity",49,0.734900234144285,2.08860127339382,2.50762336090275e-06,0.000224090342160673,0.000210688355107427,599,"tags=39%, list=6%, signal=36%","10637/6376/4283/3557/10673/3627/6351/3553/6373/7076/6352/4282/2921/9547/4050/51192/56477/6398/6370","MF","Up",1
