"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04940","Type I diabetes mellitus",19,0.947143677025956,2.34152813822837,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=74%, list=3%, signal=72%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",16,0.953884002079553,2.30290467160637,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=88%, list=3%, signal=85%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",16,0.953884002079553,2.30290467160637,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=88%, list=3%, signal=85%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",15,0.966732657876203,2.29220114453588,1e-10,8.45e-09,6.73684210526316e-09,306,"tags=93%, list=3%, signal=91%","3115/3113/3127/3109/3108/3117/3122/3123/3119/3133/3106/3134/3107/3105","Up","Epithelial_Cycling_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",41,0.831797201075302,2.36016082660498,1e-10,8.4e-09,6.86842105263158e-09,436,"tags=41%, list=5%, signal=40%","3113/3115/3109/3127/3123/3122/3108/3383/2534/3134/3119/3107/3106/958/3133/3105/8082","Up","Goblet_cells_MUC2_TFF1-","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",18,0.934308454974818,2.26237033673399,1e-10,8.4e-09,6.86842105263158e-09,395,"tags=78%, list=4%, signal=75%","3113/3115/3109/3127/3123/3122/3108/1363/3134/3119/3107/3106/3133/3105","Up","Goblet_cells_MUC2_TFF1-","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",15,0.952040118215002,2.23615156746657,1e-10,8.4e-09,6.86842105263158e-09,395,"tags=93%, list=4%, signal=90%","3113/3115/3109/3127/3123/3122/3108/3134/3119/3107/3106/958/3133/3105","Up","Goblet_cells_MUC2_TFF1-","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",15,0.952040118215002,2.23615156746657,1e-10,8.4e-09,6.86842105263158e-09,395,"tags=93%, list=4%, signal=90%","3113/3115/3109/3127/3123/3122/3108/3134/3119/3107/3106/958/3133/3105","Up","Goblet_cells_MUC2_TFF1-","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05323","Rheumatoid arthritis",46,0.83734892447049,2.37814488789612,1e-10,3.36e-08,2.81052631578947e-08,629,"tags=50%, list=7%, signal=47%","3383/3115/10673/3113/3553/2919/3117/4312/7099/6364/6352/3119/2920/3108/2921/10312/3109/4050/3122/54/8792/3127/526","Up","Goblet_cells_MUC2_TFF1","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",17,0.952105059639034,2.26212368555861,1e-10,9.07345351943904e-09,7.44122975199871e-09,411,"tags=94%, list=4%, signal=90%","3115/3113/3118/3127/3117/3122/3109/3108/3123/3119/3134/3106/3133/3107/3105/958","Up","Stem_cells_OLFM4_LGR5","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",17,0.952105059639034,2.26212368555861,1e-10,9.07345351943904e-09,7.44122975199871e-09,411,"tags=94%, list=4%, signal=90%","3115/3113/3118/3127/3117/3122/3109/3108/3123/3119/3134/3106/3133/3107/3105/958","Up","Stem_cells_OLFM4_LGR5","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",19,0.932688169257929,2.24860161751956,1e-10,9.07345351943904e-09,7.44122975199871e-09,441,"tags=79%, list=4%, signal=76%","3115/3113/10673/3118/3127/3117/3122/3109/3108/3123/3119/56477/5284/958/7852","Up","Stem_cells_OLFM4_LGR5","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",14,0.968104435198638,2.48099170323643,1e-10,1.38815888091183e-08,1.12129863492321e-08,263,"tags=93%, list=3%, signal=90%","3113/3115/3127/3108/3122/3109/3123/3119/3134/3106/3133/3107/3105","Up","Stem_cells_OLFM4_PCNA","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",16,0.952926215927551,2.24066456596703,1.0833974351569e-10,9.07345351943904e-09,7.44122975199871e-09,400,"tags=94%, list=4%, signal=90%","3115/3113/3118/3127/3117/3122/3109/3108/3123/3119/3134/3106/3133/3107/3105","Up","Stem_cells_OLFM4_LGR5","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
