"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa03320","PPAR signaling pathway",21,-0.803682916830183,-2.22120865236891,4.33124942059927e-07,0.000110446860225281,0.00010121446014453,164,"tags=38%, list=6%, signal=36%","123/3158/5105/30/2172/2169/335/345","Down","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04979","Cholesterol metabolism",15,-0.864478253371193,-2.20713741896182,8.8681709540393e-07,0.000113069179664001,0.000103617576410354,24,"tags=33%, list=1%, signal=33%","27141/337/335/338/345","Down","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04612","Antigen processing and presentation",26,0.803412424830226,2.24396204783783,3.74713132141225e-06,0.000318506162320042,0.000291881808194218,233,"tags=54%, list=8%, signal=50%","3115/3113/1520/3106/3134/3122/567/3133/3107/972/5721/5720/6892/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",19,0.813172602340823,2.16962819525642,4.85751205949159e-05,0.00309666393792589,0.00283780967686087,233,"tags=42%, list=8%, signal=39%","3115/3113/3106/3134/3122/3133/3107/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05168","Herpes simplex virus 1 infection",43,0.649921849317924,2.04631508850717,8.41017279989878e-05,0.00428918812794838,0.00393064918226848,233,"tags=30%, list=8%, signal=28%","3115/3113/6772/3106/3134/3122/567/3133/3107/972/6892/5499/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",10,0.891039853333779,2.03971760874074,0.000180818578680398,0.00576359219543768,0.00528180585092741,233,"tags=80%, list=8%, signal=74%","3115/3113/3106/3134/3122/3133/3107/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",10,0.891039853333779,2.03971760874074,0.000180818578680398,0.00576359219543768,0.00528180585092741,233,"tags=80%, list=8%, signal=74%","3115/3113/3106/3134/3122/3133/3107/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",10,0.891039853333779,2.03971760874074,0.000180818578680398,0.00576359219543768,0.00528180585092741,233,"tags=80%, list=8%, signal=74%","3115/3113/3106/3134/3122/3133/3107/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",14,0.828062507429124,2.06441467682996,0.000250246129325676,0.0063840005997986,0.0058503534908371,233,"tags=57%, list=8%, signal=53%","3115/3113/3106/3134/3122/3133/3107/3105","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04145","Phagosome",48,0.640043639704322,2.03358735996346,0.000250352964697984,0.0063840005997986,0.0058503534908371,359,"tags=40%, list=13%, signal=35%","3115/3113/1520/3106/3134/1535/3122/3133/3107/537/3105/529/1781/4074/8992/7879/23480/3916/7037","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04080","Neuroactive ligand-receptor interaction",22,0.730341953065921,2.01932060597747,0.00049275756219557,0.0114230162145337,0.0104681510820494,31,"tags=23%, list=1%, signal=23%","2695/51738/4295/10022/5539","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05169","Epstein-Barr virus infection",60,0.573821118509318,1.90018922705693,0.000860029305634531,0.0182756227447338,0.0167479391097251,314,"tags=33%, list=11%, signal=30%","3115/3113/6772/7431/3106/3134/3122/567/3133/3107/9636/7128/5710/6892/960/894/3105/10213/51426/3280","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04151","PI3K-Akt signaling pathway",64,-0.48603932596338,-1.71427881165525,0.00155111017477972,0.0294990749657378,0.0270332080181374,456,"tags=33%, list=16%, signal=28%","5605/54541/3320/1942/11140/5525/5515/2885/3914/5154/468/3326/5516/5586/5728/5105/7057/2786/84699/23035/7448","Down","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04081","Hormone signaling",30,0.652397451896404,1.90710222498711,0.00161955705694247,0.0294990749657378,0.0270332080181374,4,"tags=10%, list=0%, signal=10%","2695/51738/4295","Up","L_cells","EPI","Ileum","ActiveCD_vs_Control","dataset_02"
