"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000139","Golgi membrane",473,0.373528284936599,1.55268264139553,0.000620443756960007,0.0201154396993349,0.0185961259011282,1856,"tags=29%, list=19%, signal=24%","192134/3113/3115/3119/79888/26290/972/1604/3117/6513/3133/64285/115361/5768/25849/3106/56937/3134/3122/442117/84766/3105/6480/3123/3107/2907/64841/84885/54732/3601/11237/9619/2683/11226/55974/29801/283987/253012/23423/11322/2633/567/9245/26286/5909/64746/55738/84572/10678/11285/10331/9367/347734/54480/81622/2013/966/2802/6892/113829/9746/55331/2634/55343/55858/757/533/63971/2524/5045/169714/130340/8705/90522/29940/1718/6720/3838/8704/9516/22883/113419/3382/2475/6483/2525/3127/23085/51201/7098/57414/10652/1785/55808/10488/9914/2590/8692/27095/201475/11235/28988/8943/8703/26229/22818/9334/6811/79585/9394/79586/8459/142891/9159/80142/64084/51463/4245/259230/8693/91252/126792/55080/5664/9727/56913/55568/6836/23545/10559/56928/11311/23162/11227/7355","CC","Up",10
"GO:0001816","cytokine production",400,0.493426061749001,2.0133088661366,4.94499903996629e-09,1.1293435902704e-06,9.95940157523035e-07,1512,"tags=29%, list=15%, signal=26%","684/6288/3553/4843/3113/3115/4939/5552/4023/10365/1958/199/80149/972/1604/7305/3133/6772/3635/3106/2597/3659/958/3134/4321/9636/5450/4067/10384/3105/7805/1670/3123/654346/8399/100133941/4940/5187/55959/4192/2626/3098/10392/7133/8986/4860/2152/27242/11119/1969/11118/136/2633/567/6774/3965/5371/3091/284194/283234/54/7481/51564/56848/2048/81622/1535/3654/604/56919/975/25865/5142/10626/861/6737/54739/6992/3394/6647/1051/63906/5045/23513/9641/26191/5802/11120/1540/3838/55655/2950/9516/89870/7494/80381/5606/201292/5987/240/3600/602/23765/7098/3315/55666/8692/114769/1660/961/706/3661/80772/150/3694/54476/3077","BP","Up",1
"GO:0001817","regulation of cytokine production",397,0.49581735018179,2.02099594243925,2.29841791202621e-09,5.97833442045863e-07,5.27214514319011e-07,1261,"tags=26%, list=13%, signal=24%","684/6288/3553/4843/3113/3115/4939/5552/4023/10365/1958/199/80149/972/1604/7305/3133/6772/3635/3106/2597/3659/958/3134/4321/9636/5450/4067/10384/3105/7805/1670/3123/654346/8399/100133941/4940/5187/55959/4192/2626/3098/10392/7133/8986/4860/2152/27242/11119/1969/11118/136/2633/567/6774/3965/5371/3091/284194/283234/54/7481/51564/56848/2048/81622/1535/3654/604/56919/975/25865/5142/10626/861/6737/54739/6992/3394/6647/1051/63906/5045/23513/9641/26191/5802/11120/1540/3838/55655/2950/9516/89870/7494/80381/5606/201292/5987/240/3600/602/23765/7098","BP","Up",1
"GO:0001819","positive regulation of cytokine production",241,0.538079380566306,2.09049261194162,1.30461113200745e-07,1.84026911444345e-05,1.62288777969224e-05,1284,"tags=29%, list=13%, signal=26%","6288/3553/4843/3113/3115/4939/4023/1958/199/972/1604/7305/3133/6772/2597/3659/958/3134/4321/9636/5450/3105/7805/1670/4940/55959/4192/2626/3098/10392/4860/2152/11119/11118/136/567/6774/3965/3091/283234/7481/56848/2048/81622/1535/3654/56919/975/25865/5142/10626/861/3394/6647/1051/23513/9641/26191/3838/55655/89870/7494/80381/201292/5987/3600/602/23765/7098/3315","BP","Up",1
"GO:0002250","adaptive immune response",218,0.696543222730735,2.68078028254408,1e-10,3.68923076923077e-08,3.25344129554656e-08,744,"tags=32%, list=8%, signal=30%","3501/3502/3503/3514/3538/3500/3553/3494/3493/3113/713/3115/3512/3539/9021/715/3119/3507/10673/80149/972/201294/3426/1604/3117/28908/717/712/3133/725/714/3635/8741/3106/3108/10068/64332/3659/958/3134/3122/563/84766/4067/10384/5873/3109/3105/10312/3123/3107/6890/7133/27242/11119/11118/567/6774/5909/64167/6776/2048/81622/2013/604/975/25865/8631/2923/100507436","BP","Up",1
"GO:0002252","immune effector process",302,0.631906402691235,2.51214870450455,1e-10,3.68923076923077e-08,3.25344129554656e-08,689,"tags=24%, list=7%, signal=23%","5225/3501/3502/3503/3514/684/3538/3500/3553/3494/4843/3493/713/3539/9021/715/6280/80149/972/201294/3426/1604/717/7305/712/3133/725/714/3635/8741/3106/1675/64332/958/3134/3122/563/84766/5450/4067/10384/5873/3109/629/3105/7805/10312/3123/3107/4192/3098/10392/7133/11118/10383/136/567/6774/3965/3936/54/6776/55601/56848/2048/81622/2013/966/604/7001/22904/975","BP","Up",1
"GO:0002253","activation of immune response",339,0.546704649523525,2.18968992109979,1e-10,3.68923076923077e-08,3.25344129554656e-08,1142,"tags=23%, list=12%, signal=21%","3501/3502/3503/3514/3500/6279/3553/3494/4843/3493/713/3115/3539/715/3119/92747/3507/6280/80149/3426/1604/717/7305/712/3783/725/714/3635/330/1675/64332/3659/9424/4067/10384/629/3105/7805/3123/84885/4940/92610/10392/27242/11119/57169/11118/2633/11074/55601/81622/1535/3654/966/56919/975/25865/8631/5142/5581/81559/2634/63906/1520/3430/51279/9641/26191/5802/11120/7409/54542/1540/89870/6461/57787/80381/4669","BP","Up",1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",180,0.581642476975772,2.20160536741519,1.95118915629792e-07,2.39946235733457e-05,2.11602645884077e-05,1142,"tags=24%, list=12%, signal=22%","3501/3502/3503/3514/3500/3494/4843/3493/3115/3539/3119/92747/3507/80149/7305/3783/3635/64332/4067/10384/3105/7805/3123/27242/11119/11118/2633/1535/3654/975/25865/8631/5142/5581/3430/26191/11120/7409/54542/1540/6461/80381/4669","BP","Up",1
"GO:0002443","leukocyte mediated immunity",185,0.682353605411104,2.58519318839745,1e-10,3.68923076923077e-08,3.25344129554656e-08,744,"tags=28%, list=8%, signal=26%","3501/3502/3503/3514/684/3538/3500/3553/3494/4843/3493/713/3539/715/972/201294/3426/1604/717/7305/712/3133/725/714/3635/8741/3106/64332/958/3134/3122/563/4067/10384/5873/3105/10312/3123/3107/7133/11118/10383/136/567/3965/56848/81622/2013/604/975/5880/100507436","BP","Up",1
"GO:0002449","lymphocyte mediated immunity",144,0.721060239868669,2.66099634582551,1e-10,3.68923076923077e-08,3.25344129554656e-08,689,"tags=31%, list=7%, signal=29%","3501/3502/3503/3514/3538/3500/3553/3494/3493/713/3539/715/972/201294/3426/1604/717/712/3133/725/714/3635/8741/3106/64332/958/3134/3122/563/10384/5873/3105/10312/3123/3107/7133/11118/10383/567/3965/81622/2013/604/975","BP","Up",1
