"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001816","cytokine production",401,0.46761261300462,2.03518100249212,1e-10,2.29380952380952e-08,2.0922305764411e-08,1120,"tags=23%, list=11%, signal=21%","6288/4843/684/100133941/4023/654346/3113/3115/8399/284194/2867/55959/10384/2048/958/1604/3091/114769/3965/80149/2597/1958/3659/3133/1191/1535/6772/3134/7474/4602/3106/4067/3098/5450/10626/3635/6774/975/2633/11119/11120/11118/5734/3394/3077/3148/10392/2950/240/972/9516/54739/3105/161882/283234/4345/8986/1051/3265/9641/55353/9655/4940/5371/3694/79671/708/7305/1445/55655/57162/834/861/706/245937/25865/1969/79004/5802/3566/3315/55366/57447/6647/4192/10461/2626/84878/3685/125931/10564/567","BP","Up",1
"GO:0001817","regulation of cytokine production",398,0.465679846190807,2.02553714126054,1e-10,2.29380952380952e-08,2.0922305764411e-08,1002,"tags=21%, list=10%, signal=20%","6288/4843/684/100133941/4023/654346/3113/3115/8399/284194/2867/55959/10384/2048/958/1604/3091/114769/3965/80149/2597/1958/3659/3133/1191/1535/6772/3134/7474/4602/3106/4067/3098/5450/10626/3635/6774/975/2633/11119/11120/11118/5734/3394/3077/3148/10392/2950/240/972/9516/54739/3105/161882/283234/4345/8986/1051/3265/9641/55353/9655/4940/5371/79671/708/7305/1445/55655/57162/834/861/706/245937/25865/1969/79004/5802/3566/3315/55366/57447/6647/4192/10461","BP","Up",1
"GO:0001819","positive regulation of cytokine production",240,0.484750354156094,1.99484154942142,8.37434977383173e-08,9.38121926989475e-06,8.55680194760676e-06,774,"tags=20%, list=8%, signal=19%","6288/4843/4023/3113/3115/2867/55959/2048/958/1604/3091/3965/2597/1958/3659/3133/1191/1535/6772/3134/7474/4602/3098/5450/10626/6774/975/11119/11118/5734/3394/3148/10392/972/3105/161882/283234/4345/1051/3265/9641/4940/7305/55655/57162/834/861/245937","BP","Up",1
"GO:0005126","cytokine receptor binding",91,0.545426400994998,1.95826853570569,0.00016380288119196,0.0332847454582064,0.0323812432503686,478,"tags=13%, list=5%, signal=13%","6374/6364/9021/116844/10673/3557/56477/8741/6772/7205/6370/637","MF","Up",2
"GO:0007159","leukocyte cell-cell adhesion",208,0.541392656550577,2.18403648792105,3.13237636305668e-09,5.20298515201518e-07,4.7457491613062e-07,1780,"tags=38%, list=18%, signal=32%","6279/6280/5320/100133941/116844/654346/3113/3115/10673/284194/56477/64332/1604/3119/3965/80149/3485/3117/960/8876/3127/3659/3133/10875/4067/2113/64410/975/6370/445/3077/240/1948/972/3108/3105/6776/283234/1051/9655/1445/57162/861/441478/6541/7001/3566/2650/4192/1029/9306/55626/567/10507/6597/4860/7805/54542/26191/5880/29108/6659/10725/7048/3654/3600/1540/961/5970/8379/6046/2131/7037/6461/9231/5074/3717/8654/7704/6598","BP","Up",1
"GO:0008284","positive regulation of cell population proliferation",450,0.411916698348251,1.82100016165272,6.493505476213e-08,7.62907704363854e-06,6.95863719068372e-06,872,"tags=17%, list=9%, signal=17%","6374/684/4609/7076/100133941/133/116844/5967/3113/3115/94/10673/5968/994/2013/2048/958/1604/8741/2833/3091/3965/1871/3485/1958/3133/4830/894/6772/7474/6690/10312/4602/4067/65108/3912/1646/595/4680/6662/6774/975/4486/467/4916/9055/3148/1948/972/8854/84275/26051/3105/6776/5068/283234/4953/3265/2869/11138/8829/2081/5371/51316/3673/3667/57162/706/441478/55331/10135/2683/51548/2241/6541/25865/4217/538","BP","Up",1
"GO:0022407","regulation of cell-cell adhesion",255,0.477370966689007,1.97047913824981,1.52119257329294e-07,1.52658013032335e-05,1.39242495634314e-05,1780,"tags=34%, list=18%, signal=29%","5320/100133941/654346/3113/3115/10673/284194/3557/56477/5329/64332/1604/3119/3965/80149/3485/3117/960/8876/3127/3659/3133/10875/7474/4067/2113/4680/64410/975/2525/6370/445/3077/240/1948/972/3108/3105/6776/283234/1051/9655/3169/91663/1445/57162/51201/861/441478/6541/7001/3566/2650/4192/5578/1029/9306/5747/55626/567/6597/4651/4860/7805/54542/26191/29108/6659/10725/7048/3654/3600/1540/961/10019/5970/8379/6046/7037/6461/9231/5074/3717/84959/8654/7704/6598","BP","Up",1
"GO:0034341","response to type II interferon",82,0.687288031434813,2.40007391601986,1.35457655452378e-09,2.41666491227447e-07,2.20428948872603e-07,504,"tags=30%, list=5%, signal=29%","4843/684/8519/10581/3113/10410/115361/84166/958/3965/7431/2597/3659/6772/7474/83666/815/2633/4261/445/3394/7791/972/10435/54625","BP","Up",1
"GO:0050865","regulation of cell activation",303,0.456591892785483,1.92980030106076,1.62956925879687e-07,1.56992702392491e-05,1.43196254446698e-05,1780,"tags=33%, list=18%, signal=28%","5320/100133941/654346/3113/3115/8399/10673/284194/64332/2048/958/1604/8741/3119/3965/80149/3485/3117/8876/3127/3659/3133/10875/7474/4602/25807/4067/639/3601/64410/3635/975/3077/5819/1948/972/3108/30011/3105/6776/283234/4345/637/1051/9655/5395/7305/1445/57162/861/441478/5321/2241/196/6541/7001/3566/6647/4192/10461/5578/1029/9306/7107/55626/567/100507436/6597/23729/4860/7805/54542/26191/56941/5880/29108/3149/6659/7133/10039/7048/3600/351/1540/961/10019/9258/8379/3949/6046/7037/6461/9231/5074/3717/84959/8654/7704/6598","BP","Up",1
"GO:0071345","cellular response to cytokine stimulus",482,0.414591347117082,1.84802381804102,1.83237414150675e-08,2.32277532622053e-06,2.11865087718813e-06,899,"tags=17%, list=9%, signal=16%","50506/4843/8519/9021/10581/100133941/3113/53832/10410/8399/10673/3099/115361/84166/3557/81030/64332/2048/330/958/2833/84159/3091/114769/3965/80149/3429/7431/2597/1958/960/3659/6772/7474/10312/6558/4067/6662/83666/815/3601/6774/2633/4486/4916/6723/6370/445/3394/2950/2353/7791/972/27347/255743/6776/2194/6091/10755/8986/10435/54625/9641/22904/9655/5034/4940/867/5371/51554/3667/834/7091/4792/2634/339122/2241/4217/1969/284656/5355","BP","Up",1
"GO:1903037","regulation of leukocyte cell-cell adhesion",192,0.520242010467617,2.07249306354311,1.55705565950024e-07,1.53068104322707e-05,1.39616548286874e-05,1780,"tags=39%, list=18%, signal=32%","5320/100133941/654346/3113/3115/10673/284194/56477/64332/1604/3119/3965/80149/3485/3117/960/8876/3127/3659/3133/10875/4067/2113/64410/975/6370/445/3077/240/1948/972/3108/3105/6776/283234/1051/9655/1445/57162/861/441478/6541/7001/3566/2650/4192/1029/9306/55626/567/6597/4860/7805/54542/26191/29108/6659/10725/7048/3654/3600/1540/961/5970/8379/6046/7037/6461/9231/5074/3717/8654/7704/6598","BP","Up",1
