"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001664","G protein-coupled receptor binding",113,0.478223674812101,1.7386330411371,0.00135027290846125,0.0464319651748288,0.0437864389670796,1257,"tags=22%, list=11%, signal=20%","6288/7704/6364/56477/6370/6351/3039/112609/7481/2316/6772/7474/133/3040/9034/54894/440193/718/1672/84133/351/10874/58191/7473/3691","MF","Up",13
"GO:0001816","cytokine production",448,0.499234279378254,2.13991298949506,1e-10,1.51235350779121e-08,1.33438763546826e-08,1060,"tags=21%, list=9%, signal=20%","6288/684/4843/3113/3115/10365/55959/5552/654346/958/100133941/3965/3134/3635/8651/7305/3106/284194/54739/114769/3133/91543/5187/1535/10384/3594/1604/2633/5734/975/8399/972/5450/7481/3105/4067/1191/80149/9636/6772/55655/3659/8809/2597/11118/7474/1958/3394/1969/10626/3694/2207/2048/3077/1652/11119/1051/728/2626/9181/9641/834/10392/55353/4940/57045/6774/3428/2950/10554/29108/10461/11120/4938/79132/3148/27342/6737/3606/567/7805/706/914/10643/166793/81622/161882/718/3123/125931/80381/240/351/6284/1670","BP","Up",3
"GO:0001817","regulation of cytokine production",444,0.499173055527599,2.13958772052651,1e-10,1.51235350779121e-08,1.33438763546826e-08,1060,"tags=21%, list=9%, signal=20%","6288/684/4843/3113/3115/10365/55959/5552/654346/958/100133941/3965/3134/3635/8651/7305/3106/284194/54739/114769/3133/91543/5187/1535/10384/3594/1604/2633/5734/975/8399/972/5450/7481/3105/4067/1191/80149/9636/6772/55655/3659/8809/2597/11118/7474/1958/3394/1969/10626/2207/2048/3077/1652/11119/1051/728/2626/9181/9641/834/10392/55353/4940/57045/6774/3428/2950/10554/29108/10461/11120/4938/79132/3148/27342/6737/3606/567/7805/706/914/10643/166793/81622/161882/718/3123/125931/80381/240/351/6284/1670","BP","Up",3
"GO:0001819","positive regulation of cytokine production",264,0.534457803531139,2.19021682216058,1.64984711086504e-10,2.24067073840455e-08,1.977000293304e-08,1060,"tags=24%, list=9%, signal=22%","6288/4843/3113/3115/55959/958/3965/3134/7305/3133/91543/1535/3594/1604/5734/975/972/5450/7481/3105/1191/9636/6772/55655/3659/8809/2597/11118/7474/1958/3394/10626/2207/2048/1652/11119/1051/728/2626/9181/9641/834/10392/4940/6774/3428/10554/29108/4938/79132/3148/3606/567/7805/914/81622/161882/718/125931/80381/351/6284/1670","BP","Up",3
"GO:0001906","cell killing",105,0.695982307606848,2.5394325177655,1e-10,1.51235350779121e-08,1.33438763546826e-08,1060,"tags=40%, list=9%, signal=37%","3500/4843/2920/5320/6364/4069/56477/3965/6370/2013/3134/3635/7305/3106/3133/3594/1604/2633/3105/8542/3140/3107/2597/5052/201294/55876/4277/5819/10578/3606/3001/567/4814/914/1075/10383/6891/718/3123/729/5873/1670","BP","Up",1
"GO:0002250","adaptive immune response",251,0.686921025498348,2.80216288678545,1e-10,1.51235350779121e-08,1.33438763546826e-08,971,"tags=33%, list=8%, signal=31%","3502/3501/3500/3503/3512/3539/3494/3514/3493/3538/3426/3113/717/3115/3112/9021/958/3507/725/3117/3127/639/2013/3134/3119/1520/3635/3106/10068/3133/91543/10384/3594/1604/3903/10312/64332/975/10673/972/6890/3105/8741/4067/1191/80149/3659/714/3140/3107/8809/11118/8284/6776/64167/5321/2207/2048/712/3077/201294/11119/713/3108/4277/6774/29108/5819/3109/4791/5585/3606/567/3726/10039/1075/51279/6891/81622/718/3123/729","BP","Up",1
"GO:0002252","immune effector process",353,0.616582323536187,2.59865044100401,1e-10,1.51235350779121e-08,1.33438763546826e-08,1056,"tags=28%, list=9%, signal=26%","3502/3501/3500/3503/684/5225/3539/3494/6280/4843/3514/3493/3538/3426/717/9021/958/725/3965/2013/3134/3635/629/7305/3106/3133/91543/10384/3594/1604/10312/64332/5734/975/972/5450/3105/8741/4067/1191/80149/714/3140/3107/8809/11118/7474/8284/6776/5052/3394/10875/2207/3430/2048/3936/712/3077/201294/713/1051/306/10392/3689/1675/6774/5338/29108/5880/55601/5819/3109/79132/27342/5585/3606/567/7805/3726/10039/914/1075/10383/51279/3683/6891/22904/5950/81622/161882/718/3123/729/538/2067/351/5873/6284","BP","Up",1
"GO:0002253","activation of immune response",376,0.5349361159824,2.25994385922642,1e-10,1.51235350779121e-08,1.33438763546826e-08,1012,"tags=20%, list=9%, signal=19%","3502/3501/3500/3503/6279/3539/3494/6280/4843/3514/3493/3426/717/3115/81030/3507/92610/725/3119/1520/3635/629/7305/91543/1535/10384/330/1604/64332/2633/975/3105/4067/1191/80149/3659/714/11118/2207/3430/712/11119/9258/713/728/9641/834/10392/4277/1675/4940/3428/5338/29108/55601/5819/11120/4938/79132/7105/26524/27342/7805/4814/11074/57169/51279/81622/84885/4792/718/3123/729/80381/5062","BP","Up",1
"GO:0002429","immune response-activating cell surface receptor signaling pathway",200,0.584694308612184,2.33575117592972,1e-10,1.51235350779121e-08,1.33438763546826e-08,1012,"tags=20%, list=9%, signal=19%","3502/3501/3500/3503/3539/3494/4843/3514/3493/3115/3507/3119/3635/7305/1535/10384/64332/2633/975/3105/4067/80149/11118/2207/3430/11119/9258/728/4277/5338/5819/11120/4938/27342/7805/4814/4792/718/3123/80381/5062","BP","Up",1
"GO:0002443","leukocyte mediated immunity",212,0.682332086055154,2.73734405482139,1e-10,1.51235350779121e-08,1.33438763546826e-08,1056,"tags=31%, list=9%, signal=29%","3502/3501/3500/3503/684/3539/3494/4843/3514/3493/3538/3426/717/958/725/3965/2013/3134/3635/7305/3106/3133/91543/10384/3594/1604/10312/64332/975/972/3105/8741/4067/1191/714/3140/3107/8809/11118/8284/5052/2207/712/3077/201294/713/306/3689/5880/5819/27342/3606/567/10039/914/1075/10383/51279/6891/81622/718/3123/729/2067/5873/6284","BP","Up",1
"GO:0002449","lymphocyte mediated immunity",166,0.696928395689135,2.71176328655962,1e-10,1.51235350779121e-08,1.33438763546826e-08,1055,"tags=34%, list=9%, signal=32%","3502/3501/3500/3503/3539/3494/3514/3493/3538/3426/717/958/725/3965/2013/3134/3635/3106/3133/91543/10384/3594/1604/10312/64332/975/972/3105/8741/1191/714/3140/3107/8809/11118/8284/5052/2207/712/3077/201294/713/5819/3606/567/10039/914/1075/10383/51279/6891/81622/718/3123/729/2067/5873","BP","Up",1
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",29,0.862282648238107,2.44885565272311,3.89343453077752e-09,3.99275684023613e-07,3.52291004159719e-07,462,"tags=52%, list=4%, signal=50%","3502/3501/3500/3503/3494/3493/3426/717/725/1604/975/1191/714/712/713","BP","Up",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",181,0.700366807160581,2.75782520551664,1e-10,1.51235350779121e-08,1.33438763546826e-08,971,"tags=34%, list=8%, signal=32%","3502/3501/3500/3503/3539/3494/3514/3493/3538/3426/717/9021/958/725/2013/3134/3635/3106/10068/3133/91543/10384/3594/1604/10312/64332/975/10673/972/3105/8741/1191/80149/714/3140/3107/8809/11118/8284/6776/5321/2207/2048/712/3077/201294/713/6774/5819/4791/5585/3606/567/3726/10039/1075/51279/6891/81622/718/3123/729","BP","Up",1
"GO:0002694","regulation of leukocyte activation",320,0.5278675474889,2.20411586770545,1e-10,1.51235350779121e-08,1.33438763546826e-08,989,"tags=23%, list=9%, signal=22%","3113/3115/3112/7704/5320/654346/958/100133941/3965/3117/3127/639/3119/3635/8651/7305/284194/3485/3133/3594/1604/64332/975/8399/10673/972/3105/8741/3601/4067/80149/7107/3659/7474/8876/3280/1948/6776/864/10875/5321/2048/3077/6541/9258/1051/4323/3108/1326/3949/57045/64410/29108/5880/5819/3109/10461/27342/5585/3606/9760/567/7805/3726/10039/914/1075/30011/124912/60/23729/25807/3123/1029/80381","BP","Up",3
"GO:0002696","positive regulation of leukocyte activation",213,0.547907825592013,2.19614041075685,4.76669537261908e-09,4.79052884948217e-07,4.22680440199401e-07,865,"tags=23%, list=8%, signal=21%","3113/3115/3112/7704/958/100133941/3965/3117/3127/3119/3635/8651/7305/3485/3133/3594/1604/64332/975/10673/972/3105/8741/3601/4067/7474/8876/3280/1948/864/5321/2048/6541/4323/3108/1326/64410/29108/5819/3109/3606/9760/567/914/1075/30011/124912/60","BP","Up",3
"GO:0002757","immune response-activating signaling pathway",340,0.506545180273508,2.1242821489964,1.37096453340341e-10,1.91363799454226e-08,1.68845105692841e-08,1246,"tags=20%, list=11%, signal=18%","3502/3501/3500/3503/6279/3539/3494/6280/4843/3514/3493/3115/3507/92610/3119/1520/3635/7305/91543/1535/10384/330/64332/2633/975/3105/4067/80149/3659/11118/2207/3430/11119/9258/728/834/10392/4277/4940/3428/5338/29108/55601/5819/11120/4938/79132/7105/26524/27342/7805/4814/11074/81622/84885/4792/718/3123/80381/5062/351/26007/5970/3656/5359/6397/11331/919","BP","Up",1
"GO:0002764","immune response-regulating signaling pathway",353,0.520471551842617,2.19358158042699,1e-10,1.51235350779121e-08,1.33438763546826e-08,1012,"tags=18%, list=9%, signal=17%","3502/3501/3500/3503/6279/5284/3539/3494/6280/4843/3514/3493/3115/958/3507/100133941/92610/3119/1520/3635/7305/91543/1535/10384/330/3903/64332/2633/975/3105/4067/80149/3659/11118/2207/3430/11119/9258/728/834/10392/4277/4940/3428/5338/29108/55601/5819/11120/4938/79132/7105/26524/27342/7805/4814/11074/81622/84885/4792/718/3123/80381/5062","BP","Up",1
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",210,0.596181170660845,2.39544324529084,1e-10,1.51235350779121e-08,1.33438763546826e-08,1012,"tags=21%, list=9%, signal=19%","3502/3501/3500/3503/5284/3539/3494/4843/3514/3493/3115/958/3507/100133941/3119/3635/7305/1535/10384/64332/2633/975/3105/4067/80149/11118/2207/3430/11119/9258/728/4277/5338/5819/11120/4938/27342/7805/4814/4792/718/3123/80381/5062","BP","Up",1
