"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0004676","3-phosphoinositide-dependent protein kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0004677","DNA-dependent protein kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0004679","AMP-activated protein kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0004711","ribosomal protein S6 kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0005504","fatty acid binding",12,-0.761507898004696,-1.9262389265356,0.00166001579461143,0.0424410704822322,0.040481086921226,532,"tags=50%, list=8%, signal=46%","128/5948/2169/80758/2168/2172","MF","Down",6
"GO:0006082","organic acid metabolic process",324,-0.364765289942749,-1.69705453585288,9.01480430850807e-06,0.00433499402185382,0.00398667858959153,1146,"tags=27%, list=17%, signal=23%","83752/11182/3033/1737/4200/231/54529/2584/4967/1384/10449/51181/5092/3030/219743/208/4048/30/29920/440/6480/5236/10994/5230/8803/60496/84869/863/2023/26227/26061/65985/5315/2805/128/2108/37/6470/1891/2806/22933/283927/51011/3419/4552/27349/51074/4258/240/5663/3032/4357/2169/8884/6566/3295/5564/197322/10588/5213/22929/55229/120227/2639/84532/5830/56954/5160/54541/80724/2271/84706/151313/5096/81888/9061/229/587/2628/2168/4329/7915/337/58526/2203/5577/345","BP","Down",1
"GO:0006468","protein phosphorylation",389,0.284172645818914,1.42948187292362,0.000171512959844539,0.0412381472826213,0.0379246748708878,1399,"tags=28%, list=21%, signal=23%","5613/26146/1326/2260/5911/374/4216/54625/10645/7037/9344/10125/80149/3718/5586/3087/6733/1029/324/200576/348/28951/7494/7405/122809/7532/3315/1454/5609/10783/9618/23411/54822/23049/3985/102/1455/103/1021/6197/2932/80829/5781/63967/9252/29990/1487/9261/54431/9448/728642/30844/3845/127933/1027/898/4214/864/8986/11011/1386/10527/8428/10142/23012/51701/814/51719/10152/143384/84919/1432/6198/3654/4683/253260/7023/5599/57551/6732/5165/55024/5906/5591/1062/9134/9928/3265/1859/8658/1399/5610/7249/10928/6789/8536/23394/369/65125/993/4739/2965/5062/5611/23118/25998/7423/1385","BP","Up",5
"GO:0006520","amino acid metabolic process",92,-0.467799068051215,-1.85803213368507,0.000111208954160556,0.0340297569925036,0.0312954765167129,933,"tags=30%, list=14%, signal=27%","5092/2193/55278/29920/10056/440/10994/60496/26227/2805/2108/6470/2806/4552/51074/4357/10588/22929/51067/2639/54938/56954/2271/84706/5096/587/4329/7915","BP","Down",1
"GO:0007088","regulation of mitotic nuclear division",77,-0.486389327344738,-1.87502793374606,0.000191078855136228,0.0432400209240629,0.0397656985828398,1629,"tags=42%, list=25%, signal=32%","1613/10201/6790/55143/699/9212/9184/54908/1104/3619/8881/51203/55055/84861/9319/4085/11130/9787/11065/7272/79866/286053/1843/28984/9587/891/5347/4751/8379/991/118471/655","BP","Down",3
"GO:0009062","fatty acid catabolic process",48,-0.554463064913505,-1.92732005605762,7.12383232280399e-05,0.026060130389127,0.0239662069521995,1146,"tags=46%, list=17%, signal=38%","83752/3033/1384/10449/3030/219743/208/30/10994/26061/2108/37/1891/283927/27349/3032/3295/2639/5830/80724/5096/2168","BP","Down",1
"GO:0009887","animal organ morphogenesis",201,0.355226318991004,1.66169026504308,7.45155794854165e-05,0.026060130389127,0.0239662069521995,1397,"tags=35%, list=21%, signal=28%","5613/2260/374/55959/6772/84159/324/55727/7128/7494/4124/29123/5089/23291/1112/9653/56172/27173/55870/6654/6491/2593/6786/3983/29072/25836/65979/4208/1512/5079/29926/171023/2033/3845/7168/54583/8879/1386/3636/5048/196528/2734/10409/10959/10152/4087/51141/8412/1432/3150/4193/4790/5530/4478/3265/6881/1399/7273/3516/57142/9321/57534/6935/57560/3399/1522/55636/10018/7976/55252","BP","Up",2
"GO:0016042","lipid catabolic process",103,-0.457387601912522,-1.83850596243226,3.84653070752275e-05,0.0164417818131556,0.0151206897169403,1025,"tags=32%, list=15%, signal=28%","83752/3033/1384/10449/3030/219743/6653/208/30/81537/10994/26061/2108/37/1891/7879/22933/283927/27349/4258/3032/57104/3295/2822/2639/5830/51170/80724/5096/2168/8228/337/345","BP","Down",1
"GO:0016054","organic acid catabolic process",84,-0.561070122329747,-2.18715320112618,2.38675627514105e-07,0.000306061713015588,0.000281469748798213,1146,"tags=43%, list=17%, signal=36%","83752/3033/1384/10449/51181/3030/219743/208/30/10994/60496/26061/2805/2108/37/6470/1891/2806/283927/4552/27349/3032/4357/6566/3295/197322/10588/2639/5830/80724/84706/5096/587/2168/4329/7915","BP","Down",1
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",19,-0.691093549108071,-1.97982501861895,0.000399194401659458,0.0122472842429122,0.0116816888064557,1297,"tags=58%, list=20%, signal=47%","2597/1737/231/4967/128/126133/5160/217/501/4329/7915","MF","Down",7
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",20,-0.686011659355527,-1.99480643121636,0.000335409219861863,0.0107191196514187,0.0102240968335086,1297,"tags=55%, list=20%, signal=44%","2597/1737/231/4967/128/126133/5160/217/501/4329/7915","MF","Down",7
"GO:0019752","carboxylic acid metabolic process",313,-0.372607552157701,-1.72347272175664,1.77425127519598e-06,0.00136510893113578,0.00125542284967025,1146,"tags=27%, list=17%, signal=24%","83752/11182/3033/1737/4200/231/54529/2584/4967/1384/10449/51181/5092/3030/219743/208/4048/30/29920/440/6480/5236/10994/5230/8803/60496/84869/863/2023/26227/26061/65985/5315/2805/128/2108/37/6470/1891/2806/22933/283927/51011/3419/4552/27349/51074/4258/240/5663/3032/4357/2169/8884/6566/3295/5564/197322/10588/5213/22929/55229/2639/84532/5830/56954/5160/54541/80724/2271/84706/151313/5096/81888/229/587/2628/2168/4329/7915/337/58526/2203/5577/345","BP","Down",1
"GO:0032787","monocarboxylic acid metabolic process",216,-0.400985324695216,-1.7919963208242,7.61278879034743e-06,0.0041837712109238,0.00384760648486582,1146,"tags=29%, list=17%, signal=25%","83752/11182/3033/1737/4200/231/2584/4967/1384/10449/51181/3030/219743/208/30/5236/10994/5230/60496/84869/863/2023/26227/26061/65985/5315/128/2108/37/1891/22933/283927/27349/240/5663/3032/2169/8884/6566/3295/5564/197322/10588/5213/55229/2639/84532/5830/5160/54541/80724/5096/81888/229/2628/2168/7915/337/58526/2203/5577/345","BP","Down",1
"GO:0033293","monocarboxylic acid binding",15,-0.723329558791316,-1.954963526223,0.00119332648166751,0.0326886218371064,0.0311790189758992,532,"tags=40%, list=8%, signal=37%","128/5948/2169/80758/2168/2172","MF","Down",6
"GO:0034440","lipid oxidation",48,-0.535218725231691,-1.86042650771976,0.000218383431436191,0.0453479015239581,0.0417042116268379,1146,"tags=46%, list=17%, signal=38%","83752/3033/1384/10449/3030/219743/208/30/10994/26061/128/2108/37/1891/27349/240/3032/3295/2639/5830/80724/2168","BP","Down",1
"GO:0035175","histone H3S10 kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0035402","histone H3T11 kinase activity",122,0.392601984026992,1.69294177973106,0.000538581997155272,0.0158881689160805,0.0151544327134783,1488,"tags=37%, list=22%, signal=29%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0035403","histone H3T6 kinase activity",122,0.400077986094309,1.72517910088593,0.000325455989017674,0.0107191196514187,0.0102240968335086,1488,"tags=37%, list=22%, signal=29%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0035979","histone H2AXS139 kinase activity",120,0.407215192979374,1.75829334228668,7.34367675117568e-05,0.00268219050864369,0.00255832347973288,1488,"tags=38%, list=22%, signal=30%","5613/9344/6733/200576/55589/51135/8780/1454/80216/11113/4261/10783/54822/23049/3985/84930/1455/6197/2932/9252/9261/9448/91754/127933/8986/11011/8428/1459/23012/6198/8317/3654/57551/6732/5591/5610/7273/6789/369/65125/5062/6199/23031/9874/5058","MF","Up",5
"GO:0043425","bHLH transcription factor binding",12,0.73153118845583,1.90834228012442,0.00155135882880237,0.0410307662652213,0.0391359123781361,1726,"tags=83%, list=26%, signal=62%","6667/4005/23411/1387/5715/3399/23028/6938/4088/7392","MF","Up",9
"GO:0043436","oxoacid metabolic process",320,-0.366055488769553,-1.7014860245413,4.54197870540271e-06,0.00291216534661404,0.00267817375944886,1146,"tags=27%, list=17%, signal=23%","83752/11182/3033/1737/4200/231/54529/2584/4967/1384/10449/51181/5092/3030/219743/208/4048/30/29920/440/6480/5236/10994/5230/8803/60496/84869/863/2023/26227/26061/65985/5315/2805/128/2108/37/6470/1891/2806/22933/283927/51011/3419/4552/27349/51074/4258/240/5663/3032/4357/2169/8884/6566/3295/5564/197322/10588/5213/22929/55229/2639/84532/5830/56954/5160/54541/80724/2271/84706/151313/5096/81888/9061/229/587/2628/2168/4329/7915/337/58526/2203/5577/345","BP","Down",1
