"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001525","angiogenesis",167,0.437710794938395,1.64135604470776,0.000132033719022863,0.0199269351325275,0.0180410446033265,866,"tags=25%, list=13%, signal=22%","1634/3576/6347/4313/7127/861/3553/2683/1282/857/6772/3627/6095/6678/3490/2034/8751/9475/207/493/3164/2022/51752/9444/9270/10800/28984/90268/5291/1890/23210/4192/3091/28996/79031/6558/2113/283/5286/2752/56913/6774","BP","Up",1
"GO:0001568","blood vessel development",225,0.458942603407197,1.75961192985631,5.92472619083294e-07,0.000464972511456569,0.000420967387243393,866,"tags=26%, list=13%, signal=24%","93/1634/3576/1277/1278/6347/4313/7127/1281/861/3553/2683/1282/5175/348/857/6772/3627/6095/6678/3490/2034/8751/9021/9475/207/56848/493/3164/196528/3949/2308/2022/51752/9444/1399/9270/4193/6659/10800/677/28984/90268/5291/1890/23210/4192/3091/26057/28996/4775/79031/6558/2113/283/5286/2752/56913/6774","BP","Up",1
"GO:0001819","positive regulation of cytokine production",207,0.402531240691112,1.53647636416594,0.000368771255802028,0.036176460194179,0.0327527102192591,913,"tags=24%, list=14%, signal=21%","6363/1191/861/3553/10464/6772/5142/4060/6095/3600/4050/192683/9475/9308/5781/56848/23633/9261/23705/8737/2207/1653/3495/914/3394/57162/4828/199/84282/5295/28984/10564/4192/3091/602/64135/9188/8140/7305/115362/6288/1660/51043/26060/6774/170506/2149/7110/10554","BP","Up",2
"GO:0001936","regulation of endothelial cell proliferation",41,0.623794862404554,1.92752862280948,6.8829999983575e-05,0.0142152063123973,0.0128698753431892,866,"tags=41%, list=13%, signal=36%","6347/55334/348/857/6772/6678/207/3164/2022/28984/4192/3091/79031/283/4893/858/6774","BP","Up",1
"GO:0001944","vasculature development",239,0.45775470348328,1.7606005574856,1.65879533752815e-07,0.000325455645223023,0.000294654434955658,866,"tags=26%, list=13%, signal=23%","93/1634/3576/1277/1278/6347/4313/7127/1281/861/3553/2683/1282/1491/5175/348/857/6772/3627/6648/6095/6678/3490/2034/8751/9021/9475/207/56848/493/3164/196528/83943/3949/2308/2022/51752/9444/1399/9270/4193/6659/10800/677/28984/90268/5291/1890/23210/4192/3091/26057/28996/4775/79031/6558/2113/283/5286/2752/56913/6774","BP","Up",1
"GO:0003008","system process",476,0.368632496621628,1.46212878700836,3.02087493464065e-05,0.00911839480271533,0.00825542745296535,1249,"tags=27%, list=19%, signal=24%","54207/1277/1278/6347/4313/894/800/5284/340481/3553/3488/8870/348/857/6772/7439/5142/11156/126306/3627/6541/6648/4060/4000/7169/6526/2034/153396/6916/7357/9997/2033/4012/9475/5781/207/493/3164/80208/613/83943/10398/7171/26164/3949/4646/144535/2308/2022/51752/9444/4125/2621/51542/5621/5465/2934/4828/136319/9270/4302/4193/6515/10800/8301/157680/2017/1890/4192/3091/91603/4739/28996/4775/6558/8140/8516/1522/2729/3720/54532/274/6198/22926/23607/3479/5286/481/79085/490/8546/2149/7110/440193/7037/5910/79641/51474/51324/2946/59/5978/710/5875/6566/5048/6722/23230/1408/2035/65125/5062/1739/488/1729/8195/3122/2876/7170/10059/79068/7402/3066/29098/83931/5026/8704/3845/55188","BP","Up",1
"GO:0003013","circulatory system process",155,0.440611269411406,1.636489117938,0.000116750802535801,0.0190887562146035,0.017282191164839,1227,"tags=34%, list=19%, signal=28%","1278/4313/340481/8870/348/857/6772/5142/11156/3627/6541/6648/6526/2034/153396/6916/4012/9475/493/613/83943/2022/51752/2621/5465/2934/9270/4193/6515/10800/6558/8140/1522/2729/274/5286/481/490/2149/7037/5910/2946/59/710/6566/65125/1739/488/8195/2876/10059/29098","BP","Up",1
"GO:0005102","signaling receptor binding",425,0.373149300874213,1.48424051745609,4.82286354292877e-05,0.00527070087191501,0.00498966934967668,1043,"tags=23%, list=16%, signal=21%","6280/3576/100462977/6363/6279/100463486/6347/6366/1281/1191/3487/5919/3553/3488/6404/10464/348/857/6772/3627/3683/9547/3600/4050/3490/2/63917/8751/9021/2717/3501/1213/23365/100507436/5781/867/2919/23705/51135/10135/931/6602/8737/3495/7532/5967/2022/51752/667/2621/914/1399/5621/3936/10551/4828/26119/9976/9270/4193/3557/79006/84282/2885/5295/8301/10564/1890/4192/23032/79031/87/8743/7305/8516/283/4591/6288/3655/27289/9994/3479/858/3956/6774/10776/2149/440193/22848/5359/51324/2946/4650/8895/171023/10870/3932","MF","Up",2
"GO:0005126","cytokine receptor binding",77,0.560794683323659,1.93899767142725,7.88171089808042e-06,0.00200983627901051,0.00190267266592257,819,"tags=30%, list=12%, signal=26%","3576/6363/6347/6366/3553/10464/6772/3627/9547/3600/4050/9021/51135/8737/2022/51752/3557/2885/5295/79031/8743/4591/9994","MF","Up",2
"GO:0008284","positive regulation of cell population proliferation",318,0.403748466243253,1.5811720062637,2.14042299637597e-05,0.00763547257979938,0.00691284939020948,1313,"tags=29%, list=20%, signal=24%","6363/4313/894/54962/5968/3553/3488/100133941/2683/3575/6772/94104/3627/6541/604/57599/3600/6239/5584/4831/64926/207/56848/3164/1021/6599/51135/10135/23081/6602/8848/1026/81606/2355/5967/2621/6597/1399/57162/4828/199/26119/58490/9270/467/4193/6659/10800/57448/5295/4192/3091/23421/28996/79031/394/8140/282991/283/4893/1660/6198/6302/3479/858/6774/29950/2149/961/7037/79641/10063/60/9274/598/51343/4615/1739/84275/10498/3516/3066/9238/3845/4209/54440/9391/6733/6504/4953/5562","BP","Up",1
