"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000139","Golgi membrane",353,0.302698799801369,1.45183873288769,0.00131085247502889,0.0287883370477498,0.0245187790875848,1746,"tags=35%, list=24%, signal=28%","857/115362/115361/79586/54941/102/3118/2634/5045/2633/54602/93010/79932/148867/170575/7940/27090/9276/567/3998/4851/50515/5986/966/29071/51382/79135/4853/8615/9197/56937/55080/2589/27333/3140/3127/11261/4121/84243/23646/22908/83464/56927/54499/2650/54480/10282/10897/22820/6482/1314/8869/10484/258010/1315/2635/22796/8907/286451/80762/84912/22862/23385/10125/10134/51014/51026/55062/51304/64841/90522/1785/9976/8943/6892/2530/8906/65977/6836/8459/51272/9583/11014/22818/51000/64083/10198/10237/80142/57414/10678/10959/153339/57120/64746/537/57085/10955/55568/126792/23760/25972/347734/8905/8658/11079/26229/26286/998/10960/10945/55146/6009/55974/3838/5861/5862/10133/8674/8675/9296/11235/23423/221477/3134","CC","Up",18
"GO:0000228","nuclear chromosome",177,-0.347453213354924,-1.55106861433458,0.00160861110407496,0.0328041764438144,0.0279390349655125,1804,"tags=33%, list=25%, signal=25%","54892/10498/54386/93973/86/5422/7329/1104/23649/55791/84464/54617/3621/51742/4174/23514/63979/9031/5424/29893/4171/5888/5931/1105/4176/55929/5883/3725/988/9837/5427/5111/84296/9985/10714/80198/51547/8243/3192/192669/4172/3065/64785/675/3619/6598/7273/5426/142/51659/54108/4173/57804/5810/4998/57820/54465/10734","CC","Down",2
"GO:0000323","lytic vacuole",416,0.331144993793156,1.60665955865167,7.3705471515225e-06,0.000841716484703869,0.000716882691369135,1364,"tags=28%, list=19%, signal=24%","3002/2999/10410/356/2040/5551/3118/2992/51316/10578/6382/5284/10581/81567/302/23400/55340/2517/8804/66005/326624/29965/9145/3643/4668/201294/101/4060/54/26001/65082/526/567/51128/79643/56270/26985/1889/55054/83930/84061/4069/81618/2519/2990/51382/1521/3988/1508/5547/3127/824/4332/5594/203547/23646/27074/3074/151636/51028/6386/1514/6039/56674/126321/5873/81552/201163/3454/2512/7128/51449/8907/286410/252839/8836/8530/23385/4074/132299/201931/64223/8140/128866/253260/8943/23200/51374/23118/3920/175/10641/100/6836/2171/2776/9583/55207/1520/10577/29952/64837/3916/80142/28962/3257/10487/25978/57120/4718/537/163/10970/55860/84937","CC","Up",10
"GO:0000781","chromosome, telomeric region",126,-0.381431446227302,-1.62029918622702,0.000898788908963877,0.0243687019558082,0.0207546138880696,2516,"tags=58%, list=35%, signal=38%","26277/51548/5001/23468/54984/65057/5928/24144/641/5813/79228/170506/23347/10111/222229/983/4175/2237/472/54433/9025/5884/55183/5591/54386/10728/5976/545/55791/11016/84464/55226/8563/10951/4436/80351/328/8520/4174/1108/5424/4171/23353/5888/5931/4176/9219/2146/10189/1017/9401/5501/5111/7158/7486/55135/4172/25913/286053/5514/23293/675/3104/79677/23137/142/4173/4998/152485/23028/9894/65986/7014","CC","Down",2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",398,-0.287352620195591,-1.41846533543975,0.00076024940554094,0.0255000321441857,0.0227407936218825,1400,"tags=30%, list=19%, signal=25%","7543/253461/22823/23598/54989/6938/5994/57623/4801/6667/4799/2959/5971/23099/7392/79733/23764/6721/3725/988/171017/604/8553/2146/2117/23512/146198/285971/53335/440515/54880/55900/5966/22809/55636/2308/1052/79862/11179/10308/3192/27107/163227/4772/7697/3097/94039/4094/148327/23269/3297/23411/7071/3065/90321/2063/5989/195828/285989/1523/22806/7551/63925/2908/79365/3394/55893/3159/5452/1051/55922/6294/6778/4066/56242/3104/7597/7776/2120/122953/7799/340252/1649/170959/5970/84678/115509/2186/93134/55769/168374/10793/7942/6670/7541/6689/55565/162979/6720/6659/687/730051/4603/5453/1869/152687/4791/1875/60468/51545/3087/5079/6498/4968/65986/1879/64412/57801","MF","Down",23
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",358,-0.288649959588601,-1.4063123972324,0.00183582980119337,0.04767235451486,0.0425139532907938,1210,"tags=27%, list=17%, signal=23%","5971/23099/7392/79733/6018/23764/6721/3725/988/171017/604/8553/2117/146198/285971/53335/440515/55900/5966/22809/2308/1052/79862/5090/10308/27107/163227/4772/7697/3097/94039/4094/148327/23036/23269/3297/7071/90321/2063/5989/195828/285989/1523/22806/7551/2908/79365/3394/55893/5452/1051/55922/6778/4066/56242/79894/7597/7776/11244/2120/122953/60436/7799/58487/340252/1649/170959/5970/115509/5326/93134/55769/168374/10793/7942/6670/7541/6689/6720/6659/687/730051/4603/5453/1869/152687/4791/1875/60468/3087/5079/6498/65986/1879/64412/57801","MF","Down",23
"GO:0001664","G protein-coupled receptor binding",65,0.515475344453661,1.96443001285574,0.000126746682589382,0.00680207196563017,0.00606605175620762,1470,"tags=45%, list=20%, signal=36%","6846/6375/3627/4283/6772/6348/6364/3304/6352/6351/6362/409/84687/2316/2769/55527/6386/10273/116985/2776/3303/29097/83737/2768/10959/51192/9138/6387/23365","MF","Up",4
"GO:0001906","cell killing",116,0.458038778964594,1.9172437366601,7.51034927300342e-06,0.000999245443408851,0.000858519891658467,767,"tags=30%, list=11%, signal=27%","3002/2999/6375/3627/4283/115362/259197/6364/5551/914/23705/10578/3820/2634/6362/2633/2209/201294/2214/567/966/4069/10870/201633/3594/409/5532/3140/57823/4068/3004/3958/7305/5295/5873","BP","Up",3
"GO:0002685","regulation of leukocyte migration",104,0.470821014314252,1.93601619840833,1.52398018064028e-05,0.00140310863807709,0.00120550629867033,1065,"tags=33%, list=15%, signal=28%","6375/3627/7941/2833/8784/6348/6364/102/301/2621/7422/6693/1435/6352/6351/6504/969/101/4354/5594/1236/375056/8764/2650/3958/5295/207/199/9943/2185/11314/1843/4267/100","BP","Up",4
"GO:0003700","DNA-binding transcription factor activity",377,-0.292547918365879,-1.42950616217123,0.000911192747655653,0.0282119293024154,0.0251592491457958,1210,"tags=27%, list=17%, signal=24%","5971/23099/7392/79733/6018/23764/6721/3725/988/171017/604/8553/2117/146198/285971/53335/440515/55900/5966/22809/2308/1052/3899/79862/5090/10308/27107/163227/4772/7697/3097/94039/4094/148327/23036/23269/3297/7071/90321/2063/5989/195828/285989/1523/22806/7551/2908/79365/3394/55893/5452/1051/55922/6778/4066/56242/79894/3104/7597/7776/11244/2120/122953/60436/7799/58487/340252/1649/170959/5970/115509/5326/93134/55769/168374/10793/7942/6670/7541/6689/55565/162979/6720/6659/687/730051/4603/5453/1869/152687/4791/1875/60468/51545/3087/5079/6498/65986/1879/64412/57801","MF","Down",23
"GO:0003887","DNA-directed DNA polymerase activity",19,-0.699580237824903,-2.04296201791321,0.000175219588449036,0.00881573554384211,0.00786182627120016,1281,"tags=58%, list=18%, signal=48%","5424/5427/10714/5426/201973/54108/27343/57804/11232/5429/5980","MF","Down",11
"GO:0003954","NADH dehydrogenase activity",40,0.571208550945141,1.99067172757685,0.000190629020753971,0.00902684480629099,0.00805009239344943,2174,"tags=62%, list=30%, signal=44%","4707/4694/4704/4538/4536/4724/4696/4713/4700/4708/4709/4535/4718/4537/4712/4729/4541/4719/4710/4697/4728/55967/4726/4695/4698","MF","Up",6
"GO:0005102","signaling receptor binding",462,0.354885893731909,1.75181562415684,2.07352341214881e-08,6.58413679148261e-06,5.87169832205445e-06,1573,"tags=36%, list=22%, signal=30%","6846/857/6375/3627/4283/3458/356/6772/6348/3976/6364/2625/2268/102/301/2621/7422/50852/3655/914/3490/55801/23710/23705/8743/3488/22848/10673/6275/3718/7184/3304/1435/23547/6352/9235/6351/6362/917/3956/123920/3643/51752/6404/10551/4193/100463486/101/7048/6503/1890/23780/5775/5967/1020/9636/79006/4851/57763/10870/3275/2990/201633/79139/4061/4354/868/4043/5469/3594/409/84687/8805/3140/10755/84958/8723/1499/6890/3092/9612/11146/2316/7873/2769/9802/10116/3958/55527/7305/6386/4050/5295/3551/7532/1314/5034/8717/10499/9600/11118/348/4536/867/6464/23385/10134/55062/10273/2185/9976/81/6892/8567/2671/1147/116985/5781/2776/3303/10507/4088/920/9093/29097/970/9255/9046/83737/3572/2768/9049/3902/23643/10959/51192/94120/3964/3385/10188/81831/2821/962/3605/51324/6342/9021/5770/9138/6387/23365/1209/1729/9270/51726/8301/5068/11079/55252/55788/4087/5359/998/27173/3683","MF","Up",4
"GO:0005125","cytokine activity",45,0.720036490506966,2.54310176199748,3.62176661728832e-10,2.91552212691709e-07,2.60004719262172e-07,165,"tags=40%, list=2%, signal=39%","6846/6375/3627/4283/3458/356/6348/3976/7422/55801/8743/10673/1435/6352/9235/6351/6362/123920","MF","Up",4
"GO:0005126","cytokine receptor binding",95,0.553360364076265,2.22940416911434,2.45371557446557e-08,6.58413679148261e-06,5.87169832205445e-06,237,"tags=23%, list=3%, signal=23%","6846/6375/3627/4283/3458/356/6772/6348/3976/6364/2625/7422/8743/10673/3718/1435/6352/6351/6362/51752/101/7048","MF","Up",4
"GO:0005657","replication fork",59,-0.49633557561563,-1.88233682366991,0.000180138980485499,0.00935085071429273,0.00796403913725365,1341,"tags=39%, list=19%, signal=32%","5982/9031/5424/55929/988/604/5111/10714/7158/7486/7516/80198/4172/56852/5981/142/201973/5983/1786/57804/56941/5429/54465","CC","Down",11
"GO:0005764","lysosome",416,0.331144993793156,1.60665955865167,7.3705471515225e-06,0.000841716484703869,0.000716882691369135,1364,"tags=28%, list=19%, signal=24%","3002/2999/10410/356/2040/5551/3118/2992/51316/10578/6382/5284/10581/81567/302/23400/55340/2517/8804/66005/326624/29965/9145/3643/4668/201294/101/4060/54/26001/65082/526/567/51128/79643/56270/26985/1889/55054/83930/84061/4069/81618/2519/2990/51382/1521/3988/1508/5547/3127/824/4332/5594/203547/23646/27074/3074/151636/51028/6386/1514/6039/56674/126321/5873/81552/201163/3454/2512/7128/51449/8907/286410/252839/8836/8530/23385/4074/132299/201931/64223/8140/128866/253260/8943/23200/51374/23118/3920/175/10641/100/6836/2171/2776/9583/55207/1520/10577/29952/64837/3916/80142/28962/3257/10487/25978/57120/4718/537/163/10970/55860/84937","CC","Up",10
"GO:0005766","primary lysosome",102,0.465199082805855,1.87376008791144,3.79512940855716e-05,0.00270877361535767,0.00230703919309659,1601,"tags=39%, list=22%, signal=31%","2040/51316/5284/81567/302/2517/8804/326624/9145/201294/84061/4069/2519/2990/5547/4332/5594/3074/6386/2512/8836/23385/23200/3920/175/6836/2171/10577/29952/3916/80142/10487/4718/10970/55860/5611/55313/967/23593/5878","CC","Up",10
"GO:0005773","vacuole",459,0.336498664483168,1.64966339552556,1.25466308656464e-06,0.000358206311214204,0.000305081234733085,1170,"tags=25%, list=16%, signal=22%","3002/2999/10410/356/2040/5551/3118/2992/51316/23710/10578/6382/5284/10581/81567/302/23400/55340/2517/8804/10241/66005/326624/29965/9145/3643/94241/4668/201294/101/4060/54/26001/65082/526/567/51128/79643/56270/26985/1889/55054/81671/83930/84061/4069/81618/2519/2990/51382/1521/3988/1508/5547/3127/824/4332/55014/5594/203547/9776/23646/27074/3074/151636/51028/6386/51368/1514/6039/56674/126321/5873/81552/201163/3454/2512/7128/51449/8907/286410/252839/8836/8530/23385/4074/132299/201931/64223/8140/55062/128866/29100/253260/8943/23200/51374/23118/3920/175/10641/100/6836/2171/2776/9583/55207/6737/1520/10577/29952/64837/550/3916","CC","Up",10
"GO:0005775","vacuolar lumen",92,0.510353102681884,2.01894113644892,2.03769158636931e-06,0.000387840631938958,0.000330320530843025,1237,"tags=38%, list=17%, signal=32%","3002/356/5551/2992/51316/6382/81567/302/23400/2517/8804/66005/201294/4060/4069/2519/2990/3988/1508/4332/5594/23646/3074/6386/1514/2512/8836/3920/175/2171/1520/10577/29952/80142/10487","CC","Up",10
"GO:0005788","endoplasmic reticulum lumen",101,0.410804596025274,1.6525040478232,0.000686354664719126,0.0217726951974789,0.0185436172573237,927,"tags=32%, list=13%, signal=28%","11001/102/2621/3490/3488/7184/1278/1435/81567/51237/3956/813/51752/2882/567/64374/27248/2519/339123/4043/81619/5594/375056/7873/57544/23193/79188/5034/23753/348/23071/80124","CC","Up",14
"GO:0005793","endoplasmic reticulum-Golgi intermediate compartment",83,0.426848707030131,1.66356156350816,0.00143415348994194,0.0303296904724758,0.0258315365439834,1972,"tags=53%, list=27%, signal=39%","326624/9780/65258/50999/3998/81671/966/4043/2589/11261/55014/4121/6890/57410/203547/4925/10282/10897/22820/5034/222068/121665/1315/23071/10134/51014/90522/6892/6836/29097/10959/537/51290/9107/11079/10960/10945/5862/23423/10130/10972/9798/1075/3309","CC","Up",18
