"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000313","organellar ribosome",42,0.49723813045614,1.91468382794268,0.000682010812771158,0.0151119237987714,0.0137913543856772,433,"tags=36%, list=13%, signal=31%","51650/9801/9553/57129/90480/64432/64928/51081/122704/6183/51021/51073/64976/55052/118487","CC","Up",3
"GO:0000976","transcription cis-regulatory region binding",197,-0.384708654205682,-1.47959757865373,0.00147915598916038,0.0489045948916151,0.0446666183568826,976,"tags=40%, list=30%, signal=30%","4150/5813/51341/3192/10308/23512/5465/22877/9921/1523/29117/4929/6294/9611/7799/468/51621/23558/2908/25824/8013/167465/2186/7764/1385/7027/5187/7343/4209/1316/5966/56987/22890/6595/6945/81/9208/864/2353/3659/4097/1106/7553/23764/8531/5927/51157/6598/10320/1051/2959/84146/571/55422/4205/5926/1112/6935/23411/55636/65986/5925/6421/51274/2117/2354/8553/25976/57801/1390/162979/23064/26298/8535/1649/7124/3725/3280/467","MF","Down",4
"GO:0001067","transcription regulatory region nucleic acid binding",197,-0.384708654205682,-1.47959757865373,0.00147915598916038,0.0489045948916151,0.0446666183568826,976,"tags=40%, list=30%, signal=30%","4150/5813/51341/3192/10308/23512/5465/22877/9921/1523/29117/4929/6294/9611/7799/468/51621/23558/2908/25824/8013/167465/2186/7764/1385/7027/5187/7343/4209/1316/5966/56987/22890/6595/6945/81/9208/864/2353/3659/4097/1106/7553/23764/8531/5927/51157/6598/10320/1051/2959/84146/571/55422/4205/5926/1112/6935/23411/55636/65986/5925/6421/51274/2117/2354/8553/25976/57801/1390/162979/23064/26298/8535/1649/7124/3725/3280/467","MF","Down",4
"GO:0003677","DNA binding",459,-0.355434288599261,-1.42735949982928,0.00016714543538956,0.00982443725789748,0.00897307074196586,976,"tags=37%, list=30%, signal=30%","4150/5813/50809/80205/51341/3181/3930/3609/3192/10308/23512/55206/116092/51203/5465/22877/5316/9921/1523/9774/29117/4929/6294/9611/6881/10181/6605/10180/7110/29803/29994/27332/54921/7799/468/51621/8880/23558/29855/2908/2969/3182/25824/5430/8013/6599/8467/10210/23013/1786/50804/64061/546/22834/10943/9987/167465/2186/7764/6648/5411/1385/7027/10051/5187/7343/4209/54464/162989/4001/6049/1316/5966/55809/65110/56987/22890/5303/55320/6595/6945/1654/81/9208/864/7763/2353/6830/11177/3659/4097/8458/65056/7128/1776/1106/54386/7553/23764/2804/8531/10075/5927/51157/6598/10146/22992/51593/10320/1051/2959/84146/90378/571/55422/4205/5926/1112/6935/4297/23411/55636/65986/55870/5925/64215/51230/171023/8243/7756/6421/51274/54790/2117/1387/1105/2354/64421/5111/163859/57798/11073/3149/51426/8553/3615/25976/80149/57801/1390/4288/162979/9592/23064/26298/64859/8535/7112/1649/23522/7124/83852/2962/5514/5980/23515/3725/23137/3280/467","MF","Down",4
"GO:0003735","structural constituent of ribosome",120,0.397596962953545,1.89119782201254,1.34718732607517e-05,0.00101808870784824,0.000929863131832337,496,"tags=24%, list=15%, signal=21%","6192/51650/9801/9553/57129/64432/6164/6232/64928/6139/51081/6144/51065/6235/6173/122704/6183/6168/6170/25873/6210/6231/6167/51021/51073/55052/6234/6223/6136","MF","Up",3
"GO:0003954","NADH dehydrogenase activity",38,0.617177209507766,2.28336289377472,5.37998009242575e-06,0.000489930539357283,0.00044747411713261,540,"tags=47%, list=16%, signal=40%","4707/4696/4708/4541/4537/4717/4536/4538/55967/4704/4725/4697/4713/4726/4709/4718/4535/4695","MF","Up",1
"GO:0005253","monoatomic anion channel activity",10,-0.781859277276417,-1.80827403619113,0.000884062010482135,0.0359745233496192,0.0328570415231822,292,"tags=30%, list=9%, signal=27%","1182/1193/6509","MF","Down",6
"GO:0005694","chromosome",439,-0.355220746966389,-1.41895540920931,0.000171521675870498,0.00601755212845663,0.00549170278006419,1149,"tags=43%, list=35%, signal=32%","1874/51742/81611/6597/23466/7150/10728/84333/25836/51368/10362/10096/23028/8409/55193/23304/6774/4691/2101/55904/2033/3398/27125/84301/221037/84295/64426/128866/10735/4673/9031/5431/5813/50809/51341/23613/3181/80314/3192/23512/57178/116092/7319/10093/51203/5465/119504/22877/5316/1523/5074/6002/55791/29117/4929/9611/81565/6881/5931/6605/29803/29994/54921/468/51621/983/23558/2908/3182/9643/5430/8013/6599/7405/8467/1786/64061/546/10943/9987/8896/2186/1385/7027/10051/6046/7175/4209/6732/4678/1316/259282/5966/56987/55082/5303/55320/6595/23326/6945/165918/4659/5515/55122/864/1459/2353/11177/3659/1106/54386/23764/3717/10189/10199/5927/51157/4676/6598/22992/10320/1051/2959/90378/5048/571/4205/5926/1112/7874/6935/254225/79813/23411/55636/7503/65986/55870/5925/51230/8243/8726/7756/7514/6421/51274/55035/9898/54790/10552/2117/1387/1105/29072/2354/80335/5111/11073/57187/55100/3149/51426/8553/114799/57801/79577/30836/5883/5930/1390/4000/4288/1783/23064/26298/64859/7112/1649/1263/23522/79019/55294/83852/5514/23515/3725/23137/3280/467","CC","Down",4
"GO:0005740","mitochondrial envelope",275,0.334506640075302,1.78681358722476,3.00713486266897e-08,4.22001259061211e-06,3.85124289429534e-06,664,"tags=37%, list=20%, signal=33%","2710/4707/51300/51650/9801/100131801/9553/27069/1347/57129/90480/51241/4696/2180/51079/116228/1345/64432/114971/54543/7388/30968/26517/84300/4708/64928/56947/4541/29796/402/255488/22906/204/51081/10245/3945/6390/4537/4512/4513/7351/4717/122704/4536/1350/4287/4538/6183/3329/55967/51629/4704/80777/27089/4725/1337/3845/140823/2182/4697/34/4170/51021/51073/64976/4713/54958/55052/7879/84987/118487/4726/4709/1340/10018/26521/493856/37/292/4718/10981/5018/4535/126328/4695/7386/4514/2647/55847/6233/4706/1537/1727/25994/84545/10063/9167/26355/4702/54539/3032/51703/4967","CC","Up",1
"GO:0005743","mitochondrial inner membrane",186,0.385473866188303,1.89434156749961,1.59813883593713e-07,1.34563289985906e-05,1.22804352656221e-05,549,"tags=37%, list=17%, signal=33%","4707/51300/51650/9801/100131801/9553/27069/1347/57129/90480/51241/4696/51079/116228/1345/64432/114971/7388/30968/26517/84300/4708/64928/4541/29796/51081/10245/3945/6390/4537/4512/4513/7351/4717/122704/4536/1350/4538/6183/3329/55967/51629/4704/27089/4725/1337/140823/4697/51021/51073/64976/4713/54958/55052/84987/118487/4726/4709/1340/26521/37/292/4718/5018/4535/126328/4695/7386/4514","CC","Up",1
"GO:0005759","mitochondrial matrix",153,0.306278819937298,1.51808546423906,0.00139760787519224,0.0280187102598063,0.0255702693957478,744,"tags=39%, list=23%, signal=31%","81892/55526/51650/9801/9553/23479/3418/10449/57129/90480/152100/64432/84300/64928/402/51081/7157/6390/708/4513/373156/122704/4287/6183/3329/4704/34/51021/51073/64976/4357/55052/1431/118487/37/292/5018/7386/2647/4706/2746/2926/5230/8192/388962/84545/3419/3028/3032/4350/4967/131118/1716/5770/64975/3421/25902/6742/91689","CC","Up",3
"GO:0005761","mitochondrial ribosome",42,0.49723813045614,1.91468382794268,0.000682010812771158,0.0151119237987714,0.0137913543856772,433,"tags=36%, list=13%, signal=31%","51650/9801/9553/57129/90480/64432/64928/51081/122704/6183/51021/51073/64976/55052/118487","CC","Up",3
"GO:0005840","ribosome",150,0.315805598081054,1.5665650856907,0.000417040809872769,0.0109733863097772,0.0100144668160237,561,"tags=23%, list=17%, signal=20%","6192/51650/9801/9553/57129/90480/64432/6164/6232/64928/6139/51081/6144/51065/6235/6173/122704/6183/6168/6170/25873/6210/6231/6167/51021/51073/64976/55052/118487/6234/6223/6136/2935/11224/6233","CC","Up",3
"GO:0006119","oxidative phosphorylation",89,0.529653160590615,2.38417933513449,4.15166229906957e-09,2.42540111511645e-06,2.29608775992753e-06,753,"tags=54%, list=23%, signal=43%","4707/23479/27069/1347/4696/51079/1345/7388/30968/84300/4708/4541/29796/6390/4537/4512/4513/4717/4536/1350/4538/55967/4704/27089/4725/1337/4697/4713/4726/4709/1340/4718/4535/126328/4695/7386/4514/4706/1537/387/9167/4702/54539/1716/51142/7384/4698/4694","BP","Up",1
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",41,0.614434725344219,2.30744575410354,3.87594389705904e-06,0.000870894778716112,0.000824461912354178,583,"tags=46%, list=18%, signal=39%","4707/23479/4696/4708/4541/4537/4717/4536/4538/4704/4725/4697/4713/4726/4709/4718/4535/4695/4706","BP","Up",1
"GO:0006754","ATP biosynthetic process",57,0.536138250143008,2.18461175490846,3.29175393164046e-06,0.000870894778716112,0.000824461912354178,656,"tags=47%, list=20%, signal=39%","4707/4696/51079/30968/4708/4541/6390/4537/4717/4536/142/4538/55967/4704/4725/4713/4726/4709/7114/4718/523/4535/126328/4695/4706/4702/54539","BP","Up",1
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",38,0.617177209507766,2.28336289377472,5.37998009242575e-06,0.000489930539357283,0.00044747411713261,540,"tags=47%, list=16%, signal=40%","4707/4696/4708/4541/4537/4717/4536/4538/55967/4704/4725/4697/4713/4726/4709/4718/4535/4695","MF","Up",1
"GO:0008509","monoatomic anion transmembrane transporter activity",13,-0.721245064546343,-1.79275535198502,0.0013422610482736,0.0489045948916151,0.0446666183568826,292,"tags=31%, list=9%, signal=28%","1182/1193/6509/9497","MF","Down",6
"GO:0009055","electron transfer activity",72,0.510131074439064,2.15682687171736,8.48690971194545e-07,0.000224478761880957,0.000205025871462261,651,"tags=43%, list=20%, signal=35%","4707/4696/7388/231/4708/4541/29796/6390/4537/4512/4513/4717/4536/4538/55967/4704/4725/4697/4713/4726/4709/1340/4718/4535/4695/7386/4514/3620/1537/9167/4702","MF","Up",1
"GO:0009060","aerobic respiration",111,0.502206520401328,2.37368998051755,8.76365277812177e-10,6.39965744122342e-07,6.0584515389805e-07,753,"tags=53%, list=23%, signal=42%","4707/23479/3418/27069/1347/4696/51079/1345/7388/30968/84300/4708/4541/29796/402/847/6390/4537/4512/4513/4717/4536/1350/4538/55967/4704/27089/4725/1337/4697/4190/4713/1431/4726/4709/1340/4718/5018/4535/126328/4695/7386/4514/2647/4706/1537/387/3658/9167/3419/4702/54539/4967/1716/51142/3421/7384/4698/4694","BP","Up",1
"GO:0009145","purine nucleoside triphosphate biosynthetic process",62,0.458412534108165,1.88668021789456,0.000150844031233207,0.0209816864396284,0.0198630210551195,656,"tags=44%, list=20%, signal=36%","4707/4696/51079/30968/4708/4541/6390/4537/4717/4536/142/4538/55967/4704/4725/4713/4726/4709/7114/4718/523/4535/126328/4695/4706/4702/54539","BP","Up",1
"GO:0009152","purine ribonucleotide biosynthetic process",70,0.442172098288349,1.90795194413727,9.1622444699467e-05,0.0157428918215967,0.0149035394566873,540,"tags=37%, list=16%, signal=32%","4707/4696/51079/30968/4708/10606/4541/204/6390/4537/4717/4536/142/4538/55967/4704/4725/4713/4726/4709/7114/4718/523/4535/126328/4695","BP","Up",1
"GO:0009201","ribonucleoside triphosphate biosynthetic process",62,0.458412534108165,1.88668021789456,0.000150844031233207,0.0209816864396284,0.0198630210551195,656,"tags=44%, list=20%, signal=36%","4707/4696/51079/30968/4708/4541/6390/4537/4717/4536/142/4538/55967/4704/4725/4713/4726/4709/7114/4718/523/4535/126328/4695/4706/4702/54539","BP","Up",1
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",62,0.458412534108165,1.88668021789456,0.000150844031233207,0.0209816864396284,0.0198630210551195,656,"tags=44%, list=20%, signal=36%","4707/4696/51079/30968/4708/4541/6390/4537/4717/4536/142/4538/55967/4704/4725/4713/4726/4709/7114/4718/523/4535/126328/4695/4706/4702/54539","BP","Up",1
"GO:0010257","NADH dehydrogenase complex assembly",40,0.603272656009597,2.25687582240675,8.31899011069515e-06,0.0016199846742227,0.0015336131242664,753,"tags=62%, list=23%, signal=49%","4707/51300/4696/51079/4708/4541/4717/4536/4538/55967/4704/4725/4713/4709/4718/5018/4535/126328/4695/4706/4702/54539/25915/4698/4694","BP","Up",1
"GO:0015078","proton transmembrane transporter activity",75,0.479017155210122,2.05658808597411,5.55686812125463e-06,0.000489930539357283,0.00044747411713261,549,"tags=41%, list=17%, signal=35%","4707/27069/4696/7388/4708/4541/29796/4537/4512/4513/7351/4717/4536/4538/55967/4704/4725/4697/11261/4713/4726/4709/1340/292/4718/523/4535/9550/4695/7386/4514","MF","Up",1
"GO:0015399","primary active transmembrane transporter activity",76,0.4097437071782,1.77125937511482,0.000488424113771369,0.0258376356185054,0.0235985966548482,549,"tags=37%, list=17%, signal=31%","4707/4696/7388/4708/4541/29796/4537/4512/4513/4717/4536/4538/55967/4704/4725/4697/4713/6890/4726/4709/1340/4718/523/4535/9550/4695/7386/4514","MF","Up",1
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity",55,0.60819389546849,2.40345600563397,5.01097955054835e-08,2.65080818224008e-05,2.42109433021231e-05,753,"tags=56%, list=23%, signal=44%","4707/4696/7388/4708/4541/29796/4537/4512/4513/4717/4536/4538/55967/4704/4725/4697/4713/4726/4709/1340/4718/4535/4695/7386/4514/1537/9167/4702/7384/4698/4694","MF","Up",1
