"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04060","Cytokine-cytokine receptor interaction",86,0.551586399489965,1.9885822133124,7.13139711409322e-06,0.00226065288516755,0.00174906897640392,915,"tags=40%, list=13%, signal=35%","6364/6355/3569/3627/246778/3557/414062/6373/4283/2921/7124/1236/3624/2920/9235/10673/3575/7293/3601/6352/6351/51561/8743/1436/3566/6347/3552/6348/3556/3460/8764/1441/3588/1230","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04062","Chemokine signaling pathway",111,0.499005786711998,1.8463615335246,1.90590627671082e-05,0.00302086144858665,0.00233724296038748,965,"tags=29%, list=13%, signal=25%","6364/6355/2791/3627/414062/6772/6373/4283/2921/1236/2920/3718/2185/5579/6773/6352/5293/6351/5290/4067/1399/408/6347/6348/2309/4893/4792/5336/1230/208/6774/6714","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04613","Neutrophil extracellular trap formation",73,0.545738133492576,1.91449496634086,8.14328317158364e-05,0.00557548978222271,0.00431376098043464,1635,"tags=42%, list=22%, signal=33%","366/2214/2209/2358/51311/51564/3683/728/5579/834/2357/5293/10013/5290/2212/1184/1536/51284/5336/208/6714/6404/2359/837/27180/9759/7099/1432/4790/5970/5594","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04668","TNF signaling pathway",82,0.523872192971938,1.87573828843076,8.19705150677098e-05,0.00557548978222271,0.00431376098043464,1712,"tags=44%, list=23%, signal=34%","6364/3569/3627/2921/7124/4318/2920/4323/7128/6352/5293/83737/5290/3383/4217/5743/331/6347/5606/330/4792/208/7133/6868/9021/23118/1051/1432/1147/79651/4790/7187/5970/5594/8737/9252","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04142","Lysosome",97,0.505566290265014,1.85194470617201,8.79414792148693e-05,0.00557548978222271,0.00431376098043464,1369,"tags=39%, list=19%, signal=32%","6556/23312/53/23335/2517/3988/1509/1508/2799/9583/1203/26985/27074/535/1777/1200/427/23659/3920/1520/8907/1519/2760/2588/23545/5660/4891/57192/5476/3074/5538/10239/175/968/26503/10717/950/79158","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",41,0.6121114747618,1.92375392983528,0.000130042869819043,0.0066777146991242,0.00516655329535427,915,"tags=49%, list=13%, signal=43%","6364/6355/3569/3627/414062/6373/4283/2921/7124/1236/2920/6352/6351/8743/1436/6347/6348/8764/3588/1230","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa03030","DNA replication",24,-0.663060937855191,-2.14272612062799,0.000147457422378137,0.0066777146991242,0.00516655329535427,1700,"tags=58%, list=23%, signal=45%","3978/4174/57804/5982/4176/6119/5981/10714/6118/23649/4173/5111/10535/2237","Down","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04657","IL-17 signaling pathway",51,0.573763102590709,1.88415457480681,0.000175676663804479,0.00696118780325249,0.00538587666663733,223,"tags=22%, list=3%, signal=21%","6279/6364/6280/3569/3627/9641/2921/7124/4318/2920/7128","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04110","Cell cycle",88,-0.411871397192604,-1.72250564137286,0.000297982146593816,0.00966780220771993,0.00747998643333469,305,"tags=15%, list=4%, signal=14%","983/51343/4173/891/5111/7533/10393/9232/991/23594/1028/114799/1647","Down","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04620","Toll-like receptor signaling pathway",71,0.53119339845802,1.86532232139704,0.000304977987625234,0.00966780220771993,0.00747998643333469,1635,"tags=46%, list=22%, signal=36%","3569/3627/414062/9641/6772/6373/4283/7124/51311/941/6773/6352/5293/6351/5290/5606/6348/148022/4792/51284/208/3654/23643/23118/3455/10333/7099/1432/1147/4790/7187/5970/5594","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05160","Hepatitis C",96,0.487033565976926,1.77639667400489,0.00036407831418265,0.00988596269404358,0.00764877737908735,1635,"tags=38%, list=22%, signal=29%","3627/10062/9641/6772/7124/6256/4938/9451/6773/4939/8554/5293/5290/1021/54205/4940/1499/5465/4893/949/148022/4792/208/6774/369/6655/9021/1871/3455/3949/1147/6654/4790/7187/5970/5594","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05205","Proteoglycans in cancer",107,0.470861222181481,1.74207100405534,0.000374232026272943,0.00988596269404358,0.00764877737908735,1182,"tags=27%, list=16%, signal=23%","1278/10855/4060/7124/4318/5579/4193/1634/3678/5293/2002/5290/960/3091/1499/6385/4893/6548/6237/7057/5336/208/6774/6714/369/7409/1839/8826/6655","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04380","Osteoclast differentiation",94,0.46373033140098,1.68745123200972,0.000611611465335913,0.0149139103470373,0.0115389045686857,943,"tags=26%, list=13%, signal=23%","11026/2214/2209/6772/7124/10326/29760/6773/4286/5293/140885/5290/11006/1436/2212/3552/3460/10859/4792/11025/5336/2355/208/9846","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa03010","Ribosome",125,-0.366495254863215,-1.63994137313884,0.000664653014310246,0.0150496432525963,0.0116439212281419,2055,"tags=54%, list=28%, signal=40%","6155/6233/219927/6129/2197/6146/7311/55052/6165/9349/64928/6166/6157/6205/29093/51187/6176/6228/6208/6202/6133/6161/6142/6230/11222/200916/6209/6147/64968/6137/6160/6154/6141/51264/6222/23521/6203/6217/6193/6122/55168/6194/6143/6156/6175/6159/6187/9045/6124/3921/6229/6152/6132/6188/6134/6135/65005/4736/29074/6128/51116/6201/6130/6138/63875/6189/6125/6191","Down","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05163","Human cytomegalovirus infection",141,0.424756493900137,1.6389300834183,0.00128215472365866,0.0270962031599863,0.0209643544289451,1663,"tags=33%, list=23%, signal=26%","2791/3569/414062/7124/2185/5579/4193/5732/6352/5293/6351/2002/5290/1021/1399/54205/567/5743/1499/808/6347/6348/10672/6667/4893/4792/3588/6890/1230/208/6774/6714/7249/3106/1234/6655/3134/1871/2776/1432/1147/6654/4790/5970/5594/5566/2793","Up","DC2_CD1D","IMM","Ileum","ActiveCD_vs_Control","dataset_02"
