"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0002443","leukocyte mediated immunity",139,0.425711067954325,1.80188712538465,4.9054863703537e-05,0.0366071920387645,0.03418349449657,472,"tags=25%, list=13%, signal=23%","6348/6375/56253/3002/3718/3665/84868/117157/3821/3560/3689/3122/5130/2214/51010/5551/1130/5532/2268/203068/11118/5729/11314/259197/2207/1075/4067/7409/975/9948/7532/2067/9437/5293/4818","BP","Up",2
"GO:0005740","mitochondrial envelope",324,0.333551096397597,1.57488956829203,0.000230570597212092,0.0184906248498731,0.0167531015823171,954,"tags=34%, list=26%, signal=28%","57153/25994/63875/4967/706/64979/10573/26521/51241/10063/51650/80777/6834/4704/114971/4707/10884/7531/4720/26517/28977/4358/2268/27069/7879/493753/79109/84233/51318/51649/23788/64112/5018/55037/9830/55173/91689/51499/90624/7419/4067/51021/56910/51079/23568/51264/9553/55847/11331/6182/493856/6150/28958/3945/4729/29796/30968/84987/140823/64083/292/79792/5366/389203/8834/11222/84269/1347/64969/131118/4726/401612/4712/293/4695/7386/9801/4710/10059/56993/7385/4713/51258/54205/6389/87178/27089/8402/4728/8560/64968/11315/23770/116541/100131801/4708/51023/9377/5621/4719/79145/51629/4724/83982/64928/54499/5501/192286/51253/4706","CC","Up",4
"GO:0005743","mitochondrial inner membrane",216,0.358153577506395,1.62900195223868,0.000294556432950338,0.0184906248498731,0.0167531015823171,829,"tags=32%, list=22%, signal=27%","25994/63875/64979/10573/26521/51241/51650/6834/4704/114971/4707/10884/4720/26517/28977/4358/2268/27069/493753/84233/51318/51649/5018/55037/55173/91689/4067/51021/51079/51264/9553/11331/6182/6150/28958/3945/4729/29796/30968/84987/140823/292/389203/8834/11222/1347/64969/131118/4726/401612/4712/293/4695/7386/9801/4710/7385/4713/51258/54205/6389/27089/8402/4728/64968/116541/100131801/4708/51023/9377","CC","Up",4
"GO:0005768","endosome",296,0.35373967647959,1.65052664303473,1.87363977615222e-05,0.00820654221954673,0.0074353915327304,769,"tags=29%, list=21%, signal=25%","29887/10410/3718/81614/1176/3108/3665/414918/7803/84868/151636/60592/3560/54602/3122/10067/54918/57590/6503/9559/9114/51009/5551/208/23200/254102/4830/51324/26001/83930/79643/7879/55062/9741/79109/10226/9482/5861/55754/5045/302/23295/10581/1785/8905/28956/26994/274/150684/533/10211/10890/7046/79720/1174/1992/11267/23102/4771/3454/84888/54940/8943/84313/29082/9946/4218/64083/23011/55858/3654/55207/28988/10490/51510/10542/79156/382/57231/3561/127829/51699/3115/80762/6609/27243","CC","Up",3
"GO:0005769","early endosome",111,0.427017695417552,1.77996039396197,0.000295512269290209,0.0184906248498731,0.0167531015823171,729,"tags=34%, list=20%, signal=28%","10410/81614/1176/7803/84868/151636/3122/54918/57590/9559/9114/51009/208/23200/4830/79109/9482/5861/55754/302/23295/8905/26994/150684/10211/1174/1992/23102/4771/8943/9946/23011/55207/28988/10490/79156/382/51699","CC","Up",3
"GO:0005930","axoneme",11,-0.764005637732565,-2.00122457385271,0.000685899191369799,0.0300423845819972,0.0272193679101489,707,"tags=64%, list=19%, signal=52%","81631/9474/54014/4134/5576/10383/7846","CC","Down",5
"GO:0010008","endosome membrane",165,0.380180747084847,1.67164224864268,0.000295104561453678,0.0184906248498731,0.0167531015823171,769,"tags=30%, list=21%, signal=25%","29887/10410/3108/3665/151636/54602/3122/10067/54918/9559/9114/23200/51324/26001/83930/79643/7879/55062/9741/10226/55754/5045/302/10581/28956/150684/533/10890/79720/11267/84888/8943/84313/29082/4218/23011/55858/3654/55207/10490/51510/10542/79156/382/57231/127829/51699/3115/80762/27243","CC","Up",3
"GO:0012506","vesicle membrane",332,0.305127031821102,1.44248545958844,0.00130573637263518,0.0476593776011842,0.0431809309196021,757,"tags=27%, list=20%, signal=24%","3687/29887/10410/2171/57153/1176/1861/3108/3665/151636/3689/54602/23557/3122/10067/54918/9559/9114/23200/51324/472/26001/83930/79643/7879/55062/9741/6645/10226/5861/55754/5045/302/10581/1785/8905/6811/6890/11314/51128/28956/2207/23423/6717/274/22872/4067/150684/533/10890/79720/1174/11267/79888/23218/84888/8943/84313/29082/2633/4218/23011/2040/55858/3654/10396/374395/11014/1729/55207/3092/28988/10972/10490/10059/51510/10542/101/10959/3163/79156/2634/10555/382/57231/127829/51699/9276/3115/80762/8560","CC","Up",3
"GO:0016607","nuclear speck",193,-0.311097919389555,-1.51482546792596,0.00147623222806329,0.0497376704532092,0.0450639311724582,795,"tags=30%, list=21%, signal=25%","54883/25936/91746/50809/10051/9584/64397/6428/170506/339287/10284/51362/23524/8525/11193/6430/91603/113246/9410/9879/29107/55660/10973/11273/57602/6432/1452/5930/56731/10189/51755/8621/3091/23091/1647/140890/10286/10992/665/10210/11052/9646/6421/3550/3303/6046/6015/27332/22985/9775/24148/7919/54890/23137/3304/10135/81669/4000","CC","Down",6
"GO:0019866","organelle inner membrane",233,0.336075230741552,1.54421914995745,0.000788176102916339,0.0313837393706688,0.0284346785454029,954,"tags=34%, list=26%, signal=27%","25994/63875/64979/10573/26521/51241/51650/6834/4704/23200/114971/4707/10884/4720/26517/28977/4358/2268/27069/493753/84233/51318/51649/5018/55037/55173/91689/4067/51021/51079/51264/9553/11331/6182/6150/28958/3945/4729/29796/30968/84987/140823/292/389203/8834/11222/1347/64969/131118/4726/401612/4712/293/4695/7386/9801/4710/7385/4713/51258/54205/6389/27089/8402/4728/64968/116541/100131801/4708/51023/9377/4719/51629/4724/64928/192286/10204/51253/4706","CC","Up",4
