"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000323","lytic vacuole",373,0.355529048332845,1.501299274474,0.000316770826919303,0.00796452364825675,0.00674825069878214,1479,"tags=32%, list=24%, signal=26%","5284/55353/4069/824/1522/3113/11337/3127/535/4864/3122/23208/151636/528/55788/4905/3123/10578/3119/4718/54/259307/1727/23593/84937/163/3074/1075/972/29965/9559/3115/27072/10487/1509/1777/10890/7375/8907/64747/9367/719/1213/1200/160/8673/351/151556/57153/57724/1889/7317/29108/51092/128866/2683/79443/203547/2990/7128/23324/1175/3108/2992/81552/5036/83667/23250/302/54918/51128/526/57599/2040/3073/5826/201931/47/23400/8131/55004/23385/1778/5119/529/138050/1203/55717/51606/2782/9296/80208/8530/51479/58485/55858/94107/2171/684/203068/132299/84888/10542/8904/410/6813/51510/9516/84572/25978/987/55745/967/326624/5551/9741/57231/29952","CC","Up",5
"GO:0000502","proteasome complex",57,0.494107672541628,1.69896411665116,0.00228834428694117,0.0345213081001411,0.0292495134421052,1888,"tags=61%, list=31%, signal=43%","5721/5685/5696/10213/5701/5698/9690/5705/5691/5702/80227/5719/29979/5689/5711/10197/5720/5715/5682/5686/5717/5694/5688/5706/5887/5707/5713/5699/90637/5704/5700/11047/5886/7415/5690","CC","Up",7
"GO:0001727","lipid kinase activity",20,-0.606761382243037,-1.94336028953127,0.00194682851345258,0.0447770558094093,0.0399612168550792,858,"tags=50%, list=14%, signal=43%","472/1606/8526/5295/5305/8394/5294/5291/5297/200576","MF","Down",16
"GO:0001816","cytokine production",342,0.388698466443274,1.61036608721431,7.14225942672866e-06,0.000677408747305407,0.00058521911034451,994,"tags=28%, list=16%, signal=25%","335/55353/84868/3554/50943/115362/28951/824/149233/6772/834/3113/7850/861/4050/4049/5045/3594/11118/9447/27033/23208/11119/4940/114769/7297/3123/1958/634/10148/8809/54/2633/10538/29110/5325/5603/7124/972/1054/54739/55593/9978/3662/51043/9235/3115/85364/9636/4938/2615/965/23180/307/5293/5610/54440/64581/719/706/351/7187/11334/943/4282/9314/57162/11315/9444/5142/29108/914/4939/1386/3965/10555/3566/10010/10892/7597/9261/3148/6504/7128/79876/7133/5566/604/6885/6095/3071/8764/1653/406938/23633","BP","Up",1
"GO:0001817","regulation of cytokine production",342,0.388698466443274,1.61036608721431,7.14225942672866e-06,0.000677408747305407,0.00058521911034451,994,"tags=28%, list=16%, signal=25%","335/55353/84868/3554/50943/115362/28951/824/149233/6772/834/3113/7850/861/4050/4049/5045/3594/11118/9447/27033/23208/11119/4940/114769/7297/3123/1958/634/10148/8809/54/2633/10538/29110/5325/5603/7124/972/1054/54739/55593/9978/3662/51043/9235/3115/85364/9636/4938/2615/965/23180/307/5293/5610/54440/64581/719/706/351/7187/11334/943/4282/9314/57162/11315/9444/5142/29108/914/4939/1386/3965/10555/3566/10010/10892/7597/9261/3148/6504/7128/79876/7133/5566/604/6885/6095/3071/8764/1653/406938/23633","BP","Up",1
"GO:0001917","photoreceptor inner segment",12,-0.665020506496438,-1.86273764256112,0.00435585616077241,0.0499976533236486,0.0423624454995029,484,"tags=42%, list=8%, signal=38%","128338/5305/9786/9889/11190","CC","Down",10
"GO:0002250","adaptive immune response",221,0.425798181813287,1.71444184783853,4.12069709483619e-06,0.000620427649350527,0.000535992660901314,980,"tags=29%, list=16%, signal=25%","3956/84868/3554/50943/100423062/1493/149233/3113/10673/4049/3127/3594/11118/3122/970/2185/11119/55824/7297/3123/3119/634/10148/23495/8809/259307/10538/3560/1235/639/7124/1075/972/3662/51043/64332/3115/64005/23180/7037/3140/5293/6890/54900/54440/64581/56940/54542/29108/56259/3566/10892/64092/6504/7128/7133/604/84174/6885/3108/6095/3071/149041/8764","BP","Up",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",153,0.453702371667518,1.76151478102805,9.59430507201755e-06,0.000837975327085533,0.000723933928161324,1012,"tags=31%, list=16%, signal=26%","3956/84868/3554/50943/100423062/149233/10673/4049/3594/11118/3122/970/7297/3123/634/10148/8809/259307/10538/3560/1235/7124/1075/972/3662/51043/64332/64005/23180/7037/3140/54440/64581/56940/54542/3566/10892/6504/7128/7133/604/84174/6885/6095/3071/149041/2067","BP","Up",1
"GO:0002683","negative regulation of immune system process",235,0.420035708894412,1.69874118046724,5.58164258786507e-06,0.000650007650459559,0.000561547072476122,1305,"tags=37%, list=21%, signal=30%","335/3956/84868/50943/6773/1493/3559/1050/861/5045/7940/1499/23208/4940/55824/3123/634/23495/54/2633/259307/6397/84959/5292/7124/972/84830/25939/8473/80254/3662/1029/51043/4763/966/9636/5272/4938/2615/29085/84243/54900/5094/56940/10221/55646/4282/57162/54542/9444/8379/10906/3965/3566/23151/84166/2671/64092/5591/54625/6504/7128/1021/604/84174/1831/83593/3071/149041/8764/406938/29979/8832/84524/3398/3958/56339/7009/9404/103/8530/7040/684/11221/115352/9474","BP","Up",1
"GO:0002694","regulation of leukocyte activation",285,0.40927171981095,1.67887162424375,4.66379951195716e-06,0.000621933112835853,0.000537293243459545,1109,"tags=29%, list=18%, signal=25%","3956/84868/50943/51237/7293/1493/149233/6659/3113/3559/1050/10673/861/3127/3594/3561/7940/3122/1499/970/23208/4739/55824/7297/3123/3119/10148/23495/3604/10125/259307/10538/639/7124/1075/972/637/3662/1029/51043/64332/3115/2615/7037/677/648/54900/54440/64581/60/56940/4282/57162/54542/8379/29108/914/3965/55423/3566/10892/64092/5591/30011/6504/7128/7133/604/8660/3108/6095/83593/6599/3071/149041/2547/8764/6603/3932/8832/84524/3398/3958/10451","BP","Up",1
