"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001725","stress fiber",38,-0.556327170379066,-1.76207790292312,0.000680076610235472,0.0202889522053582,0.0186523935789729,1695,"tags=42%, list=23%, signal=33%","10627/7798/3983/4026/5590/29109/23022/2317/51474/4638/3936/79784/51466/129446/5747/54751","CC","Down",13
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",14,0.75013076996338,2.39290598327036,2.53832113663768e-05,0.00974715316468867,0.00935170945077039,1035,"tags=57%, list=14%, signal=49%","6891/3106/3107/6892/567/3105/64167/6890","BP","Up",5
"GO:0003823","antigen binding",74,0.448225117753753,2.30415748265716,2.88444323096775e-07,0.000244889230309162,0.000226201074428524,405,"tags=36%, list=5%, signal=35%","28815/3503/3501/3539/3538/28778/28817/28809/28299/3507/28813/3494/28912/6891/28913/28893/100423062/3500/3106/28825/28816/3107/6892/3493/567/3105/3512","MF","Up",4
"GO:0005201","extracellular matrix structural constituent",41,-0.651997266053315,-2.08312202003909,7.89148386925584e-07,0.000334993490249911,0.000309429235926084,1930,"tags=73%, list=26%, signal=55%","3339/1284/8425/6678/7784/1289/1293/2335/10085/920/1291/7450/1278/25890/4052/4256/1281/7373/2202/1634/165/2200/10516/2192/3910/1292/5118/5549/1805/79812","MF","Down",11
"GO:0005518","collagen binding",34,-0.615134922970821,-1.91809930003136,5.85230031901974e-05,0.0124215074271194,0.0114735887833413,1220,"tags=56%, list=16%, signal=47%","4088/84168/2335/10609/5479/7399/1291/7450/1513/57211/51144/8754/9902/7373/9806/165/8404/1292/5118","MF","Down",11
"GO:0005539","glycosaminoglycan binding",61,-0.519936376183132,-1.76769823488875,0.000165916359695393,0.0234771648968981,0.0216855592935207,918,"tags=36%, list=12%, signal=32%","10178/7705/55959/4745/5792/51144/2257/6586/26279/2247/1809/9353/9806/6402/11167/1634/10392/2200/6355/5118/5549/151887","MF","Down",10
"GO:0005791","rough endoplasmic reticulum",40,0.545823433098243,2.41061377169192,5.06270309880986e-06,0.000453111927343483,0.00041656276374418,1302,"tags=45%, list=17%, signal=37%","58477/10970/10952/29880/7095/29927/6734/6184/6780/54901/6231/6128/6124/81502/6748/161176/4043/57003","CC","Up",1
"GO:0005793","endoplasmic reticulum-Golgi intermediate compartment",94,0.411668560044997,2.1029307527107,4.99504212240311e-07,8.45295903411061e-05,7.77112180142679e-05,1338,"tags=47%, list=18%, signal=39%","10959/6891/4245/4121/966/6892/10945/6811/10972/3998/5771/11079/54732/23423/157680/5862/56005/10897/8729/222068/23071/56886/10652/2804/6836/57222/3146/50999/1453/537/2801/9554/11282/3309/811/9321/6890/5034/8613/51614/1315/4043/55757/51112","CC","Up",3
"GO:0005795","Golgi stack",89,0.301464786861493,1.53304425289629,0.0016937876647945,0.034983229845948,0.0321613933112802,1514,"tags=42%, list=20%, signal=34%","6480/27314/10959/8720/55851/2530/55790/2590/6483/23256/3105/23423/23015/11313/8729/8615/51128/56681/2804/8703/2801/55968/11282/64083/55454/10142/148867/79586/2683/54432/440270/4124/9528/23011/4905/653519/55204","CC","Up",3
"GO:0005801","cis-Golgi network",41,0.413079264839618,1.81769723114902,0.00169236841016316,0.034983229845948,0.0321613933112802,1422,"tags=41%, list=19%, signal=34%","27314/10945/10972/23256/23015/157680/8729/11014/2804/607/50999/2801/9321/10142/4043/440270/4124","CC","Up",3
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",43,0.46049067275217,1.98886916715314,0.000114197308483887,0.020775654350758,0.0199327824088961,1925,"tags=47%, list=26%, signal=35%","4697/4710/29103/23479/4728/4708/4694/4700/4696/4717/4725/4702/4713/4718/4706/51103/4705/11315/4698/4541","BP","Up",9
