"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0002009","morphogenesis of an epithelium",140,0.444823964570106,1.71659439145723,0.000361228509663699,0.0284877938302963,0.0251477263904633,812,"tags=30%, list=18%, signal=25%","3488/23213/84870/4233/7052/1839/9021/6772/10413/6722/10252/115908/4524/25865/4192/5613/94134/59277/54345/7424/1739/90410/8543/1906/10395/182/9314/7408/4208/80184/27086/10640/3791/3202/3685/2022/7048/1522/6239/23332/10370/4609","BP","Up",3
"GO:0002250","adaptive immune response",129,0.509421076423278,1.96054084319641,2.84914308189894e-06,0.0024213062439638,0.0021374188290413,800,"tags=36%, list=18%, signal=31%","10068/3494/3493/3118/3538/3539/3514/3135/3500/9021/64332/90865/3512/3659/2534/1439/3502/1604/1191/25865/3507/3566/3383/3117/7128/6095/3119/3115/1520/2033/715/3726/3265/7133/2067/3122/23476/182/3123/4208/974/6774/54941/8764/3142/11069/51111","BP","Up",2
"GO:0002429","immune response-activating cell surface receptor signaling pathway",97,0.499604101465151,1.85057282262073,3.43074695334468e-05,0.00850335137721859,0.00750637115355865,706,"tags=34%, list=16%, signal=29%","3494/3493/3539/3514/7805/3500/3937/64332/2534/3502/5142/8547/25865/3507/7128/3119/3115/2033/23607/4790/51135/3265/2633/23643/57590/3123/7525/4208/57181/27086/974/11120/5335","BP","Up",2
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",94,0.520251047514389,1.91598635082384,1.51429520982283e-05,0.0061022104941445,0.00538675338630684,592,"tags=31%, list=13%, signal=27%","10068/3494/3493/3538/3539/3514/3135/3500/9021/64332/90865/1439/3502/1604/1191/3566/3383/7128/6095/2033/715/3726/3265/7133/2067/3122/23476/182/3123","BP","Up",2
"GO:0002682","regulation of immune system process",464,0.376012402654308,1.59914758249079,3.48891389620144e-06,0.0024213062439638,0.0021374188290413,1147,"tags=37%, list=26%, signal=31%","3494/7057/3493/3118/3539/3514/2200/3135/7805/3500/3937/8546/6387/64332/10221/1265/1026/90865/2319/7538/6772/3659/2534/3949/5228/164/6347/1051/3502/100133941/1604/84282/1191/9516/5142/56603/8547/57492/1326/25865/4192/3507/472/10524/3566/3383/3117/7128/26065/9188/6095/7071/2353/5320/331/3119/8473/3115/85363/5724/63940/1520/2033/23607/4790/23186/51135/715/5591/5919/6935/3726/3265/2633/60343/7424/1739/4860/7133/102/23643/2335/3122/23476/57590/1906/79647/196527/255877/54623/182/6597/3123/6598/57095/4189/23236/6773/7525/142/1432/4208/57181/27086/974/27/348/6774/11120/3202/5335/54941/10193/26258/7048/8764/7690/3142/51111/124976/4609/4267/8780/1653/4795/57118/2671/23075/3113/29117/55666/79155/10318/23143/3059/11118/153579/5515/6188/975/51752/581/8976/140609/55193/2778/1075/865/25793/9466/57178/1535/9683/1843/4092/57142/7105/1374/26524/972/330/60682/83700/55646/79004/51157/5987/3127/5538/6223/440275/123920","BP","Up",3
"GO:0002684","positive regulation of immune system process",340,0.382489579686485,1.59595304901146,3.41129329935229e-05,0.00850335137721859,0.00750637115355865,1147,"tags=37%, list=26%, signal=30%","3494/7057/3493/3118/3539/3514/3135/7805/3500/3937/8546/6387/64332/10221/1026/90865/2319/3659/2534/5228/164/6347/3502/100133941/1604/84282/1191/5142/8547/57492/1326/25865/4192/3507/10524/3566/3383/3117/7128/26065/9188/7071/2353/331/3119/8473/3115/85363/5724/63940/1520/2033/23607/4790/51135/715/5591/5919/3265/2633/7424/4860/102/23643/3122/23476/57590/1906/79647/196527/6597/3123/6598/4189/7525/142/4208/57181/27086/974/27/11120/5335/54941/26258/7048/8764/3142/51111/4267/8780/1653/4795/57118/23075/3113/29117/55666/79155/10318/3059/11118/153579/5515/6188/975/581/140609/55193/1075/865/9466/57178/1535/57142/7105/1374/26524/972/330/83700/51157/3127/5538/6223/440275/123920","BP","Up",3
"GO:0002694","regulation of leukocyte activation",159,0.432043096837589,1.68857180593711,0.000141522514106396,0.0169339008258343,0.0149484760816556,736,"tags=31%, list=17%, signal=27%","7057/3118/3135/7805/8546/64332/1026/90865/2319/3659/2534/3949/6347/1051/100133941/1604/56603/57492/1326/4192/472/10524/3566/3117/7128/6095/5320/3119/3115/2033/5591/6935/3726/1739/4860/7133/2335/3122/23476/6597/3123/6598/7525/4208/57181/27/10193/26258/7048/8764","BP","Up",3
"GO:0002764","immune response-regulating signaling pathway",169,0.415356387860635,1.62858723597971,0.000394298346087668,0.0297438100200915,0.0262564802543504,980,"tags=34%, list=22%, signal=27%","3494/3493/3539/3514/3135/7805/3500/3937/8546/64332/3659/2534/3502/100133941/84282/5142/8547/25865/3507/7128/26065/331/3119/8473/3115/1520/2033/23607/4790/51135/5591/3265/2633/23643/57590/3123/7525/142/4208/57181/27086/974/11120/5335/54941/8780/4795/55666/79155/10318/11118/153579/5515/6188/975/581/140609","BP","Up",2
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",101,0.509478100185766,1.89541378836667,1.67331024748302e-05,0.0061022104941445,0.00538675338630684,706,"tags=35%, list=16%, signal=30%","3494/3493/3539/3514/3135/7805/3500/3937/64332/2534/3502/100133941/5142/8547/25865/3507/7128/3119/3115/2033/23607/4790/51135/3265/2633/23643/57590/3123/7525/4208/57181/27086/974/11120/5335","BP","Up",2
"GO:0003094","glomerular filtration",16,0.760476378919411,1.97480043326881,0.000159968618148985,0.0175587830723376,0.0155000936570613,250,"tags=38%, list=6%, signal=36%","23213/3494/3493/2702/3512/358","BP","Up",2
