"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05200","Pathways in cancer",182,0.447516237334017,1.86125458725132,1.04693485710189e-06,0.000292094825131427,0.000239141962095906,787,"tags=30%, list=17%, signal=26%","1906/1029/3481/2034/862/6772/3597/7423/4040/3655/650/3685/3912/1487/2033/3915/4790/182/6387/3673/5925/7042/7048/3480/595/3091/10928/7184/3572/26060/4089/894/2787/1027/2308/2335/817/2113/10000/11040/329/2768/1439/5898/55970/1164/8323/8202/2776/331/5594/27436/5371/5899","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04512","ECM-receptor interaction",25,0.678308222619118,1.99440143941026,5.57434650794641e-05,0.00777621337858524,0.00636649048539143,183,"tags=40%, list=4%, signal=39%","7057/3339/3672/7450/3655/3685/3912/3915/3691/3673","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05146","Amoebiasis",31,0.638600810986471,1.96869050397852,0.000147247959559425,0.0136940602390265,0.0112115113068054,445,"tags=35%, list=9%, signal=32%","2919/3912/3554/3915/4790/2921/7042/81/5272/7414/2335","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04060","Cytokine-cytokine receptor interaction",43,0.572025070214764,1.89148705698233,0.000229297387956613,0.0159934928099737,0.0130940876806803,578,"tags=44%, list=12%, signal=39%","2919/3597/6347/650/3554/90865/3627/2921/6387/8743/2662/7042/7048/3572/6348/9547/8795/6356/1439","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",42,0.570061341168771,1.87095967911333,0.00034026204163512,0.0171330685447208,0.0140270736623445,915,"tags=43%, list=19%, signal=35%","1906/6772/6347/7423/4790/7042/7048/595/4089/1027/2308/2335/10000/7056/1729/5594/5290/5601","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",92,0.462731570356289,1.77385253607074,0.000368453086983242,0.0171330685447208,0.0140270736623445,1084,"tags=45%, list=23%, signal=35%","7057/3672/7450/7423/3655/3685/56034/3912/2317/3915/10451/3691/3673/81/3480/595/894/7414/2335/394/10000/329/1729/3678/9564/5062/29780/103910/2316/5829/331/5594/1793/5290/3910/5601/7094/330/6464/2534/2885","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04659","Th17 cell differentiation",41,0.568034453019812,1.86496483845711,0.000624724363180405,0.0223704516600407,0.0183149896631912,1075,"tags=46%, list=23%, signal=36%","3127/6772/196/3554/4790/3108/7048/3091/3572/4089/3113/4775/5594/3115/3122/5601/3460/1432/3109","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05165","Human papillomavirus infection",127,0.4157418568863,1.6536246076584,0.000673598018135841,0.0223704516600407,0.0183149896631912,786,"tags=30%, list=17%, signal=26%","7057/6772/3672/7450/3655/3685/3912/2033/3915/4790/182/3691/3673/5925/64764/3955/595/537/29110/894/5525/1027/2308/5529/2335/84441/10000/9636/4242/3678/472/3106/8323/5829/5594/5518/10488/1385","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05323","Rheumatoid arthritis",36,0.566784894558767,1.80306899339239,0.000721627472904539,0.0223704516600407,0.0183149896631912,412,"tags=28%, list=9%, signal=26%","3127/2919/6347/2921/6387/3108/7042/537/6348/3113","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa05145","Toxoplasmosis",49,0.520579603167275,1.77445226748181,0.00113275377971121,0.0316038304539426,0.0258744810734033,1170,"tags=47%, list=25%, signal=36%","3127/6772/3655/3912/3915/4790/3108/7042/3113/10000/329/331/5594/3115/3910/3122/5601/3460/1432/330/3109/3123/2773","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
"hsa04148","Efferocytosis",68,0.472184782775093,1.71015546542884,0.00143433857181413,0.0363800419578311,0.0297848296730781,852,"tags=35%, list=18%, signal=29%","7057/3685/5087/8754/834/196527/488/1374/3091/140885/55754/23166/817/55576/9261/9564/4775/102/5594/1901/1385/1788/6868/1793","Up","Lymphatics","STR","Ileum","ActiveCD_vs_Control","dataset_02"
