"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"enterocyte",8,8,16,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999220134952063,0.41,0.999220134952063,0.217,0.999220134952063,0.061,0.999220134952063,0.263
"Activated B cell",8,3,11,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,0.954187222819437,-1.364,NA,NA,NA,-0.168,NA,-0.595
"IL2RG+ enterocyte (M cell)",4,4,8,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",1,NA,0.677,NA,1.54,NA,NA,NA,1.055
"S1 fibroblasts",7,0,7,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999886711588389,0.286,0.999886711588389,0.633,0.999886711588389,0.196,0.999886711588389,-0.852
"S4 fibroblasts",2,5,7,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.994434582032847,-0.122,0.659062595919036,1.619,NA,NA,0.842500609748303,1.454
"Arterial endothelial cell",2,0,2,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999984846617848,0.157,0.999984846617848,0.945,NA,NA,NA,NA
"crypt",2,0,2,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999791757245474,-0.05,0.999791757245474,0.837,0.999791757245474,0.849,0.999791757245474,-0.491
"IgG plasma cell",2,0,2,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999736770646835,-0.025,0.999736770646835,1.183,NA,NA,0.999736770646835,0.527
"Monocyte",2,0,2,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999654658969584,0.457,0.999654658969584,1.559,NA,NA,NA,NA
"early enterocyte",1,0,1,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999833392043684,-0.401,0.999833392043684,0.587,0.999833392043684,0.256,NA,NA
"Goblet cell",1,0,1,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999896640336892,0.541,0.999896640336892,0.699,0.999896640336892,0.645,0.999896640336892,0.562
"IgA plasma cell",1,0,1,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999663329944265,0.069,0.999663329944265,0.043,0.999663329944265,0.327,0.999663329944265,-0.825
"B cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",1,0.950219141300084,-0.856,NA,NA,0.976046641820766,0.388,0.950219141300084,-0.626
"BEST4 enterocyte",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,0.999852229720568,-0.346,0.999852229720568,0.81,NA,NA,NA,NA
"CD4 T cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,0.999871740573823,0.468,0.999871740573823,1.226,NA,NA,0.999871740573823,0.1
"CD8 T cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,0.999772105554104,0.552,0.999772105554104,0.163,NA,NA,0.999772105554104,-0.166
"cDC2",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.99913583269559,0.144,0.99913583269559,1.188,0.99913583269559,0.191,NA,NA
"Cycling B cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,0.999659578125542,-0.188,0.999659578125542,1.125,0.999659578125542,-2.129,0.999659578125542,-0.556
"FCER2 B cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",5,"InactiveCD",2,0.998886508163187,0.705,0.998886508163187,2.292,NA,NA,0.998886508163187,1.146
"gd T/NK cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,0.999955687148014,-0.152,0.999955687148014,-0.123,NA,NA,0.999955687148014,-0.731
"Memory B cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,0.999251041492082,0.403,0.935605738667285,1.841,0.999251041492082,0.024,0.999251041492082,0.955
"Paneth cell",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999224310412636,0.017,0.999224310412636,0.09,NA,NA,NA,NA
"S2 fibroblasts",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999338885372678,-0.228,0.999338885372678,0.273,NA,NA,NA,NA
"TA",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999577022813176,0.076,0.999577022813176,-0.022,0.999577022813176,-0.211,NA,NA
"Macrophage",0,0,0,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,0.999361507471797,-0.054,0.999361507471797,0.406,0.999361507471797,-0.72,NA,NA
"activated DC",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",3,"InactiveCD",1,NA,NA,NA,NA,NA,NA,NA,NA
"Activated T",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"cDC1",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Cycling plasma cell",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"enteroendocrine",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Lymphatic endothelial cell",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"mast cells",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",1,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"myofibroblast",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"pDC",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",2,"InactiveCD",1,NA,NA,NA,NA,NA,NA,NA,NA
"pericyte",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",7,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Tfh",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",5,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Treg",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Venous endothelial cell",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Cycling myeloid cells",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
"Glial cell",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",6,"InactiveCD",1,NA,NA,NA,NA,NA,NA,NA,NA
"Tuft",NA,NA,NA,"01_TI_PED_InactiveCD_vs_Control","Control",8,"InactiveCD",2,NA,NA,NA,NA,NA,NA,NA,NA
