"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Plasma cells",5382,1421,6803,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,4.61463888531452e-15,"**1.38**",0.0278721929342129,"**1.041**",1.49476371111331e-12,"**1.57**",0.817344286533345,"0.082"
"Macrophages CCL3 CCL4",4255,553,4808,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,1.80603557578294e-09,"**1.763**",0.00159146203346065,"**2.149**",4.79432652218528e-06,"**1.622**",0.126056824566124,"0.857"
"T cells CD4 FOSB",3610,716,4326,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,1.78014372913178e-16,"**1.54**",0.000514675948075051,"**1.288**",2.52160027861043e-06,"**1.651**",0.270786842622396,"-0.363"
"Immune Cycling cells",3226,434,3660,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,2.03267184784689e-13,"**1.585**",0.00625345763892328,"**1.663**",1.12403274193619e-05,"**2.229**",0.260201606843463,"0.534"
"DC2 CD1D",2928,689,3617,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,8.74227959310707e-06,"**1.126**",0.00022113482201095,"**2.29**",4.7312393065141e-07,"**1.772**",0.0505723074645533,"0.921"
"Macrophages LYVE1",3284,257,3541,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,6.72258380851685e-07,"**1.707**",0.0031630153402149,"**2.136**",0.000250885491024898,"**1.537**",0.60294836352377,"-0.328"
"Macrophages Metallothionein",2939,51,2990,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",15,5.19864325668497e-07,"**1.81**",0.0896130009106609,"1.56",0.000375006790286417,"**1.655**",0.209088280484442,"1.01"
"T cells Naive CD4",1994,876,2870,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,1.65160792478888e-13,"**1.369**",0.0148596558821347,"**0.971**",0.0786249080591953,"0.886",0.00136017320712511,"**-0.817**"
"B cells",2134,175,2309,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,5.70839528072486e-12,"**1.399**",0.000117831718655183,"**2.569**",0.0020374498006105,"**1.631**",0.384165873641064,"0.436"
"Tregs",1762,440,2202,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,2.51858257555574e-14,"**1.675**",0.0115957746901894,"**0.978**",0.0055549172694187,"**1.647**",0.151586255582914,"-0.49"
"Mast cells",1791,397,2188,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,7.63948815463987e-05,"**1.412**",0.151044091627095,"0.827",0.0215573196199079,"**1.4**",0.433973710476689,"0.404"
"T cells CD4 IL17A",1590,359,1949,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,1.10849491939154e-11,"**1.55**",0.0185135121176478,"**1.217**",NA,NA,0.828898573628709,"-0.083"
"NK-like cells ID3 ENTPD1",1526,416,1942,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,7.28807403783457e-13,"**1.431**",0.261176753835628,"0.598",0.000541121807474883,"**1.712**",0.408215932400732,"-0.253"
"T cells CD8",1453,483,1936,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,3.1715523757345e-11,"**1.284**",0.0758934301242614,"0.776",NA,NA,0.229554371307951,"-0.316"
"T cells CD8 KLRG1",1443,405,1848,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,5.98596134355611e-11,"**1.625**",0.0025956840780936,"**1.347**",NA,NA,0.00156429279858953,"**-0.734**"
"NK cells KLRF1 CD3G-",990,280,1270,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,7.39978875487193e-11,"**1.592**",0.209286730285181,"0.918",NA,NA,0.882339892541602,"-0.055"
"DC1",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"DC2 CD1D-",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"ILCs",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"Macrophages",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"Mature DCs",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",11,"InactiveCD",14,NA,NA,NA,NA,NA,NA,NA,NA
"Monocytes S100A8 S100A9",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"T cells OGT",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"B cells AICDA LRMP",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Monocytes CHI3L1 CYP27A1",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",5,"InactiveCD",7,NA,NA,NA,NA,NA,NA,NA,NA
