"dataset","location","cellgroup","cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC"
"02_CO_EPI","Colon","EPI","Goblet cells MUC2 TFF1-",3792,2376,6168,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,4.55800110322253e-06,"**0.944**",0.00039181510616825,"**1.785**",2.44448525508551e-05,"**1.617**",0.0200887364835657,"**0.909**"
"02_CO_EPI","Colon","EPI","Enterocytes CA1 CA2 CA4-",3390,2377,5767,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,6.12604591045491e-09,"**1.119**",1.67400975755583e-07,"**1.965**",0.000279874093607804,"**1.35**",0.000132205122070596,"**1.481**"
"02_CO_EPI","Colon","EPI","Epithelial Cycling cells",3085,1927,5012,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,2.03221935156711e-12,"**1.291**",0.00202915709448834,"**1.53**",0.000543537781947045,"**1.401**",0.00417535268057481,"**1.286**"
"02_CO_EPI","Colon","EPI","Stem cells OLFM4 LGR5",2593,1556,4149,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,8.09916260810854e-07,"**1.086**",6.69110311264028e-07,"**2.683**",0.000586754941478825,"**1.623**",0.00087191312819851,"**1.627**"
"02_CO_EPI","Colon","EPI","Stem cells OLFM4 PCNA",2266,809,3075,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,5.9245035292359e-07,"**1.25**",NA,NA,0.000389783129728913,"**1.629**",0.216686719370981,"0.871"
"02_CO_EPI","Colon","EPI","Enterocytes TMIGD1 MEP1A",1720,1095,2815,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,1.95519192054871e-09,"**1.177**",2.57735258873022e-06,"**2.391**",0.000911697152733842,"**1.676**",0.498355957490723,"0.387"
"02_CO_EPI","Colon","EPI","Enterocytes BEST4",2365,248,2613,"InactiveCD_vs_Control","Control",16,"InactiveCD",16,1.00152644161578e-06,"**1.516**",0.000235695957686027,"**2.239**",0.00106263787189402,"**2.038**",0.00062320461322514,"**1.73**"
"02_CO_EPI","Colon","EPI","Goblet cells MUC2 TFF1",1670,128,1798,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,5.25983253269961e-05,"**1.803**",NA,NA,1.88308552069942e-05,"**3.048**",0.0306740206475952,"**1.707**"
"02_CO_EPI","Colon","EPI","Enteroendocrine cells",1620,74,1694,"InactiveCD_vs_Control","Control",16,"InactiveCD",16,0.000332341713133696,"**2.113**",NA,NA,0.0236966494364551,"**1.904**",NA,NA
"02_CO_EPI","Colon","EPI","Stem cells OLFM4",599,287,886,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,0.0396900869804931,"**1.105**",NA,NA,0.00162649203639008,"**1.755**",NA,NA
"02_CO_EPI","Colon","EPI","Goblet cells SPINK4",NA,NA,NA,"InactiveCD_vs_Control","Control",15,"InactiveCD",13,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_EPI","Colon","EPI","Paneth cells",NA,NA,NA,"InactiveCD_vs_Control","Control",3,"InactiveCD",13,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_EPI","Colon","EPI","Tuft cells",NA,NA,NA,"InactiveCD_vs_Control","Control",15,"InactiveCD",16,NA,NA,NA,NA,NA,NA,NA,NA
