"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000165","MAPK cascade",405,0.454826718927844,1.71818810417932,1.04932004337899e-10,1.44896107704304e-08,1.0512135532317e-08,2071,"tags=33%, list=20%, signal=28%","5320/939/1844/3383/6091/972/958/10385/3717/9064/5997/3553/2335/81606/768211/960/2641/9821/2633/84058/10457/1848/7805/5795/55294/25780/26191/9693/4214/338557/55870/7099/7498/6093/10771/4067/2264/10746/9475/975/2081/23607/8792/3672/5062/650/4217/57161/80824/4205/2192/3685/59/5291/161742/673/8826/4216/348/9043/5781/5801/5597/5578/6788/57551/83737/7423/1956/222166/10818/255743/1824/10114/6416/11183/8491/152007/23236/23005/8324/3976/2690/8036/8754/148170/7422/151742/331/5028/1326/2043/5154/55532/85363/6789/7984/1902/27347/7098/57630/4763/23328/1647/5770/9448/9867/5610/7444/10252/4155/1386/11214/2048/1512/10019/10550/1540/1850/4089/2146/677/2771/3123/7534/5187/152559/7494/6237/3301/81848/10253/1139/51347/59272","BP","Up",2
"GO:0001568","blood vessel development",384,0.47665803208231,1.7971870649887,1e-10,1.42147058823529e-08,1.0312693498452e-08,2349,"tags=40%, list=23%, signal=32%","338/7052/7852/2028/407021/6091/7127/3696/958/639/1960/3553/3164/2335/25932/64218/1634/301/5629/57534/10457/2113/2152/9021/6772/493/5795/11005/55294/6926/5286/9693/25976/22905/2004/57674/3627/4193/196/6654/7498/6093/9451/7046/10365/9990/9475/1536/2534/51564/27286/23411/28984/3685/59/90/5291/161742/7128/10512/348/3209/29072/5578/56913/5290/54567/7423/3716/3099/196528/1277/3988/5921/3373/5371/538/9982/6774/7082/81031/2549/55636/8503/6469/7026/7422/6667/861/5154/3688/65125/6789/2719/54453/10481/80155/27161/7098/26057/4763/23328/1647/2683/659/3490/4638/25831/841/4691/1948/4643/7048/1386/92140/6934/2048/1512/6505/9525/10413/5534/2049/657/677/7534/7494/5747/163/6237/2050/10427/10672/10253/4091/6461/1139/889/7716/84034/3516/1499/2627/4086/1317/93/3606/2069/2308/4059/4780/4208/5613/5787","BP","Up",2
"GO:0001816","cytokine production",429,0.446287230607009,1.68648703656503,2.02813642055176e-10,2.45049583013166e-08,1.77782168864682e-08,2075,"tags=32%, list=20%, signal=27%","1670/3620/4843/3113/684/5450/914/8013/4050/3115/3428/4939/406934/972/958/10385/3717/5552/54739/3553/161882/2335/1604/29126/26146/301/2633/916/10384/10457/7805/2152/3572/8140/63940/5452/6772/5795/26191/10892/338557/5295/7099/7110/9451/4067/10365/9475/10464/1536/975/23607/51564/10564/3320/23411/28984/57045/2192/3685/9655/8826/7128/23515/29072/5781/11119/83737/3694/23405/91947/5144/29110/64135/5371/144811/6774/3659/56829/834/81031/57678/23236/22925/23005/6288/10865/1997/84632/5966/27020/331/6398/170506/91543/861/7072/8452/6868/8087/84932/54941/7098/9683/1191/5125/5885/5610/8915/8780/55959/841/4155/84614/1386/4060/2048/64922/23119/26060/1540/4976/4179/55366/4089/163486/3329/2146/657/3123/22890/5187/7494/55325/55612/10475/1139/59272/3098","BP","Up",1
"GO:0001817","regulation of cytokine production",425,0.44285429406153,1.67361246727836,3.24892525351651e-10,3.42032419506366e-08,2.48142700812551e-08,2075,"tags=32%, list=20%, signal=27%","1670/3620/4843/3113/684/5450/914/8013/4050/3115/3428/4939/406934/972/958/10385/3717/5552/54739/3553/161882/2335/1604/29126/26146/301/2633/916/10384/10457/7805/2152/3572/8140/63940/5452/6772/5795/26191/10892/338557/5295/7099/7110/9451/4067/10365/9475/10464/1536/975/23607/51564/10564/3320/23411/28984/57045/2192/9655/8826/7128/23515/29072/5781/11119/83737/23405/91947/5144/29110/64135/5371/144811/6774/3659/56829/834/81031/57678/23236/22925/23005/6288/10865/1997/84632/5966/27020/331/6398/170506/91543/861/7072/8452/6868/8087/84932/54941/7098/9683/1191/5885/5610/8915/8780/55959/841/4155/84614/1386/4060/2048/64922/23119/26060/1540/4976/4179/55366/4089/163486/3329/2146/657/3123/22890/5187/7494/55325/55612/10475/1139/59272/3098","BP","Up",1
"GO:0001944","vasculature development",403,0.471859497866658,1.78379651167504,1e-10,1.42147058823529e-08,1.0312693498452e-08,2860,"tags=46%, list=28%, signal=34%","338/7052/7852/2028/407021/6091/7127/3696/4773/958/639/1960/3553/3164/2335/25932/64218/1634/301/5629/57534/10457/2113/2152/9021/6772/493/5795/11005/55294/6926/5286/9693/25976/22905/2004/57674/3627/4193/196/6654/7498/6093/9451/7046/10365/9990/9475/1536/2534/51564/27286/650/23411/28984/3685/59/90/5291/161742/7128/10512/348/3209/29072/5578/56913/5290/54567/7423/3716/3099/196528/1277/3988/5921/3373/5371/538/9982/6774/7082/81031/2549/55636/8503/6469/3976/7026/7422/6667/861/5154/3688/65125/6789/2719/54453/10481/80155/27161/7098/26057/4763/23328/1647/2683/659/3490/4638/25831/841/4691/1948/4643/7048/1386/92140/6934/2048/1512/6505/9525/10413/5534/2049/657/677/7534/7494/5747/163/6237/2050/10427/10672/10253/4091/102/6461/1139/889/7716/84034/3516/1499/2627/4086/1317/93/3606/2069/2308/4059/4780/4208/5613/5787/2041/7763/204851/7798/27250/6558/90993/10769/2263/6648/57556/8837/79893/51752/2969/54206/857/182/90627/8751/3949/26523/3248/1959/4915/54583","BP","Up",2
"GO:0002250","adaptive immune response",221,0.537134509163033,1.99517153815341,1e-10,1.42147058823529e-08,1.0312693498452e-08,1933,"tags=38%, list=19%, signal=31%","3119/3113/717/939/3575/3383/3426/3112/3115/3122/973/972/958/639/3717/608/969/3553/1604/29126/3109/915/214/712/64218/301/2956/57089/916/10384/722/2033/3572/55183/9021/725/7006/10892/196/7099/3108/8284/4067/2534/975/23376/8792/23411/3981/10673/9655/7128/11119/3716/6774/3117/3659/149041/80758/84807/165918/10865/64332/6398/91543/6868/54941/6776/1191/54542/64167/8915/2048/1512/716/4976/4179/5585/163486/10459/3329/440275/3123/22890","BP","Up",1
"GO:0002252","immune effector process",326,0.49408253350149,1.85358729150327,1e-10,1.42147058823529e-08,1.0312693498452e-08,2120,"tags=35%, list=21%, signal=29%","4843/717/684/5450/939/914/3575/399687/3820/3383/8013/3426/4818/3122/9452/972/2/958/969/3553/161882/1604/29126/3109/712/64218/301/2956/57089/10384/722/2033/5950/7805/3572/55183/51237/8140/10870/9021/11005/725/10892/55601/1113/2241/5295/196/7099/8284/5880/4067/4297/10875/2534/975/23376/23411/3981/28984/5291/867/9655/5730/3716/29110/3988/2125/538/144811/6774/4189/149041/84807/165918/11151/10865/64332/6398/170506/91543/80031/6868/7098/6776/26057/1191/54542/629/8915/7525/6814/2048/1512/716/26060/4242/4976/4179/5585/163486/10459/3329/440275/3123/22890/7494/5747/164/6461/3098/3140/4683/10039/8773","BP","Up",1
"GO:0002694","regulation of leukocyte activation",315,0.501671175509174,1.87961712957243,1e-10,1.42147058823529e-08,1.0312693498452e-08,2194,"tags=38%, list=22%, signal=31%","3620/3119/3113/5320/939/914/8876/3575/399687/8013/3112/3115/3122/406934/972/7704/4773/958/10385/639/1960/3717/969/3553/2335/1604/29126/3109/301/10808/596/916/6655/2033/10457/7805/3572/55183/51237/11005/143684/26191/10892/2241/196/7099/6654/3108/5880/4067/6352/10464/10875/2534/5618/975/23376/26258/57045/10673/9655/673/7128/6932/5781/5290/83737/196528/57492/5530/3117/3659/6541/29117/57678/149041/6469/84807/11151/64332/1326/861/8546/55193/6776/5591/2309/57630/54542/9867/8915/5573/7525/1948/7048/2048/472/1540/4976/9306/4179/5585/10459/3329/677/5074/3123/22890/7494/2175/648/6461/55274/9760/10039/8654/4860/1499/4254","BP","Up",1
"GO:0003682","chromatin binding",421,0.385223444287091,1.45977070197993,2.70558071953067e-05,0.00058774423715762,0.000424167190071998,3550,"tags=47%, list=35%, signal=32%","64061/4773/639/55777/91133/2956/546/2033/25836/3070/54454/6498/8850/388585/6772/23270/84456/7091/55870/10725/80012/4297/51460/221037/84181/8467/7404/80854/9219/8805/51564/7175/6881/23411/5978/23512/4205/23186/64318/23522/1105/29028/7994/8473/6310/7150/905/122953/5927/1956/57492/79809/7543/6774/8648/254225/2005/55636/1108/1788/6907/165918/7403/10865/2551/55818/10499/8932/55193/2332/4673/10664/7153/1106/55206/904/10592/26057/2309/1647/8243/90378/50809/23060/22809/10473/51322/5885/64431/7486/6418/8725/1386/6934/9425/23028/142/1387/51317/23135/9126/10413/5585/4089/9575/8535/2146/7702/3192/1107/5187/7494/23394/648/4091/57680/55274/9760/1655/3516/1499/22904/23054/2627/6873/55252/11335/10051/84629/661/27324/2308/4088/604/9985/10274/7528/23211/5430/23476/6670/4300/90993/6602/11128/11143/57634/79685/2494/27030/5934/5089/2521/1959/56254/9960/64324/170959/25942/3184/6322/10036/7259/6421/10891/6599/27043/6603/7703/56916/254394/79977/10735/22955/4676/64376/8061/7155/5579/80335/83746/26471/2072/5562/3183/114825/148479/5431/8091/23314/4790/6595/5884/7270/8289/54107","MF","Up",4
"GO:0004672","protein kinase activity",365,0.444728025586782,1.67913852841393,8.24295049824439e-09,1.40267540978459e-06,1.01229216645107e-06,3317,"tags=49%, list=33%, signal=34%","4261/11040/29922/3656/3717/9064/150094/5593/22848/9748/7006/4233/4214/545/26750/2241/6093/9451/4067/84446/7046/5586/2264/6352/10746/9475/26524/79834/415116/2534/55589/2081/8805/54861/11011/5062/4217/90/5291/673/4216/23049/4052/7150/9874/1456/5597/5578/6788/57551/790/5290/3716/1956/29110/4750/10114/1859/51755/57787/140609/6416/11183/9031/8491/5129/51232/55681/1326/10783/2043/255967/65125/6789/27347/5592/5591/1452/6198/1195/55359/53944/8445/9448/8476/29904/5584/659/5610/6041/8780/4638/7444/7525/1459/9943/7048/127933/9113/2048/8621/472/5585/2049/657/440275/2011/93627/5747/728642/23683/2050/200576/8814/51347/9578/54822/5565/5163/6446/6732/9252/595/93/92/57118/375449/5567/8997/2444/5613/6197/140803/5289/2041/8428/57396/204851/23476/10769/23531/8573/1021/2263/10645/9262/3480/1457/5891/3643/10420/3482/5601/4915/23043/6872/817/9175/4294/7465/5605/6733/23387/2932/8812/27102/5608/8493/51701/28996/84930/5170/79705/340371/7204/23012/5579/5594/91461","MF","Up",5
"GO:0005667","transcription regulator complex",355,0.393165021636175,1.47959591694,6.97245322651937e-05,0.00130997606074,0.00101195094675161,3216,"tags=41%, list=32%, signal=29%","5450/8013/5453/7704/4929/4773/9603/3164/161882/571/9935/1602/8543/23013/2033/6498/7003/6772/2957/55814/8099/7091/4193/196/10725/6596/5307/58487/57708/55729/9219/1875/6881/5978/6938/4205/23186/4094/2117/6932/79101/5451/4194/4090/122953/9014/283149/6774/8648/9330/5991/10153/1108/132660/6907/6314/195814/10865/10499/8932/6667/861/4084/10481/80155/6776/5591/2309/5926/5993/22809/91750/4331/51132/1386/6934/1385/51008/23028/142/1387/3068/10413/4089/9575/3192/7464/116071/8864/1107/7494/23394/10443/1052/4091/80063/3516/1499/6917/23054/2627/6873/4086/79718/79612/1871/595/11335/4088/5932/4780/11218/7528/23764/4601/6670/55758/6773/9329/7391/56980/286826/22926/2494/5934/5089/2874/6872/25942/4801/1876/10625/3091/8856/9759/6421/7004/9439/83860/405/27097/6619/28996/3182/607/2960","CC","Up",4
"GO:0007159","leukocyte cell-cell adhesion",235,0.533190019971865,1.9870183057925,1e-10,1.42147058823529e-08,1.0312693498452e-08,1941,"tags=38%, list=19%, signal=31%","3620/3119/3113/5320/939/8876/3575/3383/8013/3112/3115/3122/972/7704/10385/1960/3717/969/3553/1604/29126/3109/960/301/10808/916/2033/10457/2113/7805/3572/26191/10892/10725/3108/5880/6093/4067/6352/10875/2534/975/23376/64116/57045/10673/4478/9655/5781/5290/83737/196528/57492/5530/3117/3659/6541/29117/57678/149041/6469/84807/11151/64332/1326/861/8546/3688/65125/55193/6776/2309/54542/8915/5573/7525/1948/7048/1540/4976/9306/4179/3329/6484/5074/2526/3123/22890/7494","BP","Up",1
