"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa03010","Ribosome",127,-0.681832355828792,-3.36288595755951,1e-10,1.71491152408069e-08,1.07553543426428e-08,2644,"tags=80%, list=26%, signal=60%","6206/51065/6227/9553/6168/51116/64965/51069/6128/6159/54948/7311/6233/6137/6232/63875/6142/51023/6210/6228/25873/11224/6176/6223/65003/6141/6161/29074/6144/6165/51121/51073/6235/6166/65005/6224/9045/6217/6183/6230/6209/2197/6207/6143/6189/55052/11222/6193/6164/6234/6122/6191/6124/51081/6136/64960/4736/29088/6138/51021/6203/6134/6147/6133/6201/10573/64963/6155/6231/6171/6157/219927/6135/64979/6222/6187/55168/6154/6139/29093/6192/64928/6132/51264/6181/6175/64983/6194/6208/6204/6182/64981/6188/79590/6150/6129/63931/23521/6173/6160/6218","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04640","Hematopoietic cell lineage",36,0.78967453032707,2.39111960468167,1.02689312819203e-10,1.71491152408069e-08,1.07553543426428e-08,724,"tags=50%, list=7%, signal=47%","3119/3113/914/3575/3112/951/3115/3122/3553/1604/3109/960/915/916/3655/3673/3108/3672","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00190","Oxidative phosphorylation",97,-0.513796721887872,-2.550808923261,5.90165717561383e-10,6.57051165551673e-08,4.12080623841106e-08,2326,"tags=65%, list=23%, signal=51%","4720/4723/9114/155066/4710/4725/4707/4697/4513/7385/4711/8992/9550/4535/1353/4705/55967/7384/29796/1350/54205/6392/4694/10063/4695/9167/1351/4709/1345/4716/533/4729/4728/4706/4713/374291/9296/6391/4724/4722/7388/1340/4704/1329/4700/54539/1347/4708/4718/7386/27068/4512/27089/4712/9377/1537/4702/6390/4715/1327/51079/126328/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05012","Parkinson disease",199,-0.368951347981239,-2.00086995657848,4.22053075686924e-09,3.52414318198582e-07,2.2102253174131e-07,2335,"tags=48%, list=23%, signal=38%","7311/4720/4723/6233/1649/5714/5705/5709/2774/4710/4725/7295/4707/5702/7277/4697/283375/5690/5686/4513/5689/7385/4711/118424/5688/4535/9817/5710/89953/5704/4705/55967/7384/10105/29796/1350/54205/10376/6392/7332/6647/4694/11047/4695/9167/1351/291/11315/4709/1345/805/4716/29985/4729/4728/4706/4713/374291/6391/4724/4722/7388/7417/1340/4704/27429/1329/4700/54539/581/1347/4708/4718/5694/7386/4512/27089/7314/5695/5693/5691/4712/9377/1537/4702/6390/55630/4715/5687/1327/293/51079/126328/292/1337/5715","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05150","Staphylococcus aureus infection",28,0.776497729577163,2.2494530691272,4.4832608142442e-08,2.99481822391513e-06,1.87825032007283e-06,225,"tags=43%, list=2%, signal=42%","1670/3119/3113/717/3383/3426/1671/3112/3115/3122/3109/712","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05140","Leishmaniasis",44,0.69812441121465,2.17960535622834,1.01079756948592e-07,5.62677313680496e-06,3.52892484785435e-06,1069,"tags=36%, list=11%, signal=33%","3119/4843/3113/3112/3115/3122/3717/3553/3109/6772/4689/7099/3108/1536/3716/3117","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",23,0.796079578883364,2.22197063723801,1.29206686010435e-07,6.16500473249791e-06,3.86648579189122e-06,539,"tags=43%, list=5%, signal=41%","3119/3113/717/3112/3115/3122/958/3109/712/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",20,0.80426578854928,2.18981935523681,7.86298865109192e-07,3.28279776183088e-05,2.05886150206223e-05,1069,"tags=60%, list=11%, signal=54%","3119/3113/7852/3112/3115/3122/958/608/3109/3108/10673/3117","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05016","Huntington disease",222,-0.316124409484717,-1.74071070031888,9.44157566549776e-07,3.5038736358625e-05,2.19751293267141e-05,2228,"tags=45%, list=22%, signal=36%","5714/5705/5709/5609/4710/4725/4707/5702/5432/7277/10120/4697/5438/5690/5686/4513/5689/7385/4711/5688/4535/5710/89953/5704/4705/55967/10671/25981/7384/10105/29796/1350/11258/54205/10376/6392/6647/1175/4694/11047/4695/10126/9167/5437/1351/291/7186/1211/4709/1173/1345/4716/4729/4728/5441/4706/4713/374291/6391/4724/4722/7388/7417/1340/4704/1329/4700/54539/581/1347/4708/5434/4718/5694/7386/4512/27089/5695/5693/5691/1212/4712/9377/1537/4702/6390/4715/5436/5687/1327/293/5439/51079/126328/292/5435/1337/246721/5715","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",319,0.426951705785155,1.60556216452676,1.17692385321762e-06,3.83235240346172e-05,2.40352388367123e-05,3124,"tags=44%, list=31%, signal=31%","4843/7852/3575/2788/11040/7704/2938/3717/2335/324/2956/596/3655/3673/6655/2033/2113/3572/388585/6772/8202/25780/4233/330/5295/4193/6654/5880/9826/6093/7046/2264/9475/3320/7175/650/10161/3685/5291/867/673/6932/5578/5290/54567/7423/3716/1956/5371/3454/6774/8648/23236/8503/6469/8324/3918/7422/331/6667/861/5154/3688/6789/4040/1902/5728/6776/6198/1647/7184/1027/7482/4437/841/7048/3913/8030/6934/51426/1387/26060/4089/2771/3909/5747/2776/5332/10672/5900/3326/7188/23365/1499/317/4254/3912/9252/1871/595/7170/5567/2941/2308/4088/4780/999/355/6773/7296/1021/2263/5734/836/8453/3480/182/8313/894/5337/5899/8323/5366/5601/4791/54583/817/8031/3597/3091/5605/3574/10018/2885/2932/405/10681/10928/8325/3455","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04659","Th17 cell differentiation",66,0.60469748577002,2.0046412734843,1.30209860596921e-06,3.83235240346172e-05,2.40352388367123e-05,1898,"tags=41%, list=19%, signal=33%","3119/3113/3112/3115/3122/4773/3717/3553/3109/915/916/3572/6772/196/3108/7046/3320/3716/6774/5530/3117/861/6776/7048/5534/4089/3123","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05321","Inflammatory bowel disease",27,0.744988322315058,2.13217086015913,1.37689307908804e-06,3.83235240346172e-05,2.40352388367123e-05,1069,"tags=48%, list=11%, signal=43%","3119/3113/3112/3115/3122/3553/3109/6772/7099/3108/4094/6774/3117","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05145","Toxoplasmosis",76,0.577458459204104,1.95571518421865,2.26606345673398e-06,5.82203995807037e-05,3.65138969951467e-05,2199,"tags=41%, list=22%, signal=32%","3119/4843/3113/4261/3310/3112/3115/3122/958/3717/3109/596/3655/6772/330/7099/3108/3716/6774/3117/3918/331/3688/841/3913/2771/3123/3909/23118/3303/3912","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04932","Non-alcoholic fatty liver disease",124,-0.374022235206528,-1.86710999242083,3.18500683511359e-06,7.59851630662813e-05,4.76553654276394e-05,1320,"tags=39%, list=13%, signal=34%","7384/29796/1050/1350/54205/6392/4694/4695/9167/1351/7186/4709/1345/4716/51094/5571/4729/4728/4706/4713/374291/6391/4724/4722/7388/1340/4704/5296/1329/4700/54539/581/1347/4708/4718/7386/4512/27089/4712/9377/1537/4702/6390/4715/1327/51079/126328/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04658","Th1 and Th2 cell differentiation",57,0.615119107239236,2.01093475752978,3.63130456081203e-06,8.08570482207478e-05,5.07108496562521e-05,1069,"tags=32%, list=11%, signal=28%","3119/3113/3112/3115/3122/4773/3717/3109/915/916/84441/6772/3108/4094/54567/3716/5530/3117","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05164","Influenza A",124,0.504858120127183,1.79983472108568,5.42654831400279e-06,0.000108160629293295,6.7834747019747e-05,1614,"tags=33%, list=16%, signal=28%","3119/3113/4261/3383/7177/3112/3115/3122/4939/3717/3553/3109/2033/9021/4600/6772/3627/5295/7099/3108/6352/5611/5291/5578/5290/3716/29110/64135/5371/3454/3117/834/8503/4599/91543/7098/7514/3836/5610/6041/841","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05202","Transcriptional misregulation in cancer",102,0.532748498551593,1.86898088199163,5.50518173049705e-06,0.000108160629293295,6.7834747019747e-05,2918,"tags=53%, list=29%, signal=38%","1670/8013/1671/7704/958/1848/2530/4233/330/4299/4193/4297/221037/55589/4094/905/5371/2005/7403/5966/64332/6667/861/5154/51513/904/26039/1647/1027/1031/7048/51426/472/8864/85414/5747/648/1655/64919/4086/2308/4208/604/4291/4300/8842/51274/2120/3480/894/2521/3248/25942/6760","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05310","Asthma",11,0.861257354101956,2.03159560186081,1.20204119059517e-05,0.000223045420921549,0.000139886664870432,539,"tags=73%, list=5%, signal=69%","3119/3113/3112/3115/3122/958/3109/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05323","Rheumatoid arthritis",45,0.63363280181084,1.98287733944444,1.43730898226056e-05,0.000252663789513173,0.000158462319927896,769,"tags=36%, list=8%, signal=33%","3119/3113/3383/4050/3112/3115/3122/6364/3553/3109/7099/3108/6352/2919/8792/10673","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",167,-0.31808066922494,-1.67275604062026,2.70332082731625e-05,0.000451454578161814,0.000283137286650492,1320,"tags=37%, list=13%, signal=33%","7384/10105/29796/8644/1350/847/6392/6647/369/4694/4257/4695/9167/1351/291/4709/1345/4716/52/4729/65010/4728/4706/4713/572/374291/873/2052/6391/4724/4722/7388/7417/1340/4704/5296/4259/1329/4700/54539/5580/1347/4708/1728/4718/7386/4512/27089/4712/1646/9377/1537/4702/6390/4715/1327/293/51079/2947/126328/292/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05415","Diabetic cardiomyopathy",146,-0.335469626397345,-1.67290232165312,2.93284608340556e-05,0.000466462186598789,0.000292549559196846,1320,"tags=36%, list=13%, signal=32%","7384/10105/29796/1350/6392/1375/4694/4695/5162/9167/1351/291/4709/1345/4716/5164/4729/4728/4706/4713/374291/6391/4724/4722/7388/7417/1340/25874/4704/5296/1329/4700/54539/5580/1347/4708/4718/7386/4512/27089/4712/9377/1537/4702/6390/4715/5499/1327/293/51079/126328/292/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04514","Cell adhesion molecules",53,0.594204087537272,1.92480078822085,3.46686339096592e-05,0.000512753670389758,0.000321582037212612,539,"tags=34%, list=5%, signal=32%","3119/3113/3384/914/3383/3112/3115/3122/3696/958/29126/3109/214/3655/26047/5789/24146/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04630","JAK-STAT signaling pathway",74,0.556679214456512,1.87818453555636,3.53093844879175e-05,0.000512753670389758,0.000321582037212612,1434,"tags=35%, list=14%, signal=30%","3575/3717/596/6655/2033/3572/9021/6772/122809/5295/6654/5618/5291/9655/5781/5290/3716/1956/3454/6774/8027/8503/3976/2690/5154/6776","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa03050","Proteasome",41,-0.529695777045026,-2.14876200058446,4.57086319247694e-05,0.000624814639441202,0.000391862947522216,2716,"tags=63%, list=27%, signal=47%","9861/5721/5720/5700/5717/5701/51371/5696/5714/5705/5709/5702/5690/5686/5689/5688/5710/5704/11047/5694/5695/5693/5691/5687/5715/5699","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04060","Cytokine-cytokine receptor interaction",89,0.525467690982436,1.80049015704651,4.67675628324253e-05,0.000624814639441202,0.000391862947522216,1239,"tags=31%, list=12%, signal=28%","6368/7852/939/3575/4050/958/6364/608/3553/6373/768211/3572/6351/3627/7046/6352/5618/9966/2919/8792/650/10673/90/51554/3454/84957/3976/2690","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05152","Tuberculosis",106,0.500547413205604,1.76584193551771,6.84904513635127e-05,0.0008695243066212,0.000545336706642354,1898,"tags=30%, list=19%, signal=25%","3119/4843/3113/4261/3112/3115/3122/3656/972/3717/3553/3109/596/2033/6772/10892/8411/7099/3108/3716/5530/3117/22925/11151/5993/8915/841/1385/1387/5534/3329/3123","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00620","Pyruvate metabolism",38,-0.548075970790443,-2.13360554897967,7.02908870621928e-05,0.0008695243066212,0.000545336706642354,1928,"tags=47%, list=19%, signal=39%","98/9380/5106/217/84532/4190/3029/5091/197257/5162/97/4191/3939/39/10873/38/124/125","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05168","Herpes simplex virus 1 infection",132,0.473766381565753,1.70256663159658,8.74479250381789e-05,0.00104312882009828,0.000654215679796902,1186,"tags=26%, list=12%, signal=23%","3119/3113/684/3112/3115/3122/4939/972/3717/3553/3109/596/9021/5452/6772/330/5295/3108/9451/29915/6352/5291/5451/5781/5290/3716/29110/64135/5371/3454/3117/56829/10189/8503","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04610","Complement and coagulation cascades",27,0.683161378006584,1.95522096030357,0.000109345895070094,0.00125936306735902,0.000789830603228632,2266,"tags=63%, list=22%, signal=49%","717/3426/2/5627/1604/712/722/2152/725/5270/1191/629/10544/716/4179/1675/3818","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05020","Prion disease",190,-0.292469564455185,-1.5401514437916,0.000129108150572999,0.00143740407637939,0.000901491998737782,1320,"tags=33%, list=13%, signal=29%","7384/10105/29796/1350/54205/10376/6392/6647/4694/11047/4695/9167/1351/291/4709/1345/4716/5533/4729/4728/4706/4713/572/1388/374291/6391/4724/4722/7388/7417/1340/4704/5296/1329/4700/54539/581/5580/1347/4708/4718/5694/7386/4512/27089/5695/5693/5691/4712/1460/9377/1537/4702/6390/4715/5687/1327/293/51079/126328/292/1337/5715","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05340","Primary immunodeficiency",16,0.746517990528511,1.92944061918702,0.000177974056588956,0.00188976741730178,0.00118519923114735,262,"tags=38%, list=3%, signal=37%","4261/3575/973/958/915/916","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04151","PI3K-Akt signaling pathway",194,0.435812223404968,1.59883137087011,0.000181055560939092,0.00188976741730178,0.00118519923114735,3124,"tags=47%, list=31%, signal=33%","3575/2788/3696/9863/3717/3164/2335/596/3655/3673/6655/64764/1292/9048/4233/5295/4193/7099/6654/5586/118788/2264/5618/3672/3320/10161/3685/5291/5578/5290/7423/3694/3716/1956/117145/1277/3454/8503/3918/2690/5520/7422/5154/3688/3667/1902/5728/2309/6198/1943/7184/1027/5527/3913/1386/1385/5523/5529/5585/7534/3909/5747/84699/3326/6446/4254/3912/595/3691/2069/23035/90993/5516/1298/1021/2263/3480/894/3643/5934/4915/5525/7248/5605/3574/10018/2885/1975/2932/9223/10681/3455","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",124,0.464059123473931,1.65438504357334,0.000223369796714923,0.00226077309402377,0.00141788164421913,2316,"tags=40%, list=23%, signal=31%","3696/2335/596/3655/3673/6655/1292/394/4233/330/5295/6654/5880/6093/9475/2534/7414/3672/5062/3685/5291/673/5578/5290/7423/3694/1956/1277/8503/4660/3918/7422/331/4659/7094/5154/3688/5728/4638/3913/3909/5747/1729/1499/3912/595/3691/1793/5908","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05206","MicroRNAs in cancer",119,0.464085766637824,1.65215271503629,0.000252616218593931,0.00248158285324627,0.00155636617647654,2216,"tags=37%, list=22%, signal=29%","5268/407021/994/324/960/596/6655/2033/2744/406970/4233/5295/4193/6654/6093/5962/23411/5291/4194/5578/5290/1956/23405/6774/6541/8503/1788/7422/5154/3667/5728/1943/1027/659/1387/472/2146/85414/648/10253/4363/9252/1871/595","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04714","Thermogenesis",173,-0.294391772591058,-1.56782843861395,0.000296881121064297,0.00283309412672786,0.00177682234862542,2168,"tags=44%, list=21%, signal=35%","51287/60/86/4710/4725/3265/4707/4697/4513/7385/4711/493753/6199/65260/4535/1353/116228/4705/55967/137682/29078/7384/29796/1350/788/6392/1375/64223/51241/4694/10063/4695/9167/51548/1351/4709/1345/4716/23305/5571/4729/4728/4706/25915/4713/374291/6391/4724/4722/7388/51103/1340/84987/4704/1329/4700/54539/6598/1347/4708/28958/4718/7386/4512/27089/4712/6194/9377/1537/4702/6390/4715/1327/51079/126328/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",43,0.583450356150831,1.81357624498892,0.000330900913849459,0.00307002514515887,0.00192541759812989,1101,"tags=33%, list=11%, signal=29%","3119/3113/3383/3112/3115/3122/958/1604/3109/3108/5880/2534/3117/6645","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00280","Valine, leucine and isoleucine degradation",40,-0.494566309552969,-1.98360729161519,0.000377421924652896,0.00340699791443425,0.00213675570429378,2005,"tags=40%, list=20%, signal=32%","1892/3033/3032/217/3155/594/5096/10449/35/39/11112/587/3028/38/549/3158","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04010","MAPK signaling pathway",181,0.425489528905003,1.5554807162613,0.00052027508293216,0.00457294414998267,0.00286799837959833,2962,"tags=40%, list=29%, signal=29%","1844/3310/9064/3553/3164/994/6655/1848/9048/25780/9693/4233/4214/5922/6654/5880/7046/2264/10746/5062/4217/80824/673/4216/5801/5578/6788/57551/7423/1956/5921/5530/6416/8491/2005/7422/1326/5154/6789/4763/1647/1943/9448/7048/1386/1850/5534/6237/23118/51347/3303/4254/9252/776/2069/5567/5908/4208/6197/355/9479/2263/836/3480/3925/3643/5601/4915/4791/9175/4294/5605","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04977","Vitamin digestion and absorption",20,0.696610193740591,1.89669945809829,0.000538549034772247,0.00461218916958796,0.00289261154978886,95,"tags=15%, list=1%, signal=15%","338/2346/5948","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",18,0.715518262329317,1.88564408931158,0.0005747956521685,0.00468248165425071,0.00293669665677873,539,"tags=44%, list=5%, signal=42%","3119/3113/3112/3115/3122/958/3109/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",18,0.715518262329317,1.88564408931158,0.0005747956521685,0.00468248165425071,0.00293669665677873,539,"tags=44%, list=5%, signal=42%","3119/3113/3112/3115/3122/958/3109/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05205","Proteoglycans in cancer",129,0.437948131956378,1.56878667104421,0.000589170490646433,0.00468530818752164,0.00293846936437695,3488,"tags=53%, list=34%, signal=36%","2335/960/1634/3673/6655/3709/4233/5295/4193/7099/6654/6093/9475/5962/4478/3685/5291/867/673/8826/5781/5578/5290/1956/51196/1277/10818/6774/2549/8503/6469/8324/4660/7422/4659/3688/2719/6198/288/7482/4060/5747/6237/1655/23365/1499/595/5567/355/27250/836/857/3480/8323/817/3091/5605/858/2885/1975/8325/5170/5579/5594/7976/3845/7023/5500/10451","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",18,0.713909763037353,1.88140512387598,0.000605533102026207,0.00470344316457566,0.00294984301843856,539,"tags=44%, list=5%, signal=42%","3119/3113/3112/3115/3122/3553/3109/3108","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00630","Glyoxylate and dicarboxylate metabolism",25,-0.572603168624795,-2.01086676967623,0.000629851543760931,0.00478114580945798,0.00299857553130204,2868,"tags=64%, list=28%, signal=46%","1738/2653/84693/2752/50/9380/6470/84532/4190/81888/847/5096/4191/39/38/189","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04621","NOD-like receptor signaling pathway",126,0.443285628293183,1.58517077583121,0.000705602874607347,0.00523714133597453,0.0032845607496342,2605,"tags=42%, list=26%, signal=32%","1670/115361/1671/3428/4939/3553/2633/596/84674/63940/3709/6772/330/2635/7099/5586/6352/1536/2919/3320/7128/3716/55669/29110/3454/140609/834/23236/331/838/10059/6041/841/10628/79184/5585/257397/5332/837/23118/3326/10135/54822/7188/118429/3606/9051/22900/2920/57506/7158/6773/23710","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04064","NF-kappa B signaling pathway",67,0.516548570863981,1.71365741109729,0.000729511361700063,0.00529688684364828,0.00332203114366848,2146,"tags=39%, list=21%, signal=31%","3383/4050/958/3553/596/10892/330/6351/7099/4067/2919/8792/23085/10673/7128/331/1647/8915/1459/142/472/1540/257397/23118/7188/29760","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04260","Cardiac muscle contraction",42,-0.457451954539691,-1.86300801102717,0.000758755382680258,0.00539200633649375,0.00338168692392769,1320,"tags=40%, list=13%, signal=35%","7384/29796/1350/9167/1351/1345/7388/1340/1329/1347/7386/4512/27089/9377/1537/1327/1337","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05417","Lipid and atherosclerosis",150,0.438431412751601,1.58620539002719,0.000790020422377914,0.00549722543904632,0.00344767684327204,2379,"tags=34%, list=23%, signal=26%","338/3383/3310/4773/958/3717/3553/596/57534/5452/4689/5295/7099/9451/4067/6352/9475/1536/2081/2919/3320/4217/5291/5451/19/5578/5290/29110/6774/5530/834/6416/23236/8503/7184/841/3306/5534/3329/7494/5747/5332/23118/3326/8797/3303/317/3606/5908/4780/355","Up","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04146","Peroxisome",72,-0.36899149606129,-1.70759306221936,0.000846893832397252,0.00577270489838127,0.00362044839198825,2080,"tags=50%, list=20%, signal=40%","5830/5191/5824/10478/10901/8309/11264/10654/8799/5264/25824/55825/2053/5192/3417/1384/3155/5052/26063/23417/847/6647/4358/92960/23305/373156/1610/9409/3418/283927/84769/5827/189/23600/1891/10005","Down","Enterocytes_TMIGD1_MEP1A","EPI","Colon","InactiveCD_vs_Control","dataset_02"
