"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05150","Staphylococcus aureus infection",16,0.934423497852695,2.37582141392119,1e-10,1.575e-08,1.00526315789474e-08,38,"tags=62%, list=1%, signal=62%","3113/1670/3115/3127/3122/3119/1671/3109/3123/3108","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",14,0.943063827377339,2.32124620172108,1e-10,1.575e-08,1.00526315789474e-08,38,"tags=57%, list=1%, signal=57%","3113/3115/3127/3122/3119/3109/3123/3108","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",28,0.810900050981999,2.2545366515576,3.71161385438956e-09,2.87136328709938e-07,1.83268300028732e-07,423,"tags=46%, list=7%, signal=43%","3113/3115/3127/3122/3119/3109/3123/3108/6645/3133/3134/8672/1604","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",14,0.907019024310498,2.2325259478191,6.8264294289771e-09,2.87136328709938e-07,1.83268300028732e-07,242,"tags=71%, list=4%, signal=69%","3113/3115/3127/3122/3119/3109/3123/3108/3133/3134","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",14,0.907019024310498,2.2325259478191,6.8264294289771e-09,2.87136328709938e-07,1.83268300028732e-07,242,"tags=71%, list=4%, signal=69%","3113/3115/3127/3122/3119/3109/3123/3108/3133/3134","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",14,0.907019024310498,2.2325259478191,6.8264294289771e-09,2.87136328709938e-07,1.83268300028732e-07,242,"tags=71%, list=4%, signal=69%","3113/3115/3127/3122/3119/3109/3123/3108/3133/3134","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05321","Inflammatory bowel disease",19,0.857775537776914,2.26358032991561,6.83919636418036e-09,2.87136328709938e-07,1.83268300028732e-07,92,"tags=47%, list=2%, signal=47%","3113/3115/3127/3122/3119/3109/3123/3108/6772","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05169","Epstein-Barr virus infection",104,0.597339279481523,1.98222687120125,7.29235120533175e-09,2.87136328709938e-07,1.83268300028732e-07,1161,"tags=41%, list=19%, signal=34%","3113/3115/3127/7128/3122/3119/3109/3123/3108/5295/7431/6772/9636/3133/4193/3134/8819/79685/5925/3454/3716/6892/1021/596/6890/5610/894/3516/896/811/1647/4616/1026/595/960/1027/3654/6774/5608/5601/3280/3106/5718","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",16,0.883872073735132,2.24729173096832,1.32338248583832e-08,4.63183870043412e-07,2.95632812625871e-07,242,"tags=62%, list=4%, signal=60%","3113/3115/3127/3122/3119/3109/3123/3108/3133/3134","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05168","Herpes simplex virus 1 infection",87,0.616197753826201,2.02058715840647,2.39765505796411e-08,7.55261343258693e-07,4.82054859022257e-07,845,"tags=33%, list=14%, signal=29%","3113/684/3115/3127/3122/3119/972/3109/3123/3108/5295/9021/6772/3133/10189/5781/3134/3454/56829/3716/6892/329/596/6890/5610/440275/5451/811/6732","Up","Stem_cells_OLFM4","EPI","Colon","InactiveCD_vs_Control","dataset_02"
