"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa03010","Ribosome",127,-0.613274642604867,-3.44087445798688,1e-10,2.74166666666667e-09,1.56140350877193e-09,2151,"tags=65%, list=21%, signal=52%","51023/64968/2197/25873/6164/6165/6155/63875/6189/51116/6210/51021/29074/64960/9045/65003/6143/64965/6230/51069/6192/51073/11222/6209/6154/6183/6136/11224/6142/6137/64979/6161/6171/6181/6128/6135/6147/6201/10573/64928/29088/6204/6157/6203/6182/64963/6223/219927/4736/55168/6222/64981/51264/51121/124995/6193/6208/6134/6132/6150/54948/6175/6191/6188/6122/6124/51081/65005/29093/6138/63931/23521/6129/64983/6187/6194/79590/6160/140801/6173/6139/6218","Down","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",23,0.884959826511123,2.47438511549713,1e-10,2.74166666666667e-09,1.56140350877193e-09,145,"tags=52%, list=1%, signal=52%","3113/3115/3117/3111/3127/717/3118/3122/3119/3109/3123/3108","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",22,0.89709900344071,2.45888428083083,1e-10,2.74166666666667e-09,1.56140350877193e-09,277,"tags=55%, list=3%, signal=53%","3113/3115/3117/3111/3127/3118/3122/3119/3109/3123/3108/3134","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05321","Inflammatory bowel disease",26,0.858677973701444,2.44980744535431,1e-10,2.74166666666667e-09,1.56140350877193e-09,241,"tags=46%, list=2%, signal=45%","3113/3115/3117/3111/3127/3118/3122/3119/3109/3123/3108/6772","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",18,0.918182905774212,2.44742392225021,1e-10,2.74166666666667e-09,1.56140350877193e-09,277,"tags=67%, list=3%, signal=65%","3113/3115/3117/3111/3127/3118/3122/3119/3109/3123/3108/3134","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",19,0.897246943064071,2.41105601385894,1e-10,2.74166666666667e-09,1.56140350877193e-09,277,"tags=63%, list=3%, signal=62%","3113/3115/3117/3111/3127/3118/3122/3119/3109/3123/3108/3134","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",19,0.897246943064071,2.41105601385894,1e-10,2.74166666666667e-09,1.56140350877193e-09,277,"tags=63%, list=3%, signal=62%","3113/3115/3117/3111/3127/3118/3122/3119/3109/3123/3108/3134","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05150","Staphylococcus aureus infection",26,0.8405410212807,2.39806273728308,1e-10,2.74166666666667e-09,1.56140350877193e-09,145,"tags=50%, list=1%, signal=49%","1670/3113/3115/3117/3111/3127/717/3118/3122/3119/3109/3123/3108","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05140","Leishmaniasis",42,0.760580190320603,2.35824778326603,1e-10,2.74166666666667e-09,1.56140350877193e-09,241,"tags=31%, list=2%, signal=30%","3113/3115/3117/3111/3127/3118/3122/3119/3717/3109/3123/3108/6772","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04612","Antigen processing and presentation",49,0.733346694793585,2.32770985177809,1e-10,2.74166666666667e-09,1.56140350877193e-09,277,"tags=31%, list=3%, signal=30%","3113/3115/3117/3310/3111/3127/3118/3122/3119/4261/3109/3123/972/3108/3134","Up","Stem_cells_OLFM4_LGR5","EPI","Colon","InactiveCD_vs_Control","dataset_02"
