"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001568","blood vessel development",358,0.445479566208967,1.49190621151116,2.56292964968136e-07,2.67854625387809e-05,2.03415679564184e-05,2852,"tags=43%, list=29%, signal=31%","2335/4638/10267/4208/25932/639/407021/3209/7128/27161/55294/6772/7498/4193/25976/10481/57534/5629/958/2113/8503/9451/3696/196/10512/5311/5286/9475/7852/8325/9693/6654/6093/634/2069/7423/3949/3716/3099/5154/163/7082/1948/375056/64783/23411/5747/5921/657/79733/182/93/10672/5291/57674/4086/65125/9982/348/7474/2152/672/3988/7046/6505/80155/5578/8091/3248/2308/29775/9525/6237/29072/26523/54453/55636/51129/5534/57178/4763/3685/161742/9021/1499/144455/7026/3091/841/6789/3280/26057/1960/22905/6774/10253/998/6558/3688/4643/4691/6934/11064/301/3516/54583/7422/1959/51752/7098/28984/7855/154796/7534/6659/7342/6926/3606/90993/55810/441478/204851/5594/2549/7716/1954/1906/5290/25831/23328/81575/7798/10365/28982/1386/4915/5469/10769/2683/2969/659/116150/23576/51564/5663/64218/28996/196528/84830/889/57556/3200/80149","BP","Up",2
"GO:0001932","regulation of protein phosphorylation",369,0.45407030903301,1.52199919916297,3.73059386855808e-08,5.3166615041905e-06,4.03760924912841e-06,3125,"tags=48%, list=32%, signal=34%","2335/8099/388585/972/3123/152559/9966/54625/1062/324/5028/122809/9928/4254/55294/7498/22998/5591/7405/22863/10464/8826/5629/9655/8503/27020/54431/9451/26146/171392/5611/1028/9475/5144/57732/2241/9693/10527/5062/4067/4217/634/2069/96459/7525/650/7423/84919/10142/8797/25998/1894/5154/1956/23411/92597/5747/2081/2776/83666/9113/5911/51755/150/8792/5781/4216/84327/348/1030/51719/5569/7474/1027/7532/8754/5997/80829/4040/8091/29775/23043/6773/2043/904/2146/55023/5925/58533/894/161742/57600/5347/10114/641/1946/3093/92/4690/5728/4683/7026/7984/6789/8651/57506/3280/55022/8767/64061/9134/5912/10253/28232/219771/1839/10111/5618/8812/1609/64853/57826/7422/22974/7098/54465/28984/51347/1654/27250/10795/3606/10507/64324/595/11329/23394/11261/5594/1845/3301/374/905/1906/23328/7016/103/6885/7520/56288/7037/4915/6868/3845/51527/5770/7157/84830/1908/355/80149/29950/8737/63967/253260/2475/11235/29110/151195/23603/5605/3643/57161/3843/100506658/9052","BP","Up",2
"GO:0002250","adaptive immune response",194,0.522708154475178,1.71414513852136,2.86164912987225e-09,7.7274714688988e-07,5.86844023276825e-07,2227,"tags=40%, list=23%, signal=31%","3113/3115/3109/717/3117/3118/3122/3127/915/3119/972/4208/3123/3108/639/2033/7133/7128/10384/969/214/3659/55183/958/9655/3133/1604/196/3426/3134/79915/384/4067/634/3716/602/23411/10892/10865/6890/118460/54542/55824/182/3572/8792/8915/975/4615/56957/7532/4179/2956/149041/3956/54941/4976/64332/9021/64421/4683/165918/8767/6774/5873/7158/301/22890/51752/440275/7855/11119/23376/11118/10312/3606/6830","BP","Up",1
"GO:0002694","regulation of leukocyte activation",282,0.486482075073347,1.61636837831158,2.95756934807949e-09,7.7274714688988e-07,5.86844023276825e-07,2441,"tags=40%, list=25%, signal=31%","3113/3115/3109/3117/2335/3118/3122/3127/3119/972/4208/3123/51237/3108/639/2033/7133/57181/7128/969/8013/5320/57678/4254/3659/5591/143684/55183/10464/958/9655/7805/10808/3133/6352/1604/196/6655/26258/2241/79915/384/6654/4067/9867/7525/3949/472/83737/9258/1948/1739/10892/1326/118460/54542/5530/55824/29117/7409/3572/8546/8915/5781/7474/975/4615/7532/4179/149041/3956/596/4773/57492/4976/57178/64332/84524/1499/4690/8651/3280/5074/1960/8767/6932/6599/836/5618/7158/2177/301/3574/22890/23376/6659/3606/6602/6830/8660/441478/6595/57045/8654/1845/4860/1540/5290/6601/6776/5880/3561","BP","Up",1
"GO:0003682","chromatin binding",432,0.408727041998486,1.3654590726292,1.52193082727817e-05,0.00039738028976062,0.000302221392007049,3656,"tags=50%, list=38%, signal=33%","23270/388585/6498/64318/639/2033/9219/7404/6881/1063/6772/8805/54454/10721/29028/122953/8932/2332/9575/7543/4297/7486/4205/55818/4591/23512/8648/56916/10622/80012/5927/546/9425/83990/10499/1956/6310/27324/23522/2005/23411/57697/8467/10865/57634/5422/25836/221037/7150/8725/23211/51322/55870/5884/11169/8861/254394/80854/10274/84181/50809/6418/2956/22904/8091/7153/7994/2308/4773/7702/11335/904/57492/2146/8243/11143/7091/5563/55636/1499/7259/3070/23186/51316/79977/170959/165918/10664/114825/3280/64431/26057/4088/64061/6774/79685/6599/2072/79809/11198/5430/4087/80173/57680/5885/84515/6934/84629/7175/10725/10951/3516/51317/2551/2494/1106/254225/27030/7528/1959/6873/3720/80335/4774/7403/9960/7019/5978/1105/22809/8535/10735/90993/64324/3169/6602/3184/6830/23394/1058/5934/5933/6595/23060/905/1025/56254/6601/84456/23523/55193/90378/4928/6777/1386/55252/93624/3192/54107/5469/5976/7157/5562/51564/661/25885/1059/81/3172/80149/1912/23133/473/9612/10592/117608/26053/2002/2627/5585/27316/6670/4676/83743/23476/7155/55274/2309/55206/4790/1387/114785/54799/23135/5316/9156/1655/9126/1788/54828/81550/11168/342371/84656/11128/7343/51460/9968/23054/4221/23636/8289/6421/1108/148479/7494/1786/648","MF","Up",6
"GO:0004672","protein kinase activity",371,0.427564021231404,1.42313426419484,2.25283747106364e-06,0.00020576941934075,0.000156494727967272,3287,"tags=47%, list=34%, signal=32%","22848/4638/8814/8491/9748/8805/5591/6352/9874/9451/817/10420/9475/1456/55589/10746/2241/5062/57551/5163/4067/127933/6093/4217/4233/8780/7525/6197/7272/472/3716/5610/5586/545/1956/140609/5597/5747/200576/2081/23683/1326/701/5567/7150/1459/9113/26750/9262/657/2011/9031/1457/51755/5581/93/53944/79834/4139/5291/2932/146057/4216/54861/1859/4214/65125/23049/11011/51701/7046/51232/5578/27347/55681/1111/23043/84930/2043/728642/5563/9943/11113/5347/10114/54986/6732/92/6872/22853/8621/6789/11183/5681/1452/54822/5289/255967/6788/8767/5128/8999/10733/55561/8812/130399/80216/6416/440275/1021/3480/51347/6787/3706/11040/8445/1147/699/595/29904/11329/55359/204851/5594/9064/1025/5290/6790/9578/7016/8895/5565/6885/2444/5608/1455/4915/10769/659/65975/5562/8573/28996/2931/8476/5584/8428/4750/9252/149420/8737/4293/4752/166614/2475/29110/5605/84687/6446/283455/5585/3643/23476/9175/3654/10645/8997/23387/3551/6198/673/1969/51422","MF","Up",7
"GO:0005667","transcription regulator complex",362,0.390831986844961,1.30275490682161,0.00115051668685812,0.0157150120182211,0.0121657506122318,2794,"tags=35%, list=29%, signal=26%","5307/161882/8099/6498/2033/9219/7391/6881/571/8013/4783/8543/6772/4193/5591/10481/55729/23013/122953/8932/9575/196/7003/5090/57708/4205/55814/8648/132660/9603/10499/4194/4084/10865/2874/6884/2957/5932/79733/4093/2117/4090/4086/8861/10153/51132/1602/9330/80155/27097/4773/6773/11335/5451/83860/7091/6875/79612/6596/5925/6877/9014/1499/55635/23186/2967/144455/10625/6872/5926/3091/7464/4088/6932/79718/6774/463/5991/55758/6314/4087/10379/25929/6934/116071/3182/1488/10725/3516/2494/54797/7528/10443/6873/3727/6938/147912/5978/5087/22809/6659/51008/595/79101/23394/6917/5934/5933/8864/9282/91750/1385/1871/6776/51003/3068/6777/54815/1386/4800/3192/5469/728340/7157/9329/1052/28996/9412","CC","Up",6
"GO:0007159","leukocyte cell-cell adhesion",209,0.507558531799296,1.66740026612975,7.69282573021249e-09,1.64451633678133e-06,1.24888792835459e-06,2474,"tags=45%, list=25%, signal=34%","3113/3115/3109/3117/3118/3122/3127/3119/972/3123/3108/2033/969/8013/5320/57678/4254/3659/2113/9655/7805/10808/3133/6352/1604/384/4067/6093/7525/2131/83737/340481/1948/1739/375056/10892/1326/54542/5530/55824/29117/7409/3572/8546/8915/5781/56477/65125/975/7532/4179/149041/3956/57492/4976/57178/64332/84524/4690/8651/3280/5074/1960/8767/6599/3688/836/10725/301/2526/3574/22890/7430/23376/2650/6659/3606/10507/6602/445/441478/6595/57045/8654/1845/4860/1540/5290/6601/6776/5880/3561/64083/55193","BP","Up",1
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",452,0.406442906980732,1.3597224481314,1.57777996080171e-05,0.00039738028976062,0.000302221392007049,3287,"tags=45%, list=34%, signal=32%","22848/4638/5295/8814/8491/9748/8805/5591/8503/6352/9874/9451/817/10420/5286/9475/1456/55589/10746/2241/5062/55728/5305/57551/5163/4067/127933/6093/256356/4217/4233/8780/7525/6197/7272/472/3716/5610/3099/5586/545/1956/253430/140609/5597/5747/200576/2081/23683/1326/701/160851/5567/7150/1459/9113/26750/9262/657/2011/9031/1457/9917/51755/5581/93/53944/79834/4139/5291/2932/79646/146057/4216/54861/1859/4214/65125/23049/1606/11011/51701/7046/51232/8526/5578/2710/27347/55681/1111/23043/84930/2043/728642/5563/9943/55300/11113/5347/10114/54986/6732/92/6872/22853/8621/6789/11183/5681/1452/54822/5289/255967/6788/8767/5128/283209/8999/10733/55561/8812/79707/1609/130399/80216/6416/440275/1021/3480/51347/6787/3706/8394/11040/8445/1147/699/595/29904/11329/55359/80271/10020/204851/5594/5209/8525/9064/1025/5290/6790/9578/7016/79877/8895/5565/6885/2444/5608/1455/4915/10769/51251/659/65975/5562/8573/28996/2931/8476/5584/8428/4750/9060/55312/3098/9252/149420/8737/4293/4752/166614/2475/29110/5605/84687/6446/283455/5585/3643/23476/9175/53354/55750/3654/79837/10645/80201/8997/23387/3551/6198/673/1969/51422","MF","Up",7
"GO:0019220","regulation of phosphate metabolic process",479,0.434285486971868,1.46100697368328,2.73926632813419e-08,4.53963538254686e-06,3.44751566256286e-06,3125,"tags=45%, list=32%, signal=32%","229/2335/8099/388585/972/4208/3123/152559/9966/54625/1062/324/5028/84879/122809/2033/9928/4254/55294/8543/7498/22998/5591/7405/22863/10464/8826/5629/9655/8503/144811/27020/54431/6352/9451/26146/171392/5611/1028/9475/79888/23293/5144/57732/2241/9693/10527/5062/5163/4067/6093/4217/10059/634/2069/96459/7525/650/7423/3949/84919/10142/8797/25998/1894/978/5154/1956/23411/92597/5747/2081/2776/83666/9113/8725/5911/51755/150/8792/8915/5884/5781/84166/4216/84327/8861/348/1030/51719/5569/7474/2181/1027/7532/8754/5997/80829/4040/8091/8671/29775/23043/6773/2043/904/2146/5563/55023/5925/58533/894/161742/57600/5347/10114/641/1946/3093/92/4690/5728/4683/7026/3091/7984/6789/8651/57506/3280/55022/8767/64061/9134/5912/6774/10253/28232/219771/1839/10111/9887/5618/8812/1609/27010/64853/57826/580/7422/22974/7098/54465/28984/51347/1654/27250/10795/133522/3606/10507/64324/595/3655/8660/11329/23394/5934/5933/11261/5594/1845/3301/374/905/1906/23328/7016/4199/103/6885/7520/51341/56288/7037/3192/4915/6868/3845/51527/5770/7157/5562/5663/84830/2931/1908/355/80149/8870/132671/29950/8737/63967/253260/2475/11235/29110/151195/23603/5605/3643/57161/3843/100506658/9052","BP","Up",2
