"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04612","Antigen processing and presentation",45,0.804118661283577,2.83545094521677,1e-10,3.76666666666667e-09,3.28654970760234e-09,305,"tags=40%, list=3%, signal=39%","3123/3122/3115/3113/972/3108/3109/3119/3127/3134/6891/3106/3133/3105/4261/3107/567/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05140","Leishmaniasis",41,0.784382876975188,2.71932219688216,1e-10,3.76666666666667e-09,3.28654970760234e-09,643,"tags=34%, list=6%, signal=32%","3123/3122/3115/3113/3108/3109/3119/2353/3127/6772/3117/3725/51135/7189","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04940","Type I diabetes mellitus",19,0.929312236257269,2.71182484413473,1e-10,3.76666666666667e-09,3.28654970760234e-09,305,"tags=79%, list=3%, signal=77%","3123/3122/3115/3113/3108/3109/3119/3127/3134/3106/3133/3105/3107/355/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",16,0.964611233729127,2.67466732199265,1e-10,3.76666666666667e-09,3.28654970760234e-09,305,"tags=94%, list=3%, signal=91%","3123/3122/3115/3113/3108/3109/3119/3127/3134/3106/3133/3105/3107/355/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",16,0.964611233729127,2.67466732199265,1e-10,3.76666666666667e-09,3.28654970760234e-09,305,"tags=94%, list=3%, signal=91%","3123/3122/3115/3113/3108/3109/3119/3127/3134/3106/3133/3105/3107/355/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05164","Influenza A",112,0.629560275610053,2.67216853936677,1e-10,3.76666666666667e-09,3.28654970760234e-09,625,"tags=21%, list=6%, signal=20%","3123/3122/3115/3113/3108/3109/3119/3127/9021/4261/842/3665/4938/834/6772/355/8795/3117/9641/51135/8480/207/3606/3661","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05332","Graft-versus-host disease",15,0.97370568501224,2.65074321131298,1e-10,3.76666666666667e-09,3.28654970760234e-09,305,"tags=100%, list=3%, signal=97%","3123/3122/3115/3113/3108/3109/3119/3127/3134/3106/3133/3105/3107/355/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",128,0.616812289469572,2.64129663202498,1e-10,3.76666666666667e-09,3.28654970760234e-09,941,"tags=28%, list=9%, signal=26%","3123/684/3122/3115/3113/972/3108/3109/3119/3127/3134/9021/6891/3106/3133/3105/842/3665/4938/3107/6772/355/567/3117/25833/9641/51135/10929/207/3661/7189/6890/578/1616/6885/330","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05169","Epstein-Barr virus infection",147,0.586873589380538,2.57927539471241,1e-10,3.76666666666667e-09,3.28654970760234e-09,890,"tags=27%, list=8%, signal=25%","3123/3122/3115/3113/3108/3109/3119/3127/9636/3134/6891/3106/3133/4791/3105/842/3665/4938/3107/6772/355/567/3117/953/5971/890/9641/3725/3066/51135/5606/207/3661/7189/6890/4734/578/3280/6885","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",45,0.74222303627046,2.61719707685351,1.14975687403861e-09,3.89767580299089e-08,3.40085980636684e-08,407,"tags=36%, list=4%, signal=34%","3123/3122/3115/3113/3108/3109/3119/3127/3134/3106/3133/3105/842/3107/3117/1604","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05150","Staphylococcus aureus infection",19,0.887354148981058,2.58938700349437,1.58253115549044e-09,4.87707328828417e-08,4.25541870519439e-08,305,"tags=58%, list=3%, signal=56%","3123/3122/3115/3113/3108/3109/717/3119/3127/1672/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05166","Human T-cell leukemia virus 1 infection",171,0.487260086713998,2.2042159970723,2.16239825828539e-09,5.94576536449325e-08,5.18789028853471e-08,592,"tags=16%, list=5%, signal=15%","3123/3122/3115/3113/3108/3109/3119/2353/3127/3134/3106/111/3133/4791/3105/5534/3107/567/3117/1030/5971/7538/890/3725/2113/207/64764","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05145","Toxoplasmosis",76,0.640770964340152,2.55927758352726,2.28008701293251e-09,5.94576536449325e-08,5.18789028853471e-08,1290,"tags=37%, list=12%, signal=33%","3123/3122/3115/3113/3108/3109/3119/3127/3915/4261/842/6772/3117/3918/51135/5606/207/7189/3909/240/6885/330/3914/3949/5970/5608/331/3588","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04672","Intestinal immune network for IgA production",18,0.891794841753931,2.58204080997731,2.59462922566803e-09,6.28270933929616e-08,5.48188580761441e-08,305,"tags=50%, list=3%, signal=49%","3123/3122/3115/3113/3108/3109/3119/3127/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05321","Inflammatory bowel disease",26,0.829814173978811,2.61562852100149,4.0771093998693e-09,9.21426724370461e-08,8.03977362360191e-08,615,"tags=46%, list=6%, signal=44%","3123/3122/3115/3113/3108/3109/3119/3127/6772/3117/3725/3606","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04640","Hematopoietic cell lineage",31,0.802513003401789,2.63003299633417,8.21016059943978e-09,1.7395277770063e-07,1.51779942660696e-07,407,"tags=35%, list=4%, signal=34%","3123/3122/3115/3113/3108/3109/3119/3127/929/3117/1604","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05310","Asthma",10,0.961743306355228,2.27597570930909,1.99523219415292e-08,3.87757217503553e-07,3.38331868090353e-07,305,"tags=90%, list=3%, signal=88%","3123/3122/3115/3113/3108/3109/3119/3127/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04658","Th1 and Th2 cell differentiation",54,0.687303111022507,2.55551659693074,2.05888788054984e-08,3.87757217503553e-07,3.38331868090353e-07,305,"tags=22%, list=3%, signal=22%","3123/3122/3115/3113/3108/3109/3119/2353/3127/5534/6772/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04514","Cell adhesion molecules",62,0.658391476055706,2.54918362285185,2.66430257133e-08,4.75367669305721e-07,4.14775081741679e-07,496,"tags=27%, list=4%, signal=26%","3123/3122/3115/3113/3108/3109/3119/3127/3134/5817/3106/3133/3105/3107/3117/3685/83700","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05152","Tuberculosis",103,0.5569993760409,2.31364956906004,3.55059665541437e-08,6.01826133092736e-07,5.25114557984967e-07,657,"tags=19%, list=6%, signal=18%","3123/3122/3115/3113/972/3108/3109/3119/3127/4261/842/5534/929/6772/3117/51135/207/3606/7189/11151","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05322","Systemic lupus erythematosus",21,0.844261451072575,2.52368656936029,4.79792727727984e-08,7.7452254618946e-07,6.75798278153201e-07,28,"tags=43%, list=0%, signal=43%","3123/3122/3115/3113/3108/3109/717/3119/3127","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04145","Phagosome",87,0.584219617629515,2.34058386786107,5.03998701005219e-08,7.76616180185314e-07,6.77625047762997e-07,709,"tags=24%, list=6%, signal=23%","3123/3122/3115/3113/3108/3109/3119/3127/3134/6891/3106/3133/3105/3107/929/3117/3685/7057/6890/11151/7037","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05323","Rheumatoid arthritis",40,0.714294543727793,2.44518296090281,2.12870161192554e-07,3.13752107149026e-06,2.73759795400951e-06,615,"tags=38%, list=6%, signal=36%","3123/3122/3115/3113/3108/3109/3119/2353/3127/2919/2921/2920/3117/3725/3606","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04659","Th17 cell differentiation",68,0.603436858581973,2.34769504252824,6.54890518325586e-07,9.2503285713489e-06,8.07123840567937e-06,305,"tags=18%, list=3%, signal=17%","3123/3122/3115/3113/3108/3109/3119/2353/3127/5534/6772/3117","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05170","Human immunodeficiency virus 1 infection",149,0.422905978131856,1.85185226517096,4.27697964509906e-05,0.000579958439875433,0.000506034223272773,1216,"tags=22%, list=11%, signal=20%","684/2353/27350/3134/6891/3106/3133/3105/842/5534/3107/355/567/3708/7133/5829/130340/3725/51135/85363/5606/207/3661/7189/6890/578/2788/25939/6885/4893/808/5970/5608","Up","Cycling_TA","EPI","Colon","InactiveCD_vs_Control","dataset_03"
