"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05332","Graft-versus-host disease",12,0.911513878022723,2.2589279185204,4.70326860113606e-08,4.25095670779342e-06,3.84346522994686e-06,493,"tags=83%, list=6%, signal=78%","3122/3123/3553/3119/3115/3106/3107/3105/3113/3134","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04940","Type I diabetes mellitus",15,0.883500978169327,2.31639884702289,5.03568978557005e-08,4.25095670779342e-06,3.84346522994686e-06,493,"tags=67%, list=6%, signal=63%","3122/3123/3553/3119/3115/3106/3107/3105/3113/3134","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",12,0.911193704887077,2.25813446045869,5.33035323861244e-08,4.25095670779342e-06,3.84346522994686e-06,493,"tags=83%, list=6%, signal=78%","3122/3123/958/3119/3115/3106/3107/3105/3113/3134","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",12,0.911193704887077,2.25813446045869,5.33035323861244e-08,4.25095670779342e-06,3.84346522994686e-06,493,"tags=83%, list=6%, signal=78%","3122/3123/958/3119/3115/3106/3107/3105/3113/3134","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04672","Intestinal immune network for IgA production",14,0.885621792812823,2.26449732470182,6.94286352878424e-08,4.42954693136434e-06,4.0049360144987e-06,405,"tags=64%, list=5%, signal=61%","3122/3123/958/3119/3115/8741/3601/9020/3113","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04640","Hematopoietic cell lineage",26,0.773545190455014,2.2799759262296,1.20299616587103e-07,6.39592961521434e-06,5.78282367453796e-06,405,"tags=42%, list=5%, signal=40%","3122/3123/3553/1604/3119/3574/951/3115/3570/3673/3113","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa04612","Antigen processing and presentation",36,0.717634740760213,2.29967965558751,1.46453120625352e-07,6.67407792564106e-06,6.03430903027768e-06,984,"tags=53%, list=13%, signal=46%","3122/3123/3119/972/3115/1514/3106/6890/3107/3105/10197/3113/2923/3134/567/3309/3306/6891/3326","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",33,0.703643757327938,2.20421241160883,2.01113574093918e-06,8.01940376699497e-05,7.25067359233335e-05,493,"tags=36%, list=6%, signal=34%","3122/3123/958/1604/3119/3115/3106/3107/3105/5880/3113/3134","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",117,0.496044964736779,1.96448190381489,3.13642602021517e-06,0.000111168877827626,0.000100512366027948,831,"tags=23%, list=11%, signal=21%","684/3122/3123/3553/3119/972/330/7098/3115/3106/578/7189/6890/8890/3107/29990/3105/4792/3113/2923/3134/567/148022/6772/29110/6891/207","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
"hsa05169","Epstein-Barr virus infection",127,0.475210379281493,1.91060647320329,1.08214623034277e-05,0.000314598919198197,0.000284441854018499,1363,"tags=30%, list=18%, signal=25%","3122/3123/958/3119/4067/3115/3106/894/578/7189/7128/6890/3107/1027/9636/3105/9020/4792/3113/2923/3134/567/3066/6772/29110/5971/1871/6891/207/896/6774/4938/377841/841/5606/10454/5290/960","Up","Mature_Goblet","EPI","Colon","InactiveCD_vs_Control","dataset_03"
