"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",447,0.45204119961513,1.46345037688922,1e-10,4.221e-07,3.46210526315789e-07,2355,"tags=51%, list=33%, signal=36%","161882/2033/3096/8932/7764/3727/571/84295/6772/8204/7422/4092/55729/153222/639/4084/122953/441478/7227/9975/57680/4779/23013/3429/96459/5927/23512/10009/25836/146198/55689/6239/9839/1028/29966/2005/9219/4194/57708/55183/7700/29915/51341/4205/10664/8473/23515/23429/51317/4089/5469/64412/4090/23411/2186/22828/23528/6498/57600/3720/8850/6907/8239/5981/7799/10915/79718/5788/1021/2004/10507/1386/8864/168451/6872/6304/8440/5814/1499/26036/8863/84614/3303/2077/10499/7175/6595/3192/49854/11244/53335/28996/8725/4790/4193/54815/4853/864/10628/90378/10155/4783/64324/1108/5813/2120/1523/6934/2117/3607/7534/3337/11080/100381270/11278/51742/6670/9139/65986/8535/51592/2146/51564/23466/84627/4094/9646/7528/22797/23405/359948/5465/7091/6256/463/57459/84159/1739/8013/6659/57659/23613/6721/121536/8543/84524/9960/221937/64750/23019/64207/1387/5481/11060/8241/5467/6421/3090/4799/56257/22890/6310/861/9612/2308/4286/4150/6714/79813/6497/55841/57649/1488/8462/10472/5325/6668/3428/1647/84458/79577/3054/1788/8452/5978/3068/83666/811/26147/10919/4261/4782/23309/8531/167465/2908/1107/4848/57727/9603/9318/1822/53615/51132/170959/7707/4773/60436/2114/7421/4999/10614/6774/51274/4591/23028/1050/64376/604/83855/6929/4208/79618/7428/7071/8554/9208/7430","BP","Up",1
"GO:0000976","transcription cis-regulatory region binding",466,0.453045186356349,1.47604518784657,1e-10,1.15857142857143e-08,8.21052631578948e-09,2277,"tags=51%, list=32%, signal=37%","3096/7764/3097/3727/571/55922/196/6772/8204/728927/153222/27107/639/4084/122953/6667/7227/9975/57541/4779/23269/84166/5927/23512/23394/10009/144348/22936/64864/146198/6239/9839/904/9575/65251/2005/168374/7700/1106/9658/51341/4205/10664/2475/23064/84146/4089/5469/64412/4090/23411/2186/23528/6498/7404/10725/6773/8850/1871/6907/51351/6777/51621/55755/54700/7586/7403/7799/27287/79718/7743/2004/1386/8864/26523/5451/5989/6872/2957/6304/5814/7543/8863/84614/6938/7594/10499/6595/3192/53335/3091/4790/7150/6722/57658/152518/4853/864/4783/360023/64324/55749/5813/8648/2120/1523/6934/2117/3607/100381270/11278/163227/163049/57801/51742/27161/1660/200424/2313/81/6670/65986/8805/8535/7716/2146/90321/7391/4094/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/23476/463/23300/84159/23099/8013/6659/80264/57659/2355/6721/84524/9960/5991/221937/8085/140467/5467/7559/6421/170506/4799/7675/3662/55636/7342/22890/861/2308/5966/4286/284391/4150/1997/6497/25976/8462/22887/440515/5325/6668/9988/29117/1788/7343/3344/8848/5978/7520/23152/6294/988/3068/11176/2000/9889/10919/4261/6925/4520/4782/8531/167465/10308/2908/1107/9603/170959/7707/4773/2114/7024/374655/10320/7421/7702/6776/6774/26959/51274/219749/4800/1050/59269/1385/9189/860/64376/604/285989/23135/83855/6929/4208/5089","MF","Up",1
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",401,0.456485623138565,1.48263273953242,1e-10,1.15857142857143e-08,8.21052631578948e-09,2277,"tags=51%, list=32%, signal=37%","3096/7764/3097/3727/571/55922/196/6772/8204/728927/153222/27107/639/4084/122953/6667/7227/9975/57541/4779/23269/84166/23512/23394/10009/144348/64864/146198/6239/9839/9575/65251/2005/168374/7700/1106/9658/51341/4205/10664/84146/4089/5469/64412/4090/23411/2186/23528/6498/7404/10725/6773/8850/1871/51351/6777/51621/7586/7403/7799/27287/7743/2004/1386/5451/5989/6872/2957/6304/5814/7543/84614/6938/7594/10499/3192/53335/3091/4790/7150/6722/57658/152518/864/4783/360023/64324/55749/5813/8648/2120/1523/6934/2117/3607/11278/163227/163049/57801/1660/200424/2313/81/6670/65986/8805/7716/2146/90321/7391/4094/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/463/23099/8013/6659/80264/57659/2355/6721/84524/9960/5991/221937/140467/5467/7559/170506/4799/7675/3662/55636/7342/22890/861/2308/5966/4286/284391/4150/1997/6497/8462/22887/440515/5325/6668/9988/1788/8848/5978/23152/6294/988/3068/2000/9889/10919/6925/4520/4782/8531/167465/10308/2908/9603/170959/7707/4773/2114/7024/374655/10320/7421/7702/6776/6774/26959/51274/219749/4800/1050/59269/1385/9189/860/64376/604/285989/23135/83855/6929/4208/5089","MF","Up",1
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",350,0.449165190962754,1.45286308928323,1.77825276710372e-08,1.03011642437222e-06,7.30019557021526e-07,2272,"tags=50%, list=32%, signal=36%","3096/7764/3097/3727/571/55922/196/6772/8204/728927/27107/639/4084/122953/6667/9975/4779/23269/84166/23512/10009/144348/64864/6239/9839/9575/65251/2005/168374/7700/1106/9658/51341/4205/10664/84146/4089/5469/64412/4090/23411/2186/23528/6498/7404/10725/6773/1871/51351/6777/51621/7586/7403/27287/7743/2004/1386/5451/5989/6304/7543/84614/6938/7594/10499/3192/53335/3091/4790/7150/6722/57658/864/4783/360023/64324/55749/2120/6934/3607/11278/163227/57801/1660/200424/2313/6670/8805/2146/90321/7391/4094/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/463/23099/8013/6659/80264/57659/2355/6721/9960/5991/221937/140467/5467/7559/170506/7675/3662/55636/7342/22890/861/2308/5966/4286/4150/1997/6497/8462/22887/440515/5325/6668/9988/1788/8848/5978/6294/3068/2000/6925/4520/4782/167465/10308/2908/9603/170959/7707/4773/2114/7024/374655/10320/7421/7702/6776/6774/26959/51274/4800/1050/59269/1385/9189/860/64376/604/285989/23135/83855/6929/4208","MF","Up",1
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",370,0.461766398822771,1.49590357555877,4.3928997830109e-10,4.4533021550273e-08,3.15595168621573e-08,2277,"tags=52%, list=32%, signal=38%","3096/7764/126208/3097/3727/571/55922/196/6772/728927/153222/27107/639/4084/122953/23036/6667/7227/9975/57541/4779/23269/23394/10009/144348/6018/64864/146198/6239/9839/9575/2005/168374/7700/9658/51341/4205/10664/84146/4089/64412/5090/4090/23528/6498/10725/6773/1871/51351/85460/6777/51621/7586/7799/27287/7743/2004/1386/5451/5989/6304/5814/7543/26036/84614/6938/2077/7594/49854/11244/53335/3091/4790/6722/152518/4853/864/4783/360023/22850/5813/2120/1523/6934/2117/3607/100381270/11278/163227/163049/57801/58487/2313/6670/65986/7716/90321/7391/4094/2969/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/463/23300/23099/8013/11057/6659/80264/57659/22834/2355/6721/84524/5991/221937/5467/7559/3090/4799/7675/3662/7342/22890/861/2308/5966/4286/284391/4150/1997/6497/10194/11262/8462/22887/10472/440515/5325/6668/9988/3344/8848/5978/23152/988/3068/2000/9889/55279/93349/1998/6925/4520/4782/10308/2908/9603/170959/7707/4773/60436/2114/7024/7421/7702/6776/6774/26959/51274/219749/4800/1050/59269/1385/9189/860/64376/604/285989/83855/6929/4208/5089","MF","Up",1
"GO:0000987","cis-regulatory region sequence-specific DNA binding",364,0.44469503980033,1.43994764479655,1.64845569082731e-08,1.02838274250842e-06,7.28790936997338e-07,2272,"tags=50%, list=32%, signal=36%","3096/7764/3097/3727/571/55922/196/6772/8204/728927/27107/639/4084/122953/6667/9975/4779/23269/84166/23512/10009/144348/22936/64864/6239/9839/9575/65251/2005/168374/7700/1106/9658/51341/4205/10664/2475/84146/4089/5469/64412/4090/23411/2186/23528/6498/7404/10725/6773/1871/51351/6777/51621/7586/7403/27287/7743/2004/1386/5451/5989/6304/7543/84614/6938/7594/10499/3192/53335/3091/4790/7150/6722/57658/4853/864/4783/360023/64324/55749/2120/6934/3607/11278/163227/57801/1660/200424/2313/6670/8805/2146/90321/7391/4094/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/463/23099/8013/6659/80264/57659/2355/6721/9960/5991/221937/140467/5467/7559/170506/7675/3662/55636/7342/22890/861/2308/5966/4286/4150/1997/6497/25976/8462/22887/440515/5325/6668/9988/1788/3344/8848/5978/6294/3068/2000/6925/4520/4782/167465/10308/2908/9603/170959/7707/4773/2114/7024/374655/10320/7421/7702/6776/6774/26959/51274/4800/1050/59269/1385/9189/860/64376/604/285989/23135/83855/6929/4208","MF","Up",1
"GO:0001067","transcription regulatory region nucleic acid binding",466,0.453045186356349,1.47604518784657,1e-10,1.15857142857143e-08,8.21052631578948e-09,2277,"tags=51%, list=32%, signal=37%","3096/7764/3097/3727/571/55922/196/6772/8204/728927/153222/27107/639/4084/122953/6667/7227/9975/57541/4779/23269/84166/5927/23512/23394/10009/144348/22936/64864/146198/6239/9839/904/9575/65251/2005/168374/7700/1106/9658/51341/4205/10664/2475/23064/84146/4089/5469/64412/4090/23411/2186/23528/6498/7404/10725/6773/8850/1871/6907/51351/6777/51621/55755/54700/7586/7403/7799/27287/79718/7743/2004/1386/8864/26523/5451/5989/6872/2957/6304/5814/7543/8863/84614/6938/7594/10499/6595/3192/53335/3091/4790/7150/6722/57658/152518/4853/864/4783/360023/64324/55749/5813/8648/2120/1523/6934/2117/3607/100381270/11278/163227/163049/57801/51742/27161/1660/200424/2313/81/6670/65986/8805/8535/7716/2146/90321/7391/4094/7528/3659/22926/22797/54989/4209/2101/93134/54816/7544/5465/6256/23476/463/23300/84159/23099/8013/6659/80264/57659/2355/6721/84524/9960/5991/221937/8085/140467/5467/7559/6421/170506/4799/7675/3662/55636/7342/22890/861/2308/5966/4286/284391/4150/1997/6497/25976/8462/22887/440515/5325/6668/9988/29117/1788/7343/3344/8848/5978/7520/23152/6294/988/3068/11176/2000/9889/10919/4261/6925/4520/4782/8531/167465/10308/2908/1107/9603/170959/7707/4773/2114/7024/374655/10320/7421/7702/6776/6774/26959/51274/219749/4800/1050/59269/1385/9189/860/64376/604/285989/23135/83855/6929/4208/5089","MF","Up",1
"GO:0001568","blood vessel development",278,0.424853736322651,1.35943790015183,1.43815723701568e-05,0.00224831914720118,0.00184409323685948,1953,"tags=42%, list=28%, signal=32%","57534/2321/407021/6654/9475/5795/29072/7423/3552/7052/196/6772/7422/4092/1536/639/441478/6667/23328/55294/3687/9451/26057/57178/9444/84034/5286/6558/4643/5290/10451/9693/5469/4691/23411/538/375056/5921/2683/22918/5743/493/2004/1386/26523/6093/65125/3685/4763/1499/5294/28996/3091/659/6722/889/4193/11064/4853/163/3949/79602/57674/6934/10672/7534/7057/290/2316/27161/204851/9525/54453/7716/51564/5291/4215/2969/7127/5579/841/5311/161742/998/80155/7046/6659/207/10427/4327/5534/91010/23129/4035/6237/3570/64783/55636/7342/861/2308/7048/25976/10769/729230/1647/4627/56913/3678/196528/3716/5170/5578/5371/3688/7128/3099/7798","BP","Up",4
"GO:0001944","vasculature development",291,0.422300784948746,1.35317395964942,2.41552115631033e-05,0.00291493720364405,0.00239085985181493,2174,"tags=45%, list=31%, signal=33%","57534/2321/407021/6654/9475/5795/29072/7423/3552/7052/196/6772/7422/4092/1536/639/441478/6667/23328/55294/3687/9451/26057/57178/9444/84034/5286/6558/4643/5290/10451/9693/5469/4691/23411/538/375056/5921/2683/22918/5743/493/102/2004/1386/26523/6093/65125/3685/4763/1499/5294/28996/3091/659/6722/889/4193/11064/4853/163/3949/79602/57674/6934/10672/7534/7057/290/2316/27161/204851/6794/5532/9525/54453/7716/51564/5291/4215/2969/7127/5579/841/5311/161742/998/80155/7046/6659/207/10427/4327/5534/91010/23129/4035/6237/3570/64783/55636/7342/861/2308/7048/25976/10769/729230/1647/4627/56913/3678/196528/3716/27250/5170/5578/5371/3688/7128/3099/7798/6786/10800/25831/8837/2185/4773/219699/1432/6774","BP","Up",4
"GO:0003682","chromatin binding",349,0.482049778922406,1.55893055798698,1e-10,1.15857142857143e-08,8.21052631578948e-09,2295,"tags=53%, list=32%, signal=38%","2033/8932/29028/23186/84629/54454/2168/9425/84456/6772/6602/10735/8467/80012/639/122953/23211/57680/5422/93624/55818/5927/23512/23394/3070/2956/7155/26057/56916/22904/25836/55274/904/9575/54799/11198/2005/9219/51322/1106/4205/10664/8473/8243/51317/4089/5469/51780/23411/6498/7404/10725/3720/8850/23522/6907/5976/6777/2332/7403/6881/1059/5885/84656/905/55167/1386/56254/80335/6322/64318/7994/6830/6601/7543/1499/50809/57492/10499/7175/6595/3192/254394/6599/546/8725/4790/81550/7150/6722/57658/7259/55193/84181/90378/10155/23060/64324/1108/8648/55870/6934/6418/1660/2313/81/6670/11143/1105/57713/8805/8535/10274/473/23054/2146/51564/23466/7528/5579/7091/23476/57459/4928/254225/221037/114785/2355/5430/9960/3184/1387/6421/83746/4676/55636/80173/6310/9612/2308/4286/8289/4297/6603/9869/114825/10051/11168/165918/1647/3054/1788/7343/27043/5978/7486/8888/6294/64061/80854/26147/10919/23309/1107/55206/57727/23125/53615/170959/4773/7702/23523/6774/4591/23028/9126/1050/171023/860/64376/604/54828/23135/5089/55252/57634","MF","Up",7
