"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa00260","Glycine, serine and threonine metabolism",20,-0.75157075062369,-3.15460282607334,2.34980759164767e-08,7.04942277494302e-06,4.89749371732884e-06,1445,"tags=85%, list=18%, signal=70%","113675/63826/6472/2593/1738/132158/6470/2628/5223/2653/10993/9380/26227/23464/5723/29968/875","Down","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",275,0.442468674045014,1.3908832932879,1.80571918262668e-06,0.000270857877394002,0.000188174946400044,2921,"tags=51%, list=36%, signal=34%","2033/675/2113/7422/4193/3717/9475/3572/861/3320/3575/6773/10125/1871/5295/59345/23365/324/1021/8648/6654/331/10018/6093/10000/5567/6655/867/1499/673/3718/4089/6934/4853/7423/1647/1027/596/4851/207/51426/3326/6772/1050/5291/6667/27436/5601/8202/7185/7175/3716/3725/5900/6198/3685/1488/2475/1387/5290/5579/5743/3688/6776/3454/26060/5734/5467/6777/7046/2308/3570/2771/6256/6775/817/2778/5330/7296/2768/2782/317/894/5605/6778/23401/2535/8321/330/3091/6774/8030/405/1439/4791/1147/6789/1857/83593/2034/3551/3559/7184/54331/8312/7188/4437/5728/10912/5578/4286/109/10672/5293/3458/2932/5594/3560/3845/208/113/54583/7187/8454/998/25/5894/7157/27113/5292/8453/5371/4780/2956/51176/1436/7048/8503/801/4790","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04070","Phosphatidylinositol signaling system",56,0.553204235254099,1.62001053363827,6.04122696049022e-05,0.00604122696049022,0.00419706294097215,3131,"tags=75%, list=38%, signal=47%","3709/253430/3708/8867/5295/5286/8821/160851/8526/3631/5305/22908/23262/5291/4534/5290/5579/200576/8525/8396/5289/5330/8527/8776/3635/9107/8897/22876/5297/1606/5728/9807/5578/5293/55361/8503/801/5298/23396/55300/9110/3636","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04931","Insulin resistance",66,0.519633252519502,1.53496308611448,9.53213564380694e-05,0.00714910173285521,0.00496674436177309,2921,"tags=65%, list=36%, signal=42%","5295/6197/10000/5781/8473/207/5465/1374/9882/5291/2673/5601/133522/5562/6198/2475/5290/5579/5170/8660/2308/376497/5500/6774/5836/200186/3551/5834/5770/5728/5293/6720/2932/208/22877/10062/7124/1385/9586/10999/6195/8503/4790","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04068","FoxO signaling pathway",91,0.502683880353433,1.51120945660711,0.000137170466073809,0.00790988873755731,0.00549529112293455,2423,"tags=54%, list=30%, signal=38%","2033/4193/3575/5295/6654/10018/10000/6655/673/4089/6794/604/1454/23411/1647/1027/207/7874/5291/5601/5562/472/1387/5290/5170/8660/7046/2308/23710/894/5605/8743/6774/2309/1147/6789/8698/3551/5934/5728/10912/80854/6648/1432/5293/5594/3845/208/10733","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05207","Chemical carcinogenesis - receptor activation",94,0.491626378952994,1.48122064806446,0.000162110026722544,0.00790988873755731,0.00549529112293455,2674,"tags=55%, list=33%, signal=38%","407021/7422/3717/196/3320/5295/6197/6654/331/10000/5567/6655/7421/604/4853/3840/596/207/5465/3326/5291/3725/6198/2475/5290/5579/6776/6777/2771/6256/3839/2778/5605/6714/6774/405/7184/408/3837/5578/109/5293/23633/5594/3845/208/113/993/1385/1386/5894/9586","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05165","Human papillomavirus infection",181,0.437972288062564,1.36056630817928,0.000187049651419577,0.00790988873755731,0.00549529112293455,2674,"tags=49%, list=33%, signal=33%","2033/3955/5986/7422/4193/6773/7057/5295/545/324/1021/6654/3676/10000/5567/6655/1499/5933/6934/84441/4853/1108/3659/1027/4851/207/28227/1739/6772/5291/5529/3716/472/9794/5516/523/6198/3685/2475/1387/5290/5743/7248/5829/3688/3454/5734/535/2308/2778/57801/894/5605/2535/8321/5528/23352/1147/1857/3551/7337/8312/23545/5934/5610/3516/3672/5527/5728/5293/5663/3134/2932/5594/1452/3845/208/7124/7187/55844/1385/998/7297/3680/5894/4799/7157/9586","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05206","MicroRNAs in cancer",107,0.468208486525859,1.42130988329335,0.000257468283464926,0.00790988873755731,0.00549529112293455,3249,"tags=64%, list=40%, signal=39%","407021/2033/7422/4193/10253/7057/1871/2744/5295/27250/4363/324/6935/1021/6654/10018/6093/6655/406938/23405/6659/4853/9839/23411/1027/596/4851/6541/5291/4194/9493/472/2475/1387/5290/5579/5743/8660/894/5605/659/6774/1788/3551/2146/672/960/5728/5578/4082/5293/5594/3845/993/25/5894/7157/5292/8503/4790/1786/3162/7430/1870/1399/7431/595/5962/648","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04360","Axon guidance",73,0.502208228971865,1.48897150749863,0.00026658197117744,0.00790988873755731,0.00549529112293455,2630,"tags=56%, list=32%, signal=38%","9475/5295/23365/6093/5781/5530/9901/10507/6259/54434/2534/10154/5291/10501/5921/5290/3688/8829/5170/5062/6237/2771/817/3985/4775/659/6714/23654/4773/23380/1808/5578/5293/2932/8440/5594/3845/57522/998/25/5894","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05224","Breast cancer",69,0.51777882395626,1.53261591071336,0.000284809368655593,0.00790988873755731,0.00549529112293455,2360,"tags=58%, list=29%, signal=42%","675/1871/5295/324/1021/8648/6654/10000/6655/1499/673/6934/4853/1647/4851/207/51426/5291/6667/8202/3725/6198/2475/5290/5605/23401/2535/8321/4791/1857/8312/672/5728/10912/5293/2932/5594/1452/3845/208","Up","Immune_Cycling_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
