"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa00010","Glycolysis / Gluconeogenesis",29,-0.621901689453383,-2.72228019538961,5.91901279195871e-07,0.000172835173525194,0.000100934744452349,1325,"tags=69%, list=23%, signal=53%","2821/223/5236/221/5211/2597/226/224/55276/83440/3945/3939/1738/7167/5223/2023/10327/230/5162/5315","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00620","Pyruvate metabolism",21,-0.677137805364805,-2.69361804575687,3.66819968957929e-06,0.000535557154678577,0.000312762289322024,1345,"tags=67%, list=23%, signal=51%","98/97/223/3029/4191/224/3945/3939/1738/10327/5162/4190/5315/38","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04310","Wnt signaling pathway",56,0.591847714314282,1.7006075969205,8.75371641011873e-06,0.000852028397251556,0.000497579669627802,1491,"tags=55%, list=26%, signal=41%","9475/23291/1459/57680/23411/1387/7091/23401/5578/1487/2033/6259/5567/5566/1454/79718/4089/7090/1499/894/324/5530/1488/6932/5579/4773/5534/5330/4775/1452/5601","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05206","MicroRNAs in cancer",80,0.54639159166817,1.59447848577204,1.86634873133255e-05,0.00110292621609739,0.000644102548694221,1596,"tags=57%, list=28%, signal=42%","2744/6655/7057/1021/7422/5295/4194/4790/23411/5605/1387/472/5290/4082/5578/4853/2033/5743/5594/9839/23405/5291/1027/5728/6093/894/6659/324/5328/8660/1786/4363/3845/27086/5579/7430/7431/6774/4193/3265/7168/1398/27250/659/10018/5962","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00020","Citrate cycle (TCA cycle)",21,-0.638191787385113,-2.53869286507825,1.88857228783799e-05,0.00110292621609739,0.000644102548694221,962,"tags=62%, list=17%, signal=52%","50/6389/3419/4191/6390/1738/3420/3418/8803/5162/4190/6392/6391","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04923","Regulation of lipolysis in adipocytes",22,0.710176612308955,1.85722608403384,3.65770890143253e-05,0.00164871818225499,0.000962841908887197,862,"tags=59%, list=15%, signal=50%","2778/5295/3643/5290/2771/5140/113/5567/5566/5743/207/5291/8660","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04724","Glutamatergic synapse",28,0.66500527879077,1.79008235249424,5.01522557454394e-05,0.00164871818225499,0.000962841908887197,1391,"tags=68%, list=24%, signal=52%","3709/2744/2778/9454/2771/3708/5578/113/81539/5567/5566/2782/5594/2776/54407/5530/5579/5534/5330","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05205","Proteoglycans in cancer",87,0.519724171865806,1.52278701130023,5.15612953899495e-05,0.00164871818225499,0.000962841908887197,1704,"tags=54%, list=30%, signal=39%","3709/9475/6655/7057/7422/8826/10451/23365/5295/7074/5605/5290/673/3708/5578/3685/5567/5566/6237/5594/207/5781/5291/1499/6093/5328/1432/5747/3845/6548/5579/7430/998/6774/4193/5500/3339/2260/3265/6198/3091/5170/27250/5962/2316/5894/3688","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05200","Pathways in cancer",206,0.45632013721887,1.39278883540655,5.41615271953258e-05,0.00164871818225499,0.000962841908887197,1741,"tags=45%, list=30%, signal=32%","9475/3320/6655/7423/1021/8648/7422/7184/2778/8202/23365/5295/4790/861/5605/1387/2956/5290/673/2771/23401/5578/113/1487/4853/2033/4791/3685/3596/5567/7175/5566/6667/2782/1647/331/2113/7048/3326/4089/5743/5594/10672/3815/2034/207/10928/1612/5291/1027/5728/7046/8030/1499/6093/2776/894/324/6777/5747/1488/6932/5900/3716/3845/6773/51426/5579/6776/26060/3572/998/6774/4193/2260/5330/3265/6198/3091/1398/5601/7428/1439/10018/4437/7185/4088/23462/5894/3688/405/801","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04010","MAPK signaling pathway",116,0.494260265908439,1.47210057491537,5.64629514470887e-05,0.00164871818225499,0.000962841908887197,2035,"tags=58%, list=36%, signal=38%","3310/3727/6197/6655/10746/7423/3303/7422/2005/4790/3643/5062/4214/5605/9448/673/5578/23118/4791/2872/5567/5566/9261/1647/6237/7048/9693/3654/5594/3815/207/7046/57551/5971/1432/5530/3845/5579/998/3164/5534/4216/3315/2260/1847/3265/4775/5922/1398/3304/3553/5601/781/51135/2316/5894/51347/1435/4615/6789/9252/4772/208/1386/3551/2885/5606","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa01240","Biosynthesis of cofactors",46,-0.400608863630514,-1.9551555650664,8.08312395645103e-05,0.00214570199571246,0.00125307758942112,1027,"tags=50%, list=18%, signal=41%","326625/6472/2937/11019/50808/224/51117/7372/7358/51727/4522/654364/2990/1738/7360/84274/10327/7390/79001/129607/2235/204/7389","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00480","Glutathione metabolism",23,-0.548428056918461,-2.24814463955936,0.000127424816152237,0.00297338234334414,0.00173643813850667,911,"tags=43%, list=16%, signal=37%","6240/373156/2937/5226/2947/2539/6611/4258/51060/3418","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa03050","Proteasome",41,-0.408771667499257,-2.01708520565289,0.000135132875552214,0.00297338234334414,0.00173643813850667,1352,"tags=51%, list=24%, signal=39%","5704/5687/5689/5708/5690/5700/5709/5702/9491/5719/9861/5695/5701/5693/5694/5721/11047/5691/5710/5699/5715","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04919","Thyroid hormone signaling pathway",59,0.549574414184474,1.58421287552164,0.00014255942742061,0.00297338234334414,0.00173643813850667,1516,"tags=56%, list=26%, signal=42%","9969/8648/488/8202/5295/5605/23389/1387/5290/5578/4853/2033/3685/5567/5566/5469/481/5594/207/5291/1499/10499/8850/3845/6548/5579/25942/4193/5330/3265/3091/489/5170","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04976","Bile secretion",13,0.763554312144175,1.81309612227318,0.000203449538743978,0.00396048435421611,0.00231290001940522,1104,"tags=62%, list=19%, signal=50%","2778/113/5567/5566/481/3156/10257/6548","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04015","Rap1 signaling pathway",74,0.512540064729038,1.48932339580658,0.000231514977072338,0.00422514833157016,0.00246746225563939,1791,"tags=57%, list=31%, signal=40%","7057/7423/7422/2778/10451/5295/3643/7074/5605/7094/5290/673/2771/5578/113/6237/9693/26037/5594/3815/207/1500/5291/1499/2776/1432/23683/5900/3845/2889/5579/998/2260/5330/3265/1398/54518/3937/5894/3688/801/1435","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04520","Adherens junction",46,0.569600021886189,1.62209388192062,0.000261385143761046,0.00448967423401325,0.00262194385692194,1031,"tags=43%, list=18%, signal=36%","9475/1459/8826/3643/57493/7414/1387/2033/2241/7048/4089/5594/64750/1500/7046/1499/6093/5770/6932/10458","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04081","Hormone signaling",42,0.577264259647756,1.63173126405541,0.000286257927826783,0.00464373971807893,0.00271191721099058,1391,"tags=57%, list=24%, signal=44%","2778/5295/3643/4090/6794/5290/2771/79602/113/3685/5567/5566/2782/4089/10672/2980/5291/2776/8660/6777/6776/26060/6774/5330","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04370","VEGF signaling pathway",32,0.60530214044015,1.65570628437667,0.000492656626844757,0.00733908791224796,0.00428598501003666,1397,"tags=62%, list=24%, signal=48%","7422/5295/5605/5290/5578/9261/5743/5594/207/5291/1432/5530/5747/3845/5579/998/4773/5534/3315/3265","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa03082","ATP-dependent chromatin remodeling",67,0.520429313407525,1.50441598426445,0.000502677254263559,0.00733908791224796,0.00428598501003666,1000,"tags=39%, list=17%, signal=32%","29117/8932/57492/54891/9031/1107/8467/2186/54815/54617/29994/26122/1108/6595/84295/196528/6602/8289/10902/6599/7528/65980/55193/55274/83444/6603","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04024","cAMP signaling pathway",72,0.515482188058992,1.49686567323266,0.000557455573428783,0.00775128702100974,0.00452670691205328,1499,"tags=49%, list=26%, signal=36%","9475/488/2778/10451/5295/4790/7074/5605/1387/5290/673/2771/5140/113/2033/5567/5566/6237/481/9586/5594/207/5291/10257/6093/5348/5139/6548/116/51/5141/5500/64764/5601/489","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00860","Porphyrin metabolism",12,-0.694670405783568,-2.27068888334018,0.000692245219646024,0.0083417649873307,0.00487154263859976,1027,"tags=83%, list=18%, signal=69%","326625/2512/3163/3052/2990/2495/644/7390/2235/7389","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04068","FoxO signaling pathway",70,0.501790104274333,1.45566159198915,0.000723306781354377,0.0083417649873307,0.00487154263859976,1664,"tags=54%, list=29%, signal=39%","7874/6655/5295/3643/23411/5605/1387/472/6794/5290/9454/673/10365/2033/1647/1454/7048/4089/5594/207/5291/1027/5728/7046/894/8660/1432/3845/2309/6648/6774/4193/3265/5601/5170/10018/4088/5894","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04915","Estrogen signaling pathway",62,0.520446490544152,1.50280652562281,0.000761693734231286,0.0083417649873307,0.00487154263859976,727,"tags=39%, list=13%, signal=34%","3310/3709/3320/6655/8648/3303/7184/2778/8202/2288/5295/5605/5290/2771/3708/113/5567/5566/6667/3326/9586/5594/207/5291","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa00380","Tryptophan metabolism",13,-0.682194557769758,-2.29247004659507,0.000808893306603155,0.0083417649873307,0.00487154263859976,1303,"tags=69%, list=23%, signal=54%","23498/223/1892/224/3033/1738/847/38/4129","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05161","Hepatitis B",86,0.487416616925486,1.42910768631129,0.000840554230915553,0.0083417649873307,0.00487154263859976,2035,"tags=60%, list=36%, signal=40%","6655/5295/4790/4214/5605/1387/5290/673/5578/23118/2033/1960/7048/9586/3654/4089/5594/207/1654/5291/7046/6777/7534/1432/3716/3845/6773/5579/6776/4773/6774/3339/64764/3265/4775/5601/51135/1385/4088/5894/5925/4615/4772/2185/3454/3661/208/1386/3551/6772/2885/5606","Up","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
"hsa01230","Biosynthesis of amino acids",32,-0.409565672412168,-1.8105387898102,0.000855363896921199,0.0083417649873307,0.00487154263859976,970,"tags=50%, list=17%, signal=42%","6472/5211/50/2597/3419/226/5631/7167/3420/5223/2023/3418/230/22934/5315/29920","Down","Mast_cells","IMM","Colon","InactiveCD_vs_Control","dataset_02"
