"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",294,0.494833631821533,1.54971546354136,4.08073720202503e-09,2.25936816418786e-06,1.75185332164127e-06,1346,"tags=48%, list=29%, signal=37%","6659/3727/571/8932/90378/65986/2033/23013/7764/4193/5814/3303/153222/23515/4790/10365/2308/3429/8535/55729/23429/79718/8725/57649/10664/1021/168451/3720/10499/4084/8239/2186/23512/6498/56257/10608/1107/55183/51592/8452/5927/5981/57680/1788/4094/10155/64750/84159/8473/57459/84295/10507/51132/8543/2005/5813/359948/57659/1387/51341/1499/7644/7799/4194/1108/5469/3192/7157/57708/25942/6935/26036/25836/3090/9646/9839/5788/10363/51274/7091/2117/8013/22890/6497/6421/23613/864/3068/6304/7175/1647/7534/467/10628/639/84458/1487/51564/54815/7430/10614/6310/7707/23019/6595/9541/342371/11080/7528/3516/1739/6670/51176/22980/5926/23468/64426/51742/4773/23405/2309/10915/8440/84524/3428/5663/7690/7597/2908/51523/51574/4775/811/22828/10919/6772/22938/23466/6774/9318/7124/79813","BP","Up",2
"GO:0000785","chromatin",385,0.523764140516602,1.64444810711702,1e-10,4.64e-08,3.69473684210526e-08,1311,"tags=50%, list=28%, signal=39%","6659/3727/571/8932/2113/2033/23522/6881/1459/23774/23515/4790/54891/10365/196/22887/7112/6671/8202/8467/2308/23304/23394/10735/6602/29117/23160/6418/5591/57649/196528/168451/3720/10499/4084/2186/5989/23476/23512/63901/3182/114799/10608/55209/1107/7543/65980/55183/22877/5966/51592/1105/9188/5927/51366/7994/51621/7259/8648/57680/23076/1106/23269/1788/4094/10155/1060/57492/8289/3091/8473/23047/6777/7155/57459/50809/2005/5514/1387/1499/894/11198/1108/5469/7157/29994/25942/26057/3184/10725/6935/2355/23338/23244/25836/3090/1676/9646/81611/9839/64710/221037/51274/546/6932/2117/55636/4678/10592/257218/64061/55193/55167/6776/7029/1999/8013/6732/6421/23613/1998/864/26009/284058/10320/6304/467/376940/58487/84181/151987/5885/9031/80335/23326/54815/27125/7342/7913/7508/64431/8019/6595/10691/54617/10274/11335/6599/10943/55578/4676/339287/7528/57801/3516/1997/26993/64919/6670/23451/3164/9126/51176/11168/5926/56254/5934/54108/23468/64426/51742/6046/4773/2309/1112/84524/5562/5452/79960/51157/7798/2908/64764/4775/6314/10919/4791/6772/23466/6774/23099","CC","Up",2
"GO:0000976","transcription cis-regulatory region binding",276,0.519269061739218,1.62030017768805,1e-10,5.50909090909091e-09,3.93301435406699e-09,1318,"tags=50%, list=29%, signal=38%","22807/6659/3727/571/2113/65986/7764/5814/23064/153222/4603/4790/10365/196/22887/6671/2308/27107/8535/23394/55755/23300/29117/79718/7150/10664/10499/4084/2186/5989/23476/904/23512/6498/7343/10608/1107/7543/22877/5966/5927/51621/8648/1106/23269/1788/4094/84159/54989/3091/6777/23135/2005/5813/57659/7581/51341/7644/7799/84146/5469/3192/7157/10725/25976/6935/2355/170506/9839/84166/51274/6932/2117/55636/6776/440515/5929/7029/1999/8013/22890/6497/6421/864/3068/988/10320/6304/7587/467/8848/253461/639/10308/7019/168374/7342/170960/7707/6595/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/51176/5926/5934/51742/4773/2309/1112/84524/7690/7597/5452/51157/2908/7520/55749/64764/4775/10919/57677/22803/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",234,0.511777842221598,1.59110179108342,8.20177691933208e-09,3.55019772365374e-07,2.53453407056051e-07,1318,"tags=49%, list=29%, signal=37%","22807/6659/3727/571/2113/65986/7764/5814/153222/4603/4790/10365/196/22887/6671/2308/27107/23394/7150/10664/10499/4084/2186/5989/23512/6498/10608/7543/22877/5966/51621/8648/1106/23269/1788/4094/54989/3091/6777/23135/2005/5813/57659/7581/51341/7644/7799/84146/5469/3192/7157/10725/6935/2355/170506/9839/84166/51274/6932/2117/55636/6776/440515/7029/1999/8013/22890/6497/864/3068/988/10320/6304/7587/467/8848/253461/639/10308/168374/7342/170960/7707/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/51176/5934/4773/2309/84524/7690/7597/5452/51157/2908/55749/64764/4775/10919/57677/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",208,0.505986595778453,1.56768592502,1.3805513319747e-07,4.86073101458755e-06,3.47014147471857e-06,1318,"tags=49%, list=29%, signal=37%","22807/6659/3727/571/2113/7764/4603/4790/10365/196/22887/6671/2308/27107/7150/10664/10499/4084/2186/5989/23512/6498/10608/7543/22877/5966/51621/1106/23269/1788/4094/54989/3091/6777/23135/2005/57659/7581/51341/7644/84146/5469/3192/7157/10725/6935/2355/170506/9839/84166/51274/6932/55636/6776/440515/1999/8013/22890/6497/864/3068/10320/6304/7587/467/8848/253461/639/10308/168374/7342/170960/7707/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/51176/4773/2309/7690/7597/5452/51157/2908/55749/64764/4775/57677/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",205,0.540746239936052,1.67425181744647,1.42054578681151e-10,7.17375622339812e-09,5.12144138929412e-09,1318,"tags=53%, list=29%, signal=40%","6659/3727/571/2113/65986/7764/5814/153222/4603/4790/10365/196/22887/6671/22834/2308/27107/23394/23300/10664/23036/4084/5989/6498/10608/7543/22877/5966/51621/23269/4094/54989/3091/6777/2005/5813/57659/7581/51341/7644/7799/84146/7157/10725/6935/2355/26036/2969/3090/9839/51274/6932/2117/6776/440515/7029/1999/8013/22890/6497/1998/864/3068/988/6304/11057/7587/467/8848/58487/253461/639/10308/168374/7342/170960/93349/7707/10691/10424/284443/7528/57801/3516/1997/64919/6670/3164/51176/4773/2309/1112/84524/11262/7690/7597/5452/51157/2908/64764/4775/57677/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",216,0.495732838133291,1.53862611544502,1.44378148948145e-07,4.86073101458755e-06,3.47014147471857e-06,1318,"tags=48%, list=29%, signal=36%","22807/6659/3727/571/2113/7764/4603/4790/10365/196/22887/6671/2308/27107/7150/10664/10499/4084/2186/5989/23512/6498/10608/7543/22877/5966/51621/1106/23269/1788/4094/54989/3091/6777/23135/2005/57659/7581/51341/7644/84146/5469/3192/7157/10725/25976/6935/2355/170506/9839/84166/51274/6932/55636/6776/440515/1999/8013/22890/6497/864/3068/10320/6304/7587/467/8848/253461/639/10308/168374/7342/170960/7707/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/51176/4773/2309/1112/7690/7597/5452/51157/2908/55749/64764/4775/57677/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0001067","transcription regulatory region nucleic acid binding",276,0.519269061739218,1.62030017768805,1e-10,5.50909090909091e-09,3.93301435406699e-09,1318,"tags=50%, list=29%, signal=38%","22807/6659/3727/571/2113/65986/7764/5814/23064/153222/4603/4790/10365/196/22887/6671/2308/27107/8535/23394/55755/23300/29117/79718/7150/10664/10499/4084/2186/5989/23476/904/23512/6498/7343/10608/1107/7543/22877/5966/5927/51621/8648/1106/23269/1788/4094/84159/54989/3091/6777/23135/2005/5813/57659/7581/51341/7644/7799/84146/5469/3192/7157/10725/25976/6935/2355/170506/9839/84166/51274/6932/2117/55636/6776/440515/5929/7029/1999/8013/22890/6497/6421/864/3068/988/10320/6304/7587/467/8848/253461/639/10308/7019/168374/7342/170960/7707/6595/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/51176/5926/5934/51742/4773/2309/1112/84524/7690/7597/5452/51157/2908/7520/55749/64764/4775/10919/57677/22803/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0003008","system process",315,0.468517834365226,1.46816906213885,2.18167682540149e-07,5.57502339537211e-05,4.32272323219226e-05,1481,"tags=49%, list=32%, signal=36%","2033/28232/4193/3320/9943/9444/5339/2035/7423/2168/10365/136319/5530/5284/11215/2744/4012/2308/23394/5781/23607/4583/80223/7037/4763/3676/3720/10253/6103/7402/10672/488/493/55209/9867/8925/817/348/3688/9475/26058/5062/57680/7033/2771/285331/2782/51762/4297/1314/29766/7110/3572/3091/23077/23262/5728/894/5144/143187/65125/51474/4739/3983/4155/1364/25836/7337/54407/54915/54532/9839/5243/1729/7168/8546/55636/84687/5294/23345/8013/2778/23613/596/5567/8870/7534/5770/1522/998/26258/3672/7430/11343/22930/6310/6641/5910/5306/5578/55236/1027/10059/10396/5532/80204/342371/7528/6093/1739/3164/51176/3845/10142/23405/2309/5141/2316/84061/5142/5663/8106/81539/2730/481/3658/489/4775/6314/6846/10919/55737/6772/5048/80208/7124/7531/2185/7170/8301/7133/6169/11272/120/2932/23230/142/6648/113246/7040/5978/5594/952/440193","BP","Up",3
"GO:0003682","chromatin binding",234,0.540554362556442,1.68056712011595,1e-10,5.50909090909091e-09,3.93301435406699e-09,1457,"tags=59%, list=32%, signal=43%","8932/90378/2033/254225/23522/9425/6881/4790/2168/23211/8467/2308/8535/23394/10735/6602/7150/8725/6418/10664/3720/10499/80012/23476/904/23512/6498/7343/1107/7543/1105/5927/7994/7259/8648/57680/23060/1106/1788/10155/4297/57492/8289/8473/6777/7155/57459/26053/23135/6830/50809/2005/1387/1499/11198/1108/5469/3192/7157/5430/25942/26057/3184/165918/10725/6935/2355/25836/10051/8243/55252/64710/221037/7091/546/55636/10592/64061/55193/55167/6421/7175/1647/5579/84181/639/5885/80335/7019/1487/51564/4928/6310/64431/8019/6595/2965/10274/11335/51322/6599/342371/4676/7528/3516/6670/92822/9126/51176/11168/56254/5934/23468/6046/4773/2309/5431/55206/2962/5562/9760/4841/55870/10919/6772/23466/6774/171023/54737/84656/7270/54623/6294/1786/23523/142/2521/5978","MF","Up",2
"GO:0003690","double-stranded DNA binding",327,0.522871510944374,1.64084921077208,1e-10,5.50909090909091e-09,3.93301435406699e-09,1318,"tags=49%, list=29%, signal=38%","22807/6659/3727/571/8932/2113/65986/7764/5814/23064/153222/4603/4790/85364/10365/196/22887/6671/3329/2308/27107/8535/23394/55755/23300/29117/79718/7150/5591/10664/10499/4084/2186/5989/23476/904/23512/6498/7343/3182/10608/1107/7543/22877/5966/5927/5981/51621/8648/1106/23269/1788/4094/1060/84159/54989/3091/10771/6777/23135/2005/5813/57659/7581/51341/7644/7799/84146/5469/3192/7157/10725/25976/6935/2355/3090/170506/9839/64710/84166/51274/6932/2117/55636/64061/55167/6776/2073/440515/5929/7029/1999/8013/22890/6497/6421/22944/1998/864/3068/988/10320/6304/7587/467/8848/253461/639/10308/7019/168374/7342/170960/7508/7707/6595/10691/284443/64332/7528/57801/3516/1997/64919/6670/3164/92822/9126/51176/11168/5926/5934/10111/51742/4773/2309/1112/84524/3428/4437/7690/7597/5452/57109/51157/2908/7520/55749/64764/4775/10919/57677/22803/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0003700","DNA-binding transcription factor activity",216,0.540058244738012,1.67620067765589,1e-10,5.50909090909091e-09,3.93301435406699e-09,1318,"tags=52%, list=29%, signal=39%","22807/6659/3727/571/2113/65986/7764/5814/153222/4603/4790/10365/196/22887/6671/22834/2308/27107/23394/23300/10664/23036/4084/5989/6498/10608/7543/22877/5966/51621/23269/4094/54989/3091/6777/2005/5813/57659/7581/51341/7644/7799/84146/7157/10725/6935/2355/26036/2969/3090/9839/51274/6932/2117/6776/440515/7029/1999/8013/22890/6497/1998/864/3068/988/10320/6304/11057/7587/467/65056/8848/58487/253461/639/10308/168374/7342/170960/93349/7707/10691/10424/284443/7528/57801/3516/168850/1997/64919/6670/3164/51176/4773/2309/1112/84524/11262/7690/7597/5452/51157/2908/64764/4775/57677/4791/7586/90321/6772/6774/23099/65982","MF","Up",2
"GO:0004672","protein kinase activity",143,0.538718946316645,1.64507273747126,6.67243755822258e-08,2.69566477352192e-06,1.92447146416104e-06,1133,"tags=50%, list=25%, signal=39%","11011/9943/9748/1459/10000/23387/1859/6197/7150/5591/10746/1021/10114/23476/9874/9448/5586/817/5605/9475/472/1456/5062/23049/7048/8621/10155/127933/2011/728642/9262/204851/8445/8780/57551/65125/2872/51755/6793/1455/22848/3716/5610/84687/3654/5294/6732/3718/8895/255967/8428/5567/11183/5579/9031/51422/7294/2081/5578/54861/8019/3551/51347/1452/5613/6093/9261/5128/8812/6046/2580/150094","MF","Up",1
"GO:0005524","ATP binding",406,0.488435294240717,1.53786020192941,1e-10,5.50909090909091e-09,3.93301435406699e-09,1241,"tags=43%, list=27%, signal=35%","3310/10808/11011/9040/3303/3320/23064/8653/9943/9748/1459/10000/3308/23387/3329/8467/3304/1859/6197/7328/7150/5591/10746/1021/7919/10114/3326/79895/9874/488/493/5305/8566/162394/3707/1107/9448/3796/5586/1105/817/1659/9188/5605/9475/472/5981/1456/5062/57680/10521/3098/23049/57674/7048/1106/26973/8621/127933/1778/55585/8527/2011/728642/9262/204851/7155/11325/8445/10097/8780/23200/10928/10730/23262/57551/1108/2288/27338/65125/3192/23/23347/10973/55699/50640/2872/51755/54926/6793/10051/8525/1455/8243/22848/170506/57062/4939/5243/10294/84166/3716/546/1654/55636/10592/5610/257218/3654/55661/5294/6732/3718/7327/864/9585/51143/255967/65264/8428/5567/113/9931/11183/5579/84181/3336/7184/9031/51422/4076/83752/4144/9525/9785/7294/2081/1606/5578/55236/1981/54861/6595/91607/80205/3551/51347/54617/10396/1452/1783/5613/6093/132949/9126/9261/23020/10111/5128/5965/2580/150094/23405/5293/4437/3301/5562/64848/9879/10939/4650/208/4627/7520/489","MF","Up",1
"GO:0006338","chromatin remodeling",444,0.544868520675215,1.71429450660615,1e-10,6.644e-08,5.15157894736842e-08,1138,"tags=48%, list=25%, signal=40%","8932/90378/9757/11011/2033/23013/23522/114803/8653/9425/9943/6881/9748/1459/23774/54891/10000/10365/58508/5530/23387/8202/8467/1859/23304/55729/5781/6197/23429/6602/29117/7150/6418/5591/10664/7874/196528/7919/3720/10114/9320/2186/23476/57683/9874/23512/144108/151636/55209/1107/9448/65980/55183/1105/1659/9188/5927/51366/5605/9475/7994/472/1456/7259/8648/5062/57680/10521/23049/57674/1106/1788/10155/4297/127933/57492/8289/5500/2011/9262/10075/204851/57459/11325/8445/23135/51132/6830/50809/8780/1387/51341/10730/7644/7799/5728/57551/11198/1108/65125/3192/23347/10973/7157/29994/57602/57708/25942/2872/165918/10725/26191/160760/23338/91746/25836/9646/6793/1455/22848/5786/79871/170506/57062/5788/221037/3716/546/1654/55636/4678/5610/257218/64061/3654/55661/29072/5294/55193/55167/5929/6732/22890/3718/6421/23421/3068/6304/84959/7175/8428/5770/11183/5579/58487/84181/9031/85464/51564/9525/23326/54815/9785/7294/2081/7913/22992/5578/54861/64431/8019/6595/91607/80205/23399/3551/283871/51347/64332/54617/11335/51322/6599/5532/1452/4676/339287/7528/5613/54665/5791/6093/23451/55677/11168/9261/5926/56254/9958/29855/23020/10111/54108/23468/5965/64426/51742/6046/2580/57169/150094/5496","BP","Up",1
"GO:0006468","protein phosphorylation",278,0.484260590931177,1.51434290827092,2.53107832383345e-08,9.34249132419413e-06,7.24391655955608e-06,1192,"tags=44%, list=26%, signal=35%","55600/11011/324/28232/9943/9748/54625/23515/7423/219771/10000/2776/23387/10527/1859/23394/5912/5781/6197/7150/10125/5591/7037/8826/1021/10114/10253/904/6868/9874/9448/5586/817/348/5605/9475/472/5062/23049/84919/127933/57580/2011/1365/728642/9262/204851/8445/10507/7405/10928/5728/57551/894/57448/5144/11261/65125/4739/55294/9794/5611/7157/2872/51719/51755/26191/6793/1455/22848/94056/27250/5788/102/3716/1654/5610/64061/3654/5294/6732/3718/122809/864/8428/1647/5567/7534/5770/5579/3609/58533/51422/1487/7294/2081/5578/23118/1981/54861/1027/7532/2965/3551/3937/51347/5532/1452/5613/6093/9261/10111/3845/5128/8812/10142/150094/28951/8784/5293/3301/5562/29990","BP","Up",1
