"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0003682","chromatin binding",402,0.418370791951448,1.49367550189455,1.95996895050264e-08,5.62077924530399e-07,4.09221615289798e-07,3654,"tags=56%, list=40%, signal=35%","1063/388585/2033/2168/79809/51316/8932/57713/4297/254225/6498/64318/905/54799/55818/80012/8467/57680/8805/84629/6935/2956/55777/56916/57616/8473/639/55193/122953/22904/7543/117608/158880/10499/23394/25836/57634/2005/9219/6881/4205/23522/5927/8861/93624/7150/6873/7404/546/10735/23054/7486/1059/1386/51317/7403/1387/9575/8850/55870/27030/6310/5934/2494/4790/23270/90378/26057/8648/4300/8535/10274/54454/10664/23512/23060/1106/4773/11198/84181/1107/2145/7343/170959/80335/10725/7994/81550/4091/23125/7019/55636/148479/23186/4928/8888/5430/7528/84456/11128/4591/10413/1499/51322/50809/9425/6599/114825/83746/55252/80173/5585/473/5884/5885/5976/7091/2296/6595/6777/165918/6418/8289/2332/79685/6907/7702/2308/221037/4851/7155/1108/22880/6871/23523/23476/23211/23411/3054/8725/2551/53615/5089/90780/9960/5978/6603/1786/1105/904/57492/9968/6594/8243/57459/6830/6601/51780/55206/5469/4436/6421/8019/9612/23309/1660/4222/7175/22809/7157/4302/3192/1025/2309/22955/4088/25942/64061/51564/4303/5431/8028/56254/648/23468/10155/353274/7259/22893/6602/2313/1911/64324/4335/11143/1912/6772/92822/81/25885/3720/7067/4211/22907/10919/4676/4774/79366/142/79892/114785/85453/2355/9126/84733/11335/6829/6934/84969/55274/80854/9557/4089/342371","MF","Up",6
"GO:0004672","protein kinase activity",340,0.44660610402482,1.58756394981465,2.10689657184743e-10,6.55947132701833e-08,4.77563222952084e-08,3490,"tags=58%, list=38%, signal=37%","8621/9625/1459/9748/5291/4233/8445/10000/57551/55589/8805/4214/22853/55681/340371/79834/200576/10746/8780/1456/166614/91461/4261/5591/9262/6197/2043/9475/5105/2321/11011/5586/2241/2011/204851/7150/6416/9451/26750/92/472/23049/9113/9448/440275/9031/659/9578/8737/5062/545/5601/65125/5567/23235/23683/51232/57538/8408/25928/7204/93/6872/6352/1455/9874/5290/6789/5163/26524/6093/5610/1021/7525/10114/7046/54861/2932/54822/57118/28996/22848/84254/5565/4921/11329/11213/53944/23012/91/8573/30849/8895/11183/3718/8476/127933/91754/146057/5585/7049/4752/6794/5566/3482/2931/8829/8491/3716/51701/2580/3717/9252/817/25778/6732/7010/375449/255967/51347/8997/5605/3791/29904/23476/5597/51755/5594/1859/2081/80216/23097/7048/90/5581/9064/5747/1024/5058/4067/8812/9943/3985/5289/9770/7016/2534/3551/207/6885/8019/4052/23043/728642/10645/57787/2872/5599/9891/1454/1025/1452/3654/4881/9706/6793/8844/673/9261/51135/3480/613/4215/10155/27/83931/1326/9344/1432/5613/1457/90956/6196/84687/4216/140901/6195/2042/5159/208/5608/2868/10188/93627/5602/10461/140609","MF","Up",2
"GO:0005667","transcription regulator complex",355,0.36665077269694,1.30138648037418,0.000535796781333576,0.010457275111545,0.00807098599830976,3663,"tags=49%, list=40%, signal=31%","23013/2033/8932/6939/6498/56970/6929/55729/57708/10538/607/3727/55809/9282/3207/55814/161882/122953/51132/10499/6596/4194/5591/23394/9219/196/6881/4205/8861/83439/6873/6256/5932/5991/23054/4783/58487/1386/2975/283149/1387/1871/9575/2957/5934/4084/2494/4790/6773/8648/3091/6938/5453/8864/4487/54345/6872/4862/4090/2117/4773/6667/1107/6314/9759/4005/571/27097/5451/10725/4091/54815/28996/23186/63976/1385/5925/7528/10413/1499/463/5450/8994/79612/79718/7003/1408/7091/6777/2034/4193/688/10025/6907/4092/10153/147912/6884/1108/405/53615/5089/90780/2874/5978/55502/6909/55509/4776/6925/80063/57459/3182/5469/6421/6932/9612/6497/4801/6917/8543/6776/22809/7157/80155/5090/3192/2309/4800/9329/7029/22926/4088/25942/9862/7090/3068/23468/5926/10155/8295/83860/4772/25937/10443/64210/79101/59348/8013/9330/6772/221895/7391/55758/9439/7067/6659/4211/1488/6778/142/10923/23326/2355/11335/6934/4929/23648/4775/4089/4086/11218/865","CC","Up",5
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",362,0.386847249620779,1.36861742764868,2.44344594715987e-05,0.00354066868048177,0.00296009069758037,2879,"tags=46%, list=31%, signal=33%","6655/324/5921/6091/23236/23607/5291/4233/387914/401474/4734/26037/284/9847/5286/23230/6654/64399/122809/55777/8473/57556/144165/7424/3416/5295/23433/10551/1948/5154/5305/2043/2321/2065/9365/23390/9655/2241/9451/8826/7423/27020/55704/9693/5062/2889/3672/2131/64599/23235/55614/51232/3091/25976/26058/10019/5290/22905/10580/114882/23122/8396/1282/7525/3092/8412/2932/64397/5781/8440/4921/2247/5782/8503/8895/3718/1499/6868/624/6599/5335/5155/2549/55023/3482/2931/8829/28964/153090/3716/2296/6777/3717/2690/3636/9860/867/2308/118813/26060/25778/3082/81792/7010/1399/143686/8036/405/8997/1284/58533/5605/3791/1464/10636/2771/5284/5791/23411/6272/5594/8065/3481/5793/55959/3678/57732/23189/10818/650/8879/1435/10628/5747/8322/6909/54806/4776/4643/5770/3688/5058/4067/8527/2534/80318/91612/80310/207/9640/1947/7410/51196/5786/6776/11037/9846/7148/7074/51552/4641/23191/84632/4303/1123/673","BP","Up",3
"GO:0016301","kinase activity",436,0.41334567725222,1.47709221371083,1.98592842714167e-08,5.62077924530399e-07,4.09221615289798e-07,3490,"tags=54%, list=38%, signal=35%","8621/9625/1459/9748/160851/5291/4233/8445/10000/57551/55589/8805/5286/4214/22853/55681/340371/79834/5295/200576/10746/8780/1456/166614/91461/4261/5591/9262/5305/6197/2043/9475/1739/5105/2321/11011/5586/2241/23262/2011/204851/7150/6416/9451/26750/92/472/23049/9113/166929/260425/9448/440275/9031/659/9578/8737/5062/545/5601/65125/5567/23235/23683/51232/57538/8408/25928/7204/93/6872/6352/1455/9874/5290/6789/5163/79707/26524/6093/5610/8396/1021/7525/10114/7046/283209/54861/79646/2932/9917/54822/57118/28996/22848/84254/5565/4921/11329/11213/1152/253430/53944/23012/91/8503/8573/1606/7084/30849/8895/11183/3718/8476/259230/127933/91754/146057/79877/5585/7049/4752/6794/5566/3482/2931/8829/8491/3716/51701/2580/3717/9252/817/25778/6732/7010/375449/255967/51347/8997/5832/5605/3791/29904/23476/5597/51755/5594/1859/2081/80216/23097/5287/7048/90/5581/9064/5297/5747/64781/55361/1024/55500/9414/55728/5058/4067/8812/9943/8527/3985/5289/9770/7016/133686/2534/22978/3551/207/6885/8019/4052/23043/728642/10645/3098/57787/2872/5599/9891/1454/1025/1452/8526/3654/4881/9706/6793/8844/673/9261/51135/3480/613/4215/10155/27/83931/1326/9344/1432/5613/1457/90956/6196/55300/84687/80271/4216/140901/6195/2042/5159/208/5608/5209/8395/2868/10188/93627/5602/10461/140609","MF","Up",2
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",406,0.426035163813079,1.52098620181967,2.57388869111944e-09,1.01855688687062e-07,7.41561759177751e-08,3490,"tags=55%, list=38%, signal=36%","8621/9625/1459/9748/160851/5291/4233/8445/10000/57551/55589/8805/5286/4214/22853/55681/340371/79834/5295/200576/10746/8780/1456/166614/91461/4261/5591/9262/5305/6197/2043/9475/5105/2321/11011/5586/2241/2011/204851/7150/6416/9451/26750/92/472/23049/9113/9448/440275/9031/659/9578/8737/5062/545/5601/65125/5567/23235/23683/51232/57538/8408/25928/7204/93/6872/6352/1455/9874/5290/6789/5163/79707/26524/6093/5610/8396/1021/7525/10114/7046/283209/54861/79646/2932/9917/54822/57118/28996/22848/84254/5565/4921/11329/11213/253430/53944/23012/91/8503/8573/1606/30849/8895/11183/3718/8476/127933/91754/146057/79877/5585/7049/4752/6794/5566/3482/2931/8829/8491/3716/51701/2580/3717/9252/817/25778/6732/7010/375449/255967/51347/8997/5605/3791/29904/23476/5597/51755/5594/1859/2081/80216/23097/5287/7048/90/5581/9064/5297/5747/55361/1024/55500/55728/5058/4067/8812/9943/8527/3985/5289/9770/7016/133686/2534/22978/3551/207/6885/8019/4052/23043/728642/10645/3098/57787/2872/5599/9891/1454/1025/1452/8526/3654/4881/9706/6793/8844/673/9261/51135/3480/613/4215/10155/27/83931/1326/9344/1432/5613/1457/90956/6196/55300/84687/80271/4216/140901/6195/2042/5159/208/5608/5209/8395/2868/10188/93627/5602/10461/140609","MF","Up",2
"GO:0018193","peptidyl-amino acid modification",367,0.393289862865684,1.39175256591122,5.97960084683079e-06,0.00164439023287847,0.00137475281388748,3678,"tags=52%, list=40%, signal=33%","253832/388585/1440/2033/23287/5903/284/22853/29843/114799/23515/122809/4254/55294/5788/10208/200576/91461/23137/96459/5591/161742/23394/7037/29072/5154/6197/2043/493/64135/5105/2321/11011/83637/9655/2241/2011/7150/538/51201/9451/472/7423/23049/9113/1386/115426/135112/10475/57609/1387/8737/5062/545/8850/51719/54625/65125/8658/8408/8535/26036/6872/54552/6789/6093/5144/2589/9759/7525/10114/10464/26054/1981/7046/56288/57337/2932/5781/28996/29801/4921/5905/23181/9722/91/285203/3718/1499/6868/127933/146057/83666/5155/340481/6794/5566/3570/2931/8829/51701/84901/3717/4017/4193/10142/817/55074/205564/79677/405/58533/5605/3791/57178/1464/23411/5594/1859/2081/3678/57732/57826/90/5581/5747/10363/79813/5770/57600/5058/4067/9943/9770/2534/3551/5728/207/64092/64943/4836/7157/5599/3093/1452/51704/10152/79683/51564/673/9063/10210/9261/56983/3480/22876/10155/27/84193/1432/5613/1457/64324/11143/9181/10013/79609/2042/5159/84243/6659/10919/5310/10188/6198/55239/1839/85456/120526/200734/5170/57691/920/80854/9647/51422/54795/10006/29110/3643/2475","BP","Up",2
"GO:0022603","regulation of anatomical structure morphogenesis",478,0.400011902552984,1.42856141917729,2.224038164024e-07,0.000173289640280203,0.000144874626368791,3087,"tags=50%, list=34%, signal=35%","3955/90139/85358/9202/5921/57611/6091/55785/358/6498/2803/5291/65981/23345/26115/4734/26037/10000/192670/9043/57520/51199/406937/254065/6558/2113/23499/10075/7128/3207/9444/57556/7424/27161/26039/23433/113251/90102/1948/5591/161742/23394/7037/5154/2043/493/9475/1739/6387/2321/27185/2011/204851/5530/7052/7423/10672/1386/388591/659/283149/57609/9693/5062/56907/55727/118987/65125/2909/1523/6773/80031/9022/22902/8408/4771/23328/3091/10059/4487/6696/10730/22905/23303/1729/54014/2768/23122/5911/6667/149041/6093/84079/4763/182/4208/65084/6405/51752/121512/64218/23369/147495/6239/2932/28996/26523/152503/2247/7482/7082/4649/1499/23011/23268/56965/8994/5335/2969/10810/5585/2549/157922/23654/4131/23259/6794/10979/55023/7337/51057/8829/22906/153090/3716/2296/2059/26052/1857/56990/23129/54764/22846/960/4289/118813/55810/3082/81792/7010/54751/4851/1855/5048/64423/1284/5605/3791/29904/23411/114793/3339/23370/3678/170506/23189/10818/650/58480/7048/7430/84034/1435/57154/5747/10365/8322/6909/54806/4776/23221/30011/56999/90550/1605/10611/50618/3688/5058/5962/889/1003/23327/2534/56920/57381/221061/9886/5728/10427/27086/23043/6049/54873/4627/3679/7779/10411/91010/80821/4478/7074/1364/6786/10152/4881/9706/5797/23191/4303/1123/673/23166/4076/11005/55660/56983/9820/9510/613/1906/8874/64094/60436/1982/79006/23332","BP","Up",1
"GO:0030424","axon",301,0.401083998674945,1.41505113166832,1.71740300959495e-05,0.00137311627495035,0.00105977915957671,3329,"tags=54%, list=36%, signal=36%","23287/3676/288/214/6091/358/80315/23607/401190/26115/22853/51199/80208/23064/57616/23001/57556/23621/8633/89796/3320/23394/2043/1739/27185/66008/7014/538/6416/23291/9698/8826/323/3673/4644/23095/659/27020/57609/149371/667/8411/9585/22902/8408/3091/10239/26278/1778/23303/91624/4134/10439/23122/4763/6683/23077/54800/56288/2932/22848/5905/1182/4642/102/4649/1314/7133/23011/8500/127262/57580/127933/94030/5339/4131/4752/57679/8239/152330/6711/2931/8829/28964/22906/153090/2059/26052/54536/4781/267/4976/2332/26258/23129/64780/9860/867/118813/8867/1855/5048/1859/1809/9371/79882/170506/8943/10749/6546/79890/136319/57154/8546/22911/1605/5058/7976/81539/54407/2017/256158/55207/6049/8567/5599/8087/23307/1454/7074/9066/85461/63915/11127/1785/23191/57555/7431/130074/2316/10497/23162/3480/613/3326/22876/1982/81846/9344/27067/1500/4130/56850/84687/10013/6772/26985/23208/57449/115/10815/150","CC","Up",1
"GO:0030425","dendrite",293,0.377812859071982,1.33104984649782,0.000618225182155339,0.0109348579093726,0.00843958719060742,3307,"tags=51%, list=36%, signal=33%","6801/288/85358/214/80315/25921/23607/401190/23345/26115/4734/26037/23774/10564/51199/80208/23621/27161/54464/22920/8633/2550/6533/1948/3320/23394/2043/66008/2011/5530/538/6416/2186/9572/23095/659/6509/57609/23613/10008/3632/22902/5142/4535/9743/26278/8777/4905/26058/5873/4763/3269/2932/775/5905/4642/102/23181/8500/57580/127933/5339/29966/4131/57679/2931/3836/22906/3572/153090/26052/4926/267/4976/10142/2332/5813/118813/50807/1855/6780/29904/10636/2771/1859/8725/9371/79882/170506/10749/6546/79890/5747/8322/55361/22911/57502/3182/3688/5058/7976/2534/9746/3337/5728/54407/477/2017/165324/81926/54873/57787/7779/5599/8087/23380/7074/3192/85461/9900/83992/55619/10152/23191/57555/2564/4076/11346/2316/9101/23162/613/3326/23034/22876/9344/27067/1500/4130/23154/56850/84687/10013/8831/6772/23208/2042/115","CC","Up",1
