"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000226","microtubule cytoskeleton organization",366,0.381905099670112,1.35169118413827,8.06567190712892e-05,0.00802276939698462,0.00670724295434931,2843,"tags=43%, list=31%, signal=31%","23224/3796/324/79598/23271/9857/9748/25897/4233/57551/23299/51199/29899/83473/144165/8556/90102/166614/89796/29072/9475/5116/1739/27185/2241/55755/2011/54617/23291/6249/23032/636/546/54801/10735/26005/219899/55704/5108/55226/667/8850/1540/56907/57606/8658/80817/84376/7514/440193/150465/10274/9793/84056/1778/4134/23122/6093/79839/26146/9738/54820/3303/6683/1107/6314/10464/84223/26054/8555/54908/56288/2932/9648/27436/114791/1213/285331/4591/1499/8500/6867/146057/7405/157922/4131/6651/2931/26160/10844/28964/7840/4926/153241/10142/3636/79649/7094/1855/5048/10636/54627/23411/1859/9371/23189/54875/84327/79441/9639/27229/26112/57704/10048/80323/344148/7430/9659/57701/57519/22911/10015/8243/1605/3688/5058/1003/3837/6566/3993/3985/1783/284001/6674/5728/26973/80254/5519/728642/348235/7175/22809/1027/163786/26140/4627/57787/23380/3192/91147/117583/26586/10426/11127/1785/9662","BP","Up",8
"GO:0000242","pericentriolar material",18,0.647689822994262,1.73254080154127,0.00162048087955743,0.0245008079786133,0.0189098666749573,861,"tags=39%, list=9%, signal=35%","51199/55755/5108/80351/387119/8658/84376","CC","Up",22
"GO:0000314","organellar small ribosomal subunit",30,-0.519759584415434,-2.53540346758599,1.94022400244482e-05,0.00137311627495035,0.00105977915957671,2143,"tags=67%, list=23%, signal=51%","64963/65993/60488/51021/7818/64968/64432/51116/64965/28973/51649/54998/28957/6183/51081/64960/54460/55168/64949/63931","CC","Down",14
"GO:0000315","organellar large ribosomal subunit",50,-0.604219214200232,-3.2733412732998,1e-10,2.83e-08,2.18421052631579e-08,1760,"tags=60%, list=19%, signal=49%","51069/63875/51264/63899/84545/10884/219927/84311/10573/54148/65005/54948/740/51073/51253/26589/90480/55168/29088/64981/29093/64928/124995/6182/51642/6150/64983/128308/79590/84769","CC","Down",12
"GO:0001216","DNA-binding transcription activator activity",236,0.417140832828948,1.46710510220324,1.31297612523294e-05,0.000266591239340774,0.000194092122860521,3963,"tags=61%, list=43%, signal=36%","3662/6939/7799/6929/51427/7644/23036/7544/6018/10538/2113/3727/5465/2000/284370/7543/170960/2005/3213/23300/4205/2004/51621/153222/10308/1386/1871/9575/2494/4790/7594/3091/6938/4487/54345/84662/55922/1999/6666/4773/6667/4209/4208/5324/1997/571/54897/5451/6239/10725/11108/25925/54989/63976/1385/284443/7528/643836/3607/23361/51193/22887/2969/2296/6777/2034/4781/688/7702/2308/147912/55810/4779/4851/7690/10168/2551/5089/5966/7716/27300/5325/2908/6925/4782/169792/7008/8609/80095/4520/81566/6926/7342/26508/4801/4222/22809/7157/5090/2309/64764/7572/2120/7029/22926/4088/4303/171017/353274/988/4772/2313/7581/10691/8013/7391/6659/4211/3202/4774/6778/7770/7392/2355/162962/4929/199704/4775/4089/4086/1960/5993/2122/79800/4791/3516/7030/9971/4094/7767/2295/6722/25988/83595/3661","MF","Up",20
"GO:0001217","DNA-binding transcription repressor activity",158,0.471635264738515,1.63695322372927,1.06954649190082e-06,2.56142672675736e-05,1.86485029357067e-05,2835,"tags=53%, list=31%, signal=37%","388585/7764/7799/6498/6929/7227/7644/11279/49854/6935/3096/5465/9975/10009/639/122953/2004/9572/4783/155061/5814/146198/140685/4084/7707/4790/4799/3091/4487/10664/4090/2117/4773/57659/22890/93986/221937/100381270/571/63976/7528/3607/463/7541/9580/138151/51341/6304/5813/2308/4779/7181/10732/7690/3090/200014/5978/55502/5325/5463/84524/2908/6909/55509/4776/169792/6926/6932/27086/26508/6497/10472/7597/2077/7157/65986/84614/112939/3394/2309/23119/2120/4088","MF","Up",20
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",154,0.468705534848432,1.62348836398699,8.98423051178885e-07,2.20822928895021e-05,1.60770440737274e-05,2825,"tags=52%, list=31%, signal=37%","388585/7764/7799/6498/6929/7227/7644/11279/49854/6935/3096/5465/9975/10009/639/122953/2004/9572/4783/155061/5814/146198/140685/4084/7707/4790/4799/4487/10664/4090/2117/4773/57659/22890/93986/221937/100381270/571/63976/7528/3607/463/7541/9580/138151/51341/6304/5813/2308/4779/7181/10732/7690/3090/200014/5978/55502/5325/5463/84524/2908/6909/55509/4776/169792/6926/27086/26508/6497/10472/7597/2077/7157/65986/84614/112939/3394/2309/23119/2120","MF","Up",20
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",236,0.417140832828948,1.46710510220324,1.31297612523294e-05,0.000266591239340774,0.000194092122860521,3963,"tags=61%, list=43%, signal=36%","3662/6939/7799/6929/51427/7644/23036/7544/6018/10538/2113/3727/5465/2000/284370/7543/170960/2005/3213/23300/4205/2004/51621/153222/10308/1386/1871/9575/2494/4790/7594/3091/6938/4487/54345/84662/55922/1999/6666/4773/6667/4209/4208/5324/1997/571/54897/5451/6239/10725/11108/25925/54989/63976/1385/284443/7528/643836/3607/23361/51193/22887/2969/2296/6777/2034/4781/688/7702/2308/147912/55810/4779/4851/7690/10168/2551/5089/5966/7716/27300/5325/2908/6925/4782/169792/7008/8609/80095/4520/81566/6926/7342/26508/4801/4222/22809/7157/5090/2309/64764/7572/2120/7029/22926/4088/4303/171017/353274/988/4772/2313/7581/10691/8013/7391/6659/4211/3202/4774/6778/7770/7392/2355/162962/4929/199704/4775/4089/4086/1960/5993/2122/79800/4791/3516/7030/9971/4094/7767/2295/6722/25988/83595/3661","MF","Up",20
"GO:0001673","male germ cell nucleus",30,0.561481014891998,1.65058056855034,0.00196253426414766,0.0277698598376894,0.0214329399900337,1040,"tags=33%, list=11%, signal=30%","55818/8805/11073/6881/7014/7150/27030/26057/10664/4090","CC","Up",23
"GO:0003682","chromatin binding",402,0.418370791951448,1.49367550189455,1.95996895050264e-08,5.62077924530399e-07,4.09221615289798e-07,3654,"tags=56%, list=40%, signal=35%","1063/388585/2033/2168/79809/51316/8932/57713/4297/254225/6498/64318/905/54799/55818/80012/8467/57680/8805/84629/6935/2956/55777/56916/57616/8473/639/55193/122953/22904/7543/117608/158880/10499/23394/25836/57634/2005/9219/6881/4205/23522/5927/8861/93624/7150/6873/7404/546/10735/23054/7486/1059/1386/51317/7403/1387/9575/8850/55870/27030/6310/5934/2494/4790/23270/90378/26057/8648/4300/8535/10274/54454/10664/23512/23060/1106/4773/11198/84181/1107/2145/7343/170959/80335/10725/7994/81550/4091/23125/7019/55636/148479/23186/4928/8888/5430/7528/84456/11128/4591/10413/1499/51322/50809/9425/6599/114825/83746/55252/80173/5585/473/5884/5885/5976/7091/2296/6595/6777/165918/6418/8289/2332/79685/6907/7702/2308/221037/4851/7155/1108/22880/6871/23523/23476/23211/23411/3054/8725/2551/53615/5089/90780/9960/5978/6603/1786/1105/904/57492/9968/6594/8243/57459/6830/6601/51780/55206/5469/4436/6421/8019/9612/23309/1660/4222/7175/22809/7157/4302/3192/1025/2309/22955/4088/25942/64061/51564/4303/5431/8028/56254/648/23468/10155/353274/7259/22893/6602/2313/1911/64324/4335/11143/1912/6772/92822/81/25885/3720/7067/4211/22907/10919/4676/4774/79366/142/79892/114785/85453/2355/9126/84733/11335/6829/6934/84969/55274/80854/9557/4089/342371","MF","Up",5
"GO:0003712","transcription coregulator activity",392,0.390060219569156,1.39194558865766,6.94738748805398e-06,0.000150903718926568,0.000109865662601784,2621,"tags=41%, list=28%, signal=30%","23013/2033/3662/8204/57713/56970/55689/8202/84441/55818/9321/8805/55729/121536/57708/607/55809/9282/9444/161882/51132/26039/117608/9457/7158/10499/9044/58508/4261/25836/9219/23429/23522/5927/8861/93624/5784/5932/23054/114803/283149/10475/1387/84851/8850/23613/9969/54625/4582/4790/85363/9792/54620/8648/4863/8535/8864/26036/166968/5253/163126/10521/23175/10771/9774/29915/3303/2145/63035/4005/27097/9663/79364/10847/7994/81550/23125/28996/23186/23389/4928/63976/5925/55534/4664/124359/4591/10413/1499/84444/9425/5450/8994/6599/83666/23076/79718/473/7337/7091/6595/84458/7508/79960/8289/10025/8819/167465/79685/6907/359948/10765/4092/79047/10153/10498/221037/4851/5074/1108/6871/57178/23476/10157/23411/3054/1859/133746/8725/55209/29117/23132/2874/57826/6603/57492/9968/862/55578/10600/80063/1822/863/6601/51780/9139/163732/5469/8085/10140/80853/54880/3337/55749/9612/23309/1660/22992/8543","MF","Up",5
