"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05200","Pathways in cancer",252,0.496816195942244,1.547184424557,1.55105887405663e-09,2.56591610058871e-07,1.5035368028011e-07,2219,"tags=55%, list=33%, signal=38%","2033/9475/6654/3912/4040/3655/23236/324/182/650/4193/5159/5295/2956/3673/25780/6667/317/4089/6093/2767/3575/8202/1387/6773/4254/3685/83593/7423/3572/10000/5332/6772/3320/8648/7296/2260/7184/1021/867/3162/1499/894/5290/10672/6256/27436/330/4790/26060/3480/2776/1282/331/3716/2113/8322/5605/6778/4851/3688/1284/5728/2768/5567/4088/6776/1612/3910/3454/4233/23365/5566/2782/9252/5747/2778/1439/7048/3913/7428/6777/5155/6934/5925/7175/11040/59345/1487/3911/25/2034/3481/2308/3091/5894/3845/8323/1488/1857/5900/6655/862/5338/2771/2335/3566/207/8453/51426/3551/5292/2932/5366/4087/1399/3326/2885/10912/3265/3675/8030/23401/6198/7157/801/1495/329/3570/817/2149/998/3728/2122/1027/55970/5743/51176","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04510","Focal adhesion",110,0.570417431574575,1.72699722093178,1.7106107337258e-09,2.56591610058871e-07,1.5035368028011e-07,2123,"tags=62%, list=31%, signal=43%","9475/6654/3912/3655/5062/5159/5295/7148/3673/2321/1277/7094/7414/1729/2889/1793/6093/3672/3685/7423/10000/5170/1499/894/5290/54776/394/2317/330/3480/1282/331/6464/3791/3688/1284/3678/5728/3910/7057/1291/4233/2316/2909/5747/3913/23396/5155/3911/5829/3691/5894/6655/2335/207/7450/4659/2932/81/1399/2885/3265/3693/3675/1278/329/998/2534","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04151","PI3K-Akt signaling pathway",153,0.532856759351668,1.63057105385983,3.69516411777701e-09,3.69516411777701e-07,2.165236518136e-07,2110,"tags=58%, list=31%, signal=41%","6654/3912/3655/1440/5586/4193/5159/5295/7148/3673/2321/1277/3575/7532/4254/3643/3672/3685/7423/10000/7010/3320/2260/7184/1021/9180/5170/894/5290/6256/4790/3480/1975/1282/3716/5529/5605/3791/3688/1284/3678/5728/3910/7057/3454/1291/4233/2782/5747/3913/5155/7534/5585/59345/3911/1386/3481/64764/3691/5894/3845/4846/5525/6655/9223/2335/3566/2309/207/5934/7450/1435/3551/2932/5516/5527/3326/2885/285/3265/3693/3675/6794/6198/7157/1278/3570/2149/1385","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa03050","Proteasome",40,-0.527847087952448,-2.90766289281915,1.08625843296518e-07,8.14693824723883e-06,4.77381995539959e-06,1306,"tags=57%, list=19%, signal=47%","9491/5720/5685/5704/5698/5694/5691/5690/5700/5682/5686/5721/5689/5701/5687/11047/5710/5695/5702/5693/9861/5715/5699","Down","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05205","Proteoglycans in cancer",107,0.537681077660508,1.62607301386895,3.53724741502331e-07,2.12234844901399e-05,1.24362172275557e-05,2109,"tags=59%, list=31%, signal=41%","9475/3709/6548/6654/8826/4193/5295/3673/1277/1432/6382/6093/960/3685/10000/2260/867/5781/5170/1499/5290/54776/3480/1975/8322/5605/2549/3791/3688/3678/5567/22808/7057/4233/23365/3339/2316/5566/6385/5747/5829/3481/3091/5894/3845/8323/4478/6655/2335/207/2017/4659/1839/4087/2885/3265/3693/6198/7157/1278/817/27250/998","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05206","MicroRNAs in cancer",88,0.544151337448583,1.62411292541038,4.251415668083e-06,0.00021257078340415,0.000124559020450853,2214,"tags=60%, list=33%, signal=41%","2033/23405/6654/9839/324/6935/4193/2744/5159/5295/7148/4082/472/4194/659/6093/1387/960/23411/1021/3162/894/5290/4790/6464/5605/4851/3678/5728/7057/4233/27086/9252/5155/648/25/1788/5894/3845/6655/6659/5243/3551/5292/1399/2885/3265/994/7157/27250/6624/1027/5743","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04014","Ras signaling pathway",96,0.53542602609788,1.608749959793,5.43200723240463e-06,0.000232800309960198,0.000136412813204748,1926,"tags=55%, list=28%, signal=40%","6654/5062/5159/5295/2321/25780/5924/57186/9462/4254/3643/4763/83593/7423/9771/10000/7010/2260/5781/5290/4790/3480/6464/2113/5922/5605/2549/3791/5567/22808/4233/5566/2782/5921/5155/59345/25/3481/5894/3845/5900/6655/5338/253959/207/10156/1435/3551/27/2885/285/8036/3265","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05165","Human papillomavirus infection",169,0.480544447707262,1.47222852863625,6.67087688180872e-06,0.000250157883067827,0.000146583742008165,2110,"tags=51%, list=31%, signal=36%","2033/84441/6654/3912/3655/324/182/4193/5159/5295/7148/3673/1277/472/1739/7297/1387/6773/3672/3685/1108/10000/6772/1021/5584/1499/894/5290/1452/523/4790/1282/3716/5529/8322/5605/4851/3688/1284/3678/5728/5567/3910/7057/3454/1291/5566/5747/2778/3913/6934/5925/3911/5829/2308/64764/5610/3691/5894/3845/8323/5525/1857/4799/6655/9223/2335/207/5934/7450/10312/3551/2932/5516/5527/2885/7337/23352/3265/3693/3675/6198/7157/1278/998/1385","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04310","Wnt signaling pathway",76,0.541831699765603,1.60085630802903,2.02659910416952e-05,0.000618220187101196,0.000362255337704912,1551,"tags=45%, list=23%, signal=35%","2033/9475/4040/5530/23236/324/23291/79718/4089/440193/1387/57680/23411/5332/7091/1499/894/7090/1452/5534/1459/8322/5567/4088/4773/5532/5566/6934/1487/8323/6259/1488/1857/4775","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05215","Prostate cancer",54,0.576953166309288,1.67611945737632,2.06073395700399e-05,0.000618220187101196,0.000362255337704912,2219,"tags=67%, list=33%, signal=45%","2033/6654/6935/4193/5159/5295/1387/10000/3320/2260/7184/5170/1499/5290/4790/3480/5605/5728/5155/6934/5925/2308/64764/5894/3845/6655/207/3551/2932/3326/2885/3265/7157/1385/1027/51176","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04928","Parathyroid hormone synthesis, secretion and action",54,0.574508739016048,1.66901809735683,2.481285970135e-05,0.000676714355491362,0.000396530867954588,1597,"tags=52%, list=24%, signal=40%","3709/4040/23236/11214/5143/6667/5144/65125/2767/4205/5332/2260/4208/10672/6256/2776/2768/5567/5566/2778/3727/1386/64764/4324/5894/9935/5338/2771","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04915","Estrogen signaling pathway",62,0.562036104078373,1.64718785377366,2.94664294084674e-05,0.000691557318642775,0.000405228323555591,2110,"tags=60%, list=31%, signal=41%","3880/3709/6654/23236/5295/6667/8202/3310/10000/5332/3320/8648/7184/5290/2776/6464/5605/5567/10499/5566/2778/1386/64764/5894/3845/4846/6655/2771/207/3875/1839/3303/3326/2885/3265/801/1385","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04919","Thyroid hormone signaling pathway",69,0.545439627961951,1.60646359109268,3.11501758481462e-05,0.000691557318642775,0.000405228323555591,1646,"tags=49%, list=24%, signal=38%","2033/9969/6548/23236/4193/5295/8202/1387/3685/488/10000/5332/6772/8648/5170/1499/5290/6256/5605/25942/4851/5567/23389/10499/5566/5469/9882/1827/2308/3091/5894/3845/7067/207","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04010","MAPK signaling pathway",137,0.48452469163064,1.47492417914436,3.22726748699962e-05,0.000691557318642775,0.000405228323555591,1926,"tags=48%, list=28%, signal=35%","6654/5530/57551/5062/5159/2005/4214/2321/10746/9693/25780/5924/1432/1849/6197/4216/9448/4254/3643/3310/4763/7423/3554/10000/7010/2260/4208/4790/3480/5534/4615/5922/5605/6196/3791/2768/5567/22808/4233/5532/2316/5566/9252/3727/5921/7048/9344/5155/1386/3481/23118/5894/3845/2872/4775/6655/9261/207/1435/3551/1399/3303/2885/285/10912/3265","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04810","Regulation of actin cytoskeleton",115,0.497227700130793,1.50845894060441,3.67626799053456e-05,0.000735253598106911,0.000430832810118787,2109,"tags=55%, list=31%, signal=38%","9475/4629/6548/6654/8826/3655/324/5062/5159/5295/3673/7414/1729/1793/1730/6093/8396/28964/3672/3685/10000/10787/2260/10097/5290/54776/10672/5305/5605/221178/55740/3688/3678/2768/22808/23365/10152/2909/5747/730/23396/5155/5829/3691/5894/3845/4478/6655/2335/8976/207/4659/23191/81/1399/4627/3265/3693/3675/54434/8874/2149/998","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04360","Axon guidance",78,0.525995331469691,1.55900294974928,4.57427192259418e-05,0.000857675985486409,0.000502568033600808,2200,"tags=58%, list=32%, signal=39%","6405/9475/5530/5062/5295/659/6091/6093/1948/8829/1808/3983/5781/57556/5170/5290/57522/5534/55740/3688/4233/23365/4773/5532/5747/5921/25/5894/3845/23380/6259/4775/2771/54910/2932/3265/10501/54434/8440/817/23654/998/2534/64218/2043","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04020","Calcium signaling pathway",67,0.551606675196337,1.62279390889564,6.14799583768157e-05,0.00106226735778943,0.000622451399125734,2104,"tags=57%, list=31%, signal=39%","3709/5530/23236/6869/5159/2321/6546/2767/488/7423/57620/5137/5332/2260/57118/2776/493/5534/3791/5567/4233/4773/5532/5566/444/2778/5257/5155/4846/4775/3707/5724/2185/80271/801/490/817/2149","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04015","Rap1 signaling pathway",90,0.516284785346167,1.54312239878013,6.37360414673655e-05,0.00106226735778943,0.000622451399125734,2697,"tags=69%, list=40%, signal=42%","23683/23236/9732/5159/5295/889/2321/9693/25780/7094/2889/1432/4254/3643/83593/7423/1500/9771/10000/5332/7010/2260/5584/1499/5290/3480/2776/5605/55740/3791/3688/22808/7057/4233/2778/5155/5894/3845/5900/9223/2771/207/11069/1435/1399/285/3265/801/2149/998/10411/5898/3937/9564/208/7074/4893/64411/7424/5594/10636/6237","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04820","Cytoskeleton in muscle cells",89,0.507960068620519,1.51684249225424,7.05043024586755e-05,0.00111322582829488,0.000652311274825418,2073,"tags=53%, list=31%, signal=37%","4629/1290/1832/23224/1462/3655/2200/4811/3673/1277/7094/7414/1729/1730/1281/23345/29766/6382/3930/6711/3672/6709/3685/64423/5339/1282/3688/1284/3678/829/7057/1291/3339/6385/171024/3691/6645/2335/23002/10611/1466/4627/3693/3675/1605/7171/1278","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa05226","Gastric cancer",61,0.543596664597297,1.59128813709156,7.72725774371257e-05,0.00115908866155689,0.000679185285894736,2219,"tags=64%, list=33%, signal=43%","6654/4040/324/5295/4089/10000/1499/5290/6256/1452/6464/8322/5605/2549/4088/4233/7048/6934/5925/5894/3845/8323/1857/6655/207/5243/51426/2932/4087/2885/10912/3265/23401/6198/7157/1495/3728/1027/51176","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04512","ECM-receptor interaction",34,0.625157259250296,1.7313640231926,8.61053263937852e-05,0.00123007609133979,0.000720781428960507,2073,"tags=79%, list=31%, signal=55%","3912/3655/7148/3673/1277/6382/960/3672/3685/1282/3688/1284/3678/3910/7057/1291/3339/6385/3913/3911/3691/2335/7450/3693/3675/1605/1278","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04070","Phosphatidylinositol signaling system",39,0.599548185816434,1.68984105040715,9.35255525372877e-05,0.00127534844369029,0.000747309438934309,2206,"tags=64%, list=33%, signal=43%","3709/5286/23236/160851/5295/9110/23262/8396/5332/3631/5290/5305/5287/9107/5728/23396/8525/9807/5298/3707/80271/8871/801/5289/8526","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04630","JAK-STAT signaling pathway",65,0.536423876626544,1.57294366877296,0.000105473814164166,0.0013757454021413,0.000806138533886303,1926,"tags=54%, list=28%, signal=39%","2033/6654/1440/5159/5295/9306/7297/3575/3977/1387/6773/3572/10000/6772/9180/5781/894/5290/3953/3716/9655/6778/6776/3454/1439/6777/5155/9063/5894/6655/3566/207/5292/2885/3265","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
"hsa04724","Glutamatergic synapse",31,0.633667175077038,1.73717759912979,0.000110602715044767,0.00138253393805959,0.00081011637774018,1597,"tags=55%, list=24%, signal=42%","85358/3709/5530/23236/2744/5332/2776/5534/5567/5532/5566/2782/54407/2778/59345/5338/2771","Up","Endothelial_cells_DARC","STR","Colon","InactiveCD_vs_Control","dataset_02"
