"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",464,0.459729085141787,1.51092548876988,1e-10,8.55e-09,5.78947368421053e-09,2418,"tags=48%, list=31%, signal=35%","3727/9975/2113/153222/94234/7003/8204/80312/27107/7764/196/122953/8850/4094/3096/23411/10725/7644/10499/2186/6498/23512/7227/619279/4090/65986/5453/4205/2005/4208/4783/23394/571/440515/7799/64375/54989/116113/9759/7025/7342/2115/5465/6670/4084/6299/3203/6660/5814/9575/4781/7008/7544/3607/6935/3131/84146/54880/5966/9988/7543/2551/83439/2004/1523/253461/146198/7291/687/463/6872/6773/4784/51341/22887/5813/9534/7403/10365/639/7150/54816/3192/7586/170960/6239/25925/6722/51621/10664/152518/5178/146050/1602/6777/6667/55636/4087/7026/5451/10413/138151/1106/6925/5989/2736/57677/6256/2957/4790/688/7559/6934/6497/4774/6929/23269/57659/8553/23119/4799/7581/79692/10608/2063/5925/7594/7528/6304/3091/79027/55769/2117/4209/4089/6659/3213/4097/389114/170506/2300/1788/6909/6772/64332/8648/23135/2120/22890/55810/4520/221937/9960/1386/144348/55509/405/2355/7587/55553/7690/6926/7743/7975/4088/80264/4800/388536/57621/121274/6095/5934/1960/81/9658/219749/57209/2034/3200/861/23152/84924/860/51274/1385/4779/467/988/147657/7716/7707/64324/7181/64764/90338/6720/4775/2309/7067/9580/51193/64376/4601/3516/3164/84765/339318/90321/2295/9968/284391/6932/8609/2908/6938/57541/5087/22809/56731/7029/23099/11016/8531","MF","Up",5
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",407,0.448111971059712,1.46908448723425,9.3642109593346e-09,1.95278057810514e-07,1.32228909566984e-07,2918,"tags=55%, list=37%, signal=36%","3727/9975/2113/94234/7003/8204/80312/27107/7764/196/122953/4094/3096/23411/10725/7644/10499/2186/6498/23512/619279/4090/5453/4205/2005/4208/4783/571/440515/64375/54989/116113/9759/7025/7342/2115/5465/6670/4084/6299/3203/6660/9575/4781/7008/7544/3607/6935/3131/84146/5966/9988/7543/2551/83439/2004/253461/7291/687/463/6773/4784/51341/22887/9534/7403/10365/639/7150/54816/3192/7586/170960/6239/25925/6722/51621/10664/146050/1602/6777/6667/55636/4087/7026/5451/10413/138151/1106/6925/5989/2736/57677/6256/4790/688/7559/6934/6497/4774/6929/23269/57659/8553/23119/7581/79692/10608/2063/7594/7528/6304/3091/79027/55769/4209/4089/6659/3213/4097/389114/170506/2300/1788/6909/6772/64332/23135/2120/22890/55810/4520/221937/9960/1386/144348/55509/405/2355/7587/55553/7690/6926/7743/7975/4088/80264/4800/388536/57621/6095/1960/9658/2034/3200/861/860/51274/1385/4779/467/147657/7707/64324/7181/64764/90338/6720/4775/2309/7067/9580/51193/64376/4601/3516/3164/84765/339318/90321/2295/9968/6932/8609/2908/6938/56731/23099/11016/2101/4776/1025/9967/4801/4150/152687/2625/63925/6774/4093/84662/3659/162962/400713/59269/7705/7157/284443/10127/285971/4782/84166/1997/4212/22926/4335/9839/2354/147923/5978/3394/3068","MF","Up",5
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",438,0.475740235370939,1.56124262291466,1e-10,8.55e-09,5.78947368421053e-09,2407,"tags=50%, list=31%, signal=37%","49854/3727/9975/2113/153222/94234/7003/27107/7764/196/122953/4094/3096/10725/126208/7644/6498/7227/85460/23300/4090/65986/5453/23036/4205/2005/4208/4783/23394/571/440515/7799/54989/116113/3344/7025/7342/2115/5465/6670/4084/6299/3203/6660/6018/5814/9575/4781/58487/7008/55279/7544/3607/6935/3131/26036/84146/92999/5966/11057/4853/9988/7543/2551/1112/83439/2004/22834/1523/253461/146198/7291/687/463/6773/4784/51341/22887/5813/9534/10365/639/54816/7586/170960/6239/25925/6722/51621/10664/152518/4211/5178/146050/1602/6777/6667/2969/4087/163033/7026/5451/138151/6925/5989/2736/57677/6256/4790/688/7559/10194/6934/164091/6497/4774/6929/23269/57659/8553/23119/3090/4799/7581/79692/100381270/10608/2063/7594/7528/6304/3091/79027/55769/2117/4209/4089/6659/3213/4097/2300/6909/6772/140685/2120/22890/55810/4520/221937/1386/144348/22850/55509/57616/405/2355/7587/55553/7690/6926/7743/7975/5090/4088/80264/4800/388536/57621/56917/121274/6095/1960/9658/219749/57209/11244/2034/3200/861/23152/84924/860/51274/128553/1385/4779/467/988/147657/7716/7707/7181/64764/90338/6720/4851/4775/2309/7067/9580/51193/64376/4601/3516/3164/84765/1998/339318/90321/2295/284391/6932/8609/2908/6938/57541/5087/22809/7029/23099/11016","MF","Up",5
"GO:0000987","cis-regulatory region sequence-specific DNA binding",422,0.449527096779014,1.47461626066861,2.50994197876708e-09,5.36500097961464e-08,3.63281075874183e-08,2308,"tags=45%, list=29%, signal=34%","3727/9975/2113/94234/7003/8204/80312/27107/7764/196/122953/4094/3096/23411/10725/7644/10499/2186/6498/23512/619279/4090/5453/4205/2005/4208/4783/571/440515/64375/54989/116113/3344/9759/7025/7342/2115/5465/6670/4084/6299/3203/6660/9575/4781/7008/7544/3607/6935/3131/84146/5966/4853/9988/7543/2551/1112/83439/2004/253461/7291/687/463/6773/4784/51341/22887/9534/7403/10365/639/7150/54816/3192/7586/170960/6239/25925/6722/51621/10664/2475/146050/1602/6777/6667/55636/4087/7026/5451/10413/138151/1106/6925/5989/2736/57677/6256/4790/688/7559/6934/6497/4774/6929/23269/57659/8553/23119/7581/79692/10608/2063/7594/7528/6304/3091/79027/55769/4209/4089/6659/3213/4097/389114/170506/2300/1788/6909/6772/64332/23135/2120/22890/55810/4520/221937/9960/1386/144348/55509/405/2355/7587/55553/7690/6926/7743/7975/2972/25976/4088/80264/4800/388536/57621/6095/1960/9658/2034/3200/861/860/51274/1385/4779/467/147657/7707/64324/7181/64764/90338/6720/4851/4775/2309/7067/9580/51193/64376/4601/3516/3164/84765/339318/90321/2295/9968/6932/8609/2908","MF","Up",5
"GO:0001568","blood vessel development",374,0.470562107217872,1.53160248129689,1.16583171108083e-10,2.83361874221034e-08,1.92328143681813e-08,2207,"tags=47%, list=28%, signal=35%","718/2113/29072/441478/6654/2247/23213/6558/5286/5290/5743/196/9475/57534/7423/4162/23411/5054/3037/7422/7474/196528/10203/3685/161742/9037/4208/659/1306/4193/5156/7046/2335/9353/54361/6091/1499/1282/7342/26523/7052/4763/9444/144165/7128/7057/7082/154810/406937/5311/54453/28996/22846/26057/182/657/204851/3949/493/22905/10253/2683/4853/6461/7049/2004/10000/57493/7291/10672/2316/27161/5310/57674/8879/2697/5921/79659/65125/10365/639/5594/57178/84168/1284/6722/163/5797/4211/90627/5740/9510/1296/9022/7127/6667/2969/55636/7026/3688/10413/1116/23328/7534/5613/1399/688/6934/7048/3716/6789/11064/7798/207/4882/1948/83700/1605/998/4691/9525/3091/4215/889/6659/8434/25831/5534/5159/3213/64218/2260/25/6909/6772/375056/55810/6093/1386/54583/2534/56999/51421/6926/25976/4643/56917/8837/7837/6095/1960/4204/51752/1281/4669/6786/2034/3200/4627/861/4035/6237/6444/1289/3340/4638/79602/7716/4851/1545/4775/90139/3516/3164/1012","BP","Up",2
"GO:0001944","vasculature development",395,0.463700191265713,1.50985593636557,1e-10,2.57352941176471e-08,1.74674922600619e-08,2207,"tags=46%, list=28%, signal=35%","718/2113/29072/441478/6654/2247/23213/6558/5286/5290/5743/196/9475/57534/7423/4162/23411/5784/5054/3037/7422/7474/196528/10203/3685/161742/9037/4208/659/1306/4193/5156/7046/2335/9353/54361/6091/1499/1282/7342/26523/7052/4763/79987/9444/144165/7128/7057/7082/154810/406937/5311/54453/28996/22846/26057/182/657/204851/650/3949/493/22905/10253/2683/4853/6461/7049/2004/10000/57493/7291/10672/2316/27161/5310/57674/8879/2697/27250/5921/79659/65125/10365/639/5594/57178/84168/1284/6722/163/5797/4211/90627/5740/9510/1296/9022/7127/6667/2969/55636/7026/3688/10413/1116/23328/7534/5613/1399/688/6934/7048/3716/6789/11064/7798/207/4882/1948/83700/1605/998/4691/9525/3091/4215/889/6659/8434/25831/5534/5159/3213/64218/2260/25/6648/6909/6772/375056/55810/6794/6093/1386/54583/2534/56999/51421/6926/25976/4643/56917/8837/7837/6095/1960/4204/51752/1281/4669/6786/2034/3200/4627/861/4035/6237/102/6444/1289/3964/3340/4638/79602/7716/4851/1545/4775/90139/3516/3164/1012","BP","Up",2
"GO:0002009","morphogenesis of an epithelium",248,0.475016710986149,1.52973314956745,2.29744247687349e-08,2.57725918880039e-06,1.74928076309315e-06,2635,"tags=53%, list=34%, signal=36%","29072/94234/441478/6654/2247/23213/27152/57534/90102/10818/2195/4649/7414/7422/7474/3685/4208/3400/1956/157506/1739/3082/8915/596/9353/54361/3488/1855/1741/5727/1499/1282/7052/10762/55327/6299/2131/144165/23513/10979/5311/5566/182/650/80184/10253/4853/10765/9231/7291/10672/54806/2316/5310/2697/9585/7248/27031/5728/6239/6722/10640/90627/2475/2909/9645/5567/255743/3688/10413/2736/5613/55727/3693/6868/7048/6497/10116/6789/65979/7798/1948/4976/1605/998/3091/4089/5534/81029/2260/25/6909/6772/23654/1522/6926/4088/83852/5048/2668/55764/4669/94134/10155/1289/6046/4851/8642/3516/9953/2295/9968/10395/2908/55212/7249/25932/5087/6422/655/960/4776/220/3678/653/8543/2625/2885/4867/6385/10427","BP","Up",2
"GO:0003013","circulatory system process",218,0.495337258344647,1.59082684026572,5.2374603411133e-09,7.39157709431313e-07,5.01693569517169e-07,2016,"tags=49%, list=26%, signal=38%","6558/5286/5290/5743/143872/9475/7423/8850/6546/4852/4012/7037/1756/7422/4090/3676/8864/5144/4205/10257/1956/659/4193/1739/6332/3672/9353/8654/3320/781/2931/5465/8671/817/79987/2768/80005/2131/7082/10979/5566/25937/7525/493/9590/4037/57493/10672/2316/10396/2697/30845/5339/65125/10365/5142/5770/624/488/10059/26509/6328/2475/2909/55636/6548/7026/3688/10413/9631/9962/2729/54407/28232/8913/801/4882/998/6567/2767/25/6648/6909/1889/8870/5910/6772/6566/6093/57419/1522/2534/2946/23446/26258/5125/5592/4088/120/9722/4204/51752/2034/6533/4035/6335/6444","BP","Up",2
"GO:0003682","chromatin binding",367,0.480969930707874,1.5724218431549,1e-10,8.55e-09,5.78947368421053e-09,2203,"tags=47%, list=28%, signal=36%","2168/2033/84629/8932/10735/2332/23186/23211/122953/254225/8850/80012/79809/23411/10725/10499/56916/55274/6498/85453/6881/23512/8535/2956/8725/7155/4205/23309/2005/51317/1956/54454/57634/23394/9425/54799/1387/9219/1499/10274/8467/55818/4297/25836/53615/6670/64318/79987/9575/23522/904/6594/1107/26057/80335/55870/6310/8473/55193/1912/165918/6418/6935/7994/6602/7091/55252/7543/2551/57680/23028/1059/5976/57492/5927/11143/50809/905/7403/51322/639/79685/23054/23476/7150/3192/473/6722/10664/23468/4211/22904/9612/57459/7019/1108/221037/6777/55636/4087/6907/6599/10413/1106/2736/8289/4790/6934/546/4774/57727/23060/8243/1105/55167/7528/80854/148479/6421/5430/4089/648/80173/11198/51780/1788/3720/4436/6772/8648/23135/9960/1386/5585/114825/57616/64061/2355/9760/56978/6595/4088/1911/56917/6830/5934/7259/81/4204/158880/10155/3184/8888/23466/26053/860/84181/1487/1663/5885/64324/6829/6046/114785/25942/6720/4851/7343/2309/9126/7067/64376/3516/23636","MF","Up",8
"GO:0003700","DNA-binding transcription factor activity",461,0.474158245160116,1.5584653549289,1e-10,8.55e-09,5.78947368421053e-09,2407,"tags=50%, list=31%, signal=37%","49854/3727/9975/2113/153222/94234/7003/27107/7764/196/122953/4094/3096/10725/126208/7644/6498/7227/85460/619279/23300/4090/65986/5453/23036/4205/2005/4208/4783/23394/571/440515/7799/64375/54989/116113/3344/7025/7342/3899/2115/5465/6670/4084/6299/3203/6660/6018/5814/9575/4781/58487/7008/55279/7544/3607/6935/3131/26036/84146/92999/5966/11057/4853/9988/7543/2551/1112/83439/2004/55205/22834/1523/168850/253461/146198/7291/687/463/6773/4784/51341/22887/5813/9534/10365/639/54816/7586/170960/6239/25925/6722/51621/10664/152518/4211/5178/146050/1602/6777/6667/2969/4087/163033/7026/5451/138151/6925/5989/2736/57677/6256/4790/688/7559/10194/6934/164091/6497/4774/6929/23269/114991/57659/8553/23119/3090/4799/7581/79692/100381270/10608/2063/7594/7528/6304/3091/79027/55769/2117/4209/4089/6659/3213/4097/389114/2300/6909/6772/140685/2120/22890/55810/4520/221937/1386/144348/22850/55509/57616/405/2355/7587/55553/7690/6926/7743/7975/65056/5090/4088/80264/4800/388536/57621/56917/121274/6095/1960/9658/219749/57209/11244/2034/3200/861/23152/84924/860/51274/128553/1385/4779/467/988/147657/7716/7707/7181/64764/90338/6720/4851/4775/2309/7067/9580/51193/64376/4601/3516/3164/84765/1998/339318/90321/2295/284391/6932/8609/2908/6938/57541/5087/22809/56731/7029/23099/11016","MF","Up",5
