"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",374,0.430118871243741,1.41152912141092,2.04647488999752e-06,0.000154426995199213,0.000120246556168065,1768,"tags=47%, list=32%, signal=34%","571/8863/8204/79813/639/8932/10499/3727/8850/1386/4784/23512/2063/2005/23411/1739/7644/153222/4094/79718/9839/2551/9612/5814/4790/6907/55729/7799/5981/4193/168451/23405/28996/8473/8452/80312/4775/5927/56257/1788/55183/4194/65986/23515/2308/25836/2145/5727/1822/57680/84458/64750/1523/5925/10507/9975/57459/9572/4205/10664/5813/10413/121536/6498/6663/10608/9745/4208/8725/4150/57708/93649/1387/64324/2186/169792/6926/8239/3720/3303/83714/1107/7067/23613/359948/10363/96459/9646/463/122953/51421/2004/6497/23468/3661/5074/9318/4090/5469/57659/9580/63976/6935/1499/4204/8819/23038/23028/25942/51341/1108/83860/7528/6659/10365/4853/27022/7534/10443/26147/7707/7026/7767/6304/23429/604/6256/6421/4773/80314/25937/4851/1786/7157/25959/10155/10628/3192/861/2737/811/51564/84159/5915/30812/8543/2309/6772/26036/9139/56957/4782/4089/10915/148398/2908/6934/51742/9205/10919/1028/6670/165/4601/57600/7175/1488/5928/2114/201163/55646/9349/3428/22890/5978/6720/3068","BP","Up",4
"GO:0000315","organellar large ribosomal subunit",46,-0.467081245314368,-2.40460967686319,9.78718245955441e-06,0.000312835960494269,0.000235859432569579,1250,"tags=50%, list=23%, signal=39%","6182/64976/64979/10884/90480/65003/219927/11222/64981/26589/128308/10573/65005/63875/51253/51642/29093/84311/124995/79590/55168/54948/29088","CC","Down",9
"GO:0000785","chromatin",471,0.460368990022665,1.52353355393085,1e-10,5.11e-08,3.85263157894737e-08,1668,"tags=47%, list=30%, signal=36%","571/25909/196/2113/8204/79813/8202/8932/10499/3727/8850/23304/1386/1459/4784/5591/23512/2063/2005/5453/3344/9031/23411/10735/23522/4094/55818/51366/9839/2551/9612/257218/55553/1911/4790/1060/6881/5514/284058/168451/7052/114799/8473/5934/80312/4775/5927/55209/9189/1788/26057/79776/23047/55183/23394/6667/55274/65980/7003/81611/23515/2308/25836/2145/11198/57680/11176/687/1523/5925/860/9975/57459/9572/29994/5966/10725/4205/7503/23244/50809/2241/121536/54891/405/6663/10608/4208/56254/7155/7994/93649/7543/1387/64324/2186/1960/23476/6926/546/7112/1105/8648/3720/84181/6096/1106/5307/894/1107/7067/23613/80335/6773/6095/9646/55578/463/54617/3184/64764/122953/152485/8289/57492/27125/2004/84656/4678/4791/23451/23468/3661/10927/22926/63901/5074/55636/9188/4090/5469/54556/9580/57178/8467/9586/6935/1499/4204/8819/1912/376940/23028/25942/339287/10765/7024/1108/196528/7528/6659/10365/27022/3091/5451/6314/6304/55193/1997/6256/23160/6418/1457/6421/4773/9274/51105/80314/4087/4209/1786/26122/7157/10155/3182/861/22887/6594/54108/5915/30812/2309/4641/6772/29117/9464/1112/4801/23595/1857/6925/4782/4089/64710/51621/22877/2908/6934/9126/51742/23126/7392/84101/10919/23326/6670/4774/26993/2034/4601/1385","CC","Up",4
"GO:0000803","sex chromosome",14,0.702020518413306,1.72819108084749,0.00110603561903198,0.0115343714556192,0.00869621990474123,637,"tags=50%, list=12%, signal=44%","23347/23137/23512/1911/1788/7503/84333","CC","Up",15
"GO:0000902","cell morphogenesis",339,0.464741471790464,1.52277501679592,2.15823550738432e-09,5.50910516705712e-07,4.28973524383959e-07,1759,"tags=53%, list=32%, signal=38%","5803/23433/3908/23230/4649/27020/6654/91584/288/5339/5591/152503/4756/57498/1739/10752/9693/659/23499/3480/9331/9043/57609/8976/10763/1889/9353/7414/22902/285527/596/8522/23022/23405/5649/2909/6789/23077/214/8452/80312/6093/1605/8826/5048/23394/10512/23011/7976/5728/9378/23654/4660/1000/114793/5727/10787/1523/54434/5925/91137/3672/10507/22906/9448/4205/23607/5530/4684/1952/10413/79006/4650/473/6498/4208/2803/80031/25/10509/122786/7155/26084/85440/2316/23129/5605/23122/8239/257194/23242/26053/3688/5062/200894/23345/51421/4289/10631/8301/23032/5306/2335/9202/5469/2045/23181/1499/148170/4204/23769/10979/1902/1785/25942/2059/170506/440275/28513/87/10365/4853/23380/4627/56882/54664/54014/2932/8874/30011/2317/604/23191/5027/7779/8829/25932/2011/4851/10152/80208/116985/2737/2534/3897/5064/9962/57639/9369/8543/85449/23603/51347/2017/8650/1857/4478/4076/5764/4089/23767/57689/10602/51466/5962/84189/998/4774/10006/23136/1385/11078/81565/1982/6868/780/64218/9223/5978","BP","Up",1
"GO:0000976","transcription cis-regulatory region binding",341,0.484594351983812,1.58562019359975,1e-10,1.03142857142857e-08,7.47368421052631e-09,1668,"tags=51%, list=30%, signal=38%","25976/571/8863/196/2113/8204/639/10499/3727/8850/1386/23064/4784/23512/2063/2005/5453/3344/23411/7644/153222/4094/79718/9839/2551/5814/55553/4790/6907/7799/440515/5934/80312/4775/5927/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/11176/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/23476/169792/6926/8648/6096/1106/7343/5307/253461/1107/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/56977/6304/9328/1997/604/6256/6421/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/84159/5915/30812/51193/2309/6772/140467/5929/29117/84307/9464/1112/4801/6925/4782/126626/4089/285971/51621/22877/2908/6934/51742/7392/10919/9967/6670/4774/7019/2034/165/4601/1385","MF","Up",4
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",295,0.481840796803819,1.57013318132596,1.45560996131987e-09,1.16772265785883e-07,8.46126492135647e-08,1768,"tags=54%, list=32%, signal=39%","571/196/2113/8204/639/10499/3727/8850/1386/4784/23512/2063/2005/5453/23411/7644/153222/4094/9839/2551/5814/55553/4790/7799/440515/5934/80312/4775/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/8648/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/27022/3091/5451/7707/7026/7767/144348/56977/6304/1997/604/6256/4773/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/10919/9967/6670/4774/2034/165/4601/1385/23135/5928/2114/22890/5978/6720/3068","MF","Up",4
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",262,0.492852112873549,1.6025512234845,1.01018281562871e-09,9.11689991104907e-08,6.60606393904561e-08,1768,"tags=55%, list=32%, signal=39%","571/196/2113/8204/639/10499/3727/1386/4784/23512/2063/2005/5453/23411/7644/4094/9839/2551/55553/4790/440515/80312/4775/9189/1788/79776/6667/79692/7003/2308/54816/54989/687/860/84146/9975/9572/5966/10725/4205/10664/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/27022/3091/5451/7707/7026/7767/144348/6304/1997/604/6256/4773/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/9967/6670/4774/2034/4601/1385/23135/5928/2114/22890/5978/6720/3068","MF","Up",4
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",269,0.469148577192706,1.52657484236724,1.06440159066738e-07,1.70777321880412e-06,1.23744465628466e-06,1668,"tags=51%, list=30%, signal=38%","571/196/2113/639/3727/1386/4784/2063/2005/5453/23036/3344/7644/153222/4094/9839/2551/5814/6018/55553/4790/7799/440515/4775/9189/79776/23394/6667/79692/65986/7003/2308/54816/54989/687/1523/860/84146/9975/9572/5966/11057/10725/4205/10664/5813/405/6498/6663/10608/9745/4208/2969/4150/7543/9988/7581/1960/169792/6926/6096/92999/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/4090/57659/9580/9586/63976/6935/79027/51341/7024/7528/6659/10365/4853/27022/3091/5451/7707/7026/7767/144348/6304/22834/1997/604/6256/4773/4851/4087/4209/7157/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/84307/9464/1112/26036/4801/6925/4782/4089/285971/51621/148398/22877/2908/6934/7392/6670/4774/10424/2034/165/4601/1385","MF","Up",4
"GO:0000987","cis-regulatory region sequence-specific DNA binding",273,0.496386771671714,1.61488431132381,1e-10,1.03142857142857e-08,7.47368421052631e-09,1768,"tags=55%, list=32%, signal=40%","25976/571/196/2113/8204/639/10499/3727/1386/4784/23512/2063/2005/5453/3344/23411/7644/4094/9839/2551/55553/4790/440515/80312/4775/9189/1788/79776/6667/79692/7003/2308/54816/54989/687/860/84146/9975/9572/5966/10725/4205/10664/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/169792/6926/6096/1106/5307/253461/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/6304/9328/1997/604/6256/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/5915/30812/51193/2309/6772/140467/84307/9464/1112/4801/6925/4782/4089/285971/51621/22877/2908/6934/7392/9967/6670/4774/2034/4601/1385/23135/5928/2114/22890/5978/6720/3068","MF","Up",4
"GO:0001067","transcription regulatory region nucleic acid binding",341,0.484594351983812,1.58562019359975,1e-10,1.03142857142857e-08,7.47368421052631e-09,1668,"tags=51%, list=30%, signal=38%","25976/571/8863/196/2113/8204/639/10499/3727/8850/1386/23064/4784/23512/2063/2005/5453/3344/23411/7644/153222/4094/79718/9839/2551/5814/55553/4790/6907/7799/440515/5934/80312/4775/5927/9189/1788/79776/23394/6667/79692/65986/7003/2308/54816/54989/11176/687/1523/5925/860/84146/9975/9572/5966/10725/4205/10664/5813/10413/405/6498/6663/10608/9745/4208/4150/619279/7543/9988/64324/2186/7581/1960/23476/169792/6926/8648/6096/1106/7343/5307/253461/1107/7067/6773/7587/6095/463/64764/122953/2004/4791/6497/3661/22926/55636/4090/5469/57659/9580/9586/63976/6935/10923/55749/79027/170506/51341/7024/7150/7528/6659/56731/10365/4853/27022/3091/5451/7707/7026/7767/144348/56977/6304/9328/1997/604/6256/6421/4773/4851/4087/4209/7157/3192/861/7586/2737/22887/55769/84159/5915/30812/51193/2309/6772/140467/5929/29117/84307/9464/1112/4801/6925/4782/126626/4089/285971/51621/22877/2908/6934/51742/7392/10919/9967/6670/4774/7019/2034/165/4601/1385","MF","Up",4
"GO:0001568","blood vessel development",277,0.458487697651495,1.49512906194734,7.44999719106529e-07,7.20739471843316e-05,5.61213013772287e-05,1458,"tags=47%, list=26%, signal=36%","3696/25976/196/9444/2113/5286/6654/639/1386/3685/5154/55294/23411/9693/659/9353/1282/4763/10000/51752/7423/493/9475/4193/6789/7052/28996/4162/4775/7057/5578/7128/2549/6093/29072/1605/26057/2247/6667/10512/2308/9378/1000/7837/7046/161742/375056/657/3340/5594/5310/10413/2683/3339/22905/4208/83700/2969/25/5311/93649/5155/1284/2316/1960/23129/84168/6926/8503/9510/207/5159/3688/182/889/6095/7082/65125/7048/51421/2004/2335/163/55636/5469/57178/90627/1499/4204/25831/4035/5290/6422/9525/55109/7127/196528/4691/6659/7049/4638/10365/4853/7534/3091/4627/4215/7026/358/8837/57674/3037/3716/1281/8829/54453/56913/25932/4851/6444/861/2737/2534/1289/718/51564/9369/1277/6772","BP","Up",1
"GO:0001726","ruffle",84,0.562894033443193,1.74088835848255,2.02218197956474e-06,0.000103333499155758,7.7907221528494e-05,1529,"tags=52%, list=28%, signal=38%","54822/3685/1182/4644/9265/23499/2778/4646/23022/51474/23362/6093/8826/10787/7094/23607/4650/10395/221178/25/26084/23122/59338/23242/3688/4289/66036/2059/26060/7456/199/87/23527/4627/8874/23191/6249/26258/5756/4641/23603/2017/57403/208","CC","Up",5
