"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000122","negative regulation of transcription by RNA polymerase II",488,0.427551261641033,1.40408038547066,1.09141264982424e-08,3.91726190232749e-06,2.93724035935154e-06,2299,"tags=45%, list=32%, signal=33%","8932/2033/93649/639/8204/3303/23013/93986/55729/122953/2186/55183/80014/29966/7764/161882/3337/7700/23515/8553/10499/80312/7091/4089/6666/7422/9975/57708/4194/9534/23411/8861/6310/23512/8863/571/4784/3096/4150/5727/7799/4205/2117/6239/79718/2005/23405/5074/1822/23429/4090/2260/51274/64324/25836/1739/8864/5927/64426/5396/55841/29915/6498/6909/1107/463/4193/5981/84614/4094/53615/51341/84295/57507/65986/9205/9745/2145/23019/49854/23468/3727/6926/1108/8452/2120/8440/4208/90378/93/4854/8473/7644/7534/57600/51317/25937/7067/8725/153222/5814/9839/9208/6774/26036/138151/4853/359948/2736/57659/7690/1387/604/2309/54880/6907/10507/3720/4779/6872/10608/1523/6256/54815/51742/7068/51564/146198/79685/25959/6772/2063/6935/23466/8239/3192/4782/2077/6421/7025/23028/84458/4790/6299/7026/93166/10443/2908/28996/10413/6659/6670/8535/1602/7707/9612/57459/5569/7597/4335/3621/6996/648/4212/79813/1021/1786/83860/8543/22828/8609/861/168451/7181/163126/23613/3090/6934/9572/11244/84662/7157/8819/4097/6608/5465/51339/23764/221895/11080/57158/100381270/8241/5813/55364/3054/3068/64750/1810/3516/11016/10664/4781/1408/2737/221937/57680/55192/1788/2114/6497/84759/3661/80314/4848/2004/1601/10155/121536/7430/56957/96459","BP","Up",2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",438,0.449796278263067,1.46820623864829,1.38135894688373e-10,1.42279971529025e-08,9.97850081367328e-09,2836,"tags=59%, list=39%, signal=38%","639/8204/93986/122953/2186/7003/7764/360023/196/7700/8553/10499/80312/9575/170960/4089/6666/51621/9975/9534/23411/23512/571/4784/54816/3096/7543/4150/7799/4205/2117/90338/23394/440515/6239/253461/5966/2005/7587/3097/4090/7581/51274/64324/23269/2113/7024/5396/1106/6498/9988/6909/463/84614/4094/84146/51341/65986/6777/9745/22887/10308/619279/7748/23152/3727/6926/5451/2120/64375/7008/6773/4208/7594/163227/55769/7644/10013/7067/7544/153222/5934/6667/5814/9839/9208/2300/6774/3200/81/339324/138151/2736/57659/7690/7716/604/1385/1660/2309/54880/27107/4779/6872/55553/10608/1523/6938/79027/6256/7068/54897/7404/2957/146198/6095/8648/64764/6772/2063/51450/6935/3192/4782/7025/58525/4790/6299/7026/340252/22877/56977/2908/10413/6659/6670/1602/7707/284391/8805/7597/4335/83439/4212/10725/7552/149076/1959/7150/79692/285971/3091/8609/147912/5991/861/7181/199777/7559/55749/6934/9658/6722/10379/9572/285268/84662/5241/7157/25799/7586/147657/4097/84914/5465/4774/6925/23764/3236/5813/55422/23135/10691/56731/3068/7705/3516/11016/10664/4781/5087/2737/2034/221937/3203/9968/1997/7029/1788/80264/22926/2114/51193/6497/54811/3661/55636/2004/5089/7342/84436/10168/4929/7227/6929/5978/54989/4801/55893/116113/170506/7627/7975/4520/144348/687/3164/7702/3217/7755/7528/9314/3659/93134/5469/1316/84524/2295/5307/1628/23435/4209/140467/51710/165/467/5925/9967/5989/988/3207/8531/4093/3660/57677/22890/3213/4776","MF","Up",2
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",388,0.452297730870445,1.47329056144539,7.32143625905998e-10,4.03183577498226e-08,2.82764159487131e-08,2630,"tags=56%, list=36%, signal=38%","639/8204/93986/122953/2186/7003/7764/360023/196/7700/8553/10499/80312/9575/170960/4089/6666/51621/9975/9534/23411/23512/571/4784/54816/3096/7543/4150/4205/90338/440515/6239/253461/5966/2005/7587/3097/4090/7581/51274/64324/23269/2113/7024/5396/1106/6498/9988/6909/463/84614/4094/84146/51341/6777/9745/22887/10308/619279/7748/3727/6926/5451/2120/64375/7008/6773/4208/7594/163227/55769/7644/10013/7067/7544/6667/9839/9208/2300/6774/3200/339324/138151/2736/57659/7690/604/1385/1660/2309/27107/4779/55553/10608/6938/79027/6256/7068/7404/6095/64764/6772/2063/51450/6935/3192/4782/7025/58525/4790/6299/7026/340252/22877/2908/10413/6659/6670/1602/7707/8805/7597/4335/83439/4212/10725/7552/149076/1959/7150/79692/285971/3091/8609/147912/5991/861/7181/199777/7559/55749/6934/9658/6722/10379/9572/285268/84662/5241/7157/25799/7586/147657/4097/84914/5465/4774/6925/23764/3236/55422/23135/10691/56731/3068/7705/3516/11016/10664/4781/2737/2034/221937/3203/9968/1997/1788/80264/22926/2114/51193/6497/54811/3661/55636/2004/7342/84436/10168/4929/6929/5978/54989/4801/55893/116113/170506/7975/4520/144348/687/3164/7702/3217/7755/7528/9314/3659/93134/5469/1316/2295/5307/1628/23435/4209","MF","Up",2
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",408,0.467930726941001,1.52688188747181,1e-10,1.30315800173473e-08,9.13941930189534e-09,2533,"tags=57%, list=35%, signal=39%","639/93986/122953/7003/7764/360023/196/7700/8553/9575/170960/4089/6666/51621/9975/9534/571/4784/54816/3096/7543/4150/7799/4205/2117/90338/23394/440515/6239/253461/5966/2005/7587/126208/3097/4090/22834/7581/51274/23269/2113/7024/5396/6498/9988/6909/463/84614/23036/4094/84146/51341/55279/9923/65986/6777/9745/22887/10308/49854/7748/23152/3727/1112/6926/92999/58487/5451/2120/23300/7008/6773/4208/7594/163227/55769/7644/7067/7544/153222/6667/5814/4211/9839/9208/2300/6774/3200/26036/339324/138151/4853/2736/57659/7690/2969/7716/604/1385/2309/27107/4779/55553/10608/1523/6938/79027/6256/3344/7068/54897/146198/6095/64764/6772/56917/57616/22850/2063/51450/6935/4782/2077/7025/58525/4790/6299/7026/340252/22877/2908/6659/6670/1602/7707/284391/7597/4335/83439/4212/10725/7552/1959/79692/285971/3091/8609/147912/5991/861/7181/199777/7559/3090/6934/9658/6722/10379/9572/285268/11244/84662/5241/10194/6018/7157/25799/7586/147657/4097/84914/5465/4774/5316/6925/23764/3236/57158/100381270/5813/55422/10691/3068/7705/3516/11016/10664/4781/5087/2737/2034/221937/3203/1997/7029/80264/22926/2114/51193/6497/54811/3661/2004/3431/5089/7342/84436/1998/10168/4929/7227/6929/5978/54989/4801/55893/116113/7627/7975/4520/144348/687/3164/7702/3217/5090/7755/7528/9314/3659/93134","MF","Up",2
"GO:0000987","cis-regulatory region sequence-specific DNA binding",401,0.447774126479019,1.46002222177694,5.58014129392045e-10,4.03183577498226e-08,2.82764159487131e-08,2630,"tags=55%, list=36%, signal=37%","639/8204/93986/122953/2186/7003/7764/360023/196/7700/8553/10499/80312/9575/170960/4089/6666/51621/9975/9534/23411/23512/571/4784/54816/3096/7543/4150/4205/90338/440515/6239/253461/5966/2005/7587/3097/4090/7581/51274/64324/23269/2113/7024/5396/1106/6498/9988/6909/463/84614/4094/84146/51341/6777/9745/22887/10308/619279/7748/3727/1112/6926/5451/2120/64375/7008/6773/4208/7594/163227/55769/7644/10013/7067/7544/6667/9839/9208/2300/6774/3200/339324/138151/4853/2736/57659/7690/604/1385/1660/2309/27107/4779/55553/10608/6938/79027/6256/3344/7068/7404/6095/2475/64764/6772/2063/51450/6935/3192/4782/7025/58525/4790/6299/7026/340252/22877/2908/10413/6659/6670/1602/7707/8805/7597/4335/83439/4212/10725/7552/149076/1959/7150/79692/285971/3091/8609/147912/5991/861/7181/199777/7559/55749/6934/9658/6722/10379/9572/285268/84662/5241/7157/25799/7586/147657/4097/84914/5465/4774/6925/23764/3236/55422/23135/10691/56731/3068/7705/3516/11016/10664/4781/2737/2034/221937/3203/9968/1997/1788/80264/22926/2114/51193/6497/54811/3661/55636/2004/7342/84436/10168/4929/6929/5978/54989/4801/55893/116113/170506/7975/4520/144348/687/3164/7702/3217/7755/7528/9314/3659/93134/5469/1316/2295/5307/1628/23435/4209","MF","Up",2
"GO:0003682","chromatin binding",351,0.45482349533067,1.47763851030144,2.44599528845807e-09,5.92794152261603e-08,4.15743471629561e-08,2264,"tags=50%, list=31%, signal=37%","8932/2033/254225/639/122953/80012/2168/10499/8467/2956/7091/9575/4089/4297/55870/23411/8861/6310/23512/23054/7543/23522/4205/6418/23394/165918/7155/26057/2005/64324/25836/10735/5927/6881/1106/84629/5430/6498/905/1107/56916/53615/85453/6777/55818/23186/2145/23211/1105/23468/6599/1108/55193/8243/6830/473/90378/6594/8473/50809/51317/7067/1059/8725/5934/57492/55777/4211/2332/546/51780/6774/81/7486/84181/2736/1387/6602/904/7994/604/1660/114825/23060/2309/4302/6907/3720/23523/5585/54454/10951/7068/51564/7404/79685/54828/8648/4300/64318/6772/56917/57616/1956/6935/23466/11143/3192/5885/7019/221336/6421/221037/23028/4790/1912/11198/10413/6670/8535/171023/9612/57459/8805/55252/4335/648/5976/10725/1786/1959/7150/57634/27324/64061/5562/80335/6934/6722/7343/9425/23476/7157/55274/22904/4774/4928/23270/5316/84656/1911/3236/7259/10274/8028/23135/3054/3516/10664/6601/4091/51322/2737/9968/57680/1788/11335/64431/84759/80173/3661/22907/55636/9760/5089/3184/10155","MF","Up",5
"GO:0003700","DNA-binding transcription factor activity",433,0.464151965852463,1.51451894841775,1e-10,1.30315800173473e-08,9.13941930189534e-09,2836,"tags=61%, list=39%, signal=40%","639/93986/122953/7003/7764/360023/196/7700/8553/9575/170960/4089/6666/51621/9975/9534/571/4784/54816/3096/7543/4150/7799/4205/2117/90338/23394/440515/6239/253461/5966/2005/7587/126208/3097/4090/22834/7581/51274/23269/2113/7024/5396/6498/9988/6909/114991/463/84614/23036/4094/84146/51341/55279/9923/65986/6777/9745/22887/10308/49854/619279/7748/23152/3727/1112/6926/92999/58487/3899/5451/2120/64375/23300/7008/6773/4208/7594/163227/55769/7644/7067/7544/153222/6667/5814/4211/9839/9208/2300/6774/3200/26036/339324/138151/4853/2736/57659/7690/2969/7716/604/1385/2309/27107/4779/55553/10608/1523/55205/6938/79027/6256/3344/7068/54897/146198/6095/64764/6772/56917/57616/22850/2063/51450/6935/4782/2077/7025/58525/4790/6299/7026/340252/22877/56977/2908/6659/6670/1602/7707/284391/7597/4335/83439/4212/10725/7552/149076/1959/79692/285971/3091/8609/147912/5991/861/7181/199777/7559/3090/6934/9658/6722/10379/9572/285268/11244/84662/5241/10194/6018/7157/25799/7586/147657/4097/84914/5465/4774/5316/6925/23764/3236/57158/100381270/5813/55422/10691/56731/3068/7705/3516/11016/10664/4781/5087/2737/2034/221937/3203/1997/7029/80264/84450/65056/22926/2114/51193/6497/54811/3661/2004/168850/3431/5089/7342/84436/1998/10168/4929/7227/6929/5978/54989/4801/55893/116113/7627/7975/4520/144348/687/3164/7702/3217/5090/7755/7528/9314/3659/93134/1316/84524/2295/5307/1628/4209/163033/140467/51710/165/11057/467/5989/988/3207/27245/4093/3660/57677/22890/3213/4776","MF","Up",2
"GO:0004672","protein kinase activity",264,0.491666842848647,1.58640427901392,1.10705170050281e-10,1.30315800173473e-08,9.13941930189534e-09,2743,"tags=62%, list=38%, signal=40%","5290/9770/9475/9874/57551/5567/11011/10746/23049/659/54822/9448/22848/1459/3480/7204/120892/8780/8491/8445/8621/2241/4921/8812/3482/472/10114/5062/2260/51232/7525/8997/200576/5591/9748/204851/23683/25/5594/8737/5601/51755/79834/6732/2011/6197/6789/23235/728642/54861/146057/93/6093/27347/817/9031/8408/10000/1455/375449/6794/11213/5747/9578/8895/55681/4216/26524/1456/5610/5585/6872/127933/9706/2475/5592/65125/1956/8828/80216/440275/11040/11329/5586/208/3643/10769/2045/2580/6416/55589/28996/51347/1859/8805/7046/5597/9201/5584/7048/1021/23043/7150/9113/7049/91461/5159/5565/9344/8476/26750/5562/7465/1452/7444/23476/5602/23387/3716/5599/4052/6198/11183/4920/8829/4882/673/5566/9943/7016/2932/2043/6885/207/2534/5605/10155/93627/1454/1457/2872/56975/8573/6196/5563/2931/4916/657/29110/5289/140609/5058/57396/1432/3551/4215/6046/30811/4752/2263/9261/23097/6352/83931","MF","Up",1
"GO:0005667","transcription regulator complex",292,0.420368811311834,1.35478220138503,1.96872509574524e-05,0.000941408545783632,0.000719667929736536,2647,"tags=49%, list=36%, signal=32%","8932/2033/23013/55729/122953/55809/7003/161882/6596/6884/196/10499/7091/2975/9575/4089/57708/4194/8861/571/23054/4205/2117/23394/79718/4090/8864/6881/6498/6909/1107/463/5591/4193/4094/53615/6777/23186/23468/55814/3727/1108/58487/5451/6773/9439/25937/7067/5934/6667/4211/6774/1387/9329/10153/283149/1385/2309/6907/6872/6938/3182/6256/54815/79101/7068/2957/8648/6772/3192/6421/23326/23028/4790/10443/28996/10413/6659/6670/1602/9612/57459/83439/10725/83860/8543/3091/147912/5991/9014/861/6934/10379/607/7157/4097/5316/6925/23764/221895/3236/6917/3068/126374/1810/3516/11016/5087/1408/4091/2737/2034/4331/7029/11335/79612/22926/6497/10625/6314/5089/10155/4929/6873/6929/5978/4801/7975/5926/3164/1487/5090/7528/9314/55758/64210/5469/51586/2965/2295/5307/1628/142","CC","Up",2
"GO:0006468","protein phosphorylation",454,0.465602671801936,1.52760006701168,1e-10,8.614e-08,6.45894736842105e-08,2640,"tags=55%, list=36%, signal=38%","324/27020/1756/718/92597/171024/5144/93649/4040/9770/10527/9475/9874/2247/7423/57551/5567/11011/23515/23049/54625/54822/5912/9448/22848/10464/54431/3480/6546/122809/120892/7422/8491/80243/8445/23411/8826/2241/4921/8812/23394/27250/9693/55704/472/10114/9989/5062/2260/22863/64324/7525/51719/8997/26146/905/5728/200576/5591/23085/9748/204851/8658/2335/23683/102/25/5594/8737/6422/161742/5601/51755/79834/8754/6732/2011/6197/5911/6789/23235/728642/5310/6773/54861/146057/7037/3093/7534/6093/57600/28232/27347/25937/10013/817/154043/8408/5783/10000/1455/6794/6091/11213/5747/9578/2200/85440/904/1981/4216/1385/26524/2776/5610/10507/5585/6872/103/5770/127933/23118/9706/2475/84919/65125/1956/440275/3301/11040/11329/5586/894/3643/10769/7026/2045/7474/9794/4254/219771/28996/51347/1859/253260/5569/7046/5597/9201/7057/56288/5584/54206/4683/57448/11261/9052/1021/23043/7150/55023/3609/9113/1399/57161/2674/91461/25998/5159/5781/9344/1365/64061/8476/5562/1452/7444/1027/1839/5602/7157/23387/3716/3845/6608/29950/5599/64853/6198/80829/10826/3690/8829/29990/673/23654/7405/10142/5611/5566/9943/7016/1654/2932/2043/6868/6885/9655/207/2534/5605/51429/2252/1601/1454/57493/1857/1457/58533/96459/3843/9647/8503/2872/56975/3678/284/5563/2931/4916/801/1487/29110/7520/10111/10006/57506/9318/140609/5058/1432/83666/4041/2965/7249/3551/10152/23435/83667/28951/4215","BP","Up",1
