"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa03010","Ribosome",110,-0.675675825910966,-2.36147000735946,1e-10,2.82e-08,2.18947368421053e-08,1030,"tags=85%, list=29%, signal=62%","51021/51187/6134/6191/200916/6167/55052/6139/6232/6143/6181/9045/55168/6141/6135/6169/25873/23521/6210/6206/51121/51264/6193/6205/29074/6176/6125/6137/63931/6157/6209/6133/6132/6161/6188/6165/6147/6235/6144/6171/6130/11224/6168/6204/64969/6222/6208/3921/6202/6227/6164/6187/6175/6234/6136/6170/54460/6160/6223/6207/64981/6201/6122/6128/6230/6224/6156/51073/6189/6233/6138/6228/64983/6154/6194/6146/6129/6124/6203/219927/9349/6229/4736/6231/6218/65003/64960/6182/51081/6173/54948/9801/6192","Down","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04066","HIF-1 signaling pathway",45,0.57106303733982,2.27660292034637,5.33208594352723e-06,0.000751824118037339,0.000583723092765086,353,"tags=40%, list=10%, signal=37%","3099/5209/3091/4843/3939/2034/226/2597/2033/7037/5604/5214/3459/5230/7422/2023/80201/817","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05163","Human cytomegalovirus infection",72,0.462572361772735,1.99899806732601,1.09700831748275e-05,0.00103118781843378,0.000800623614162846,1132,"tags=58%, list=31%, signal=41%","3106/578/2185/7132/5604/3133/6891/567/841/10672/6892/7422/3107/3134/6890/2773/1026/3105/6655/5829/6774/84699/5595/5605/808/1398/3716/6667/3588/5879/801/55970/2782/3710/1385/811/2776/54205/2783/1499/6009/23365","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05170","Human immunodeficiency virus 1 infection",63,0.490906767794356,2.05725490319404,1.62338252586343e-05,0.00114448468073372,0.000888588329946298,691,"tags=40%, list=19%, signal=33%","5606/3106/578/2185/7132/5604/3133/6891/567/23291/841/5599/6892/3107/3134/6890/5062/598/2773/3105/5829/5595/5605/808/1398","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",71,0.453173678158134,1.94698263793069,2.64861358095678e-05,0.00149381805965962,0.00115981394702949,709,"tags=39%, list=20%, signal=32%","2920/2921/3091/3383/3106/2033/6772/578/7132/5604/3133/3459/841/5599/7422/3107/3134/6934/1026/3105/6774/9261/5595/7316/3665/5605/808/3716","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05171","Coronavirus disease - COVID-19",115,-0.516905629571893,-1.81163432891322,3.60546289563238e-05,0.00169456756094722,0.00131567768823076,1024,"tags=68%, list=28%, signal=50%","51187/6134/6191/200916/6167/6139/6232/6143/6181/9045/6141/6135/6169/25873/23521/6210/6206/51121/6193/6205/6176/6125/6137/6157/6209/6133/6132/6161/6188/6165/6147/6235/6144/6171/6130/11224/6168/6204/6222/6208/3921/6202/6227/6164/6187/6175/6234/6136/6170/6160/3627/6223/6207/6201/6122/6128/6230/6224/6156/6189/6233/6138/6228/6154/6194/6146/6129/6124/6203/1839/9349/6229/4736/6231/6218/6173/7187/6192","Down","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05132","Salmonella infection",103,0.392493451522659,1.80149387265901,9.20568952183226e-05,0.00363817699986112,0.00282471375875742,822,"tags=43%, list=23%, signal=34%","840/5606/60/834/2597/5868/578/7132/5604/51429/841/5599/302/10095/5286/6934/10096/55860/6281/6993/71/9648/8976/382/10093/3606/10121/3840/5595/79792/998/23191/5605/10540/79026/8743/330/83547/10006/388/391/5879/7295/10627","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04215","Apoptosis - multiple species",14,0.752386127958801,2.15254547063845,0.000103210695031521,0.00363817699986112,0.00282471375875742,683,"tags=71%, list=19%, signal=58%","840/578/7132/841/5599/598/331/57448/330/5366","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05165","Human papillomavirus infection",96,0.384418771295211,1.75213861431464,0.000156589616303759,0.00442232777070498,0.00343353555918864,712,"tags=39%, list=20%, signal=32%","3673/9636/3659/3909/5527/3106/3691/2033/6772/578/7132/5604/3133/84612/841/7422/3107/3134/10312/5315/3655/3918/6934/3688/1026/3105/6655/5829/51382/84699/5595/998/5605/5590/5663/3716/5516","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05145","Toxoplasmosis",44,0.517335985625153,2.03261276213532,0.000156820133712943,0.00442232777070498,0.00343353555918864,731,"tags=55%, list=20%, signal=44%","4843/4261/3909/5606/6772/7132/3459/841/5599/3655/3918/598/3117/2773/8651/331/3108/3688/6774/3115/5595/330/3716/3588","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04621","NOD-like receptor signaling pathway",62,0.446785863972596,1.87320262665127,0.000207630869886544,0.00532290048254595,0.00413274841496662,709,"tags=42%, list=20%, signal=34%","115361/2920/2921/2633/4938/10135/834/2635/6772/114769/2634/841/5599/1671/598/331/5586/7417/1508/10010/3606/5595/79792/3665/330/3716","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa03040","Spliceosome",71,-0.545400352338587,-1.81654070389723,0.000274117604802231,0.00644176371285243,0.00500144401744421,1400,"tags=69%, list=39%, signal=43%","10907/22985/220988/2521/6434/83443/58517/27316/3192/6432/22827/6629/51639/27258/23451/23020/3303/9879/3183/57187/10772/6625/10992/51503/6426/9939/6427/10084/23658/7307/25804/6637/6634/11157/4809/51691/57819/27339/3178/6431/6633/6635/26121/4116/6632/6628/4670/6636/22938","Down","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05230","Central carbon metabolism in cancer",24,0.597471651508144,1.99827630762904,0.000421370320702793,0.00914049464909136,0.00709676329604704,348,"tags=38%, list=10%, signal=34%","3099/9123/3091/3939/5223/5604/5214/5315/80201","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05164","Influenza A",62,0.426653040574106,1.78879338116477,0.000557582537209414,0.011231305392361,0.00872008779996677,709,"tags=44%, list=20%, signal=36%","3383/5371/4261/4938/60/834/2033/6772/578/7132/5604/3459/841/7113/9021/3117/3337/3108/71/292/3115/3606/5595/3665/5605/8743/3716","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04930","Type II diabetes mellitus",13,0.728513521523399,2.05182000315896,0.000623077498676965,0.011713856975127,0.00909474524384623,670,"tags=62%, list=19%, signal=50%","3099/5599/9021/5315/80201/8651/5595/5590","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04668","TNF signaling pathway",41,0.491664115137806,1.87796301366398,0.000780500651854036,0.0133834585200451,0.0103910390898447,275,"tags=32%, list=8%, signal=30%","2920/2921/1051/3383/3659/840/843/5606/7132/5604/841/5599/9021","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04218","Cellular senescence",57,0.433830370297411,1.77042537137927,0.000806804237023998,0.0133834585200451,0.0103910390898447,675,"tags=40%, list=19%, signal=33%","5606/3106/5604/3133/4616/23291/3107/3134/10111/823/7417/4088/824/1026/2309/292/3105/9261/5595/5605/22800/5500/808","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05131","Shigellosis",94,0.364592048000895,1.64642028615746,0.00091875064554994,0.0143937601136157,0.0111754464487946,630,"tags=31%, list=18%, signal=26%","3099/664/92610/60/834/7132/8915/23291/5599/10095/598/80201/64121/10096/823/824/71/3688/2309/8976/5829/2017/382/10093/3606/5595/9252/998/7316","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04810","Regulation of actin cytoskeleton",70,0.394157825216794,1.69007733467218,0.000995820592709012,0.0147800740602074,0.0114753841154279,930,"tags=47%, list=26%, signal=36%","3673/60/3691/5604/10672/10095/79784/5062/3655/10096/8395/71/3688/8976/6655/5829/10093/5595/998/23191/5605/22800/5500/1398/733/81/5879/10627/2934/55970/324/4627/2909","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05168","Herpes simplex virus 1 infection",62,0.41061536062433,1.72155350938325,0.00112067191732842,0.0158014740343308,0.0122684083581217,709,"tags=40%, list=20%, signal=33%","5371/4938/3106/6772/578/7132/3133/6891/567/3459/841/6892/3107/9021/3134/6890/598/3117/3108/3105/3115/3665/5500/330/3716","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04145","Phagosome",63,0.415173308140907,1.73987685622205,0.00183326321731176,0.0240234914204829,0.0186520575418456,692,"tags=38%, list=19%, signal=31%","3673/1520/60/3106/5868/7037/653361/3133/6891/3107/3134/6890/10312/3117/3108/23480/71/3688/3105/51382/3115/23673/8417/83547","Up","IL2RG+_enterocyte_(M_cell)","EPI","Ileum","InactiveCD_vs_Control","dataset_01"
