"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000139","Golgi membrane",332,0.345518055947714,1.71405859180504,6.85777351343991e-07,0.000364147773563659,0.000340001192087389,1329,"tags=35%, list=22%, signal=29%","3134/84910/128637/7851/11322/51301/90522/2635/10466/148789/9267/51026/11015/3106/2591/10652/1718/79586/3955/113829/81876/84699/79903/2802/9867/5768/57085/374907/162/79971/3107/2525/65977/6811/340481/10564/4124/222236/152007/10228/23385/2590/9245/10559/7355/377/29071/3133/22818/3122/9919/164/9743/2633/55974/10282/55624/51272/10890/11014/148867/54741/3123/2734/9342/23256/8702/567/54732/28/9296/55738/6892/51809/4247/6836/26286/51304/22862/64841/533/3127/3105/51125/286451/11020/8428/3460/8720/22883/9276/11337/23423/9197/93380/51399/10959/10488/56975/51124/9166/1201/9554/55858/5663/8677/4245/54503/64114/9334/9527/26003/537/57704/55080/9516/51196","CC","Up",2
"GO:0000976","transcription cis-regulatory region binding",358,-0.3616564534669,-1.69489175696373,5.54206209753072e-06,0.000471691062967614,0.000451143300570921,1313,"tags=34%, list=22%, signal=29%","4602/3661/55502/7050/4869/51545/3202/146540/5308/6421/54989/23435/2551/93986/9988/2120/339123/988/4774/6239/27161/29117/64764/1388/29128/84146/79977/3280/6257/3205/7343/284443/904/1997/23476/5966/3172/8576/2122/51157/4851/4780/25824/2627/474/5089/64919/84159/3191/23361/351/571/1112/27300/9112/3206/6777/8805/7644/10413/4781/8554/27086/687/4775/5087/10514/8848/6722/7551/2354/56987/3213/148327/430/3726/6662/55749/3219/23394/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/4782/30827/7629/126626/4784/7702/3215/1628/51085/6938/5325/7071/6932/6872/3216/55636/4791/2118/221937/4335/5187/3164/1958/467/10782/4929/8535/6689","MF","Down",7
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",308,-0.356708010094419,-1.65865033848452,3.77574262750772e-05,0.00206587060905065,0.00197587734492133,1313,"tags=34%, list=22%, signal=28%","4602/3661/55502/7050/51545/3202/146540/5308/54989/23435/2551/93986/9988/2120/988/4774/6239/64764/1388/84146/79977/3280/6257/3205/284443/1997/5966/3172/8576/2122/51157/4780/2627/474/5089/64919/23361/351/571/27300/9112/3206/6777/8805/7644/10413/4781/27086/687/4775/5087/10514/8848/6722/7551/2354/56987/3213/148327/430/3726/6662/55749/3219/23394/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/4782/7629/4784/7702/3215/1628/51085/6938/5325/7071/6932/6872/3216/55636/4791/2118/221937/4335/5187/3164/1958/467/10782/4929/6689","MF","Down",7
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",270,-0.370568289822425,-1.69242011833517,3.07993784828195e-05,0.00181479414752613,0.0017357382529589,1313,"tags=36%, list=22%, signal=29%","4602/3661/55502/7050/51545/3202/5308/54989/23435/2551/93986/9988/2120/4774/6239/64764/1388/84146/79977/3280/6257/3205/284443/1997/5966/3172/8576/2122/51157/4780/2627/474/64919/23361/351/571/27300/9112/3206/6777/8805/7644/10413/4781/27086/687/4775/10514/8848/6722/2354/3213/148327/430/3726/6662/55749/3219/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/4782/7629/4784/7702/3215/1628/51085/6938/5325/7071/6932/3216/55636/4791/2118/221937/4335/5187/3164/1958/467/10782/4929/6689","MF","Down",7
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",276,-0.386386975472612,-1.76051098474384,2.60382735428946e-06,0.000361487529061508,0.000345740442801717,1313,"tags=37%, list=22%, signal=30%","4602/3661/55502/7050/3202/146540/5308/54989/2551/93986/85315/9988/2120/988/4774/6239/64764/1388/84146/79977/3280/6257/3205/284443/1997/10472/5966/3172/2122/51157/4851/4780/2627/474/5089/64919/23361/571/1112/27300/3206/6777/7644/4781/27086/687/4775/5359/5087/8848/6722/7551/2354/56987/3213/148327/430/3726/6662/3219/23394/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/126208/4782/7629/4784/7702/3215/1628/51085/10194/64651/6938/5325/7071/6932/3216/4791/2118/221937/4335/3164/1958/467/10782/4929/6689","MF","Down",7
"GO:0000987","cis-regulatory region sequence-specific DNA binding",281,-0.36764174737403,-1.68231659446254,2.18120514280711e-05,0.00167080313939025,0.00159801976778289,1313,"tags=36%, list=22%, signal=30%","4602/3661/55502/7050/51545/3202/5308/54989/23435/2551/93986/9988/2120/339123/4774/6239/64764/1388/29128/84146/79977/3280/6257/3205/284443/1997/5966/3172/8576/2122/51157/4851/4780/2627/474/64919/23361/351/571/1112/27300/9112/3206/6777/8805/7644/10413/4781/27086/687/4775/10514/8848/6722/2354/3213/148327/430/3726/6662/55749/3219/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/4782/30827/7629/4784/7702/3215/1628/51085/6938/5325/7071/6932/3216/55636/4791/2118/221937/4335/5187/3164/1958/467/10782/4929/6689","MF","Down",7
"GO:0001067","transcription regulatory region nucleic acid binding",358,-0.3616564534669,-1.69489175696373,5.54206209753072e-06,0.000471691062967614,0.000451143300570921,1313,"tags=34%, list=22%, signal=29%","4602/3661/55502/7050/4869/51545/3202/146540/5308/6421/54989/23435/2551/93986/9988/2120/339123/988/4774/6239/27161/29117/64764/1388/29128/84146/79977/3280/6257/3205/7343/284443/904/1997/23476/5966/3172/8576/2122/51157/4851/4780/25824/2627/474/5089/64919/84159/3191/23361/351/571/1112/27300/9112/3206/6777/8805/7644/10413/4781/8554/27086/687/4775/5087/10514/8848/6722/7551/2354/56987/3213/148327/430/3726/6662/55749/3219/23394/7067/90333/3664/8553/3725/4609/27107/2309/26959/5978/3727/22887/2355/6659/2353/4782/30827/7629/126626/4784/7702/3215/1628/51085/6938/5325/7071/6932/6872/3216/55636/4791/2118/221937/4335/5187/3164/1958/467/10782/4929/8535/6689","MF","Down",7
"GO:0001216","DNA-binding transcription activator activity",158,-0.468141544192412,-2.0088388709744,3.06424739154364e-07,0.000115838229499504,0.000110792095275052,1313,"tags=44%, list=22%, signal=35%","4602/3661/3202/54989/2551/2120/988/4774/6239/64764/1388/79977/6257/3205/284443/1997/5966/3172/2122/51157/4851/4780/474/5089/64919/23361/571/27300/3206/6777/7644/4781/4775/5359/5087/8848/6722/2354/3213/148327/430/3726/6662/3664/3725/4609/2309/3727/22887/2355/6659/2353/4782/7629/7702/3215/1628/51085/64651/6938/5325/7071/4791/2118/3164/1958/467/4929/6689","MF","Down",7
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",156,-0.475237305405054,-2.03077588641718,7.13638213687761e-07,0.000136661717921206,0.000130708472822811,1313,"tags=49%, list=22%, signal=39%","2969/55897/22877/1316/4779/4802/1050/4602/3661/3202/54989/2551/2120/988/4774/6239/64764/1388/79977/6257/3205/284443/1997/5966/3172/2122/51157/4851/4780/474/5089/64919/23361/571/27300/3206/6777/7644/4781/4775/5359/5087/8848/6722/2354/3213/148327/430/3726/6662/3664/3725/4609/2309/3727/22887/2355/6659/2353/4782/7629/7702/3215/1628/51085/64651/6938/5325/7071/4791/2118/3164/1958/467/4929/6689","MF","Down",7
"GO:0001906","cell killing",68,0.482771553688126,1.89886526688851,0.00017503846373343,0.0339399581179122,0.0323544781385162,1196,"tags=46%, list=20%, signal=37%","5320/4069/3134/3500/2635/9547/3106/5599/55876/1671/3107/4814/5443/11334/3133/3122/164/2633/3123/567/56477/1054/2885/3105/23207/6891/8417/2671/5532/409/9166","BP","Up",4
