"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000070","mitotic sister chromatid segregation",120,-0.461214558184339,-1.78784401154002,0.000184657366085342,0.023196152062089,0.0209892932919367,1926,"tags=38%, list=23%, signal=29%","25978/51510/9126/22919/81929/5901/10464/9918/8697/4926/9031/10726/4733/283489/11130/8243/49856/10270/51143/29098/729440/3835/891/55055/8881/26993/55795/7283/472/81620/1843/10524/129563/51203/10592/11065/23332/11200/23411/92421/983/29128/4605/991/8086","BP","Down",2
"GO:0000280","nuclear division",216,-0.436345608275588,-1.81217247683914,3.0299174841121e-06,0.0022282969476299,0.00201629899865036,1926,"tags=36%, list=23%, signal=29%","25978/51510/51343/1028/9126/22919/81929/5902/5901/10464/10111/9918/3643/80346/5000/8697/4926/23141/57820/9031/55023/10726/2059/80198/4733/9585/283489/11130/8243/23353/49856/10609/10270/55968/192670/116138/51143/29098/9232/729440/5889/3835/891/55055/8881/26993/55795/7283/675/84687/9133/472/81620/1843/10419/10524/129563/1111/51203/10592/652/11065/23332/11200/23411/23363/92421/55124/983/29128/4605/991/8556/1906/8086/858/10635/2069","BP","Down",2
"GO:0000725","recombinational repair",125,-0.451643371270406,-1.76165192264749,9.93129913733672e-05,0.017884283486516,0.0161827905943129,1511,"tags=34%, list=18%, signal=29%","4171/64110/196528/80198/8089/10856/672/54386/27336/116028/8295/197370/55183/4176/55929/1387/55218/8607/5889/79677/86/375757/2237/58493/675/5932/3276/25/472/5965/84250/10524/1111/7515/57599/6118/51588/3364/83695/84515/29128/23514/10635","BP","Down",7
"GO:0000819","sister chromatid segregation",151,-0.437114293854236,-1.73429864251522,0.00012555135565715,0.0200539357673326,0.0181460243212553,2145,"tags=38%, list=26%, signal=29%","6601/8452/64105/9275/9184/25978/51510/9126/22919/81929/5901/10464/9918/996/8697/4926/9031/196528/10726/4733/283489/11130/8243/116028/605/49856/10270/51143/29098/10783/729440/3835/891/86/55055/8881/26993/55795/7283/472/81620/1843/10524/129563/51203/10592/11065/23332/11200/23411/10460/92421/983/55274/29128/4605/991/8086","BP","Down",2
"GO:0001216","DNA-binding transcription activator activity",218,-0.388852041411411,-1.63133450893651,0.000196654849302889,0.0319015441811992,0.0296792467723826,1195,"tags=24%, list=14%, signal=21%","7582/1628/3727/64919/4097/3215/27300/9935/7769/1044/148327/7544/7629/2002/4801/1316/7799/988/7594/2353/1386/3726/3202/4773/1958/6938/643836/3725/79759/23764/153222/2354/2104/7690/25988/197407/3164/147808/861/474/2118/9314/467/1649/4605/7071/64651/169792/4791/5468/6689/2297","MF","Down",10
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",216,-0.393912041259919,-1.65258057707323,0.000200933924905271,0.0319015441811992,0.0296792467723826,1195,"tags=24%, list=14%, signal=21%","7582/1628/3727/64919/4097/3215/27300/9935/7769/1044/148327/7544/7629/2002/4801/1316/7799/988/7594/2353/1386/3726/3202/4773/1958/6938/643836/3725/79759/23764/153222/2354/2104/7690/25988/197407/3164/147808/861/474/2118/9314/467/1649/4605/7071/64651/169792/4791/5468/6689/2297","MF","Down",10
"GO:0001657","ureteric bud development",34,-0.635095917003195,-1.97452096301583,0.000259323555316171,0.0265335146825773,0.0240091425615689,665,"tags=26%, list=8%, signal=24%","3280/6928/650/9500/652/6385/4092/2263/2297","BP","Down",5
"GO:0001914","regulation of T cell mediated cytotoxicity",16,0.753920766711868,2.15235416419124,7.10911213750177e-05,0.0154050518270741,0.0139394305620372,1184,"tags=62%, list=14%, signal=54%","634/3134/6891/5532/3106/3133/567/3123/3107/3122","BP","Up",6
"GO:0002250","adaptive immune response",183,0.418007360978324,1.94740004855292,2.84564153292385e-07,0.000640553909061159,0.00057961224907449,976,"tags=29%, list=12%, signal=26%","3503/3501/3426/3493/10673/214/3512/713/3514/712/3606/634/3539/3134/3570/3956/969/7037/10384/11119/6891/3494/5532/11118/3109/3538/3115/3106/1445/7942/2185/717/196/6890/23765/10312/3133/3507/975/5562/51279/567/84876/10459/127544/149041/7158/163486/1520/3123/958/3107/3659","BP","Up",1
"GO:0002252","immune effector process",267,0.342695947673252,1.65826185717958,3.46469982972219e-06,0.0022282969476299,0.00201629899865036,973,"tags=24%, list=12%, signal=22%","3503/3501/3426/3493/6461/7305/713/3514/712/5443/3606/634/3539/3134/3570/3956/969/7037/4843/10384/6891/3494/3988/4853/5532/11118/3109/3538/3106/6845/6714/2185/80031/717/3820/196/29110/684/6777/5336/10312/3133/629/4282/22904/975/6284/5562/51279/567/10459/4035/127544/54/149041/7158/163486/3394/3123/958/3107/409/2671/1675","BP","Up",1
"GO:0002253","activation of immune response",290,0.324223613977141,1.58609799832328,2.72546717720907e-05,0.00766878326987203,0.0069391828788152,1432,"tags=27%, list=17%, signal=23%","3503/3501/3426/3493/6461/7305/713/3514/712/634/673/3539/11148/89870/4843/10384/57169/11119/2633/3494/3988/4669/11118/25921/2634/3115/1445/6714/54726/717/9867/2874/5144/29110/55666/153090/5336/10917/90268/629/1540/8893/3507/5594/975/51279/80216/8525/149041/163486/1520/330/3123/409/1675/3659/9684/7805/9564/8780/8890/55577/79908/23228/55366/79184/25865/331/121665/834/5795/2885/4790/5170/8678/27246/5538","BP","Up",1
