"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05168","Herpes simplex virus 1 infection",83,0.581375435279342,2.16049429413799,1.96225975008582e-07,6.02413743276346e-05,5.03990925285199e-05,663,"tags=37%, list=12%, signal=33%","3113/684/9021/3127/6890/972/23118/5291/4938/3122/3115/8717/836/6892/3106/3134/3717/8893/3109/3133/3454/3123/4790/3119/578/6772/3105/598/1978/29110/6714","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",13,0.877876493962013,2.25270722120757,6.51547283391208e-07,8.01920499298541e-05,6.70902114962606e-05,444,"tags=77%, list=8%, signal=71%","3113/3127/5284/3122/3115/6370/56477/3109/3123/3119","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04145","Phagosome",70,0.592800115705055,2.14149834079647,7.83635667066978e-07,8.01920499298541e-05,6.70902114962606e-05,757,"tags=34%, list=14%, signal=30%","3113/653361/3685/3127/6890/3122/3115/535/3106/3134/929/1781/523/3109/3133/3693/3123/3119/203068/1520/3105/3673/4689/3107","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04514","Cell adhesion molecules",38,0.700893943191103,2.2657506186014,1.52601887832739e-06,0.000102467510432004,8.57262902294153e-05,624,"tags=50%, list=12%, signal=44%","3113/3384/9075/3685/3127/3122/3115/3696/214/3106/3134/100506658/3109/3133/3123/3119/999/3105/3655","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05416","Viral myocarditis",32,0.724882250110608,2.3031660318919,1.66885196143329e-06,0.000102467510432004,8.57262902294153e-05,757,"tags=56%, list=14%, signal=49%","3113/857/3127/3122/3115/836/3106/3134/5880/3109/3133/3123/3119/8672/6443/3105/1605/3107","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05323","Rheumatoid arthritis",30,0.710095607330994,2.23814161192856,6.8757764868492e-06,0.000351810563577117,0.000294331484700211,444,"tags=40%, list=8%, signal=37%","2920/3113/6364/3127/8792/3122/3115/535/523/3109/3123/3119","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",13,0.831982925850053,2.13494034511068,1.90081762260242e-05,0.000765138404934985,0.000640129507300313,537,"tags=85%, list=10%, signal=76%","3113/3127/3122/3115/3106/3134/3109/3133/3123/3119/3105","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05169","Epstein-Barr virus infection",105,0.504322467537319,1.96448167183462,1.99384600634524e-05,0.000765138404934985,0.000640129507300313,1279,"tags=51%, list=24%, signal=40%","3113/5925/3127/8737/6890/1871/23118/4067/5291/4938/3122/3115/8717/836/6892/3106/3134/7128/5608/7431/3109/3133/3454/29760/3123/4790/3119/9861/578/6772/3105/894/1432/22938/29110/4609/3107/5713/10213/5610/5717/567/9541/2923/207/5606/5295/5700/1027/3065/3108/5719/4615/6773","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05322","Systemic lupus erythematosus",17,0.782313716340358,2.12175231995368,5.53016318025049e-05,0.00160855344919784,0.00134574675674361,444,"tags=47%, list=8%, signal=43%","3113/3127/717/3122/3115/3109/3123/3119","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",14,0.824367903364011,2.13875489331655,5.76354656064373e-05,0.00160855344919784,0.00134574675674361,537,"tags=79%, list=10%, signal=71%","3113/3127/3122/3115/3106/3134/3109/3133/3123/3119/3105","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",14,0.824367903364011,2.13875489331655,5.76354656064373e-05,0.00160855344919784,0.00134574675674361,537,"tags=79%, list=10%, signal=71%","3113/3127/3122/3115/3106/3134/3109/3133/3123/3119/3105","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04610","Complement and coagulation cascades",15,0.801922652626128,2.11649980791584,8.6545578366514e-05,0.00221412437987665,0.00185237904573942,313,"tags=53%, list=6%, signal=50%","3426/5328/717/629/722/7035/5627/5265","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",18,0.742268609948273,2.04607561720945,0.000319459746557616,0.0075441647840914,0.00631159337328408,344,"tags=39%, list=6%, signal=37%","2920/6364/9547/6368/57007/6370/56477","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05152","Tuberculosis",82,0.490749393478207,1.82194106464172,0.000405695002611709,0.00879917540578895,0.00736155940000859,663,"tags=27%, list=12%, signal=24%","3113/843/3127/972/3122/3115/8717/836/535/929/3717/23365/3109/3123/4790/3119/6772/1520/7421/1432/4802/6714","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",15,0.764624390236454,2.01805918533856,0.000459291829859927,0.00879917540578895,0.00736155940000859,537,"tags=73%, list=10%, signal=66%","3113/3127/3122/3115/3106/3134/3109/3133/3123/3119/3105","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04512","ECM-receptor interaction",17,0.733154693389308,1.98842566491179,0.000464892949736267,0.00879917540578895,0.00736155940000859,913,"tags=59%, list=17%, signal=49%","3694/3685/3696/3691/3693/3909/3655/1605/3673/1298","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04062","Chemokine signaling pathway",64,0.516845162987754,1.83492482910441,0.000487250755369421,0.00879917540578895,0.00736155940000859,663,"tags=27%, list=12%, signal=24%","2920/653361/6364/9547/6368/2776/4067/5291/3717/6370/5880/56477/4790/6772/4893/6464/6714","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05165","Human papillomavirus infection",133,0.430516467978219,1.70170147047612,0.00065760125215399,0.0110971269421198,0.0092840698572852,1389,"tags=44%, list=26%, signal=33%","3694/5925/3685/4600/5291/8717/836/535/3696/3106/3134/324/523/3691/3133/3693/6934/3454/4790/3909/578/6772/3105/894/7337/4853/3655/4893/1978/29110/3673/388585/3107/1857/5584/5610/8313/9223/1298/4599/3845/207/3659/5527/5295/5700/1027/1385/3065/1739/6773/5518/5663/5594/5529/2033/10488/64764","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05140","Leishmaniasis",31,0.635943768283916,2.00392834117096,0.000686792872639336,0.0110971269421198,0.0092840698572852,676,"tags=45%, list=13%, signal=40%","3113/653361/3127/23118/3122/3115/3717/3109/3123/4790/3119/6772/1432/4689","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",89,0.456283208478009,1.71633107338088,0.000860756580212386,0.0128004764620196,0.010709124830217,868,"tags=33%, list=16%, signal=28%","2920/5925/3091/1871/4067/5291/8717/836/3106/3134/3717/5608/3133/6934/3454/4790/3710/578/6772/3105/1432/4893/29110/4609/6714/3107/3572/1827/5610","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04064","NF-kappa B signaling pathway",38,0.586185126322863,1.89493621036877,0.000875602624437823,0.0128004764620196,0.010709124830217,565,"tags=34%, list=11%, signal=31%","2920/5328/8792/8737/23118/4067/8717/929/7128/29760/1540/4790/598","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04640","Hematopoietic cell lineage",19,0.692056387181261,1.93747882883382,0.00168806671462254,0.0235562036995054,0.0197075731276507,1017,"tags=63%, list=19%, signal=51%","3113/3127/3122/3115/929/3109/3123/3119/3655/3673/4311/7037","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05170","Human immunodeficiency virus 1 infection",90,0.463038572678578,1.73846140474145,0.00193027881047493,0.0257650258615567,0.0215555162359672,1336,"tags=41%, list=25%, signal=31%","684/8737/6890/2776/23118/5291/8717/836/6892/3106/3134/5608/5880/3133/4790/162/3710/578/3105/598/1432/4893/29110/3107/5058/23291/567/2923/3845/207/5606/5295/8906/4615/10053/5594/5603","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05163","Human cytomegalovirus infection",105,0.436806843428035,1.70148881575023,0.00204306265454901,0.0259166256569092,0.0216823475408395,688,"tags=27%, list=13%, signal=24%","5925/3685/8737/6890/2776/1871/5291/8717/836/6892/3106/3134/23365/5608/5880/6667/3133/4790/3710/578/3105/1432/4893/1978/29110/4609/6714/1386","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04936","Alcoholic liver disease",52,0.509141063957377,1.73873181109407,0.00211047440202844,0.0259166256569092,0.0216823475408395,681,"tags=31%, list=13%, signal=27%","2920/717/8737/23118/8717/836/501/929/6319/224/5608/6934/4790/1432/29110/84818","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04972","Pancreatic secretion",38,0.557641777909083,1.80266531838327,0.00255842581805733,0.0302091048516769,0.0252735182026716,527,"tags=29%, list=10%, signal=26%","1179/1080/5874/493/1358/2776/5320/6343/3710/1131/6558","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05321","Inflammatory bowel disease",20,0.661121031032896,1.87078961060342,0.00366529437555775,0.041675754566527,0.0348667379195357,502,"tags=45%, list=9%, signal=41%","3113/3127/3122/3115/3109/3123/4790/3119/6772","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05150","Staphylococcus aureus infection",20,0.658333362599985,1.86290128018085,0.00404775069198001,0.0443806950870666,0.0371297431895911,444,"tags=55%, list=8%, signal=51%","3426/3113/5724/3127/717/629/3122/3115/3109/3123/3119","Up","Enterocytes_BEST4","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
