"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05416","Viral myocarditis",23,0.764008812469432,2.22276442708404,6.47017616728155e-07,8.34947769656793e-05,7.27472726568702e-05,116,"tags=35%, list=4%, signal=34%","3115/3127/3113/3134/3119/595/3106/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",13,0.85140588788604,2.15967850807231,1.25085808188284e-06,8.34947769656793e-05,7.27472726568702e-05,116,"tags=54%, list=4%, signal=52%","3115/3127/3113/3134/3119/3106/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",13,0.85140588788604,2.15967850807231,1.25085808188284e-06,8.34947769656793e-05,7.27472726568702e-05,116,"tags=54%, list=4%, signal=52%","3115/3127/3113/3134/3119/3106/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",13,0.85140588788604,2.15967850807231,1.25085808188284e-06,8.34947769656793e-05,7.27472726568702e-05,116,"tags=54%, list=4%, signal=52%","3115/3127/3113/3134/3119/3106/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04672","Intestinal immune network for IgA production",12,0.857887686805158,2.1413118088498,1.96548254884081e-06,0.000104956768108099,9.14466617460673e-05,161,"tags=58%, list=5%, signal=56%","3115/3127/56477/3113/3119/5284/6370","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04940","Type I diabetes mellitus",14,0.819218375126912,2.09442274933783,7.01251387280532e-06,0.000312056867339837,0.000271888695770171,116,"tags=50%, list=4%, signal=48%","3115/3127/3113/3134/3119/3106/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04640","Hematopoietic cell lineage",16,0.767319451246793,2.03747182820093,2.14597982046465e-05,0.000818538017234375,0.000713175248605546,54,"tags=31%, list=2%, signal=31%","3115/3127/3113/7037/3119","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05152","Tuberculosis",50,0.552568403766056,1.90503549412997,0.000162802169362443,0.00529390174818304,0.0046124671253635,417,"tags=30%, list=13%, signal=26%","4843/3115/3127/3113/3119/1520/5594/843/5894/6772/387/6850/8411/972/817","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04514","Cell adhesion molecules",29,0.634489615823472,1.93164880493738,0.000178446126343249,0.00529390174818304,0.0046124671253635,116,"tags=28%, list=4%, signal=27%","3115/3127/3113/3134/3119/3106/50848/3133","Up","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04978","Mineral absorption",27,-0.596108082586814,-1.98766661822962,0.000228759196147393,0.00610787053713539,0.00532166129984988,328,"tags=44%, list=10%, signal=40%","340024/2512/79901/4495/2495/4501/4502/4493/1811/4494/4499/4496","Down","Epithelial_cells_METTL12_MAFB","EPI","Ileum","InactiveCD_vs_Control","dataset_02"
