"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000228","nuclear chromosome",186,0.428185956373527,1.68854056082464,0.000385016358885927,0.0149675109516904,0.0140581631040585,1837,"tags=28%, list=18%, signal=24%","55388/64151/8318/51659/64785/5888/8914/79595/4174/29893/9837/7153/84296/672/641/8295/100130958/54962/9918/5558/253714/5422/9985/23594/6117/84083/675/332/6119/54107/5425/8607/1111/5111/2073/23397/4173/55869/4175/5427/10051/11277/142/10498/4292/4171/6839/5393/29844/81611/64431/89765/4172","CC","Up",2
"GO:0000940","outer kinetochore",15,0.817977648095638,2.03088385191361,0.000654913492042517,0.0226308995583581,0.021255964215415,386,"tags=40%, list=4%, signal=39%","701/221150/57405/891/54908/1063","CC","Up",12
"GO:0001664","G protein-coupled receptor binding",108,-0.44646008127224,-1.70700155210666,0.000405274575182566,0.0453907524204474,0.0433714896248009,693,"tags=24%, list=7%, signal=23%","6343/57402/2770/2316/9034/9495/3301/57561/4734/6352/1907/6373/5028/183/636/1672/3814/2641/153/133/858/3303/2921/3304/1906/3039","MF","Down",10
"GO:0001914","regulation of T cell mediated cytotoxicity",18,0.811872599118584,2.08185274972604,0.000285405694735426,0.0322662439964638,0.0299012977847903,560,"tags=50%, list=6%, signal=47%","3575/3122/3123/3106/3134/3133/3105/3107/567","BP","Up",1
"GO:0002250","adaptive immune response",208,0.47512218800938,1.88333769379183,8.96126494381081e-06,0.0032185809662998,0.00298267588654991,497,"tags=19%, list=5%, signal=18%","3115/3113/301/10673/3575/3426/717/3119/3127/3117/3122/972/3123/727/3106/10384/3134/712/733/11118/100/3109/3108/958/3133/6890/8284/3981/6398/725/1235/4067/10459/11119/1380/430/23108/3105/3107","BP","Up",1
"GO:0002252","immune effector process",304,0.394283602253099,1.64526345065908,0.000252768773507231,0.0322662439964638,0.0299012977847903,706,"tags=17%, list=7%, signal=17%","684/301/3575/3426/2/717/5169/4843/3122/972/3123/4192/727/3106/10384/3134/712/733/11118/100/3109/5880/948/5581/958/7305/3988/3133/4221/8284/3981/6398/629/725/1235/4067/335/4035/10459/7098/1380/430/3105/3107/3820/1675/5336/567/399687/5338/6280/538/10875","BP","Up",1
"GO:0002396","MHC protein complex assembly",15,0.939287809856264,2.30714387357008,3.32682287604464e-08,5.39499776398572e-05,4.99957276424532e-05,560,"tags=80%, list=6%, signal=76%","3115/3113/3119/3127/3117/3122/3123/3109/3108/6892/3105/567","BP","Up",1
"GO:0002399","MHC class II protein complex assembly",10,0.949348805147245,2.12081630842448,7.38367580538511e-07,0.000554972750432097,0.000514296162730713,223,"tags=90%, list=2%, signal=88%","3115/3113/3119/3127/3117/3122/3123/3109/3108","BP","Up",1
"GO:0002443","leukocyte mediated immunity",177,0.435899513571005,1.70080624484517,0.000338473682032632,0.0322662439964638,0.0299012977847903,560,"tags=19%, list=6%, signal=18%","684/3575/3426/717/4843/3122/972/3123/727/3106/10384/3134/712/733/11118/5880/958/7305/3133/8284/3981/6398/725/1235/4067/10459/7098/1380/3105/3107/3820/5336/567","BP","Up",1
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",27,0.837224991739654,2.31599761964209,9.00984162783804e-07,0.000554972750432097,0.000514296162730713,659,"tags=56%, list=7%, signal=52%","3115/3113/3119/3127/3117/3122/972/3123/3134/3109/3108/3133/3105/567/54842","BP","Up",1
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",15,0.888685136487141,2.18285007711625,1.29047595658785e-05,0.00392385345549992,0.0036362556066222,560,"tags=67%, list=6%, signal=63%","3122/3123/3106/3134/3133/6892/6890/3105/3107/567","BP","Up",1
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",22,0.84407906515254,2.23186496713611,3.54107725689468e-06,0.00156612189589024,0.00145133338672535,223,"tags=45%, list=2%, signal=45%","3115/3113/3119/3127/3117/3122/972/3123/3109/3108","BP","Up",1
"GO:0002501","peptide antigen assembly with MHC protein complex",15,0.939287809856264,2.30714387357008,3.32682287604464e-08,5.39499776398572e-05,4.99957276424532e-05,560,"tags=80%, list=6%, signal=76%","3115/3113/3119/3127/3117/3122/3123/3109/3108/6892/3105/567","BP","Up",1
"GO:0002503","peptide antigen assembly with MHC class II protein complex",10,0.949348805147245,2.12081630842448,7.38367580538511e-07,0.000554972750432097,0.000514296162730713,223,"tags=90%, list=2%, signal=88%","3115/3113/3119/3127/3117/3122/3123/3109/3108","BP","Up",1
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",24,0.776446756749139,2.08458559259346,0.000149383291190773,0.0256444746027564,0.0237648693078608,223,"tags=42%, list=2%, signal=41%","3115/3113/3119/3127/3117/3122/972/3123/3109/3108","BP","Up",1
"GO:0002696","positive regulation of leukocyte activation",194,0.434174791825348,1.71948054362742,0.000266671056050129,0.0322662439964638,0.0299012977847903,597,"tags=14%, list=6%, signal=13%","3115/3113/8876/301/10673/3575/3119/3127/3117/3122/972/3123/4192/100/3109/3108/11148/958/7305/3133/4773/4067/10459/3105/567/55274/9760","BP","Up",1
"GO:0003823","antigen binding",32,0.893367385303656,2.59824779720814,1e-10,5.04e-08,4.81578947368421e-08,560,"tags=69%, list=6%, signal=65%","3115/3113/3575/3119/3127/3117/3122/3123/3106/3134/3109/3108/958/3133/6892/6890/23428/3105/9794/1718/3107/567","MF","Up",1
"GO:0005765","lysosomal membrane",335,0.384987531779323,1.60930098191508,0.000118727723141866,0.00492324291961606,0.004624132374999,1714,"tags=21%, list=17%, signal=18%","3115/3113/684/8876/3119/3127/3117/84141/3122/51296/151556/972/3123/4680/3134/949/255738/8029/221955/3109/3108/2040/10581/10410/4067/4035/7098/163/4891/567/26985/5284/9583/6272/57521/27072/10970/1534/373/79026/151636/23339/23250/441027/9725/55361/9516/221960/57665/219931/9681/51479/80208/26503/54834/23385/23120/7248/8131/1497/2776/1213/1184/23516/2028/64837/9342/523/10043/10312","CC","Up",1
