"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05169","Epstein-Barr virus infection",163,0.634173211050516,2.37514247505584,1.3676609638584e-10,4.74578354458864e-08,4.07419002917817e-08,1045,"tags=24%, list=8%, signal=22%","3113/3115/3112/3127/3118/6300/4939/958/915/3119/3106/3134/864/3111/7188/3105/4067/3133/896/3107/595/917/6890/3108/3117/1871/11047/3123/9641/894/567/377841/3135/355/578/6892/3683/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",23,0.904790166433686,2.43472435912363,1.1745874566923e-09,1.72045680975629e-07,1.47698855501601e-07,1045,"tags=87%, list=8%, signal=80%","3113/3115/3112/3127/3118/958/3119/3106/3134/3111/3105/3133/3107/3108/3117/3123/3135/355/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",21,0.914742350623871,2.40085442592016,1.48742663667691e-09,1.72045680975629e-07,1.47698855501601e-07,1045,"tags=95%, list=8%, signal=87%","3113/3115/3112/3127/3118/958/3119/3106/3134/3111/3105/3133/3107/3108/3117/3123/3135/355/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04612","Antigen processing and presentation",52,0.781291240621784,2.49002205866154,2.37198827919016e-09,2.05769983219746e-07,1.76650706055477e-07,1159,"tags=52%, list=9%, signal=47%","3113/3115/3112/3127/3118/3119/3106/3134/3111/5993/3105/972/3133/3107/925/1520/6890/3108/3117/920/3123/567/3135/6892/3122/3109/5720","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04658","Th1 and Th2 cell differentiation",71,0.71831359751196,2.40192818072526,1.70698785563631e-08,1.05537616667872e-06,9.0602595228296e-07,1045,"tags=32%, list=8%, signal=30%","3113/3115/3112/3127/3118/6300/915/3119/2353/864/3111/3932/917/4854/3108/3117/3560/920/3123/3566/3595/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05332","Graft-versus-host disease",20,0.916373098682167,2.403763511242,1.82485792509289e-08,1.05537616667872e-06,9.0602595228296e-07,1045,"tags=95%, list=8%, signal=87%","3113/3115/3112/3127/3118/3119/3106/3134/3111/3105/3133/3107/3108/3117/3123/3135/355/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",140,0.61732381682835,2.27414177759816,3.63800709695944e-08,1.80341208949275e-06,1.54820452396921e-06,1167,"tags=25%, list=9%, signal=23%","684/3113/3115/3112/3127/3118/4939/9021/3119/3106/3134/3111/7188/3105/972/3133/3107/6890/3108/3117/6352/5818/330/3123/9641/567/29990/3135/355/578/6892/3122/3109/5499/5293","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04672","Intestinal immune network for IgA production",27,0.871391065543544,2.42637330308132,7.11775163187212e-08,3.08732477032453e-06,2.65042593660501e-06,1045,"tags=67%, list=8%, signal=61%","3113/3115/3112/5284/3127/3118/958/6370/3119/56477/3111/3601/3108/3117/3123/8741/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",54,0.751758386903637,2.40711187722016,1.33255124253732e-07,5.13772534622722e-06,4.41066668582528e-06,1117,"tags=43%, list=9%, signal=39%","3113/3115/3112/3127/3118/958/3119/3106/3134/3111/3105/3133/3107/595/1604/3108/3117/3123/3135/3683/3122/3109/6444","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05145","Toxoplasmosis",89,0.657237652905168,2.30337170648263,1.57976129734311e-07,5.22092530044085e-06,4.48209270445855e-06,1045,"tags=21%, list=8%, signal=20%","3113/3115/3112/3127/3118/6300/4843/958/3119/3111/8651/3108/3117/330/3123/3913/22798/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05140","Leishmaniasis",52,0.741194812789864,2.3622323375128,1.65504836613399e-07,5.22092530044085e-06,4.48209270445855e-06,1045,"tags=33%, list=8%, signal=30%","3113/3115/3112/3127/3118/6300/4843/3119/2353/3111/3108/3117/65108/3123/1535/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05150","Staphylococcus aureus infection",37,0.803043227194559,2.39960252845626,1.83384852367995e-07,5.30287864764119e-06,4.55244852808269e-06,1045,"tags=54%, list=8%, signal=50%","3113/3115/721/717/3112/3426/3127/3118/3119/1671/629/3111/3108/3117/3123/713/1675/3683/3122/3109","Up","Mature_Enterocyte","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
