"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa03010","Ribosome",101,0.52248359013055,2.31664376003375,1.4267061515942e-09,3.16728765653912e-07,3.12373557401677e-07,834,"tags=80%, list=36%, signal=54%","64968/6183/51264/6210/6181/6202/3921/6206/6173/6139/6167/6132/65008/6161/6204/6152/6189/6158/6207/6218/6156/6137/51065/6159/6155/6146/6233/6168/6227/6188/6157/6191/6193/6205/11224/200916/23521/6164/6133/25873/2197/7311/6223/6228/6135/6169/6143/6130/6165/6134/6234/6141/6142/4736/9045/6222/6170/6217/6194/6232/6154/9349/6136/6176/6125/6147/6208/6235/6224/6171/54460/6166/6138/6128/6229/6122/9553/6203/6201/6209/6144","Up","CD8_T_cell","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa03010","Ribosome",111,0.552862246856188,2.39883710519993,1.46777587232908e-09,3.55201761103638e-07,3.36815937018674e-07,896,"tags=70%, list=31%, signal=50%","64968/6210/6158/6167/6181/6228/6206/51021/6134/6159/6207/6168/6202/6156/6218/6143/64963/6125/6130/6152/6204/6234/6229/6169/6189/6193/6132/51065/6217/6170/6137/6223/64960/23521/6227/25873/65005/6161/6222/6142/9045/6171/55052/6147/200916/6173/6141/2197/6133/6136/3921/6188/7311/6124/6176/6122/6139/54460/6205/6164/6154/6155/51121/6157/63931/11224/9349/6233/6160/6146/6201/6230/6191/6144/6232/6165/6194/6208","Up","IgG_plasma_cell","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04978","Mineral absorption",18,-0.883679224112089,-2.26922277818586,5.52659114569599e-08,1.31532869267565e-05,1.17512780150588e-05,25,"tags=39%, list=1%, signal=39%","4493/4502/4494/4495/4501/4496/4499","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05171","Coronavirus disease - COVID-19",97,0.446951518440118,2.00335270491008,2.1839703746809e-07,3.95298637817243e-05,3.86217918890939e-05,594,"tags=63%, list=33%, signal=44%","3725/9636/3455/2353/4792/3661/6206/6210/6139/6130/6850/6176/6168/3454/6169/6191/6208/200916/11224/6202/6229/6137/6181/51187/6204/6223/6228/6217/6218/6133/6227/6156/6135/6161/25873/6171/6170/6164/9045/9349/6125/6132/6167/6136/6141/6173/6224/6165/6152/23521/6160/6134/6159/6154/6194/6143/6128/6232/6175/6189/6147","Up","Activated_B_cell","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05171","Coronavirus disease - COVID-19",104,0.481035804215525,2.15066433436803,2.54314757495279e-07,2.8228938081976e-05,2.78407734521148e-05,834,"tags=82%, list=36%, signal=55%","5336/3551/23118/3716/5579/6210/3661/6181/6202/3921/6206/6173/6139/103/6167/6132/6161/6204/6152/6189/6158/6207/6218/6156/6137/7132/51065/6159/6155/6146/6233/6168/6227/6188/6157/6191/6193/6205/11224/200916/23521/6164/6133/25873/2197/7311/6223/3455/6228/6135/6169/6143/6130/6165/6134/6234/6141/6142/4736/9045/6222/6170/6217/6194/6232/6154/9349/6136/6176/6125/6147/6208/6235/6224/6171/6166/6138/6128/6229/6122/6772/6203/6201/6209/6144","Up","CD8_T_cell","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05417","Lipid and atherosclerosis",68,-0.633841716233803,-2.13753714304561,8.29915663669512e-07,9.87599639766719e-05,8.82331389796008e-05,262,"tags=31%, list=11%, signal=28%","114548/2353/8743/9619/3309/6352/6648/3553/4773/7494/6348/3303/3304/581/4792/3725/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04657","IL-17 signaling pathway",22,-0.818915464578992,-2.18710228547731,1.2943486084871e-06,0.000102684989606643,9.17397961103136e-05,252,"tags=59%, list=11%, signal=53%","2353/51433/7128/5743/3553/3627/1051/4792/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05171","Coronavirus disease - COVID-19",103,0.486615218352474,2.06465951497382,3.72232938506382e-06,0.000450401855592722,0.000427088318917849,896,"tags=73%, list=31%, signal=52%","6772/6210/6158/6167/3572/6181/6228/6206/6134/6159/6207/6168/6202/6156/6218/6143/6125/5579/6130/6152/6204/6234/6229/6169/6189/6193/6132/51065/6217/6170/6137/6223/23521/6227/25873/6161/6850/6222/6142/9045/6171/6147/200916/6173/6141/2197/6133/6136/3921/6188/7311/6124/6176/6122/6139/6205/6164/6154/6155/51121/6157/11224/9349/6233/6160/6146/3454/6201/6230/6191/6144/6232/6165/6194/6208","Up","IgG_plasma_cell","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",23,-0.770311549317604,-2.09028751371813,1.3671078170549e-05,0.000813429151147664,0.000726725734329183,186,"tags=35%, list=8%, signal=32%","10312/6352/4792/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04668","TNF signaling pathway",32,-0.702930173210292,-2.02440831236676,4.29926989593346e-05,0.00204645247046433,0.00182832109258644,252,"tags=53%, list=11%, signal=48%","2353/3726/4323/7128/9021/6352/5743/3553/1385/3627/1051/4792/330/3725/2920/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
