"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04978","Mineral absorption",18,-0.883679224112089,-2.26922277818586,5.52659114569599e-08,1.31532869267565e-05,1.17512780150588e-05,25,"tags=39%, list=1%, signal=39%","4493/4502/4494/4495/4501/4496/4499","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05417","Lipid and atherosclerosis",68,-0.633841716233803,-2.13753714304561,8.29915663669512e-07,9.87599639766719e-05,8.82331389796008e-05,262,"tags=31%, list=11%, signal=28%","114548/2353/8743/9619/3309/6352/6648/3553/4773/7494/6348/3303/3304/581/4792/3725/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04657","IL-17 signaling pathway",22,-0.818915464578992,-2.18710228547731,1.2943486084871e-06,0.000102684989606643,9.17397961103136e-05,252,"tags=59%, list=11%, signal=53%","2353/51433/7128/5743/3553/3627/1051/4792/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",23,-0.770311549317604,-2.09028751371813,1.3671078170549e-05,0.000813429151147664,0.000726725734329183,186,"tags=35%, list=8%, signal=32%","10312/6352/4792/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04668","TNF signaling pathway",32,-0.702930173210292,-2.02440831236676,4.29926989593346e-05,0.00204645247046433,0.00182832109258644,252,"tags=53%, list=11%, signal=48%","2353/3726/4323/7128/9021/6352/5743/3553/1385/3627/1051/4792/330/3725/2920/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04936","Alcoholic liver disease",29,-0.703845308705903,-2.00666781785605,7.86380871574343e-05,0.00311931079057823,0.00278682343961434,140,"tags=24%, list=6%, signal=23%","3553/6434/4792/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",61,-0.574178092513219,-1.91265094030519,0.000103006174131196,0.00350220992046065,0.0031289093495491,192,"tags=21%, list=8%, signal=20%","6773/5743/1385/4773/57580/7538/581/4792/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04620","Toll-like receptor signaling pathway",29,-0.683768985738948,-1.94943008294417,0.000222537614707688,0.00662049403755371,0.0059148155488096,257,"tags=45%, list=11%, signal=41%","51284/2353/6773/6352/3553/3627/6348/4792/9560/6351/3725/3576/414062","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04064","NF-kappa B signaling pathway",36,-0.644633976030094,-1.93100273931514,0.000454840859591523,0.0120280138425314,0.0107459477938582,167,"tags=33%, list=7%, signal=31%","7128/4616/5743/3553/4792/9560/330/6351/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04621","NOD-like receptor signaling pathway",60,-0.553409186903968,-1.83846150036627,0.000564725125450855,0.0134404579857303,0.0120078395095866,192,"tags=35%, list=8%, signal=33%","2633/7416/81631/22900/3428/837/114548/6773/7128/6352/3553/10135/1670/7295/4792/330/3725/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04060","Cytokine-cytokine receptor interaction",47,-0.581194211052236,-1.84664102137501,0.000687928969267868,0.0138084700831717,0.012336625195934,260,"tags=34%, list=11%, signal=31%","3588/8743/7852/6352/3553/3627/6348/3586/9560/6351/27242/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",28,-0.669568770577715,-1.89181769428588,0.000696225382344792,0.0138084700831717,0.012336625195934,260,"tags=50%, list=11%, signal=45%","3588/8743/7852/6352/3627/6348/3586/9560/6351/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05134","Legionellosis",25,-0.695521581289479,-1.93299877115761,0.000775654010834836,0.0142004349675916,0.01268681054159,181,"tags=36%, list=8%, signal=34%","1195/3553/3303/3304/4792/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05224","Breast cancer",17,-0.719047468743145,-1.82943831955597,0.00170617693724965,0.0290050079332441,0.0259133640093557,497,"tags=65%, list=21%, signal=52%","1499/6934/3479/2885/5728/1452/2353/4616/3280/581/3725","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05142","Chagas disease",28,-0.641147647121659,-1.81151588421302,0.00223058808101536,0.0353919975521104,0.0316195643764984,150,"tags=32%, list=6%, signal=30%","2353/6352/3553/6348/3586/4792/3725/3576/414062","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04062","Chemokine signaling pathway",50,-0.53871008185879,-1.73104892523134,0.00239622249121768,0.035643809556863,0.0318445357385508,220,"tags=28%, list=9%, signal=26%","7852/6773/6352/3627/6348/57580/4792/9560/6351/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05146","Amoebiasis",22,-0.675327060952187,-1.80361639551226,0.00256881374345112,0.0359633924083157,0.0321300542524537,140,"tags=27%, list=6%, signal=26%","3553/3586/2920/3576/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa05323","Rheumatoid arthritis",42,-0.572342529502981,-1.77552918865171,0.00312568087281805,0.0413284470961497,0.0369232477373828,252,"tags=29%, list=11%, signal=26%","2353/3127/10312/6352/3553/6348/3725/2920/3576/414062/2919/2921","Down","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
"hsa04145","Phagosome",70,0.398624329996298,1.61345682352408,0.00353344430587657,0.0442610391999276,0.0395432548358486,521,"tags=33%, list=22%, signal=26%","2214/3118/3120/2209/3106/84790/30835/3107/10376/3685/7846/3115/3111/3689/7099/537/3105/3109/3122/811/821/3123/3117","Up","Macrophage","IMM","Ileum","InactiveCD_vs_Control","dataset_01"
