"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0005770","late endosome",69,-0.471682113472054,-1.73105260442247,0.00127200375721311,0.0388653055779688,0.037341445133195,230,"tags=33%, list=17%, signal=29%","8417/3115/7879/3122/3108/9424/51699/972/51510/10581/57132/3113/3123/3117/684/29082/1514/348/55754/3119/7852/3127/5641","CC","Down",3
"GO:0005783","endoplasmic reticulum",243,-0.332400948330831,-1.45429214499053,0.0011589214934744,0.0388653055779688,0.037341445133195,223,"tags=22%, list=16%, signal=23%","10972/7905/11014/3115/23753/10175/3122/10577/4259/9789/11316/5479/10273/10956/51398/83440/126364/23471/50999/3956/51170/972/11261/391/19/58485/8879/23204/123/4258/3113/10130/2055/3123/4043/3117/6746/54732/11315/51035/1291/348/55754/1471/58505/23645/7076/9709/550/3119/3127/1776/3303/241","CC","Down",3
"GO:0005789","endoplasmic reticulum membrane",137,-0.388624771681472,-1.58547622208368,0.00130420488516674,0.0388653055779688,0.037341445133195,242,"tags=27%, list=18%, signal=25%","493856/9218/10972/7905/11014/3115/10175/3122/4259/9789/11316/10956/51398/83440/23471/50999/972/391/19/8879/23204/4258/3113/10130/2055/3123/3117/6746/54732/51035/58505/23645/9709/550/3119/3127/241","CC","Down",3
"GO:0031983","vesicle lumen",91,0.462611595346936,1.84730555763428,0.000271819099429832,0.02700069721003,0.0259420333490928,104,"tags=22%, list=8%, signal=22%","1118/1116/6678/5919/4282/6280/710/1476/2219/3074/5315/4332/226/2268/6279/4069/5265/1460/25801/2512","CC","Up",2
"GO:0034774","secretory granule lumen",91,0.462611595346936,1.84730555763428,0.000271819099429832,0.02700069721003,0.0259420333490928,104,"tags=22%, list=8%, signal=22%","1118/1116/6678/5919/4282/6280/710/1476/2219/3074/5315/4332/226/2268/6279/4069/5265/1460/25801/2512","CC","Up",2
"GO:0035580","specific granule lumen",12,0.79312474078947,2.01059163168541,0.000395488974261288,0.029463928582466,0.0283086844734396,89,"tags=25%, list=6%, signal=24%","1118/1116/4069","CC","Up",2
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",138,-0.388143703198363,-1.59252556166954,0.00125641507988649,0.0388653055779688,0.037341445133195,242,"tags=27%, list=18%, signal=25%","493856/9218/10972/7905/11014/3115/10175/3122/4259/9789/11316/10956/51398/83440/23471/50999/972/391/19/8879/23204/4258/3113/10130/2055/3123/3117/6746/54732/51035/58505/23645/9709/550/3119/3127/241","CC","Down",3
"GO:0042613","MHC class II protein complex",13,-0.739948751373036,-1.86931967390406,0.00103221967592396,0.0388653055779688,0.037341445133195,212,"tags=69%, list=15%, signal=59%","3115/3122/3108/972/3113/3123/3117/3119/3127","CC","Down",3
"GO:0060205","cytoplasmic vesicle lumen",91,0.462611595346936,1.84730555763428,0.000271819099429832,0.02700069721003,0.0259420333490928,104,"tags=22%, list=8%, signal=22%","1118/1116/6678/5919/4282/6280/710/1476/2219/3074/5315/4332/226/2268/6279/4069/5265/1460/25801/2512","CC","Up",2
"GO:0098827","endoplasmic reticulum subcompartment",138,-0.38396095956953,-1.5753640668625,0.00172941799935354,0.0468515058006686,0.0450145163468098,242,"tags=27%, list=18%, signal=25%","493856/9218/10972/7905/11014/3115/10175/3122/4259/9789/11316/10956/51398/83440/23471/50999/972/391/19/8879/23204/4258/3113/10130/2055/3123/3117/6746/54732/51035/58505/23645/9709/550/3119/3127/241","CC","Down",3
"GO:1903573","negative regulation of response to endoplasmic reticulum stress",10,-0.874045674255218,-2.07217963179263,1.83067689354619e-05,0.0350574625114095,0.0347057798450177,72,"tags=50%, list=5%, signal=48%","11315/51035/23645/9709/3303","BP","Down",1
"GO:1904724","tertiary granule lumen",19,0.678554651022903,1.95641939265822,0.00130228187913677,0.0388653055779688,0.037341445133195,132,"tags=37%, list=10%, signal=34%","1118/2495/1476/226/4069/1520/4048","CC","Up",2
