"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000070","mitotic sister chromatid segregation",140,-0.477878725499986,-2.03782882204104,1.48546067441937e-07,0.000680489534951513,0.000609351605074977,1487,"tags=31%, list=18%, signal=26%","10464/7283/256364/10459/10051/3192/64105/8850/29127/79003/26271/23411/26073/54984/27183/10726/9587/3796/286053/11065/11200/55755/1063/3303/55125/1104/81620/10524/9055/9183/10300/113130/991/11130/3304/983/332/51203/3833/3832/9212/4085/64151","BP","Down",1
"GO:0000226","microtubule cytoskeleton organization",346,-0.328523506177383,-1.55889574682252,6.19828252372913e-05,0.017746457650752,0.0158912546019555,1891,"tags=31%, list=23%, signal=25%","84327/10253/10426/2597/4869/10286/728642/25978/2011/23059/55968/79582/10844/1785/221908/1062/5902/1107/7405/8841/10464/1642/284001/7283/256364/2931/219899/3192/1263/22809/91978/7840/9748/8850/54462/28964/29911/29127/153241/8658/81565/7320/51175/26271/22995/23411/285331/675/26073/10769/203068/8874/2288/10726/54820/672/6622/9654/3796/26973/2959/4591/84942/11200/55755/5116/83541/117178/667/10383/51119/54930/1453/3303/55125/2241/10460/7430/55201/11127/23187/1104/10524/2770/7277/9055/9183/24139/7280/10300/58526/991/3925/4000/64946/3304/22911/983/26146/332/344148/1647/51203/3833/3832/9212/4085","BP","Down",1
"GO:0000280","nuclear division",243,-0.365393638966134,-1.67608668095389,4.69679399634492e-05,0.0153685809266115,0.0137619595516964,1487,"tags=28%, list=18%, signal=24%","10464/1642/7283/256364/10459/10051/10419/9985/3192/64105/10734/8850/9232/29127/811/79003/81565/84930/7320/26271/23411/675/26073/54984/27183/10726/9587/54820/28984/3796/55063/286053/55706/11065/11200/55755/1063/1164/3303/55125/51343/9150/1028/1104/4288/81620/10524/9055/100130958/9183/10635/10300/113130/7153/991/11130/1613/84464/3304/983/2059/332/51203/3833/3832/9212/4085/64151","BP","Down",1
"GO:0000775","chromosome, centromeric region",188,-0.352023703526728,-1.57453542009874,0.000418888316512952,0.0287703759693438,0.0260897790618161,1707,"tags=27%, list=20%, signal=22%","1062/5516/51112/11143/7405/7158/6602/3297/10051/64769/9985/3192/1263/64105/23219/10734/8850/11177/79003/81565/7798/3070/10769/54984/25983/54820/92822/2959/51548/1063/11243/55839/79023/81620/10524/9183/79682/113130/7153/991/11130/1613/64946/79980/157570/332/6615/9212/4085/64151/79019","CC","Down",1
"GO:0000819","sister chromatid segregation",170,-0.411393081569602,-1.79343447461244,2.32297109802223e-05,0.00949363318886667,0.00850117499902651,1487,"tags=26%, list=18%, signal=22%","10464/7283/256364/10459/10051/3192/64105/8850/29127/79003/26271/23411/26073/54984/27183/10726/9587/3796/286053/11065/11200/55755/1063/3303/55125/10460/1104/81620/10524/9055/9183/10300/113130/7153/991/11130/3304/983/332/51203/3833/3832/9212/4085/64151","BP","Down",1
"GO:0000922","spindle pole",129,-0.395157674261595,-1.65839283340592,0.000485986080563241,0.0287703759693438,0.0260897790618161,1464,"tags=29%, list=18%, signal=25%","7283/805/3192/1263/7840/28964/79003/8658/10769/56271/8874/27183/79848/54820/26524/3796/84902/84942/55755/1063/83541/11243/51119/90799/10460/9150/10524/2010/9055/9183/145508/10300/55177/991/79980/3832/9212/4085","CC","Down",1
"GO:0001568","blood vessel development",320,0.328554585245796,1.56081071953204,0.000184247817073837,0.0318523463777177,0.0285225229687762,1387,"tags=26%, list=17%, signal=23%","348/1545/1278/10855/406938/6369/5155/2069/133/7124/2549/2152/51564/81575/3988/5743/3099/7128/5290/2185/719/6772/26051/6934/2523/4193/50814/9693/116844/10352/4851/163/7474/6095/83478/10457/57534/5311/6237/6667/5921/7410/10553/538/26523/57674/677/3569/9734/54828/56913/5579/51684/1296/889/3091/2113/5795/9270/55810/9990/4035/6654/80149/5293/5594/1399/634/948/5578/161742/729230/23166/65125/204851/3586/3678/23129/5140/22918/11235/1524/1960/84292","BP","Up",4
"GO:0001944","vasculature development",334,0.326343801334807,1.55857439253575,0.000201641136204718,0.0318523463777177,0.0285225229687762,1407,"tags=26%, list=17%, signal=23%","348/1545/1278/10855/406938/6369/5155/2069/133/7124/2549/2152/51564/81575/3988/5743/3099/7128/5290/2185/719/6772/26051/6934/2523/4193/50814/3815/9693/116844/10352/4851/163/7474/6095/83478/10457/57534/5311/6237/6667/5921/7410/10553/538/26523/57674/677/3569/9734/54828/56913/5579/51684/1296/889/3091/2113/5795/9270/55810/9990/4035/6654/80149/5293/5594/3964/1399/634/948/5578/161742/729230/23166/65125/204851/3586/3678/23129/5140/22918/11235/1524/1960/84292/6387","BP","Up",4
"GO:0005819","spindle",293,-0.324834978801754,-1.51671637444613,0.000447231156038312,0.0287703759693438,0.0260897790618161,1471,"tags=26%, list=18%, signal=22%","284001/7283/256364/10459/805/5778/3192/1263/7840/10296/8850/28964/51562/29127/79003/8658/54888/81565/653784/7798/80097/26271/26073/10769/56271/201163/54984/203068/8874/27183/57542/79848/9657/10726/9587/54820/26524/3796/84902/84942/822/55755/1063/221496/83541/10383/11243/51119/54930/1453/90799/10460/9150/55201/11127/10524/2010/9055/9183/24139/7280/145508/10300/55177/991/1613/983/79980/3161/332/51203/3833/3832/9212/4085","CC","Down",1
"GO:0005876","spindle microtubule",64,-0.474041489558706,-1.76677332427399,0.000430592819228008,0.0287703759693438,0.0260897790618161,723,"tags=28%, list=9%, signal=26%","284001/7283/256364/805/3192/3796/83541/54930/1453/55201/11127/9055/9183/55177/983/332/3832/9212","CC","Down",1
