"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001664","G protein-coupled receptor binding",57,-0.584642682261484,-2.40679715532604,5.62299634709058e-08,1.15166788951261e-05,1.10475784733109e-05,269,"tags=26%, list=7%, signal=25%","4283/2219/2921/6348/5621/8685/9034/2769/6349/9454/6364/6373/3627/6355/6347","MF","Down",1
"GO:0002685","regulation of leukocyte migration",86,-0.41226275575034,-1.87908168026057,3.30835950879636e-05,0.00994807687566313,0.00960565455309586,177,"tags=14%, list=5%, signal=14%","6348/207/4282/9466/5025/4267/27/8740/6364/3627/6355/6347","BP","Down",1
"GO:0002687","positive regulation of leukocyte migration",60,-0.443306047189735,-1.87363931715721,0.000150580211930367,0.0275143509466099,0.026567280666311,49,"tags=12%, list=1%, signal=12%","5025/4267/27/8740/6364/3627/6355","BP","Down",1
"GO:0005125","cytokine activity",35,-0.724383363988746,-2.70436588962544,6.7639289523164e-09,3.88925914758193e-06,3.73084081159347e-06,362,"tags=40%, list=10%, signal=36%","51192/8742/8743/4283/2821/2921/6348/4282/6349/8740/6373/3627/6355/6347","MF","Down",1
"GO:0005126","cytokine receptor binding",65,-0.563544623193783,-2.37698648734409,6.0087020322397e-08,1.15166788951261e-05,1.10475784733109e-05,362,"tags=23%, list=10%, signal=21%","51192/8742/8743/4283/2921/6348/9034/4282/6349/8740/6364/6373/3627/6355/6347","MF","Down",1
"GO:0006959","humoral immune response",70,-0.501924326980592,-2.15871597659153,1.12476772162166e-06,0.00156099925378652,0.00150726816619159,286,"tags=27%, list=8%, signal=25%","54210/1675/4283/2821/714/2219/2921/11326/6348/712/710/6349/6039/713/6364/6373/3627/6355/6347","BP","Down",1
"GO:0008009","chemokine activity",11,-0.881308185747478,-2.44345074969479,6.77213709423921e-07,6.48996471531258e-05,6.22561374979184e-05,362,"tags=82%, list=10%, signal=74%","51192/4283/2921/6348/6349/6373/3627/6355/6347","MF","Down",1
"GO:0008201","heparin binding",21,-0.682875860564633,-2.22633868349546,0.000108331886641449,0.00566280316534847,0.00543214436364777,225,"tags=29%, list=6%, signal=27%","51144/5045/14/6373/3627/6355","MF","Down",1
"GO:0010818","T cell chemotaxis",13,-0.837297597940911,-2.32904131635274,6.43951456716773e-06,0.00302565191591638,0.0029215060825782,177,"tags=31%, list=5%, signal=29%","6348/8740/6373/3627","BP","Down",1
"GO:0019730","antimicrobial humoral response",36,-0.629064100520321,-2.32116128608885,2.84767270377596e-06,0.00156099925378652,0.00150726816619159,190,"tags=28%, list=5%, signal=27%","4283/2921/6348/6349/6039/6364/6373/3627/6355/6347","BP","Down",1
"GO:0030545","signaling receptor regulator activity",80,-0.456056595813609,-2.02966658455671,8.56490300978131e-06,0.000547202136736028,0.000524913354049755,362,"tags=29%, list=10%, signal=26%","351/3603/11006/27433/51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/4061/8740/6373/3627/6355/6347","MF","Down",1
"GO:0030546","signaling receptor activator activity",72,-0.495468823496825,-2.16284960265895,1.69334813205589e-06,0.000121709396991517,0.000116751897525959,362,"tags=25%, list=10%, signal=23%","51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/8740/6373/3627/6355/6347","MF","Down",1
"GO:0031640","killing of cells of another organism",28,-0.60029143305344,-2.08027763620588,0.000149737364072085,0.0275143509466099,0.026567280666311,416,"tags=32%, list=12%, signal=29%","27433/1670/54210/4283/2921/6364/6373/3627/6355","BP","Down",1
"GO:0042379","chemokine receptor binding",19,-0.814775078271959,-2.59990232231698,8.4800896103397e-08,1.21901288148633e-05,1.16935972521526e-05,269,"tags=53%, list=7%, signal=49%","4283/2921/6348/9034/6349/6364/6373/3627/6355/6347","MF","Down",1
"GO:0048018","receptor ligand activity",69,-0.506401777286689,-2.16902606713226,1.1123168074479e-06,9.1368880611792e-05,8.76472191131881e-05,362,"tags=26%, list=10%, signal=24%","51192/8742/284207/8743/4283/2821/942/10435/2921/6348/4282/3490/6349/8740/6373/3627/6355/6347","MF","Down",1
"GO:0048020","CCR chemokine receptor binding",11,-0.895685449258565,-2.48331210111856,2.24045676713404e-07,2.57652528220414e-05,2.4715775704805e-05,177,"tags=55%, list=5%, signal=52%","6348/9034/6349/6364/6355/6347","MF","Down",1
"GO:0048247","lymphocyte chemotaxis",19,-0.758751735433445,-2.43066628834103,1.97560256295046e-06,0.00156099925378652,0.00150726816619159,11,"tags=26%, list=0%, signal=26%","6348/8740/6373/3627/6347","BP","Down",1
"GO:0051928","positive regulation of calcium ion transport",26,-0.638171186906692,-2.17829254264301,3.32711601192747e-05,0.00994807687566313,0.00960565455309586,301,"tags=31%, list=8%, signal=28%","706/4283/581/6348/5025/6373/3627/6347","BP","Down",1
"GO:0060326","cell chemotaxis",106,-0.361347716522046,-1.65324820823428,0.000231292544784539,0.0400379568313868,0.0386598120562301,190,"tags=11%, list=5%, signal=11%","2921/6348/9034/4282/5025/6349/8740/6364/6373/3627/6355/6347","BP","Down",1
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",31,-0.64684114148568,-2.29302632624575,1.79263808594716e-06,0.00156099925378652,0.00150726816619159,190,"tags=32%, list=5%, signal=31%","4283/2921/6348/6349/6039/6364/6373/3627/6355/6347","BP","Down",1
"GO:0070098","chemokine-mediated signaling pathway",23,-0.684550521405778,-2.29976972391673,3.94608206016465e-05,0.0108155532465679,0.0104432715574708,177,"tags=35%, list=5%, signal=33%","4283/6348/9034/6349/6373/3627/6355/6347","BP","Down",1
"GO:0071674","mononuclear cell migration",81,-0.406005781915569,-1.84382118344006,0.000148500676548819,0.0275143509466099,0.026567280666311,398,"tags=22%, list=11%, signal=20%","56833/23521/51192/928/3676/998/6348/207/4282/9466/5025/4267/27/8740/6364/6373/3627/6347","BP","Down",1
"GO:0072676","lymphocyte migration",41,-0.581390325504585,-2.20947492666432,2.47653950591381e-06,0.00156099925378652,0.00150726816619159,177,"tags=24%, list=5%, signal=23%","6348/207/9466/4267/27/8740/6364/6373/3627/6347","BP","Down",1
"GO:0072678","T cell migration",34,-0.643291326102604,-2.33094378788265,3.54034441976369e-07,0.00116441927966028,0.00112433885415022,77,"tags=26%, list=2%, signal=26%","6348/9466/4267/27/8740/6364/6373/3627/6347","BP","Down",1
"GO:0141060","disruption of anatomical structure in another organism",30,-0.567697701651093,-1.99847730154356,0.000267823109601663,0.0440435103739936,0.0425274906141168,416,"tags=30%, list=12%, signal=27%","27433/1670/54210/4283/2921/6364/6373/3627/6355","BP","Down",1
"GO:0141061","disruption of cell in another organism",28,-0.60029143305344,-2.08027763620588,0.000149737364072085,0.0275143509466099,0.026567280666311,416,"tags=32%, list=12%, signal=29%","27433/1670/54210/4283/2921/6364/6373/3627/6355","BP","Down",1
"GO:1901623","regulation of lymphocyte chemotaxis",12,-0.815966694676611,-2.26036163542343,1.64584785725846e-05,0.00601465955835896,0.00580762922263013,177,"tags=33%, list=5%, signal=32%","6348/8740/3627/6347","BP","Down",1
"GO:1901681","sulfur compound binding",40,-0.542418986488088,-2.07839328092016,9.3414833380564e-05,0.00537135291938243,0.00515256554646479,407,"tags=22%, list=11%, signal=20%","6817/4967/37/51144/5045/14/6373/3627/6355","MF","Down",1
