"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001932","regulation of protein phosphorylation",304,-0.334045585209773,-1.61163405177727,3.56430834382096e-05,0.00672414517558224,0.00637007967168002,1390,"tags=25%, list=17%, signal=21%","29990/1027/11140/1856/51429/57826/3717/8312/29950/104/673/51654/5606/5997/1981/5329/3315/5925/8812/25/28984/5515/10454/152559/79643/1453/23394/5781/3280/79706/5580/7494/1654/1857/1647/83667/9475/7525/80279/51191/57600/84335/84919/5609/55294/23411/4739/3486/641/3458/5144/11221/1026/64223/8651/8844/26146/80149/3301/7057/9618/64092/5590/9451/116986/9647/5871/1028/64061/8784/30844/94056/54206/22924/5008","BP","Down",2
"GO:0004672","protein kinase activity",296,-0.299283995087956,-1.4464752207001,0.00171785364015964,0.042602770275959,0.0362170045639671,2152,"tags=38%, list=26%, signal=29%","8737/5599/150094/6046/51347/10114/7867/23683/6732/1454/2869/84033/1859/5170/25778/6348/5256/5894/11011/896/8569/53834/8780/23531/149420/659/8550/5597/55781/5613/29922/6352/10188/6794/140901/57396/25865/5165/2580/6198/23097/8558/7535/4145/1452/5315/6093/1196/3482/3717/7049/5127/5588/4750/57410/9149/673/5606/10295/54822/26750/8812/5289/25/5610/10769/23476/1326/23235/93627/8621/1453/10000/255967/11040/9748/9252/83732/5580/415116/9874/8493/9262/51231/5164/9475/7525/51265/50488/5291/5609/1024/6416/8425/30849/5578/23387/8805/1026/8444/84930/8844/1456/1263/1613/6199/5590/9451/5871/5128/5891/6446/7465","MF","Down",2
"GO:0006468","protein phosphorylation",473,-0.300582262580832,-1.51173406695098,3.44350995874943e-05,0.00672414517558224,0.00637007967168002,1493,"tags=25%, list=18%, signal=22%","6879/132158/10188/6794/25865/5165/6198/29990/1027/8558/11140/7535/4145/23400/1452/1856/6093/51429/57826/1196/3717/8312/5127/29950/5588/4750/9149/104/673/51654/5606/5997/1981/5329/54822/3315/5925/8812/25/5610/10769/28984/5515/1326/1386/23235/10454/152559/79643/1453/23394/10000/11040/5781/9748/9252/3280/8658/79706/5580/415116/9874/7494/9262/1654/1857/1647/83667/9475/7525/50488/80279/51191/57600/84335/84919/5609/55294/23411/4739/3486/641/30849/3458/5578/23387/5144/11221/1026/64223/8444/8651/8844/26146/80149/1263/3301/7057/1613/9618/64092/5590/9451/116986/9647/5871/23085/1028/5128/64061/8784/30844/94056/54206/22924/5891/6446/5008","BP","Down",2
"GO:0006606","protein import into nucleus",107,-0.418625438081481,-1.73684386039924,0.000147756668374751,0.0164388765148216,0.0155732736843023,1631,"tags=33%, list=20%, signal=27%","754/3621/7175/55696/55746/6774/8878/4792/129401/9631/9972/3717/5530/4928/55122/1386/51684/2033/51307/5580/7494/5514/5663/5903/5295/3458/3838/1026/9531/80149/51548/84220/602/3320/4000","BP","Down",3
"GO:0006886","intracellular protein transport",475,-0.293503851407073,-1.47588329731666,9.55675805332478e-05,0.0118476494838218,0.0112238015633784,1907,"tags=30%, list=23%, signal=25%","375/7531/9883/80273/130617/164/6729/5189/3800/11020/5905/27072/83752/131474/29916/9648/23647/3840/7327/51614/10938/23787/8498/580/382/9765/754/3621/7175/4193/3312/55696/7846/5861/55746/10956/10123/8766/143684/5108/1314/8775/6774/143187/444/56993/8878/4792/63894/129401/51014/51465/23161/23401/23400/53407/55973/9631/158234/4947/51429/29107/9972/3717/9907/54732/10513/84958/23011/134266/8027/5530/92609/10483/3315/3308/4928/5289/27351/55176/481/55122/1386/51684/5868/29887/2033/51307/5781/54536/5580/9874/51762/7494/6103/9585/5514/65057/5663/372/5903/6813/27236/100506084/56850/81565/3313/221079/550/10959/5295/11158/23062/378/91949/30849/2010/381/5874/3458/3838/10023/1026/9531/51277/80149/94120/54843/1263/51548/8676/5116/84220/5195/1191/3309/602/6809/79720/3320/23233/4130/4000","BP","Down",3
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",360,-0.290138275428063,-1.42024288419749,0.000955784815883735,0.0281083576094979,0.0238951718218022,2152,"tags=38%, list=26%, signal=29%","8737/5599/150094/6046/51347/10114/7867/64080/23683/83440/6732/1454/2869/80025/84033/1859/5170/25778/6348/283209/5256/5894/8527/11011/896/8569/139596/53834/8780/23531/149420/659/8550/5597/55781/5613/5305/8566/29922/6352/132158/10188/6794/140901/57396/25865/5165/2580/83707/6198/23097/8558/51251/7535/4145/1452/5315/6093/1196/5211/3482/3717/7049/5127/5588/4750/57410/9149/673/5606/10295/54822/26750/5214/8812/5289/25/5610/10769/23476/1326/23235/93627/8621/1453/83549/10000/255967/11040/9748/9252/83732/5580/415116/1120/9874/8493/9262/79672/51231/132/5164/9475/7525/51265/8526/50488/5291/11284/5609/5295/1024/6416/8425/30849/5578/23387/8805/1026/8444/84930/5209/8844/1456/1263/1613/6199/5590/9451/5871/4598/5128/5891/6446/10978/7465","MF","Down",2
"GO:0035173","histone kinase activity",185,-0.32610560928794,-1.48627869966799,0.00280245657588438,0.046238035371785,0.039307376662165,2315,"tags=41%, list=28%, signal=30%","11035/440275/23031/7294/23178/6733/11183/8737/150094/51347/10114/7867/6732/1454/84033/1859/5170/25778/5894/11011/8569/8780/149420/8550/55781/5613/10188/6794/140901/57396/2580/6198/7535/4145/1452/5315/6093/1196/3717/4750/9149/673/5606/54822/26750/25/5610/23235/1453/10000/11040/9748/9252/83732/5580/415116/9874/9262/9475/7525/50488/5609/6416/30849/5578/23387/8444/84930/8844/1456/1613/6199/9451/5871/6446/7465","MF","Down",2
"GO:0042306","regulation of protein import into nucleus",32,-0.624489349774036,-2.0350768705935,5.96056245885724e-05,0.00971122991143204,0.00919987695543288,1603,"tags=44%, list=19%, signal=35%","7175/55696/3717/51684/2033/5580/7494/5663/5295/3458/9531/80149/51548/3320","BP","Down",3
"GO:0042307","positive regulation of protein import into nucleus",24,-0.652425840321511,-2.01265191848076,0.000266869432406411,0.024899859782523,0.0235887367816383,1603,"tags=50%, list=19%, signal=40%","7175/55696/3717/2033/5580/7494/5663/5295/3458/9531/80149/3320","BP","Down",3
"GO:0042325","regulation of phosphorylation",333,-0.325735415502969,-1.58521972874489,6.09689768756075e-05,0.00971122991143204,0.00919987695543288,1517,"tags=26%, list=18%, signal=22%","115825/6879/6352/10188/222658/6794/29990/1027/11140/1856/51429/57826/3717/8312/29950/104/673/51654/5606/5997/1981/5329/23141/3315/5925/8812/25/28984/5515/10454/152559/79643/1453/23394/11146/5781/3280/79706/5580/7494/1654/1857/1647/83667/9475/7525/5663/80279/51191/57600/84335/84919/5609/55294/23411/4739/3486/641/3458/5144/7564/11221/1026/64223/8651/8844/26146/80149/90441/3301/7057/4282/9618/64092/5590/9451/116986/9647/5871/1028/64061/8784/30844/94056/54206/22924/5008","BP","Down",2
"GO:0043408","regulation of MAPK cascade",265,-0.341947739655429,-1.6102299446959,6.6827656115027e-05,0.00971122991143204,0.00919987695543288,1311,"tags=24%, list=16%, signal=21%","1856/23236/6093/6259/3717/8312/10318/673/5606/5997/1880/25/5610/10454/152559/1398/5781/5580/9867/153/467/7494/1857/51231/9043/1647/2874/9475/50488/80279/5291/8831/3156/5609/55294/4671/3486/80824/6416/1847/4616/1844/60370/5578/221496/11221/9290/51277/8844/5187/80149/90441/3301/1850/7057/4282/9618/5590/5871/7430/3383/5151/1846/5008","BP","Down",2
"GO:0043410","positive regulation of MAPK cascade",161,-0.368860593746099,-1.62787186167179,0.000251901320592301,0.024899859782523,0.0235887367816383,1311,"tags=27%, list=16%, signal=23%","8558/1856/23236/6093/6259/3717/8312/673/5606/1880/25/5610/10454/1398/5781/9867/153/1857/9043/1647/9475/50488/5609/55294/4671/3486/6416/4616/60370/5578/9290/51277/8844/80149/90441/7057/4282/9618/5590/5871/3383/5151/5008","BP","Down",2
"GO:0051170","import into nucleus",111,-0.412318962583356,-1.72321533635573,0.000255623553428468,0.024899859782523,0.0235887367816383,1631,"tags=32%, list=20%, signal=26%","754/3621/7175/55696/55746/6774/8878/4792/129401/9631/60468/9972/3717/5530/4928/55122/1386/51684/2033/51307/5580/7494/5514/5663/5903/5295/3458/3838/1026/9531/80149/51548/84220/602/3320/4000","BP","Down",3
"GO:0051223","regulation of protein transport",213,-0.341300702711044,-1.57000334403336,0.000288543036172413,0.0255507802847367,0.0242053825188673,1829,"tags=35%, list=22%, signal=28%","5905/131474/133308/101/9648/3708/7327/51614/5481/580/5532/382/7175/4193/3312/55696/54602/10956/8111/143684/5108/6352/444/51465/23401/23400/23236/4947/6659/5211/285381/3717/5127/10059/2746/5530/5573/5106/29934/51684/9619/2033/5781/2029/5580/415116/5715/7494/100381270/9585/5663/27236/56850/81565/3156/64215/7376/5295/2010/3458/8864/5578/80024/10023/9531/80149/1263/3301/51548/5116/5590/9647/80223/6566/3320","BP","Down",3
"GO:0097190","apoptotic signaling pathway",390,-0.342091755525477,-1.68385502758269,1.41468129359843e-06,0.000682033570324843,0.000646120520643493,1416,"tags=27%, list=17%, signal=23%","51741/29843/6198/54541/259230/637/8452/23378/7185/581/10962/10131/10105/3685/3717/9774/4976/468/133746/406934/836/64332/7917/51330/5329/92609/3315/5925/8451/25/1386/27113/6498/2033/81537/27429/54700/3070/3336/3064/5580/467/7494/5883/1654/6421/10488/7314/5164/10210/54929/162989/8718/5663/5291/50484/3090/6878/57600/55294/8531/23411/5295/54978/6416/2537/26155/10625/23645/3458/578/27141/5578/1026/5034/7159/9531/317/55179/90441/3301/7057/23612/5366/1613/4282/1191/9451/9647/1495/602/56616/64782/1649/8870/3383/3856/3303/9026/1437/1396/3304/4000/6279","BP","Down",1
"GO:0097193","intrinsic apoptotic signaling pathway",224,-0.415592678109592,-1.91737560327966,9.73650325945277e-08,0.000140822292142552,0.000133407176239169,1416,"tags=34%, list=17%, signal=29%","51741/54541/259230/637/8452/23378/581/10962/10131/10105/3717/9774/4976/468/133746/836/7917/5329/3315/8451/25/1386/27113/6498/2033/81537/27429/54700/3070/3336/5580/7494/5883/1654/6421/10488/7314/5164/10210/54929/5291/50484/3090/6878/57600/55294/8531/23411/5295/6416/2537/26155/10625/23645/578/27141/1026/5034/7159/317/90441/3301/23612/5366/4282/1191/9451/9647/602/56616/64782/1649/8870/3303/9026/1396/6279","BP","Down",1
"GO:0140993","histone modifying activity",374,-0.330299111606325,-1.61834591793811,1.04780912567127e-05,0.00151583053513777,0.00128862139841326,2315,"tags=39%, list=28%, signal=30%","11035/440275/23031/7294/23178/6733/11183/5537/23210/9329/7799/1848/1387/8737/150094/9960/11072/51347/10114/54935/7867/23028/11091/6732/1454/84033/1859/5170/25778/151194/5894/11011/23030/8569/8780/57602/149420/9110/580/5532/29072/8550/10524/23081/55781/5613/84333/8202/79813/23304/10188/6794/140901/57396/80218/55170/2580/6198/7535/80853/4145/5778/22992/1452/5315/6093/1196/5516/3717/80895/28989/10322/55167/8648/4750/9739/9149/673/10600/5530/8556/11143/5606/5500/54822/26750/5782/25/5610/5515/1386/23235/84678/1453/2033/10000/11040/5781/9748/9252/83732/5580/415116/5799/9874/8493/2959/9262/23522/9475/7525/50488/7403/5609/9869/23411/23135/80824/6416/1847/30849/23774/1844/7803/55818/5578/23387/83852/11221/8444/56978/84930/8844/79609/192111/1456/9150/1850/1613/6199/9451/9647/5871/165918/6446/1846/7465","MF","Down",2
"GO:2001233","regulation of apoptotic signaling pathway",235,-0.363482988755701,-1.68694528862407,1.37642695843927e-05,0.00426594040904856,0.00404131373887619,1631,"tags=30%, list=20%, signal=25%","754/1984/9958/57448/4609/4193/8567/51741/6198/259230/637/7185/581/10131/10105/3685/3717/9774/4976/468/406934/51330/5329/3315/5925/27113/6498/27429/54700/3070/3064/5580/467/7494/5883/1654/6421/10488/7314/54929/162989/5663/5291/50484/6878/55294/8531/23411/54978/2537/26155/10625/578/5034/317/55179/3301/7057/5366/4282/1191/9451/1495/1649/8870/3383/3303/1437/3304/4000/6279","BP","Down",1
