"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0004888","transmembrane signaling receptor activity",155,0.376076943589154,1.68066428978713,0.000174963077492951,0.0355175047310691,0.034025714280866,487,"tags=16%, list=7%, signal=15%","9034/10316/2857/3118/2214/1235/719/3248/10803/1230/2207/8784/3601/11126/1512/3820/3902/8807/973/3560/1241/27197/8111/5786/10663","MF","Up",8
"GO:0006457","protein folding",147,-0.461128435910648,-2.04858585111203,1.79979049612176e-07,0.000748892825436266,0.000699455422282268,1256,"tags=33%, list=17%, signal=28%","6904/3313/2580/60626/1191/64215/10598/3336/10726/11140/3312/6950/10294/6903/64374/3310/27348/10105/81572/5034/4802/3300/10471/972/8425/7841/55664/4820/3308/9526/23275/10049/10845/54788/5768/3309/5903/26973/3337/3326/3303/3301/11080/3320/3329/55466/3304/10808","BP","Down",1
"GO:0006458","'de novo' protein folding",38,-0.597030319987603,-2.06318631015928,7.45378130821354e-05,0.0281956218395241,0.0263343163539946,1251,"tags=42%, list=17%, signal=35%","3313/2580/3336/3312/6950/3310/27348/972/54788/3309/3337/3303/11080/3329/3304/10808","BP","Down",1
"GO:0006809","nitric oxide biosynthetic process",36,-0.595788342010433,-2.01678079837991,0.000105406224116678,0.0365496082124582,0.0341368227577874,1345,"tags=39%, list=18%, signal=32%","3689/706/1191/435/80149/9057/2643/6648/10365/3326/3458/3320/857/3586","BP","Down",3
"GO:0006986","response to unfolded protein",98,-0.473570624333847,-1.96123241126656,1.51793591093451e-05,0.0202279169774088,0.0188925914774012,1148,"tags=31%, list=15%, signal=26%","10959/80267/3336/9709/3312/55161/267/3310/27348/10347/3300/4189/23645/3297/8440/64224/84919/3308/468/3309/3337/3326/3303/10000/3301/11080/3320/3329/1649/10808","BP","Down",1
"GO:0030425","dendrite",212,-0.358085646236351,-1.64699540150842,0.000156778779721791,0.0237684791820399,0.0231017397810238,1587,"tags=32%, list=21%, signal=26%","5935/51199/5501/55361/2186/2002/54464/29/8678/102/9371/66008/25921/10769/1191/23162/84885/118813/80758/3836/6801/10636/5663/3064/6647/900/2931/84065/267/23705/3182/6416/8500/10652/1859/23345/55605/10749/7074/5868/203228/25983/170506/22911/23774/5530/23607/10755/10152/468/9775/5142/23380/56850/27161/3337/8831/3326/94056/321/2051/9026/57125/29966/1263/3320/9456","CC","Down",7
"GO:0032543","mitochondrial translation",106,0.416793082745233,1.77848289298188,0.000159429938304972,0.0477569139571476,0.0446042895381396,2013,"tags=40%, list=27%, signal=29%","65080/64965/29088/28958/51318/219402/85476/55278/55699/84300/28998/55173/122704/219927/51253/63875/64949/51073/9553/64981/79828/64979/28957/64960/11222/10128/26164/63931/79590/64983/708/51649/54460/22868/51116/65003/51204/23107/26995/6472/64928/51023","BP","Up",6
"GO:0032870","cellular response to hormone stimulus",303,-0.329438547452426,-1.59003668898724,5.11212203678567e-05,0.0244765410406887,0.022860746916157,1993,"tags=35%, list=27%, signal=27%","55809/55818/4690/1176/2041/27043/2932/5465/23038/11057/7337/5925/3192/55023/9249/5962/7181/8284/10728/5585/3638/7494/8503/5791/5579/6093/5729/5295/23411/4644/7110/65992/143686/8660/22938/54331/25948/9021/23235/171023/5829/57658/4691/6199/6879/5305/3312/5936/5581/5894/2931/5573/23175/5734/8036/8651/10865/54541/1977/2354/6294/119392/5590/6655/476/1408/5584/114907/5580/4929/7538/27086/3416/80318/10014/55823/3297/583/1398/5530/10365/3164/6257/5272/2965/8648/9882/92595/56937/7376/9667/94056/8085/9063/10270/3303/51542/5187/3301/29966/84275/8013/6548/857/3304/6446","BP","Down",4
"GO:0035966","response to topologically incorrect protein",112,-0.475013521761769,-2.00787515932495,3.2158674087987e-06,0.00669061214400569,0.0062489381438341,1148,"tags=30%, list=15%, signal=26%","10959/80267/3336/9709/3312/55658/55161/267/3310/27348/10347/3300/4189/23645/3297/8440/64224/84919/3308/468/54788/3309/3337/3326/80311/3303/10000/3301/11080/3320/3329/1649/857/10808","BP","Down",1
"GO:0036477","somatodendritic compartment",282,-0.339397958008754,-1.6158121255724,0.000110870115709835,0.0237684791820399,0.0231017397810238,2051,"tags=37%, list=28%, signal=28%","664/7150/5373/5813/10772/10488/288/23095/2932/6810/3192/7133/3572/4155/659/3054/824/378/6520/79882/6515/5935/51199/5501/55361/2186/30009/2002/54464/29/8678/102/9371/22933/66008/10857/25921/10769/1191/23162/84885/118813/80758/3836/8874/6801/10636/5663/3064/64601/6647/900/4345/7314/10146/23230/2931/84065/267/23705/3182/5590/6416/143187/8500/10652/1859/23345/55605/10749/7074/5868/203228/25983/170506/22911/23774/5530/23607/10755/10152/468/22853/9775/5142/1233/23380/56850/27161/3337/8831/3676/3326/94056/321/2051/9026/57125/29966/1263/8507/3320/9456","CC","Down",7
"GO:0043005","neuron projection",429,-0.301291488839691,-1.48986797532072,0.000169472222331835,0.0237684791820399,0.0231017397810238,1987,"tags=35%, list=27%, signal=27%","10772/288/65018/1176/23095/2932/6810/27020/375/3192/7133/3572/55054/4155/9249/659/5962/34/824/29058/378/9780/5190/23011/79882/4134/4828/5935/5579/51199/5501/55361/2186/6711/2002/4644/10806/54464/29/8678/102/8408/10947/9371/22933/66008/10857/25921/10769/10313/23077/6103/1191/23162/11127/84885/118813/23265/80758/3836/26119/8874/10006/6801/9873/1982/10636/682/8239/5663/5305/3064/64601/6647/900/4345/7314/6903/23230/2931/84065/3738/9585/23122/267/50861/23705/3182/6683/5590/60412/6416/143187/8500/10652/476/5127/29993/1859/23345/55605/10749/54434/55212/22883/6843/9497/7074/673/5868/203228/25983/170506/22911/127262/4354/583/2643/23774/5530/23607/9266/26053/8773/10755/10152/468/9810/22853/9775/5142/81846/23380/23287/10210/56850/27161/3337/8831/3676/3326/94056/321/3508/2051/9026/57125/29966/1263/3320/9456","CC","Down",7
"GO:0043025","neuronal cell body",152,-0.382512609532924,-1.6825579581735,0.000212391621502955,0.0238303399326316,0.023161865250217,1163,"tags=37%, list=16%, signal=32%","7150/5373/5813/10772/10488/7133/3572/4155/659/3054/824/6520/6515/55361/30009/2002/54464/22933/10857/8874/6801/5663/64601/6647/900/4345/7314/10146/23230/2931/267/5590/6416/143187/10652/7074/5868/203228/170506/22911/23774/22853/9775/1233/56850/3337/3676/3326/94056/9026/57125/29966/1263/8507/3320/9456","CC","Down",7
