"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa05012","Parkinson disease",184,0.444396377101832,2.06428187325735,7.94984198821028e-09,2.41675196441592e-06,2.03348589803694e-06,2264,"tags=52%, list=30%, signal=37%","10213/317/5335/598/55630/2081/5701/1965/4539/5685/1616/7295/5719/7419/4696/9246/2778/11315/4717/1349/5705/4718/4541/5566/7318/4709/4707/9377/7417/5684/5567/4720/5686/5702/5694/5691/27089/5599/292/5688/5706/4710/4712/6392/4731/5713/4716/9167/4722/1345/4694/5700/5717/2773/4724/817/7157/203068/4537/808/7327/2771/29796/4697/5689/4512/4695/5704/55967/818/91252/4535/5690/4509/1347/1337/4536/57181/51079/5707/4713/25828/7317/4705/4704/4706/4538/1350/27173/3831/5718/4726/4700/5714/4519/11047","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05014","Amyotrophic lateral sclerosis",245,0.391431659306728,1.8872474332864,6.4254172699205e-08,9.76663425027916e-06,8.21777050837201e-06,2277,"tags=48%, list=30%, signal=35%","348995/7124/10213/79902/317/598/29110/2081/5701/51164/1965/22863/11273/637/4539/5685/834/10540/1616/7132/5719/4696/23064/8678/55860/4717/1349/5705/4718/4541/6396/4709/4707/9377/60/5684/4720/5686/5702/5694/5691/27089/5532/10762/5688/5706/4710/4712/10121/6392/4731/5713/4716/71/9167/4722/1639/1345/4694/5700/5717/572/847/2733/4724/7157/10120/203068/4537/79139/23511/29796/4697/5689/4512/4695/10013/5704/55967/4535/4218/6311/53371/5690/80208/10010/10133/4509/1347/1337/129401/4536/1769/7415/51079/116442/5707/596/4713/5603/29979/4705/4704/4706/2876/4538/220988/1350/3831/5718/4726/9782/2882/4700/5714/4519/11047/5216","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05016","Huntington disease",201,0.400741015340695,1.88526379192337,6.54917328420682e-07,6.63649559466291e-05,5.58403195811318e-05,2282,"tags=49%, list=30%, signal=35%","163/10213/317/2081/5701/51164/22863/6667/4539/5685/10540/5719/7419/4696/64764/1213/8678/55860/4717/1349/5705/4718/4541/4709/4707/9377/7417/5684/4720/5686/5702/5694/5691/27089/5599/5434/292/5688/5706/4710/4712/10121/6392/4731/5713/4716/9167/4722/1639/1345/161/4694/5700/5717/1211/4724/7157/10120/203068/4537/29796/4697/5689/4512/4695/5704/55967/4535/5690/4509/1347/1337/3065/4536/1769/51079/5707/1173/4713/1175/4705/4704/4706/2876/4538/3066/1350/3831/5718/5438/4726/2882/5440/4700/5714/6908/4519/11047/5437","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa00190","Oxidative phosphorylation",97,0.48800587306153,2.07239818932567,1.3305275555887e-06,0.000101120094224741,8.50837357915931e-05,2514,"tags=61%, list=34%, signal=41%","529/4539/528/90423/5464/4696/4717/1349/4718/4541/4709/4707/9377/1355/4720/27089/535/4710/4712/6392/4731/4716/9167/4722/1345/8992/4694/4724/4537/51382/29796/4697/4512/4695/55967/4535/51606/533/4509/1347/1337/4536/51079/4713/4705/4704/4706/4538/1350/10063/4726/4700/4519/4708/1329/9296/4711/4513/7381","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05332","Graft-versus-host disease",21,0.743331848050848,2.24283358849051,2.90186190619037e-06,0.000176433203896375,0.000148453145937739,1144,"tags=57%, list=15%, signal=49%","3002/356/7124/3113/3458/3824/3115/3123/3127/3122/5551/3117","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05022","Pathways of neurodegeneration - multiple diseases",284,0.34523218408134,1.68816287796197,7.07162525678544e-06,0.000358295679677129,0.000301474550420853,2048,"tags=41%, list=27%, signal=31%","356/7124/10213/317/1435/5335/824/598/29110/2081/5701/51164/1965/22863/11273/1457/637/4539/5685/10540/5594/1616/7132/5719/7419/1459/4696/9246/8678/55860/11315/4717/1349/5705/4718/4541/7318/4709/4707/9377/7417/5684/840/4720/5686/5702/5694/5691/27089/5532/5599/292/5688/5706/4710/4712/10121/6392/4731/5713/4716/9167/5605/4722/1639/1345/1499/5595/4694/5700/5717/572/847/4724/817/10120/203068/4537/808/79139/7327/29796/4697/5689/4512/4695/5704/55967/355/818/4535/4218/6311/5690/80208/10010/10133/4509/1347/1337/4536/4893/1769/7415/51079/116442/5707/596/4713/5603/7317/4705/489/4704/4706/2876/4538","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04714","Thermogenesis",149,0.405847004595848,1.83721662676774,1.06749120086174e-05,0.000463596178659957,0.000390075732044215,2076,"tags=47%, list=28%, signal=35%","51241/29078/91942/1386/4539/6597/51287/4696/79133/23305/2778/64764/116228/4717/1349/4718/4541/5566/4709/4707/1374/9377/1355/60/5567/4720/6603/27089/6197/388753/4710/2182/4712/5571/493753/6392/4731/4716/71/9167/4722/6602/1345/7248/4694/4724/4537/113/29796/4697/4512/4695/55967/4535/4509/1347/1337/4536/4893/2885/51079/4713/5603/6654/4705/90639/4704/4706/4538/1350","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05330","Allograft rejection",22,0.710668130424063,2.17614142477913,1.9356332664777e-05,0.000735540641261528,0.000618893268097477,1144,"tags=50%, list=15%, signal=42%","3002/356/7124/3113/3458/3115/3123/3127/3122/5551/3117","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa04621","NOD-like receptor signaling pathway",109,0.425374145011296,1.84509314410261,3.17791477759976e-05,0.00107312649985992,0.000902942311170225,1017,"tags=28%, list=14%, signal=24%","1671/115362/7124/115361/6772/9447/598/29110/6041/6773/2634/834/5594/114769/7295/7419/7297/11337/2633/84674/331/837/2635/10616/3661/29108/7417/7189/56919/5599","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05320","Autoimmune thyroid disease",21,0.700744680596635,2.11433656545101,3.53002138111816e-05,0.00107312649985992,0.000902942311170225,1144,"tags=48%, list=15%, signal=40%","3002/356/3113/1493/3115/3123/3127/3122/5551/3117","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05020","Prion disease",179,0.367538081796192,1.69676651830026,6.2797620347994e-05,0.00165951034861595,0.0013963331534407,2264,"tags=50%, list=30%, signal=36%","7124/10213/317/713/5701/1965/1457/1386/4539/5685/5594/5719/7419/1459/4696/64764/4717/1349/5705/4718/4541/5566/4709/4707/9377/7417/5684/5567/4720/5686/5702/5694/5691/27089/5293/5532/5599/292/5688/5706/4710/4712/6392/4731/5713/4851/4716/9167/4722/1345/5595/4694/5700/5717/572/4724/203068/4537/29796/4697/5689/4512/4695/5880/5704/55967/4535/5690/4509/1347/1337/4536/51079/5707/4713/5603/10963/4705/4704/4706/4538/1350/3831/5718/4726/4700/5714/4519/712/11047","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa03050","Proteasome",42,0.570916654061712,2.03265743566012,6.55069874453663e-05,0.00165951034861595,0.0013963331534407,1727,"tags=57%, list=23%, signal=44%","10213/3458/5701/5696/5721/5685/5720/5719/5705/5684/5686/5702/5694/5691/5698/5688/5706/51371/5713/5700/5717/5689/5704/5690","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
"hsa05143","African trypanosomiasis",15,0.759745180035688,2.09338653422737,8.21753272091082e-05,0.00192163842088992,0.00161689105358812,210,"tags=40%, list=3%, signal=39%","356/3039/7124/3040/8542/3458","Up","Tregs","IMM","Ileum","InactiveCD_vs_Control","dataset_02"
