"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000902","cell morphogenesis",204,0.461962247765258,1.81035109012036,1.56900937819922e-07,0.000118774009929681,0.000102976562874443,854,"tags=44%, list=28%, signal=34%","288/655/27020/2335/6654/10763/4147/7155/10439/4781/84189/2263/6091/23022/6387/6586/1902/51466/23394/4627/8976/2316/9353/1739/23654/3908/5339/6259/1523/3280/10160/23114/8522/9202/10413/51421/5728/1291/659/2768/6678/473/3708/148170/7070/7474/22902/6093/91137/2042/2131/84298/55740/10787/5663/11078/8301/2803/122786/3925/1267/3073/5727/4076/7798/4774/6356/91624/9746/152503/23405/7414/3913/9043/334/8904/87/51177/10428/57498/5802/8543/960/10152/1009/5592/80781/2017/5781","BP","Up",1
"GO:0002011","morphogenesis of an epithelial sheet",22,0.670381218378543,1.89328343269348,0.000395732997805415,0.0249641566115582,0.0216438179062874,641,"tags=50%, list=21%, signal=40%","655/6654/3685/2316/90102/1289/5728/7474/3693/3212/653","BP","Up",4
"GO:0003230","cardiac atrium development",10,0.809311891293451,1.86544705052017,0.000139498066951034,0.0124235337272862,0.0107711510518848,465,"tags=60%, list=15%, signal=51%","6654/287/659/6659/4193/7474","BP","Up",4
"GO:0003279","cardiac septum development",35,0.622629889703796,1.94809292216391,3.96789208182973e-05,0.00462106816299247,0.00400644649881917,802,"tags=66%, list=26%, signal=49%","655/8321/2263/163/6091/6586/9353/9321/3280/287/659/6659/4193/7157/7474/652/25831/9784/653/7798/3516/8543/9782","BP","Up",4
"GO:0003677","DNA binding",383,0.363947855528912,1.47032694887492,7.66807598844235e-05,0.0195919341504702,0.0168294088798971,747,"tags=34%, list=25%, signal=29%","9839/2804/51729/4784/25939/60685/2113/83439/7155/10111/253461/4781/54464/23347/6667/3096/8467/10155/23648/257218/5514/4779/51621/2969/23394/546/862/6938/29994/1523/23014/7756/122953/50809/3280/8473/23036/7586/10150/9202/7003/128553/1112/6773/8545/23476/23064/9208/10413/153222/221037/4094/51742/5594/5927/2309/6659/6772/58508/6594/4924/2004/6599/65110/5934/55749/473/8930/4683/10725/64710/51747/7026/23435/103/4090/10180/5981/7157/10142/55193/7913/1108/4782/5396/9126/9444/64324/23049/1387/1602/7763/8243/6917/51663/5371/11244/79718/9921/6935/6925/64764/4841/27332/79101/6497/22877/6256/55870/3212/26019/5439/4774/3182/339123/29117/56987/2034/6605/3516/334/472/27086/3659/861/196/26959/5307/1649","MF","Up",12
"GO:0005201","extracellular matrix structural constituent",64,0.542668168573665,1.86378772389515,5.80393752295507e-05,0.0195919341504702,0.0168294088798971,725,"tags=55%, list=24%, signal=43%","2335/255743/4147/7148/1306/7373/4053/115908/4811/25890/3910/1307/3908/1281/1277/3912/2200/1289/1290/1291/1303/6678/25878/85301/1805/2331/7837/1278/1293/3915/1284/10085/3913/633/3371","MF","Up",3
"GO:0005581","collagen trimer",26,0.673300324190577,1.95426676845279,5.32057233986984e-05,0.00317822925707438,0.00259759121972425,678,"tags=62%, list=22%, signal=48%","81035/1306/7373/115908/1307/51435/1281/1277/1289/1290/1291/1303/85301/1278/1293/1284","CC","Up",3
"GO:0005604","basement membrane",36,0.661838246694046,2.04826413197169,4.87991066377043e-06,0.00101502141806425,0.000829584812840973,730,"tags=67%, list=24%, signal=51%","2335/255743/4147/1306/4811/151887/667/3910/1307/1739/3908/3912/2200/1289/1291/6678/4017/7078/7837/3915/1284/3913/3371/4016","CC","Up",3
"GO:0005759","mitochondrial matrix",137,-0.357537338048816,-1.74217053565344,2.43685837646792e-05,0.00202746616922131,0.00165706369599819,530,"tags=29%, list=17%, signal=25%","4833/2746/5018/10456/8802/91689/708/292/5162/29074/57129/3329/7818/54534/1716/51081/90480/6390/51073/28998/51218/388962/2230/79590/55379/10935/64960/217/4720/3028/54931/27068/211/37/5166/25828/6183/29088/29093/10797","CC","Down",9
"GO:0005856","cytoskeleton",453,0.336608758319673,1.37620874029896,0.000932417211996552,0.0340227375393144,0.0278070451042474,723,"tags=29%, list=24%, signal=26%","288/79026/80184/595/5567/11215/10763/5577/5782/64759/9475/2801/2771/65125/55704/667/23022/4926/5576/4254/51466/9541/6709/4919/4627/1808/8976/1809/140735/9659/2316/1739/9321/5339/26064/10788/7756/10160/287/90102/120/6711/1265/3927/3304/26509/51652/30846/23224/5930/9208/9644/4082/51421/5594/9961/4035/60312/5756/10097/118/4921/801/130271/170954/11259/1213/23164/9590/148170/51088/5586/5311/7157/10142/10274/64236/57551/84376/10928/2040/6093/2734/3303/1778/7175/1108/2042/3716/55740/9126/10787/5663/7094/5108/8243/11078/57542/79718/55207/1021/9867/122786/3925/10241/79101/6497/1730/1267/829/653784/4026/11034/5566/29082/7798/55684/91624/4638/7414/51474/10397/80323/79839/23220/9043/472/87/10927/4646/7169","CC","Up",2
