"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000785","chromatin",437,0.33261581733391,1.33288674596254,0.00223840112813716,0.0296293623013945,0.0228800558527039,1689,"tags=41%, list=33%, signal=30%","4784/80335/9839/63901/11198/5926/10735/60468/6772/9612/57459/284058/6932/64764/2005/5591/8648/84181/4773/55193/1459/8473/3213/1112/57178/5514/6926/1523/257218/6256/7003/7994/10194/10765/7503/4090/9126/9975/26122/7112/29117/23047/27022/55818/64324/5453/22877/7020/27125/6660/9031/1107/9063/4094/4205/3091/10499/4204/9575/6935/860/10274/6663/648/25909/51366/23468/1105/6872/10927/80312/8289/57492/6881/6095/55167/23512/5927/51434/4089/3280/1106/23244/1911/6925/5087/29994/1387/546/2145/55209/55578/50809/55636/4209/3215/6934/6602/1857/9189/51742/6667/22887/8609/55553/26057/463/196/11052/8204/5451/23126/23304/6938/57658/51230/7392/376940/9935/5925/3191/3184/23476/23099/23522/1660/1060/894/55183/7508/4774/2034/23451/23515/5970/6950/1457/23394/10725/9580/58487/51592/1810/142/55122/7528/5885/54737/84524/57801/10608/51621/339287/9586/5914/6720/11335/4779/2908/1385/5934/7543/23236/5089/1108/121536/27316/4790/405/4782/25836/81611/6594/6773/6885/51773/84913/51105/7155","CC","Up",2
"GO:0000976","transcription cis-regulatory region binding",315,0.378279514688736,1.50143629253752,6.98648230745804e-05,0.00126859810319633,0.000975398083922119,1628,"tags=46%, list=32%, signal=33%","4784/9839/57659/5926/60468/23064/6772/5814/6932/64764/2005/8648/4773/54816/3213/1112/619279/6926/1523/6256/153222/100101467/7003/284443/7799/5813/4090/9975/29117/27022/64324/5453/22877/7020/6660/1107/4094/7019/8863/4205/3091/10499/22890/2957/9575/6935/860/6663/65986/84146/9988/6872/904/80312/79718/6095/7025/23512/5927/4851/253461/170960/6498/4089/3280/1106/6925/5087/7716/55636/4209/3215/6934/10664/2737/9189/51742/6667/22887/8609/55553/112950/463/196/81/9745/8204/5451/7026/22823/56977/6938/57658/63976/4150/7392/9935/5925/3191/79027/23476/23099/1660/4853/4774/2034/7707/7587/7343/3192/140467/22803/5970/23394/10725/9580/6497/9208/7528/988/84524/57801/10608/51621/9586/55749/5914/165/6720/4779/2908/5887/1385/5934/7644/7543/55769/5089/7705/27316/4790/5978/405/4782","MF","Up",2
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",276,0.37393471917055,1.47327139629032,0.000361693827660373,0.00509323961399301,0.00391608354760103,1628,"tags=46%, list=32%, signal=33%","4784/9839/57659/60468/6772/5814/6932/64764/2005/8648/4773/54816/3213/619279/6926/1523/6256/153222/100101467/7003/284443/7799/5813/4090/9975/27022/64324/5453/22877/7020/6660/4094/4205/3091/10499/22890/2957/9575/6935/860/6663/65986/84146/9988/6872/80312/6095/7025/23512/253461/170960/6498/4089/3280/1106/6925/5087/7716/55636/4209/3215/6934/10664/2737/9189/6667/22887/8609/55553/112950/463/196/81/9745/8204/5451/7026/22823/56977/6938/57658/63976/4150/7392/9935/5925/79027/23099/1660/4774/2034/7707/7587/3192/140467/5970/23394/10725/9580/6497/9208/7528/988/84524/57801/10608/51621/9586/55749/5914/165/6720/4779/2908/5887/1385/5934/7644/7543/55769/5089/7705/27316/4790/5978/405/4782","MF","Up",2
"GO:0001067","transcription regulatory region nucleic acid binding",315,0.378279514688736,1.50143629253752,6.98648230745804e-05,0.00126859810319633,0.000975398083922119,1628,"tags=46%, list=32%, signal=33%","4784/9839/57659/5926/60468/23064/6772/5814/6932/64764/2005/8648/4773/54816/3213/1112/619279/6926/1523/6256/153222/100101467/7003/284443/7799/5813/4090/9975/29117/27022/64324/5453/22877/7020/6660/1107/4094/7019/8863/4205/3091/10499/22890/2957/9575/6935/860/6663/65986/84146/9988/6872/904/80312/79718/6095/7025/23512/5927/4851/253461/170960/6498/4089/3280/1106/6925/5087/7716/55636/4209/3215/6934/10664/2737/9189/51742/6667/22887/8609/55553/112950/463/196/81/9745/8204/5451/7026/22823/56977/6938/57658/63976/4150/7392/9935/5925/3191/79027/23476/23099/1660/4853/4774/2034/7707/7587/7343/3192/140467/22803/5970/23394/10725/9580/6497/9208/7528/988/84524/57801/10608/51621/9586/55749/5914/165/6720/4779/2908/5887/1385/5934/7644/7543/55769/5089/7705/27316/4790/5978/405/4782","MF","Up",2
"GO:0003682","chromatin binding",235,0.402929156434365,1.57681987831726,0.00013492748599122,0.00216511547288237,0.00166471121027112,1638,"tags=47%, list=32%, signal=33%","80335/5430/11198/8243/10735/6772/9612/84629/57459/2005/8648/114825/84181/4773/55193/8473/473/51564/7994/9126/2332/55818/64324/7020/1107/5585/7019/27030/4205/10499/4204/9575/6935/80854/55206/860/10274/6663/648/10051/27000/23468/1105/7175/904/8289/57492/6881/4297/55167/23512/9425/5927/4851/4841/5431/6498/4089/3280/4302/1106/1911/1387/546/2145/50809/55636/6934/10664/6602/2737/26057/51322/81/22823/26053/7270/57658/11051/3184/23476/23522/1660/4774/7343/3192/5970/23394/10725/142/7528/5885/54737/8725/8028/5914/6720/11335/5934/7543/5089/5252/1108/27316/4790/5978/23054/80012/25836/6594","MF","Up",2
"GO:0003690","double-stranded DNA binding",369,0.379537420560504,1.51663714969673,2.84291355753111e-05,0.000613003235842646,0.000471325142432789,1628,"tags=46%, list=32%, signal=33%","4784/9839/57659/25/5926/60468/23064/6772/5814/6932/64764/2005/5591/8648/4773/10771/54816/3213/1112/619279/27332/6926/1523/6256/153222/57599/100101467/7003/284443/7799/10765/5813/4090/9126/9975/29117/27022/64324/5453/22877/7020/6660/1107/4094/7019/27030/8863/4205/3091/10499/4204/22890/2957/9575/6935/85364/860/6663/65986/84146/9988/6872/904/80312/79718/6095/55167/7025/23512/5927/4851/253461/170960/6498/4089/3280/1106/55601/6925/5087/7507/10111/7716/554203/8930/55636/4209/3215/6934/10664/2737/9189/51742/6667/22887/8609/55553/112950/463/5378/196/81/9745/8204/5451/7026/22823/56977/6938/57658/63976/4150/7392/9935/5925/3191/79027/23476/23099/1660/1060/4853/7508/4774/2034/7707/7587/7343/3192/140467/5981/22803/5970/23394/10725/9580/26065/6497/9208/7528/988/84524/57801/10608/51621/9586/10150/55749/5914/165/6720/4779/5937/2908/4913/5887/1385/5934/7644/7543/55769/5089/7705/27316/4790/5978/405/4782","MF","Up",2
"GO:0030424","axon",201,0.429510299370596,1.67061524777579,9.47617322784634e-06,0.000680930733372387,0.000525820740011323,1319,"tags=44%, list=26%, signal=34%","4644/27020/130074/85461/25/5048/23064/6772/23077/3480/6900/23136/23208/1778/7042/23122/8829/9698/4134/2332/1739/81846/288/85440/22902/1182/3091/79884/4763/54434/2899/2674/26258/1454/5663/57609/127933/23011/7976/55605/102/3897/1605/2890/8826/3673/4685/3831/4649/5621/6687/6335/55714/9378/94056/5339/10947/6711/23242/23095/1859/8411/22848/5101/8239/136319/80725/1837/60482/2316/26053/57556/8087/253559/27252/1627/22906/23022/1314/23291/1500/216/2932/84623/667/1809/4919/23394","CC","Up",1
"GO:0035295","tube development",369,0.364137000830992,1.46947340986557,0.000197301241787866,0.0145797587443083,0.0117018590839787,1276,"tags=37%, list=25%, signal=30%","6422/7248/7837/25/10000/6772/4627/1281/1889/204851/1102/7046/4323/3213/5310/1981/9475/57178/6926/57599/4643/51564/84695/7042/2534/493/23648/10765/4090/375056/65125/8829/7048/2909/7127/22905/1739/29924/51421/60485/7423/3091/54542/80781/4763/4204/5567/6935/7082/26258/348/6663/5170/648/182/780/5663/1000/1295/1306/83700/3488/7128/5286/6095/91461/4851/5290/7976/80184/4089/29072/54806/3280/55366/10512/5087/546/1605/7716/5311/54583/7049/57674/9353/5155/2247/3037/3572/55636/51752/6654/7249/1284/57534/9378/6237/4054/2737/7045/9139/6667/23242/4082/9693/3685/4035/23328/9369/1291/7026/27031/3339/9444/6678/2316/57556/25937/6444/4124/5925/10395/9146/5921/7534/2969/4853/4774/4313/26227/207/2034/4638/3371/596/140467","BP","Up",1
"GO:0043005","neuron projection",380,0.374721852771999,1.49973133981536,2.44588939310703e-05,0.00136698040525871,0.00105559436965672,1297,"tags=37%, list=25%, signal=30%","4644/27020/130074/23382/54464/85461/23769/25/5048/23064/1756/6772/23077/3480/477/6900/7779/23136/23208/1778/7042/2534/23122/5813/8829/9698/11346/4134/2332/1739/81846/288/85440/22902/9454/8777/1182/3091/257194/79884/4763/54434/4926/55737/1070/2899/2674/1902/26258/348/1454/5663/9848/1000/57609/127933/23011/57120/5649/2550/7976/80184/2782/55605/1462/287/25828/102/3897/1605/2890/8826/3673/4685/2319/165324/3831/4649/3572/729993/8874/2767/5621/6687/6335/29966/55714/9378/10458/94056/5339/4684/10152/10947/6711/23242/9693/23095/1859/8411/22794/22848/5101/22883/8239/136319/80725/4535/84065/10142/1837/60482/3339/2316/26053/57556/8087/55607/28988/253559/27252/10645/1627/22906/9743/23022/1314/23291/1500/216/2932/81926/84623/3192/667/79778/1809/1979/57502/4919","CC","Up",1
"GO:0043565","sequence-specific DNA binding",376,0.382324205665561,1.52930274812173,9.9540808724874e-06,0.000236838475931597,0.00018210006387418,1637,"tags=45%, list=32%, signal=33%","4784/9839/57659/23049/25/5926/60468/23064/6772/5814/57459/6932/64764/2005/8648/22992/4773/54816/473/3213/1112/619279/57798/6926/1523/6256/153222/100101467/7003/284443/7799/10765/5813/4090/9975/29117/27022/64324/5453/22877/7020/6660/1107/4094/7019/27030/8863/4205/3091/10499/4204/22890/2957/9575/6935/860/6663/65986/84146/9988/6872/904/80312/79718/6095/4297/7025/23512/5927/4851/253461/170960/6498/4089/3280/1106/6925/5087/7507/10111/7716/2804/554203/8930/55636/4209/3215/6934/10664/2737/9189/51742/6667/22887/8609/55553/112950/463/196/26036/81/136319/9745/8204/5451/7026/22823/56977/6938/57658/63976/4150/7392/9935/5925/3191/3184/79027/26019/23476/23099/1660/1060/4853/4774/2034/7707/7587/7343/3192/596/140467/5981/79811/22803/5970/23394/10725/9580/6497/9208/7528/988/84524/57801/10608/51621/9586/10150/55749/5914/165/6720/4779/2908/5887/1385/5934/7644/7543/55769/5089/7705/27316/4790/5978/405/4782/49854","MF","Up",2
