"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0001568","blood vessel development",324,0.425140226317745,1.44580640385559,6.39436637829742e-06,0.000813940958992311,0.000700014845624139,1646,"tags=42%, list=27%, signal=32%","22918/7423/196/358/219699/3339/2034/2549/10451/90627/55636/7057/29072/5747/8322/7128/3685/5787/23166/11117/153090/26051/26523/5594/7052/10000/54538/5797/493/5335/9693/3213/161198/161742/9444/2113/57178/4086/7048/2324/7042/25/196528/25831/3091/10427/51564/6772/8434/5316/2308/4763/5170/4208/23414/9525/51752/2534/2697/4041/163/1969/10203/22905/7342/204851/8837/7474/4775/1281/182/5469/6899/57493/3202/65125/3280/4066/2050/2335/55294/6786/1545/23129/6464/5138/5154/5629/7075/3340/4691/28996/6654/7837/8325/7026/6422/5921/3949/5290/7049/6659/25932/2022/2316/677/5286/5371/1901/90139/3516/7010/1282/3688/1432/23411/221981/133/196740/4204/22915/57674/154810/10413/3791/116150/7716/26057/84516/54583/8751/94/4193/1948/7082/2969","BP","Up",1
"GO:0001944","vasculature development",345,0.415245962179402,1.4161155770351,2.38759636905636e-05,0.00219103610983637,0.00188436002297129,1970,"tags=48%, list=33%, signal=34%","22918/7423/196/650/358/219699/3339/2034/2549/10451/90627/55636/7057/29072/5747/8322/7128/3685/22899/5787/23166/11117/153090/26051/26523/5594/7052/6794/10000/54538/5797/493/5335/9693/3213/161198/161742/9444/2113/57178/4086/7048/5784/2324/7042/25/196528/25831/102/3091/10427/51564/6772/8434/5316/2308/4763/5170/4208/23414/9525/51752/2534/2697/4041/163/1969/10203/22905/7342/204851/8837/7474/4775/1281/182/5469/6899/57493/3202/65125/3280/4066/2050/2335/55294/6786/1545/23129/6464/5138/5154/6443/5629/7075/3340/4691/28996/6654/7837/8325/7026/6422/5921/3949/5290/7049/6659/25932/2022/2316/677/5286/5371/1901/90139/3516/7010/1282/3688/1432/23411/221981/133/196740/4204/22915/57674/154810/10413/3791/116150/7716/26057/10630/84516/54583/8751/94/4193/1948/7082/2969/4773/57534/1003/1942/5310/80310/57381/6356/10541/6886/6678/1386/3678/2548/5532/1278/55333/7763/6648/4215/79893/79652/2260","BP","Up",1
"GO:0003682","chromatin binding",299,0.419069210710854,1.41676954058915,3.90076867104671e-05,0.000684902406195411,0.000511826684866839,2012,"tags=49%, list=34%, signal=34%","2033/8648/6881/4205/10725/84629/55636/5976/1387/23468/8028/4790/2332/23394/51317/4089/5585/7091/7703/1487/6830/1660/5430/81/25836/57634/6595/10274/55274/55818/2145/8805/23512/25942/6046/11051/51780/1106/50809/51564/6599/6772/5316/57459/2308/473/80335/7343/2005/23522/648/56916/11168/9126/91875/5089/2078/5884/10735/64318/80012/1025/27030/11198/171023/4297/905/23060/2551/221037/546/1912/5469/9612/3280/4302/10155/90378/3720/1653/5431/7543/8535/10051/8467/114785/8243/6935/9575/84656/1108/8932/165918/27316/7155/10499/79892/5934/10951/54737/84456/56254/3516/3184/23411/57492/4204/4774/54107/11335/10413/26057/55870/4841/7019/1788/6670/23054/3192/4773/6597/7175/64324/8473/27000/22893/5094/10664/8850/6598/5978/3054/6886/23523/1386/5928/9878/22907/6421/57658/79685/3622/6601/1059/84181/7157","MF","Up",3
"GO:0003690","double-stranded DNA binding",446,0.378201617093033,1.29153964207382,0.000293923077053813,0.00443823846351257,0.00331668988001776,1840,"tags=40%, list=31%, signal=30%","10111/196/2957/8863/7025/8609/2034/8648/22926/64764/4205/79718/4094/10725/57599/55636/7003/5451/7582/23300/57659/5087/54816/4790/55893/23394/284443/5925/26523/4212/4089/5591/5915/8204/3213/1660/10608/81/1523/2113/6872/9423/6256/4086/6595/25/8805/23512/1106/4784/3091/6772/7799/140685/11278/9975/253461/5316/144348/2308/7343/2005/4208/11168/9126/5089/2078/8462/1025/27030/126208/1998/5981/7507/7342/8545/83439/2551/4775/2120/5989/9208/5469/6899/3202/3280/554203/4066/7029/5926/153222/9921/463/6671/51742/83595/6497/23064/5629/7543/8535/27332/23383/9611/54989/4913/6935/9575/1385/7026/51621/84146/619279/360023/56731/7559/342926/8932/5814/22877/170960/84524/6659/27316/5991/7705/10499/7014/7586/5934/84159/6938/3516/3097/6304/23411/7581/4779/4204/4774/56977/6721/169792/10413/7716/55145/170506/4781/55749/7764/7019/79618/1788/6670/80264/3329/3192/4773/6597/22887/64324/55900/57109/11176/440515/22893/5094/6925/10664/8850/6598/5978/7767/7071/2186/6886/25925/221937/9534","MF","Up",3
"GO:0009887","animal organ morphogenesis",336,0.41997168141479,1.43003225886967,1.57777996080171e-05,0.00155647993133089,0.0013386217351644,1644,"tags=43%, list=27%, signal=33%","3481/2033/7273/650/358/6881/4124/3488/3655/57599/85358/27031/55636/4647/3912/29072/5747/23768/7128/5087/59338/4646/4790/54806/29123/5594/4212/128637/7052/9249/4089/10000/9321/7703/5797/5915/65979/3213/4054/23291/9645/9423/25836/57178/7048/7042/55959/8452/196528/324/3673/2650/3091/1435/10427/6599/6772/4763/4237/4208/648/23414/5089/9927/2697/4041/171023/3955/1969/204851/8837/60485/10152/7474/1281/57560/182/5469/6899/51377/57493/3202/10439/3280/2050/55294/8642/4325/6786/23129/5154/6497/5629/1291/3340/5048/28996/6935/6654/140706/29887/6422/30061/10018/80184/7049/6659/8323/2022/22856/10252/2316/84159/2931/9500/5371/1901/3516/7010/7088/5605/2132/871/1432/10395/133/4478/79971/10413/3791/55870/4781/27067/54583/6259/8751/4194/94/4664/1832/6670/4193/1948","BP","Up",1
"GO:0022603","regulation of anatomical structure morphogenesis",332,0.445380020006817,1.51595700496979,2.18167682540149e-07,7.82626977548569e-05,6.730838358942e-05,1730,"tags=45%, list=29%, signal=34%","7423/90102/650/358/3339/23345/2549/85358/152273/7057/5747/4076/8322/23268/7128/23369/23166/57699/11117/54806/23394/10730/10810/153090/26051/26523/7052/23499/6794/10000/5585/10059/9344/5591/5797/57520/9043/493/5335/9693/2932/161742/9444/1523/2113/9423/23332/4086/7048/10507/51199/2324/4628/7042/79006/25/114793/1729/3091/1435/10427/6772/4734/8434/4763/5170/4208/2803/51752/2534/2697/58480/3955/1969/10075/10928/22905/204851/10152/7474/4775/55785/4289/182/10611/6899/23433/3202/2909/221061/65125/3280/26037/2335/6786/5911/1545/23129/6464/22906/5154/10371/22902/7075/5048/93663/28996/2768/6422/5921/23654/5898/2022/10252/55023/152503/10494/9500/5371/90139/7010/5605/3688/23411/133/4478/10493/4204/3791/170506/10630/27067/54583/6259/94/23603/26115/4649/84062/1948/7082/2969/5062/3074/54764/65018/613/1003/56990","BP","Up",1
"GO:0030425","dendrite",200,0.426898199392087,1.43212470895727,0.000340171357947374,0.0253184682129403,0.021893735519019,2271,"tags=51%, list=38%, signal=33%","10858/23345/80315/85358/1859/5747/4076/8322/22899/2332/23394/153090/84687/9344/4140/25921/2932/9371/8087/6801/54464/10749/51199/25/102/5873/6772/5339/4734/4763/29888/50807/2534/80208/10152/10772/85461/81926/81628/26037/57787/23613/22906/10371/23181/22902/66008/66004/4905/127933/26058/9454/11346/23607/2316/2931/8898/23095/4926/3688/83992/79882/8777/6002/6780/170506/27067/94/10160/26115/25814/84062/3064/1948/3192/3572/613/7466/22794/2186/2319/4535/27252/57120/29966/4976/5649/1500/23380/10539/3836/1627/54407/23034/3337/196883/5518/8572/5501/347/659/23191","CC","Up",2
"GO:0032868","response to insulin",140,0.484776223177412,1.59599742312897,2.00868990886314e-05,0.00193324155618877,0.00166264859208595,1792,"tags=49%, list=30%, signal=35%","3481/8648/2549/3480/5786/25948/143686/5925/26060/5594/5591/2932/79109/5919/2324/8452/324/11031/2650/9564/6599/6772/2308/5170/9852/9882/208/1969/23516/8837/23433/2050/6464/55667/6443/7075/1291/81565/4691/54832/1509/6654/5295/8743/8396/64397/5290/2885/23175/10499/23607/55023/677/2931/5286/7010/6655/1432/23411/133/3791/4641/8473/80318/7532/23038/847/6198/8850","BP","Up",1
"GO:0032869","cellular response to insulin stimulus",120,0.505691439063994,1.64989643970635,1.29815713558109e-05,0.00138446704243324,0.00119068523616314,1792,"tags=51%, list=30%, signal=36%","3481/8648/2549/3480/5786/25948/143686/5925/26060/5594/5591/2932/79109/5919/2324/8452/324/11031/9564/6599/6772/2308/5170/9882/208/1969/23516/8837/23433/2050/6464/55667/6443/7075/1291/81565/4691/1509/6654/5295/8396/64397/5290/2885/23175/10499/55023/677/2931/5286/7010/6655/23411/3791/4641/8473/80318/7532/23038/6198/8850","BP","Up",1
"GO:0035239","tube morphogenesis",366,0.427378476421593,1.46149540046588,2.8031392750984e-06,0.000409673614056974,0.000352332203622505,1646,"tags=41%, list=27%, signal=32%","22918/7423/650/358/219699/3339/2034/2549/10451/90627/27031/55636/7057/29072/5747/8322/7128/3685/5087/5787/23166/11117/54806/153090/26051/26523/7052/4089/10000/54538/5797/493/5335/65979/9693/3213/161198/161742/9444/2113/9645/9423/25836/57178/4086/7048/2324/5566/7042/25/196528/6046/3091/1435/10427/51564/6772/8434/5316/4763/5170/4208/23414/9525/51752/2534/2697/4041/1969/10203/22905/7342/204851/7474/4775/1281/182/5469/6899/57493/3202/2909/65125/3280/2050/2335/55294/8642/6786/9788/1545/23129/6464/5154/836/6497/5629/7075/4691/28996/6935/6654/7837/8325/7026/6422/5921/3949/23654/10018/80184/5290/7049/6659/25932/5898/8323/2022/10252/2316/677/5286/9500/5371/1901/90139/3516/7010/1282/3688/1432/10395/23411/221981/133/196740/4204/22915/57674/154810/10413/3791/116150/7716/4781/54583/8751/94/1948/7082/2969","BP","Up",1
